YesText#0,"""Да"""
MainMenu_LogWindow#0,"""История"""
MainMenu_AreaMap#0,"""Карта местности"""
MainMenu_KeyboardHelp#0,"""Справка клавиатуры"""
MainMenu_Config#0,"""Настройки"""
MainMenu_Logout#0,"""Выйти"""
MainMenu_PlayerList#0,"""Ближайшие персонажи"""
MainMenu_Library#0,"""Библиотека"""
MainMenu_QuestInfo#0,"""Информация о квесте"""
MainMenu_Equip#0,"""Экипировка"""
MainMenu_ClientOrder#0,"""Частные заказы"""
MainMenu_MatterBoard#0,"""Карта событий"""
MainMenu_MugMenu#0,"""Меню Mag'а"""
MainMenu_CommHistory#0,"""История сообщений"""
MainMenu_ItemTreasure#0,"""Сокровища"""
MainMenu_CharacterStatus#0,"""Текущий статус"""
MainMenu_Equip_note#0,"""Коллекция файлов"""
MainMenu_simple_gat_status#0,"""/"""
MainMenu_Item_Item#0,"""Предметы"""
MainMenu_Item_Castom#0,"""Экипировка"""
MainMenu_Item_Mug#0,"""Маg"""
MainMenu_Item_Pet#0,"""Питомец"""
MainMenu_Equip_Weapon#0,"""Оружие"""
MainMenu_Equip_Guard#0,"""Броня и кольца"""
MainMenu_Equip_Accessories#0,"""Аксессуары"""
MainMenu_Equip_FashionGroup#0,"""Стиль и каталог"""
MainMenu_Equip_Fashion#0,"""Редактирование стиля"""
MainMenu_Equip_FashionCat#0,"""Каталог стиля"""
MainMenu_Equip_PolluteEdit#0,"""Дарк Бласт"""
MainMenu_Equip_Subpalette#0,"""Редактор палитры"""
MainMenu_Community_Friend#0,"""Список друзей"""
MainMenu_Community_Team#0,"""Инфо о команде"""
MainMenu_Community_Party#0,"""Управление группой"""
MainMenu_Community_Mail#0,"""Почта"""
MainMenu_Community_Chara#0,"""Ближайшие персонажи"""
MainMenu_MyData_CharaInfo#0,"""Информация о персонаже"""
MainMenu_MyData_GatInfo#0,"""Информация о добыче"""
MainMenu_MyData_ContentInfo#0,"""Инфо контента"""
MainMenu_MyData_License#0,"""Список титулов"""
MainMenu_MyData_CraftAchievement#0,"""Крафт достижения"""
MainMenu_MyData_MyMenu#0,"""Быстрое меню"""
MainMenu_MyData_History#0,"""История сообщений"""
MainMenu_MyData_TitleAndCard#0,"""Титулы и карта ARKS"""
MainMenu_MyData_Profile#0,"""Редактировать карту ARKS"""
MainMenu_MyData_Profile_v#0,"""Редактировать карту ARKS"""
MainMenu_Quest_StoryBoard#0,"""Карта истории"""
MainMenu_Quest_MatterBoard#0,"""Карта событий"""
MainMenu_Quest_ArksRoad#0,"""Путь ARKS"""
MainMenu_Quest_ClientOrder#0,"""Частные заказы"""
MainMenu_Quest_BingoCard#0,"""Бинго карта ARKS"""
MainMenu_Quest_OpenEvent#0,"""Инфо ивента"""
MainMenu_Quest_TotalScoreBoost#0,"""Усиление связанных квестов"""
MainMenu_Quest_ShipBattle#0,"""Соревнование"""
MainMenu_Quest_QuestInfo#0,"""Инфо квеста"""
MainMenu_Quest_MapChange#0,"""Сменить карту"""
MainMenu_Quest_EventItem#0,"""Предметы событий"""
MainMenu_System_SimbolArt#0,"""Символ Арты"""
MainMenu_System_ChatConfig#0,"""Настройки чата"""
MainMenu_System_Option#0,"""Настройки"""
MainMenu_System_LogWindow#0,"""История"""
MainMenu_System_GameHelp#0,"""Внутриигровая помощь"""
MainMenu_System_OnlineHelp#0,"""Онлайн поддержка"""
MainMenu_System_Information#0,"""Информация"""
MainMenu_System_Notify#0,"""Объявление"""
MainMenu_System_LoginStamp#0,"""Логин печати"""
MainMenu_System_StarGem#0,"""AC и SG"""
MainMenu_ACMenu_ACShop#0,"""Магазин AC <pict Arcscash>"""
MainMenu_SALE_IconText#0,"""$(0)<pict sale_shop_icon>"""
MainMenu_ACMenu_Gacha#0,"""Лотерея <pict Arcscash>"""
MainMenu_ACMenu_Recycle#0,"""Переработка"""
MainMenu_ACMenu_MagicStone#0,"""Покупка Star Gems<pict Arcscash>"""
MainMenu_ACMenu_HistoryRental#0,"""История покупок/истечения"""
MainMenu_ACMenu_History#0,"""История покупок"""
MainMenu_ACMenu_Rental#0,"""Истечение аренды"""
MainMenu_Logout_Logout#0,"""Выйти"""
MainMenuCategory_ItemPack#0,"""Инвентарь"""
MainMenuCategory_Equip#0,"""Снаряжение"""
MainMenuCategory_MyData#0,"""Мои данные"""
MainMenuCategory_Mug#0,"""Маg"""
MainMenuCategory_Community#0,"""Сообщество"""
MainMenuCategory_Quest#0,"""Квест"""
MainMenuCategory_System#0,"""Система"""
MainMenuCategory_Shop#0,"""Меню AC"""
MainMenuCategory_Logout#0,"""Выйти"""
MainMenu_Title#0,"""Главное меню"""
MainMenu_MainCommand#0,"""Основные команды"""
MainMenu_Notify#0,"""Новые предметы"""
MainMenu_Shortcut#0,"""Сокращения"""
MainMenu_Notify_KeyHelp#0,"""Перейти к новой локации использовав <%NextWidget>"""
MainMenu_Notify_KeyHelp_reb#0,"""Перейти к новой локации использовав <%NextWidget>"""
MainMenu_Notify_KeyHelp_reb2#0,"""Откройте меню и перейдите к новой локации использовав<%NextWidget>"""
MainMenu_Notify_KeyHelp_vita#0,"""Перейти к новой локации использовав <pict Sign_TRIANGLE>"""
MainMenu_Notify_KeyHelp_Disable#0,"""Дальнейшая область недоступна."""
MainMenu_Notify_KeyHelp_Disable_reb#0,"""Дальнейшая область недоступна."""
MainMenu_Community_NewArrival#0,"""$(0) （$(1)）"""
MainMenu_Recycle_NoEnter#0,"""Невозможно использовать во время квеста."""
MainMenu_Recycle_NoEnterTitle#0,"""Переработка"""
WeaponPosition#0,"""Местоположение оружия"""
RedPivot#0,"""Горизонтальное положение"""
GreenPivot#0,"""Вертикальное положение"""
BluaPivot#0,"""Регулировка положения"""
Error_NotSetting#0,"""Нельзя отрегулировать положение."""
StarGemMessage#0,"""Приобретено / $(0)SG<br>Бесплатно / $(1)SG<br><br>※Бесплатные SG будут расходоваться в первую<br>очередь."""
MainMenu_ACMenu_SGShop#0,"""SG магазин<pict StarGem>"""
MainMenu_ArksContract#0,"""ARKS миссии"""
NotHoldingEvent#0,"""В настоящее время ни одного события не проводится."""
StatusLabel_EveryMpShort1#0,"""*Mission Pass: $(0)"""
StatusLabel_EveryMpShort1_2#0,"""Mission Pass: Не открыт"""
StatusLabel_EveryMpShort2#0,"""$(1)ур. (До след. $(0)<pict mp_star_icon>)"""
MainMenu_Logout_October#0,"""<space><space><space><space><space><space><space><space><space><space>"""
Toast_October_1#0,"""Кнопка выхода, которая была до установки мною титула, абсолютно пропала."""
Toast_October_2#0,"""Вы определённо уже заметили её исчезновение."""
Toast_October_3#0,"""Это не ошибка. Повторяю, это не ошибка. Это предполагаемая функция установленного вами титула."""
Toast_October_4#0,"""Вы не сможете выйти из игры, пока не смените титул на другой."""
MainMenu_Shop_Window_Title#0,"""Информация о магазине"""
MainMenu_Room_Password#0,"""<pict ba_roomkey><pict 4space>Настройка подбора комнат"""
WeaponCamo_Label_RemoveAll#0,"""Убрать все"""
MainMenu_PartyMember_Recruitment#0,"""<pict ba_partysearch><pict 4space>Поиск набирающей группы"""
PartyMember_Recruitment_Label1#0,"""Имя рекуртёра"""
PartyMember_Recruitment_Label2#0,"""Класс"""
PartyMember_Recruitment_Label3#0,"""Поиск набирающей группы"""
PartyMember_Recruitment_Label4#0,"""すべて表示"""
PartyMember_Recruitment_Label5#0,"""対象エリアに移動できないため、パーティーに参加できません。"""
PartyMember_Recruitment_Label_1#0,"""Инфо набора в группу"""
PartyMember_Recruitment_Label_2#0,"""Цель"""
PartyMember_Recruitment_Label_3#0,"""Комментарий набора"""
PartyMember_Recruitment_Label_4#0,"""Члены группы"""
PartyMember_Recruitment_Label_5#0,"""Ограничение БМ+"""
PartyMember_Recruitment_Label_6#0,"""Ограничение ур.+"""
PartyMember_Recruitment_Label_7#0,"""$(0)+"""
PartyMember_Recruitment_Label_8#0,"""対象エリア"""
PartyMember_Recruitment_Label_9#0,"""【Rank.$(0)】"""
PartyMember_Recruitment_Label_10#0,"""検索中"""
PartyMember_Recruitment_Label_11#0,"""パーティー自動選択"""
PartyMember_Recruitment_Label_12#0,"""自動選択のパーティーに参加する"""
PartyMember_Recruitment_Label_13#0,"""目的に応じて、参加可能なパーティーを自動的に選択し、<br>そのパーティーに参加します。<br>よろしいですか？<br><br><yellow>※募集者が別のルームにいる場合は<br>\u3000対象のルームに移動します。<c><br><yellow>※現在参加中のパーティーからは自動的に脱退します。<c>"""
PartyMember_Recruitment_Label_14#0,"""参加可能なパーティーが見つかりませんでした。"""
MainMenu_System_ACTitle#0,"""Виды AC"""
MainMenu_System_SGTitle#0,"""Виды SG"""
MainMenu_System_NAC#0,"""AC (исп. PC, Switch)"""
MainMenu_System_PSAC#0,"""AC (исп. PS)"""
MainMenu_System_SAC#0,"""AC (общее)"""
ArksCacheMessage#0,"""/ $(0) <pict Arcscash>"""
Category_Item_Guide#0,"""Используемое окно можно сменить с помощью смены активного окна."""
SubMenu_SortInitialize_Title1#0,"""初期化確認"""
SubMenu_SortInitialize_Text1#0,"""“$(0)”メニューの並び順を初期化しますか？"""
SubMenu_Error_Text1#0,"""メニューの並び順を保存できませんでした。"""
SubMenu_Error_Text2#0,"""“$(0)”メニューの並び順を読み込めませんでした。<br>標準の並び順で表示されます。"""
MainMenu_Ranking_Info#0,"""<pict ba_ranking><pict 4space>アークスレコード"""
SubMenu_Ranking_Info#0,"""アークスレコード"""
MainMenu_Ranking_Info_Weekly#0,"""アトランダムイベントレコード"""
MainMenu_Ranking_Info_TeamTask#0,"""チームタスクレコード"""
Loading_Banner_Guide#0,"""くわしく見る：<%NextTabDetails>"""
MainMenu_TeamMember_Recruitment#0,"""<pict ba_teamsearch><pict 4space>メンバー募集中のチーム検索"""
Weapon_CoordinateX#0,"""（X：$(0)）"""
Weapon_CoordinateY#0,"""（Y：$(0)）"""
Weapon_CoordinateZ#0,"""（Z：$(0)）"""
Confirm_Title#0,"""Подтверждение перехода на корабль"""
Confirm_Message#0,"""При переходе в общий корабль битв<br>следующие условия вступят в силу:<br>\u3000・Ваш класс сменится на [Батл Вориор]<br>\u3000・ФА, техники, классовые скиллы станут недоступны<br>\u3000・Валюта и предметы станут недоступны<br>\u3000・Все склады станут недоступны<br>\u3000・Срочные задания будут скрыты<br>\u3000・Друзья будут скрыты<br>\u3000・Для данного корабля будет создан отдельный список друзей<br><red>※После выхода с общего корабля все вышеупомянутые пункты вернутся в норму.<c><br><red>※NetCafe премиум эффект дополнительных командных станет очков недоступен.<c><br><red>※Ваш персонаж сможет попасть на лайв трансляцию.<c><br><br>Отравиться на общий корабль битв?"""
Confirm_Title_InBlock#0,"""Подтверждение перехода на блок"""
Confirm_Message_InBlock#0,"""При переходе в блок битв<br>следующие условия вступят в силу:<br>\u3000・Ваш класс сменится на [Батл Вориор].<br>\u3000・ФА, техники, классовые скиллы станут недоступны<br>\u3000・Валюта и предметы станут недоступны<br>\u3000・Все склады станут недоступны<br>\u3000・Срочные задания будут скрыты<br>\u3000・Друзья будут скрыты<br>\u3000・Для данного корабля будет создан отдельный список друзей<br><red>※После выхода с общего корабля все вышеупомянутые пункты вернутся в норму.<c><br><red>※NetCafe премиум эффект дополнительных командных станет очков недоступен.<c><br><red>※Ваш персонаж сможет попасть на лайв трансляцию.<c><br><br>Отравиться на блок битв?"""
Confirm_Title_InNormal#0,"""Подтверждение перехода на корабль"""
Confirm_Message_InNormal#0,"""Вы собираетесь вернуться на свой корабль.<br>Нижеупомянутые пункты вернутся в норму:<br>\u3000・Ваш класс сменится к исходному.<br>\u3000・ФА, техники, классовые скиллы станут доступны<br>\u3000・Валюта и предметы станут доступны<br>\u3000・Все склады вновь станут доступны<br>\u3000・Срочные задания вновь будут показываться<br>\u3000・Список друзей вернётся к исходному<br><br>Вернуться на ваш корабль?"""
ShopTitleText#0,"""Обменник боевых монет"""
ShopGuideText#0,"""<c f0df60>Вы можете обменять боевые монеты на предметы.<c>"""
ShopListTitle#0,"""Меню магазина"""
PluralityMenuGuide#0,"""<c f0df60>Пожалуйста, выберите магазин.<c>"""
Exit#0,"""Выйти из магазина"""
Buy#0,"""Купить"""
NameNumber#0,"""$(0) ×$(1)"""
BuyTitle#0,"""Подтверждение покупки"""
BuyCheck#0,"""Эти предметы будут стоить $(1) $(0).<br>Продолжить покупку?"""
CPDenomination#0,"""Боевые монеты"""
BuyResultMessage1#0,"""Завершение покупки."""
BuyErrorMessage2#0,"""У вас недостаточно свободного места в инвентаре,<br>или вы покупаете слишком много предметов.<br>Покупка не может быть завершена."""
CPInsufficient#0,"""Недостаточно боевых монет."""
BuyResultMessage2#0,"""Не удалось завершить покупку."""
BuyResultTitle#0,"""Покупка предмета"""
CancelTitle#0,"""Подтверждение отмены покупки"""
CancelMessage#0,"""Вы отменяете покупку. Продолжить?"""
SelectItemInputVita#0,"""Пожалуйста, введите сумму."""
MenuErrorTitle#0,"""Сообщение"""
MenuErrorMessage#0,"""[Обменник боевых монет 2]<br><yellow>станет доступен как только<br>квест будет пройден.<c><br><br>Вы не можете получить доступ к этому магазину,<br>потому что квест ещё не пройден."""
PokaQuest_SummaryName#0,"""Боевая арена"""
PokaRanking_Title#0,"""Боевые ранговые награды"""
PokaRanking_RewardConfirm#0,"""Вы получили следующие предметы<br>как награду за бой."""
PokaRanking_Date#0,"""Дата и время"""
PokaRanking_Caption#0,"""$(1) [$(0)] награда"""
PokaRanking_Rule_BattleRoyal#0,"""Схватка"""
PokaRanking_Rule_BattleCrystal#0,"""Соревнование эмблем"""
PokaRanking_Rule_BattleRoyal_Switch#0,"""Battle Royal (Cloud версия)"""
PokaRanking_Rule_BattleCrystal_Switch#0,"""Соревнование эмблем(Cloud версия)"""
PokaRanking_PrizeMessage#0,"""Заберите награду у администратора Лиги ARKS Мими."""
Confirm_Title#1,"""Подтверждение перехода на корабль"""
Confirm_Message#1,"""При переходе в общий корабль испытаний<br>следующие условия вступят в силу:<br>\u3000・Ваш класс сменится на [Челленджер]<br>\u3000・ФА, техники, классовые скиллы станут недоступны<br>\u3000・Валюта и предметы станут недоступны<br>\u3000・Все склады станут недоступны<br>\u3000・Срочные задания будут скрыты<br>\u3000・Друзья будут скрыты<br>\u3000・Для данного корабля будет создан отдельный список друзей<br><red>※После выхода с общего корабля все вышеупомянутые пункты вернутся в норму.<c><br><red>※NetCafe премиум эффект дополнительных командных станет очков недоступен.<c><br><red>※Ваш персонаж сможет попасть на лайв трансляцию.<c><br><br>Отравиться на общий корабль испытаний?"""
Confirm_Title_InBlock#1,"""Подтверждение перехода на блок"""
Confirm_Message_InBlock#1,"""При переходе в блок испытаний<br>следующие условия вступят в силу:<br>\u3000・Ваш класс сменится на [Челленджер].<br>\u3000・ФА, техники, классовые скиллы станут недоступны<br>\u3000・Валюта и предметы станут недоступны<br>\u3000・Все склады станут недоступны<br>\u3000・Срочные задания будут скрыты<br>\u3000・Друзья будут скрыты<br>\u3000・Для данного корабля будет создан отдельный список друзей<br><red>※После выхода с общего корабля все вышеупомянутые пункты вернутся в норму.<c><br><red>※NetCafe премиум эффект дополнительных командных станет очков недоступен.<c><br><red>※Ваш персонаж сможет попасть на лайв трансляцию.<c><br><br>Отравиться на блок испытаний?"""
Confirm_Title_InNormal#1,"""Подтверждение перехода на корабль"""
Confirm_Message_InNormal#1,"""Вы собираетесь вернуться на свой корабль.<br>Нижеупомянутые пункты вернутся в норму:<br>\u3000・Ваш класс сменится к исходному.<br>\u3000・ФА, техники, классовые скиллы станут доступны<br>\u3000・Валюта и предметы станут доступны<br>\u3000・Все склады вновь станут доступны<br>\u3000・Срочные задания вновь будут показываться<br>\u3000・Список друзей вернётся к исходному<br><br>Вернуться на ваш корабль?"""
ShopTitleText#1,"""Магазин обмена ЧМ"""
ShopGuideText#1,"""<c f0df60>Обменник челлендж-милей.<c>"""
ShopListTitle#1,"""Меню магазина"""
PluralityMenuGuide#1,"""<c f0df60>Пожалуйста, выберите магазин.<c>"""
Exit#1,"""Выйти из магазина"""
Buy#1,"""Купить"""
NameNumber#1,"""$(0) ×$(1)"""
BuyTitle#1,"""Подтверждение покупки"""
BuyCheck#1,"""Эти предметы будут стоить $(1) $(0).<br>Продолжить покупку?"""
CPDenomination#1,"""ЧМ"""
BuyResultMessage1#1,"""Завершение покупки."""
BuyErrorMessage2#1,"""У вас недостаточно свободного места в инвентаре,<br>или вы покупаете слишком много предметов.<br>Покупка не может быть завершена."""
CPInsufficient#1,"""Недостаточно ЧМ."""
BuyResultMessage2#1,"""Не удалось завершить покупку."""
BuyResultTitle#1,"""Покупка предмета"""
CancelTitle#1,"""Подтверждение отмены покупки"""
CancelMessage#1,"""Вы отменяете покупку. Продолжить?"""
SelectItemInputVita#1,"""個数を入力してください"""
MenuErrorTitle#1,"""Сообщение"""
MenuErrorMessage#1,"""[Обмен боевых монет 2]<br><yellow>Станет доступен, как только будет пройден квест.<c><br><red>[МИССИЯ: Решение]<c><br>Сейчас вы не можете получить доступ к этому магазину."""
ChallengePoint#0,"""Челендж-мили"""
BlackbordCharaName#0,"""Имя персонажа"""
BlackbordPlayerIDname#0,"""Имя Player ID"""
BlackbordTime#0,"""Время публикации"""
BlackbordMessage#0,"""Написать сообщение"""
BlackbordTitleText#0,"""Доска сообщений"""
BlackbordTitleTextTeam#0,"""Командная доска объявлений"""
Blackbord_InputMessage#0,"""Сообщение будет отправлено на доску.<br>Пожалуйста, введите его ниже."""
Blackbord_InputMessageTeam#0,"""Сообщение будет отправлено на доску.<br>Пожалуйста, введите его ниже."""
Blackbord_NoMessage#0,"""Нет сообщений.<br>Введите сообщение, затем нажмите кнопку <br>“Отправить сообщение.” для подтверждения."""
Blackbord_MessageWriteError#0,"""Вы не смогли опубликовать свое сообщение.<br><br>Пожалуйста, подождите немного,<br>и попробуйте еще раз."""
Blackbord_WriteToast#0,"""Сообщение написано."""
Blackbord_DeleteMessage#0,"""Вы собираетесь удалить выбранное сообщение<br>Продолжить?"""
