Window_Titletelop_Exchange_General#0,"""Магазин обмена предметов"""
Special conditions_10#0,"""Тип предмета: $(0)"""
Special conditions_11#0,"""$(0) можно экипировать"""
Special conditions_12#0,"""$(0) и $(1)"""
Special conditions_13#0,"""$(0) $(1)"""
Special conditions_14#0,"""Предметы"""
Exchange rate_itemname_1#0,"""$(0) ($(1) шт)"""
Exchange rate_itemname_2#0,"""$(0) $(1) шт"""
Caution_Failure#0,"""Не удалось обменять."""
Caution_MaximumNumber#0,"""Превышено максимальное кол-во обмениваемых предметов."""
Caution_InsufficientStorage#0,"""Нельзя завершить обмен по причине<br>нехватки места или превышения<br>вместимости предмета."""
Caution_ReadExtendedWarehouse#0,"""Нельзя загрузить другое расширенное хранилище<br>при выбере предмета в расширенном хранилище"""
Caution_ProductList#0,"""Не удалось получить информацию о списке предметов.<br>Немного подождите и повторите снова."""
EnhancementValue#0,"""Ур. заточки ＋１ или выше"""
No_EnhancementValue#0,"""Без заточки"""
Button_Item_Search_Myshop_NG#0,"""Данный предмет не выставлен на продажу в магазине игрока."""
Recyclebadge_ac#0,"""Целевой предмет AC лотереи"""
Recyclebadge_sg#0,"""Целевой предмет SG лотереи"""
Recommend_ac#0,"""Целевые рекомендуемые предметы AC лотереи"""
Label_Delivered_Items#0,"""Обмениваемые предметы"""
Label_Exchange_Quantity#0,"""Кол-во обмена"""
Button_Exchange_Confirmation#0,"""Подтвердить обмен"""
Caution_Unswitchable#0,"""Нельзя изменить этот предмет в меню обмена."""
PaidShop_Top_Title#0,"""Магазин AC и SG"""
PaidShop_Top_Help#0,"""Здесь можно приобрести полезные предметы и косметические предметы за AC и SG."""
PaidShop_Top_MenuTitle#0,"""Меню магазина"""
PaidShop_Top_MenuItem01#0,"""Магазин AC<pict Arcscash>"""
PaidShop_Top_MenuItem02#0,"""Магазин SG<pict StarGem>"""
PaidShop_Top_MenuItem03#0,"""Пополнить AC"""
PaidShop_Top_MenuItem04#0,"""Приобрести SG<pict Arcscash>"""
PaidShop_Top_MenuItem05#0,"""История приобретения"""
PaidShop_Top_MenuItem06#0,"""Просмотр инфо SG"""
PaidShop_Top_MenuItem07#0,"""Премиум набор"""
PaidShop_Top_CashTitle#0,"""Сейчас в наличии"""
PaidShop_Top_CashItem01#0,"""В наличии AC"""
PaidShop_Top_CashItem02#0,"""В наличии SG"""
PaidShop_Top_BannerTitle#0,"""Уведомление"""
PaidShop_Top_BannerWebOperation#0,"""<%NextTabDetails>Подробную информацию можно проверить на WEB-странице."""
PaidShop_Top_OperationHelp#0,"""Подтверждение: <%Decide>\u3000\u3000Отмена: <%Cancel><pict 4space><%TabForward>\u3000\u3000Открыть WEB-страницу: <%NextTabDetails>"""
PaidShop_LimitedItemTitle01#0,"""Информация о предмете"""
PaidShop_LimitedItemTitle02#0,"""<yellow>Временный предмет<c>"""
PaidShop_LimitedItemTitle03#0,"""<yellow>Ограничение на покупку<c>"""
LimitedItemText1#0,"""Можно приобрести до $(0)"""
LimitedItemText2#0,"""Ещё $(0)"""
LimitedTime#0,"""До $(0)"""
PacIteminfo_Title#0,"""Инфо набора"""
PacIteminfo_Bonus#0,"""Бонус ※После приобретения отправится в визифон"""
PacIteminfo_Possession#0,"""В наличии （$(0)）"""
LimitedResetShop_Limited1#0,"""<yellow>(До обновления $(0) день(я/ей))<c>"""
LimitedResetShop_Limited2#0,"""<yellow>(До обновления $(0) час(а/ов))<c>"""
LimitedResetShop_Limited3#0,"""<yellow>(До обновления $(0) минут(а/ы))<c>"""
LimitedResetShop_Limited4#0,"""<yellow>(До обновления менее 1 минуты)<c>"""
ItemShop_Title#0,"""Магазин предметов"""
ItemShop_Help#0,"""Вы можете приобрести оружие, броню, расходные материалы и восстановить количество Sign."""
ItemPac_buy#0,"""<pict wh_item_icon> Купить в инвентарь"""
WarehouseAll_buy#0,"""<pict wh_all_icon> Купить в хранилище"""
WarehousePost_buy#0,"""<pict wh_post_icon> Купить в временное хранилище"""
WarehouseSystemPost_buy#0,"""<pict wh_management> Купить в рабочее хранилище"""
WarehouseDefault_buy#0,"""<pict wh_icon> Купить в базовое хранилище"""
WarehouseCharacter_buy#0,"""<pict wh_chara_icon> Купить в хранилище персонажа"""
WarehousePremiere_buy#0,"""<pict wh_premium_icon> Купить в премиум хранилище"""
OneTimePassward_buy#0,"""<pict wh_otp_icon> Купить в OTP хранилище"""
WarehouseEs_buy#0,"""<pict wh_es_icon> Купить в PSO2es хранилище"""
WarehouseGlobal_buy#0,"""<pict wh_global_icon> Купить в хранилище Mission Pass"""
WarehouseDish_buy#0,"""<pict wh_dish_icon> Купить в хранилище материалов"""
WarehouseAddition01_buy#0,"""<pict wh_extend1_icon> Купить в 1-е р. хранилище"""
WarehouseAddition02_buy#0,"""<pict wh_extend2_icon> Купить в 2-е р. хранилище"""
WarehouseAddition03_buy#0,"""<pict wh_extend3_icon> Купить в 3-е р. хранилище"""
WarehouseAddition04_buy#0,"""<pict wh_extend4_icon> Купить в 4-е р. хранилище"""
WarehouseAddition05_buy#0,"""<pict wh_extend5_icon> Купить в 5-е р. хранилище"""
WarehouseAddition06_buy#0,"""<pict wh_extend6_icon> Купить в 6-е р. хранилище"""
WarehouseAddition07_buy#0,"""<pict wh_extend7_icon> Купить в 7-е р. хранилище"""
WarehouseDrop_buy#0,"""<pict wh_quest_icon> Купить в хранилище выпадающих предметов"""
WarehousePool_buy#0,"""<pict wh_pool_icon> упить в хранилище квест предметов"""
ItemPac_sell#0,"""<pict wh_item_icon> Продать из инвентаря"""
WarehouseAll_sell#0,"""<pict wh_all_icon> Продать с хранилища"""
WarehousePost_sell#0,"""<pict wh_post_icon> Продать с временного хранилища"""
WarehouseSystemPost_sell#0,"""<pict wh_management> Продать с хранилища системы"""
WarehouseDefault_sell#0,"""<pict wh_icon> Продать с базового хранилища"""
WarehouseCharacter_sell#0,"""<pict wh_chara_icon> Продать с хранилища персонажа"""
WarehousePremiere_sell#0,"""<pict wh_premium_icon> Продать с премиум хранилища"""
OneTimePassward_sell#0,"""<pict wh_otp_icon> Продать с OTP хранилища"""
WarehouseGlobal_sell#0,"""<pict wh_global_icon> Продать с хранилища Mission Pass"""
WarehouseEs_sell#0,"""<pict wh_es_icon> Продать с PSO2es хранилища"""
WarehouseDish_sell#0,"""<pict wh_dish_icon> Продать из хранилища материалов"""
WarehouseAddition01_sell#0,"""<pict wh_extend1_icon> Продать из 1-го р. хранилища"""
WarehouseAddition02_sell#0,"""<pict wh_extend2_icon> Продать из 2-го р. хранилища"""
WarehouseAddition03_sell#0,"""<pict wh_extend3_icon> Продать из 3-го р. хранилища"""
WarehouseAddition04_sell#0,"""<pict wh_extend4_icon> Продать из 4-го р. хранилища"""
WarehouseAddition05_sell#0,"""<pict wh_extend5_icon> Продать из 5-го р. хранилища"""
WarehouseAddition06_sell#0,"""<pict wh_extend6_icon> Продать из 6-го р. хранилища"""
WarehouseAddition07_sell#0,"""<pict wh_extend7_icon> Продать из 7-го р. хранилища"""
WarehouseDrop_sell#0,"""<pict wh_quest_icon> Продать со склада выпадающих предметов"""
WarehousePool_sell#0,"""<pict wh_pool_icon> Продать со склада квест предметов"""
Bay#0,"""Купить"""
Sell#0,"""Продать"""
BayBuck#0,"""Выкупить"""
Buck#0,"""Назад"""
Decision#0,"""Принять"""
Recommended#0,"""Реком-я"""
