CorrectionAssignMapTitle#0,"""Восстановление настроек управления"""
GraphicsPreset_choice_4#0,"""4: Высокий"""
GraphicsPreset_choice_5#0,"""5: Супер"""
GraphicsPreset_choice_6#0,"""6: Ультра"""
GraphicsPreset_choice_1_CS#0,"""1: Акцент на FPS"""
GraphicsPreset_choice_2_CS#0,"""2: Акцент на баланс"""
GraphicsPreset_choice_3_CS#0,"""3： Акцент на качество"""
LogoutGuide_Title#0,"""Применение настроек"""
LogoutGuide_Message#0,"""Некоторые изменения применятся<br>только после перезахода в игру.<br><br>Желаете выйти сейчас?"""
LogoutGuide_Message_CantLogout#0,"""Некоторые изменения применятся<br>только после перезахода в игру."""
MenuTreeBasic#0,"""Основные настройки"""
MenuTreeDirection#0,"""Настройки направления"""
MenuTreeDraw#0,"""Настройки графики"""
MenuTreeSound#0,"""Настройки звука"""
MenuTreeControl#0,"""Настройки управления"""
MenuTreeCommunication#0,"""Общение"""
MenuTreeSystem#0,"""Общение"""
MenuButtonBasic#0,"""Основные настройки"""
MenuButtonNotice#0,"""Настройки уведомлений"""
MenuButtonCamera#0,"""Настройки камеры"""
MenuButtonCamera_v#0,"""Настройки камеры"""
MenuButtonShoot#0,"""Настройки скриншотов"""
MenuButtonChat#0,"""Настройки чата"""
MenuButtonDirection#0,"""Настройки направления"""
MenuButtonDrawFunction#0,"""Настройки эффектов"""
MenuButtonDrawFilter#0,"""Фильтры <pict Arcscash>"""
MenuButtonDrawShadow#0,"""Настройки теней"""
MenuButtonDrawDisplay#0,"""Настройки графики"""
MenuButtonSound#0,"""Настройки звука"""
MenuButtonOperationType#0,"""Используемое оборудование"""
MenuButtonActionType#0,"""Выбор типа управления"""
MenuButtonSndVolume#0,"""Громкость"""
MenuButtonSndPlay#0,"""Настройки воспроизведения"""
MenuButtonCtrl#0,"""Настройки управления"""
MenuButtonWindow#0,"""Настройки окон"""
MenuButtonSystem#0,"""Общение"""
MenuButtonReset#0,"""Сбросить всё"""
MenuButtonExit#0,"""Отменить и выйти"""
MenuButtonExitWithSave#0,"""Сохранить и выйти"""
ThreeChoiceMenuTitle#0,"""Подтверждение выхода"""
ThreeChoiceMenuMessageApply#0,"""Этим действием вы закроете окно<br>и выйдете из меню опций.<br>Желаете продолжить?<br>"""
ThreeChoiceMenuButtonExit#0,"""Отменить и выйти"""
ThreeChoiceMenuButtonExitWithSave#0,"""Сохранить и выйти"""
ThreeChoiceMenuButtonCancel#0,"""Отменить"""
ConfirmTitleInit#0,"""Сброс настроек"""
ConfirmMessageInit#0,"""Произойдёт сброс настроек.<br>Вы уверены?"""
ConfirmTitle#0,"""Подтверждение выхода"""
ConfirmMessageApply#0,"""Уверены, что хотите сохранить<br>эти настройки?"""
ConfirmMessageDisapply#0,"""Уверены, что хотите отменить<br>эти изменения?"""
ConfirmButtonApply#0,"""Выйти и сохранить"""
ConfirmButtonDisapply#0,"""Выйти и отменить"""
ConfirmButtonCancel#0,"""Вернуться к настройкам"""
BasicTextSmutFilter#0,"""Фильтр текста"""
VitaCtrlTextSwapLR#0,"""Поменять местами L и R<br>(недоступно для своего управления)"""
VitaCtrlTextSwapStartSelect#0,"""Поменять местами START и SELECT<br>(недоступно для своего управления)"""
VitaCtrlTextNormalCtrlType#0,"""Характер действия кнопок"""
VitaCtrlTextShoulderCtrlType#0,"""Характер действия триггеров"""
VitaCtrlTextSavePartySetting#0,"""Сохранить настройки группы"""
VitaCtrlTextLockonChange#0,"""Переключение цели: <%RStick>"""
VitaCtrlTextNavi#0,"""Отображение маркеров карты"""
MltPtMatchingButton#0,"""Настройка положения курсора по умолчанию<br>при выборе между одноблочным и многоблочным<br>подбором.<br>※Исключая некоторые квесты"""
ConfirmTitleWindowInit#0,"""Подтверждение сброса окон"""
ConfirmMessageWindowInit#0,"""Это вернёт все окна на их изначальные<br>позиции и вернёт к изначальным<br>размерам.<br>Вы уверены?"""
ConfirmMessageWindowInitEnd#0,"""Все окна возвращены к изначальным настройкам."""
WindowTitleInitText#0,"""Сброс позиций окон"""
WindowInitHint#0,"""Это сбросит размер и местоположение<br>всех окон."""
WindowRadioButtonInitText#0,"""Сброс окон к изначальным позициям и размерам"""
EstheTitleText#0,"""Отображение аксессуаров"""
EstheHint#0,"""Выбор типа окон, используемых для<br>отображения причёсок, частей головы и<br>аксессуаров, которые можно выбрать<br>во время создания персонажа и в салоне."""
EstheRadioButtonText1#0,"""Маленькое окно, отображающее все аксессуары"""
EstheRadioButtonText2#0,"""Большое окно с вкладками"""
CtrlKeyboardTitle#0,"""Настройки клавиатуры"""
CtrlTabTitleNView#0,"""Стандартная"""
CtrlTabTitleZView#0,"""Через плечо"""
CtrlTabTitleWindow#0,"""Окно"""
CtrlTabTitleOther#0,"""Другие"""
CtrlTabTitleShortcut#0,"""Шаблон текста"""
CtrlTabTitleAction#0,"""Действие"""
CtrlTabTitleLobbyAction#0,"""Лобби-экшены"""
CtrlTabTitleBasicSet#0,"""Основные настройки"""
CtrlMainCtgNameNView#0,"""Настройка стандартного вида"""
CtrlMainCtgNameZView#0,"""Настройка вида через плечо"""
CtrlMainCtgNameWindow#0,"""Настройки окна"""
CtrlMainCtgNameOther#0,"""Другие настройки"""
CtrlMainCtgNameShortcut#0,"""Настройки шаблонов"""
CtrlMainCtgNameAction#0,"""Настройки действий"""
CtrlMainCtgNameLobbyAction#0,"""Настройки лобби-экшенов"""
CtrlSubCtgNameViewMove#0,"""Движения персонажа"""
CtrlSubCtgNameViewCamera#0,"""Изменение расстояния камеры"""
CtrlSubCtgNameViewAction#0,"""Действие"""
CtrlSubCtgNameViewActionSupport#0,"""Помощь в действиях"""
CtrlSubCtgNameViewMenu#0,"""Меню"""
CtrlSubCtgNameViewPalette#0,"""Смена главной палитры"""
CtrlSubCtgNameViewChat#0,"""Чат"""
CtrlSubCtgNameViewSubPalette#0,"""Открытие вспомогательной палитры"""
CtrlSubCtgNameViewMap#0,"""Отображение карты"""
CtrlSubCtgNameWindowBasic#0,"""Принять/Отменить"""
CtrlSubCtgNameWindowChat#0,"""Чат"""
CtrlSubCtgNameWindowPage#0,"""Смена страницы"""
CtrlSubCtgNameWindowTab#0,"""Смена вкладки"""
CtrlSubCtgNameWindowDetailTab#0,"""Изменение вкладки в окне инфо"""
CtrlSubCtgNameWindowCtrlWindow#0,"""Изменение окна"""
CtrlSubCtgNameOtherShortcut#0,"""Шаблоны"""
CtrlSubCtgNameOtherShortcutWord#0,"""Фразы из шаблонов"""
CtrlSubCtgNameOtherMainPalette#0,"""Ручная смена палитры"""
CtrlSubCtgNameOtherSubPalette#0,"""Открытие под-палитры"""
CtrlSubCtgNameCtrlCtrl#0,"""Настройка шаблонов"""
CtrlSubCtgNameCtrlWindow#0,"""Окно настройки шаблонов"""
CtrlSubCtgNameBasic#0,"""Основные настройки"""
CtrlSubCtgNameAssist#0,"""Настройки помощи"""
CtrlSubCtgNameLobbyAction#0,"""Настройки клавиш действий."""
CtrlSubCtgNameActionMenu#0,"""Действия/Открыть меню"""
CtrlPresetNameRNViewRcm#0,"""Праворукая раскладка, обычная камера"""
CtrlPresetNameRZViewRcm#0,"""Праворукая раскладка, TPS-камера"""
CtrlPresetNameRNViewKbd#0,"""Праворукая раскладка, обычная камера"""
CtrlPresetNameRZViewKbd#0,"""Праворукая раскладка, TPS-камера"""
CtrlPresetNameLNViewRcm#0,"""Леворукая раскладка, обычная камера"""
CtrlPresetNameLZViewRcm#0,"""Леворукая раскладка, TPS-камера"""
CtrlPresetNameLNViewKbd#0,"""Леворукая раскладка, обычная камера"""
CtrlPresetNameLZViewKbd#0,"""Леворукая раскладка, TPS-камера"""
CtrlPresetNameRcm1#0,"""Стандартная 1"""
CtrlPresetNameRcm2#0,"""Стандартная 2"""
CtrlPresetNameNViewRcm1#0,"""Стандартная обычная камера 1"""
CtrlPresetNameNViewRcm2#0,"""Стандартная обычная камера 2"""
CtrlPresetNameZViewRcm1#0,"""Стандартная TPS-камера 1"""
CtrlPresetNameZViewRcm2#0,"""Стандартная TPS-камера 2"""
CtrlPresetNameRRcm#0,"""Под правую руку"""
CtrlPresetNameLRcm#0,"""Под левую руку"""
CtrlPresetNameCutom#0,"""Своя"""
CtrlPresetNameRcm#0,"""Рекомендованная"""
CtrlAssignNameMouseL#0,"""ЛКМ"""
CtrlAssignNameMouseR#0,"""ПКМ"""
CtrlAssignNameMouseM#0,"""СКМ"""
CtrlAssignNameMouseWheel#0,"""Колесо"""
CtrlAssignNameMouseX1#0,"""Боковая кнопка (X1)"""
CtrlAssignNameMouseX2#0,"""Боковая кнопка (X2)"""
CtrlFuncNameNone#0,"""Отсутствует"""
CtrlFuncNameMoveForward#0,"""Движение: Вперёд"""
CtrlFuncNameMoveRight#0,"""Движение: Направо"""
CtrlFuncNameMoveLeft#0,"""Движение: Налево"""
CtrlFuncNameMoveBack#0,"""Движение: Назад"""
CtrlFuncNameNormalAttack#0,"""Обычная атака"""
CtrlFuncNamePhotonArts#0,"""PA/техника"""
CtrlFuncNameAvoid#0,"""Уклонение"""
CtrlFuncNameJump#0,"""Прыжок"""
CtrlFuncNameAccess#0,"""Доступ"""
CtrlFuncNameWeponAction#0,"""Действие оружия"""
CtrlFuncNameLockon#0,"""Фиксирование цели"""
CtrlFuncNameLockonNext#0,"""Смена цели"""
CtrlFuncNameChangeView#0,"""Смена вида"""
CtrlFuncNameCameraDistance#0,"""Изменение расстояния камеры"""
CtrlFuncNameCameraSelect#0,"""Выбор камеры"""
CtrlFuncNameCameraLightSetting#0,"""Пользовательские настройки освещения"""
CtrlFuncNameCameraMoveUD#0,"""Движение камеры вертикально"""
CtrlFuncNameAutoRun#0,"""Авто-бег"""
CtrlFuncNameRefuseFollowRun#0,"""Запрет на авто-следование"""
CtrlFuncNameOpenMainMenu#0,"""Открытие главного меню"""
CtrlFuncNameOpenSelectMenu#0,"""Меню выбора"""
CtrlFuncNameOpenEquip#0,"""Меню снаряжения"""
CtrlFuncNameOpenPlayerList#0,"""Меню ближайших персонажей"""
CtrlFuncNameMainPaletteForward#0,"""Следующая главная палитра"""
CtrlFuncNameMainPaletteBack#0,"""Предыдущая главная палитра"""
CtrlFuncNameMainPaletteA#0,"""1-е действие"""
CtrlFuncNameMainPaletteB#0,"""2-е действие"""
CtrlFuncNameMainPaletteC#0,"""3-е действие"""
CtrlFuncNameBackPallete#0,"""На под-палитру"""
CtrlFuncNameMainPaletteUp#0,"""Следующее оружие"""
CtrlFuncNameMainPaletteDown#0,"""Предыдущее оружие"""
CtrlFuncNameStartChat#0,"""Чат"""
CtrlFuncNameStartChatPublic#0,"""Активация общего чата"""
CtrlFuncNameStartChatParty#0,"""Активация чата группы"""
CtrlFuncNameStartChatGuild#0,"""Активация чата команды"""
CtrlFuncNameStartChatWhisper#0,"""Активация чата шёпота"""
CtrlFuncNameSubpaletteChange#0,"""Движение курсора под-палитры"""
CtrlFuncNameSubpalette#0,"""Открытие под-палитры"""
CtrlFuncNameSubpaletteForward#0,"""Перелистывание под-палитры"""
CtrlFuncNameSubpaletteLeft#0,"""Влево по под-палитре"""
CtrlFuncNameSubpaletteRight#0,"""Вправо по под-палитре"""
CtrlFuncNameCameraNear#0,"""Приближение к персонажу"""
CtrlFuncNameCameraFar#0,"""Отдаление от персонажа"""
CtrlFuncNameCameraUp#0,"""Вверх"""
CtrlFuncNameCameraDown#0,"""Вниз"""
CtrlFuncNameCameraNext#0,"""Выбор следующей камеры"""
CtrlFuncNameCameraPrev#0,"""Выбор предыдущей камеры"""
CtrlFuncNameUseCameraLight1#0,"""1-я настройка освещения"""
CtrlFuncNameUseCameraLight2#0,"""2-я настройка освещения"""
CtrlFuncNameUseCameraLight3#0,"""3-я настройка освещения"""
CtrlFuncNameUseDeafultCameraLight#0,"""По умолчанию"""
CtrlFuncNameScreenShoot#0,"""Сделать скриншот"""
CtrlFuncNameMovie#0,"""Записать видео"""
CtrlFuncNameDecide#0,"""Принять"""
CtrlFuncNameCancel#0,"""Отмена"""
CtrlFuncNameChangeMouseMode#0,"""Переключение режима мыши"""
CtrlFuncNameAllWindowClose#0,"""Закрытие главного меню"""
CtrlFuncNameMultiSelect#0,"""Выбор нескольких предметов"""
CtrlFuncNameFunction#0,"""Отмена"""
CtrlFuncNameMove#0,"""Перемещение предмета"""
CtrlFuncNamePageForward#0,"""Следующая страница"""
CtrlFuncNamePageBack#0,"""Предыдущая страница"""
CtrlFuncNameTabForward#0,"""Увеличение вкладки"""
CtrlFuncNameTabBack#0,"""Уменьшение вкладки"""
CtrlFuncNameWindowTabForward#0,"""Следующее окно"""
CtrlFuncNameWindowTabBack#0,"""Предыдущее окно"""
CtrlFuncNameChangeWindow#0,"""Изменение окна"""
CtrlFuncNameCtrlTabForward#0,"""Увеличение панели действий"""
CtrlFuncNameCtrlTabBack#0,"""Уменьшение панели действий"""
CtrlFuncNameCtrlException#0,"""Особая операция"""
CtrlFuncNameCtrlException02#0,"""Особая операция 2"""
CtrlFuncNameStctWord#0,"""Использование шаблона"""
CtrlFuncNameChangeToMainPalette#0,"""Переключение палитры"""
CtrlFuncNameChangeRadarMap#0,"""Отображение радар-карты"""
CtrlFuncNameChangeAreaMap#0,"""Отображение карты региона/города"""
CtrlFuncNameOpenItemPack#0,"""Открытие инвентаря"""
CtrlFuncNameOpenCustomize#0,"""Открытие настроек"""
CtrlFuncNameOpenMag#0,"""Маg"""
CtrlFuncNameOpenPet#0,"""Питомец"""
CtrlFuncNameOpenEventItem#0,"""Предметы событий"""
CtrlFuncNameOpenEquipWeapon#0,"""Экипировка оружия"""
CtrlFuncNameOpenEquipArmor#0,"""Экипировка брони"""
CtrlFuncNameOpenSubpalette#0,"""Изменение под-палитры"""
CtrlFuncNameOpenFriend#0,"""Список друзей"""
CtrlFuncNameOpenGuild#0,"""Настройки команды"""
CtrlFuncNameOpenParty#0,"""Настройки группы"""
CtrlFuncNameOpenMail#0,"""Почта"""
CtrlFuncNameOpenNearCharacter#0,"""Ближайшие персонажи"""
CtrlFuncNameOpenCharaInfo#0,"""Инфо персонажа"""
CtrlFuncNameOpenLicense#0,"""Список титулов"""
CtrlFuncNameOpenMyMenu#0,"""Быстрое меню"""
CtrlFuncNameOpenCommunicationLog#0,"""История общения"""
CtrlFuncNameOpenProfile#0,"""Карта ARKS"""
CtrlFuncNameOpenLibrary#0,"""Энциклопедия"""
CtrlFuncNameOpenMutterBoard#0,"""Карта событий 【EP4】"""
CtrlFuncNameOpenClientOrder#0,"""Клиентские заказы"""
CtrlFuncNameOpenQuestInfo#0,"""Инфо квеста"""
CtrlFuncNameOpenSymbolArt#0,"""Символ Арты"""
CtrlFuncNameOpenMacro#0,"""Макросы"""
CtrlFuncNameOpenConfig#0,"""Настройки"""
CtrlFuncNameOpenPayShop#0,"""Магазин AC"""
CtrlFuncNameOpenACGacha#0,"""Сыграть в лотерею"""
CtrlFuncNameOpenPayLog#0,"""История покупок"""
CtrlFuncNameOpenRentalLimit#0,"""Окончание аренды"""
CtrlFuncNameOpenLogOut#0,"""Меню выхода"""
CtrlFuncNameOpenBingo#0,"""Бинго ARKS"""
CtrlFuncNameOpenInformation#0,"""Информация"""
CtrlFuncNameOpenArksRoad#0,"""Путь ARKS"""
CtrlFuncNameOpenCraftAchievement#0,"""Достижения крафта"""
CtrlFuncNameOpenShipBattle#0,"""Гран при ARKS"""
CtrlFuncNameOpenRecycle#0,"""Магазин переработки"""
CtrlFuncNameOpenFashion#0,"""Изменение стиля"""
CtrlFuncNameOpenGatStatus#0,"""Статус сбора"""
CtrlFuncNameOpenGatAchieve#0,"""Достижения за собирательство"""
CtrlFuncNameOpenEquipNote#0,"""Коллекция файлов"""
CtrlFuncNameOpenBuySG#0,"""Покупка Star Gem'ов"""
CtrlFuncNameOpenPokaRecord#0,"""Инфо личных достижений"""
CtrlFuncNameOpenPokaRankMatch#0,"""Инфо ранга боёв"""
CtrlFuncNameOpenPokaRankMatch_Switch#0,"""Инфо ранга боёв (Cloud)"""
CtrlFuncNameOpenFashionCat#0,"""Каталог салона"""
CtrlFuncNameOpenArksLeague#0,"""Лига ARKS"""
CtrlFuncNameOpenBasnetContentInfo#0,"""Инфо бастер квеста"""
CtrlFuncNameOpenPolluteEdit#0,"""Дарк Бласт"""
CtrlFuncNameOpenSgShop#0,"""Магазин SG"""
CtrlFuncNameOpenArksContract#0,"""ARKS миссии"""
CtrlFuncNameOpenWebLink#0,"""Web-связанные события"""
CtrlFuncNameOpenWorldmap#0,"""Карта мира"""
CtrlFuncNameMuteVoiceChat#0,"""Включение микрофона"""
CtrlFuncNameWinShortcut#0,"""Окна шаблонов"""
CtrlFuncNameWeaponComouflage#0,"""Камуфляж оружия"""
CtrlFuncNameWeaponPosition#0,"""Настройка позиции"""
CtrlFuncNamePlayLog#0,"""Игровые рекорды"""
CtrlFuncNameRebops#0,"""Задачи"""
CtrlFuncNameArksSearch#0,"""Поиск ARKS"""
CtrlFuncNameOpenChatStamp#0,"""Штампы"""
CtrlFuncNameOpenKeyConfig#0,"""Настройки конфигурации"""
CtrlFuncNameRoomPassword#0,"""Настройки подбора"""
CtrlFuncNamePlaceObject#0,"""ポータブルホログラム設置"""
CtrlFuncNameListObject#0,"""周囲のポータブルホログラム"""
CtrlFuncNameListSelfyMode#0,"""かんたん撮影モード"""
CtrlFuncNameWinShortcutT1#0,"""1"""
CtrlFuncNameWinShortcutT2#0,"""2"""
CtrlFuncNameWinShortcutT3#0,"""3"""
CtrlFuncNameWinShortcutT4#0,"""4"""
CtrlFuncNameWinShortcutT5#0,"""5"""
CtrlFuncNameWinShortcutT6#0,"""6"""
CtrlFuncNameWinShortcutT7#0,"""7"""
CtrlFuncNameWinShortcutT8#0,"""8"""
CtrlFuncNameWinShortcutT9#0,"""9"""
CtrlFuncNameWinShortcutT10#0,"""0"""
CtrlFuncNameWinShortcutF1#0,"""F1"""
CtrlFuncNameWinShortcutF2#0,"""F2"""
CtrlFuncNameWinShortcutF3#0,"""F3"""
CtrlFuncNameWinShortcutF4#0,"""F4"""
CtrlFuncNameWinShortcutF5#0,"""F5"""
CtrlFuncNameWinShortcutF6#0,"""F6"""
CtrlFuncNameWinShortcutF7#0,"""F7"""
CtrlFuncNameWinShortcutF8#0,"""F8"""
CtrlFuncNameWinShortcutF9#0,"""F9"""
CtrlFuncNameWinShortcutF10#0,"""F10"""
CtrlFuncNameWinShortcutN1#0,"""Num1"""
CtrlFuncNameWinShortcutN2#0,"""Num2"""
CtrlFuncNameWinShortcutN3#0,"""Num3"""
CtrlFuncNameWinShortcutN4#0,"""Num4"""
CtrlFuncNameWinShortcutN5#0,"""Num5"""
CtrlFuncNameWinShortcutN6#0,"""Num6"""
CtrlFuncNameWinShortcutN7#0,"""Num7"""
CtrlFuncNameWinShortcutN8#0,"""Num8"""
CtrlFuncNameWinShortcutN9#0,"""Num9"""
CtrlFuncNameWinShortcutN10#0,"""Num0"""
CtrlFuncNameMySpaceMoveMenu#0,"""クリエイティブスペース"""
CtrlLobbyActionAssignName#0,"""Alt<pict 4space>+<pict 4space>$(0)"""
CtrlAssignButtonInput#0,"""Изменить"""
CtrlAssignButtonWaiting#0,"""Подождать"""
CtrlAssignHint#0,"""Пожалуйста, нажмите желаемую кнопку.<br>([Esc] для отмены)"""
CtrlCtrlAssignTypeT#0,"""1～0"""
CtrlCtrlAssignTypeF#0,"""F1～F10"""
CtrlCtrlAssignTypeN#0,"""Num1～Num0"""
CtrlCtrlAssignTypeCtrlT#0,"""Ctrl+1～0"""
CtrlCtrlAssignTypeCtrlF#0,"""Ctrl+F1～F10"""
CtrlCtrlAssignTypeCtrlN#0,"""Ctrl+Num1～Num0"""
CtrlCtrlSwapMessage#0,"""[$(0)] выбрано."""
CtrlCtrlCaptionFuncName#0,"""Название функции"""
CtrlCtrlCaptionAssign#0,"""Настройки"""
CtrlPartition#0,""" / """
CtrlVitaAccessEscape#0,"""<pict Sign_L3> ＋ <pict Sign_CIRCLE>"""
CtrlVitaPalletinfo#0,"""武器パレット切り替えの操作が一部制限されます"""
CtrlVitaSubPalletinfo#0,"""サブパレット切り替えの操作が一部制限されます"""
CtrlAnnounceTitle#0,"""Настройки отображения"""
CtrlAnnounceMessage#0,"""Пожалуйста, выберите желаемое<br>отображение кнопок."""
CtrlAnnounceSelSymbol#0,"""Символы кнопок (тип PlayStation контроллера)"""
CtrlAnnounceSelAlphabet#0,"""Алфавит (тип X-Box контроллера)"""
CtrlAnnounceSelNumber#0,"""Числа"""
CtrlAnnounceSelKeyboard#0,"""Клавиатура"""
CtrlAnnounceExample#0,"""Пример: """
CtrlAnnounceExampleKey#0,"""<pict Key_ENTER> [Esc] [↑] <pict Key_SPACE>"""
CtrlAnnounceExampleAlpha#0,"""<pict Alpha_A><pict 4space><pict Alpha_B><pict 4space><pict Alpha_RB><pict 4space><pict Alpha_UP>"""
CtrlAnnounceExampleSign#0,"""<pict Sign_CIRCLE><pict 4space><pict Sign_CROSS><pict 4space><pict Sign_R1><pict 4space><pict Sign_UP>"""
CtrlAnnounceExampleNumber#0,"""<pict Number_1><pict 4space><pict Number_2><pict 4space><pict Number_5><pict 4space><pict Number_UP>"""
CtrlAnnounceHint#0,"""Ожидание."""
CtrlPadBehaviorTitle#0,"""Быстрая настройка геймпада"""
CtrlPadBehaviorSetting#0,"""Настройки"""
CtrlPadBehaviorInitialize#0,"""Вернуть к начальным"""
CtrlPadBehaviorStickTitle#0,"""Настройка движения аналогового стика."""
CtrlPadBehaviorStickPrepare#0,"""Начинаем настройку работы<br>аналогового стика.<br>Нажмите [Закрыть] не касаясь стика."""
CtrlPadBehaviorStickSubTitleLU#0,"""1. Калибровка <%LStick>: Вверх"""
CtrlPadBehaviorStickMessageLU#0,"""Начинаем калибровку левого стика.<br>Удерживая <c ff007f>ВВЕРХ<c> левый стик,<green> нажмите <c>$(0).<br><br><yellow>※Если контроллер не отвечает, попробуйте переключиться в <c ff007f>[АНАЛОГОВЫЙ РЕЖИМ]<c><yellow> нажимая<br>кнопку или переключатель, отмеченный [ANALOG MODE]<c>"""
CtrlPadBehaviorStickSubTitleLL#0,"""2. Калибровка <%LStick>: Влево"""
CtrlPadBehaviorStickMessageLL#0,"""Теперь удерживая <c ff007f>ВЛЕВО<c> левый стик,<green> нажмите <c>$(0)."""
CtrlPadBehaviorStickSubTitleRU#0,"""3. Калибровка <%RStick>: Вверх"""
CtrlPadBehaviorStickMessageRU#0,"""Начинаем калибровку правого стика.<br>Удерживая <c ff007f>ВВЕРХ<c> правый стик,<green> нажмите <br><c>$(0)."""
CtrlPadBehaviorStickSubTitleRL#0,"""4. Калибровка <%RStick>: Влево"""
CtrlPadBehaviorStickMessageRL#0,"""Теперь удерживая <c ff007f>ВЛЕВО<c>правый стик,<green> нажмите <c>$(0)."""
CtrlPadBehaviorTriggerTitle#0,"""Настройки триггеров"""
CtrlPadBehaviorTriggerMessageL#0,"""Сейчас будет определён [Задняя левая кнопка] если она - триггер.<br>(Работает только на аналоговых контроллерах)<br>Пожалуйста, нажмите на кнопку, изображённую на фигуре снизу.<br><br><yellow>Если ничего не происходит, когда вы её нажимаете, то контроллер не аналоговый.<br>Нажмите <c>$(0)<yellow>, чтобы перейти к настройке кнопок.<c>"""
