MySpaceCommonLabel_EditMode#0,"""Редактирование"""
BuildMenu_DisallowBlueprintText#0,"""Этот чертёж не доступен в Пространствах для Творчества с кросс-игрой."""
BuildMenu_NoPartsBlueprintText#0,"""Этот чертёж нельзя установить, поскольку у вас не зарегистрирована ни одна из деталей сборки."""
MySpaceDirectPurchase_CantBuyTitle#0,"""Нельзя приобрести детали сборрки"""
MySpaceDirectPurchase_CantBuyText1#0,"""Этот чертёж содержит детали сборки, которые нельзя приобрести за GP или SG."""
MySpaceDirectPurchase_CantBuyText2#0,"""Этот чертёж содержит незарегистрированные детали сборки, которые нельзя приобрести за GP или SG."""
MySpaceDirectPurchaseListTitle#0,"""Подтверждение приобретения деталей сборки"""
MySpaceDirectPurchaseListText1#0,"""Приведённые ниже незарегистрированные детали<br>сборки включены в чертёж.<br><br>Желаете приобрести их?"""
MySpaceDirectPurchaseListText2#0,"""Вы можете использовать чертёж не приобретая<br>недостающие детали сборки, но они не будут<br>размещены.<br><br>Желаете продолжить?"""
MySpaceDirectPurchaseListText_NotBuy#0,"""<yellow>※Этот чертёж содержит детали сборки, которые нельзя приобрести за GP или SG.<c>"""
MySpaceDirectPurchaseListText_NeedGp#0,"""Требуется GP: $(0)<pict 4space><pict myspace_point><pict 4space>(В наличии: $(1)<pict 4space><pict myspace_point><pict 4space>)"""
MySpaceDirectPurchaseListText_NeedSg#0,"""Требуется SG: $(0)<pict 4space><pict StarGem><pict 4space>(В наличии: $(1)<pict 4space><pict StarGem><pict 4space>)"""
MySpaceDirectPurchaseListText_ButtonYes#0,"""Приобрести детали"""
MySpaceDirectPurchaseListText_ButtonNo#0,"""Не приобретать"""
MySpaceBuildPartsPurchaseListTitle#0,"""Приобретение деталей сборки"""
MySpaceBuildPartsPurchaseListText_Gp#0,"""Желаете приобрести детали за $(0)GP?"""
MySpaceBuildPartsPurchaseListText_Sg#0,"""Желаете приобрести детали за $(0)SG?"""
MySpaceBuildPartsPurchaseListText_ButtonYes#0,"""Да"""
MySpaceBuildPartsPurchaseListText_ButtonNo#0,"""Нет"""
MySpaceBuildPartsPurchaseListText_ButtonScc#0,"""Увед. в соответствии с Законом об опред. комм-х сделках"""
MySpaceConnect_Busy#0,"""Слишком много подключённых передатчиков и приёмников. Проверьте места подключения и настройки."""
MySpaceOfficialNotice#0,"""Некоторые из используемых деталей сборки станут доступны после планового технического обслуживания $(0)."""
MyspaceInfoText_BuildParts_DeploymentInitialization#0,"""Сброс размещённых деталей сборки"""
MyspaceInfoText_Terrain_Initialization#0,"""Ланшафт сброшен в исходное состояние."""
CraftMenu_BuildCommand#0,"""Команды сборки"""
CraftMenu_BuildParts#0,"""Детали сборки"""
CraftMenu_BuildParts_OthersSpace#0,"""$(0) детали сборки"""
CraftMenu_DeleteObject#0,"""Убрать"""
CraftMenu_MoveObject#0,"""Двигать"""
CraftMenu_ObjectConfig#0,"""Настроить"""
CraftMenu_ObjectColor#0,"""Изменить цвет"""
CraftMenu_EditTerrain#0,"""Выше/Ниже"""
CraftMenu_LandLeveling#0,"""Выравнивание"""
CraftMenu_FloatingOnAir#0,"""Парящее"""
CraftMenu_QuitEditMode#0,"""Закончить редактирование"""
CraftMenu_Sort_Normal#0,"""Обычная сортировка"""
CraftMenu_NoItem#0,"""Нет доступных предметов"""
CraftMenu_NoRecord#0,"""Нет истории"""
MySpaceCraftPaletteFormTitle#0,"""Палитра сборки"""
MySpaceCraftPalette_DeleteTitle#0,"""Сообщение"""
MySpaceCraftPalette_ConfirmDeletePalette#0,"""Желаете удалить команды сборки/детали сборки,<br>заорегистрированные в этой палитре?"""
CraftMenu_Sort_Category#0,"""По типу"""
CraftMenu_Sort_Name#0,"""По имени"""
CraftMenu_Sort_Rarity#0,"""По редкости"""
BuildMenuFullSizeTitle#0,"""Меню сборки"""
BuildMenuTwolineGuide#0,"""Здесь можно выбрать команды сборки и детали сборки для размещения."""
BuildPaletteGuide_Inactive#0,"""Зарег./Редакт. палитру: <%Function>"""
BuildPaletteGuide_Active#0,"""Зарегистрировать: <%Decide>\u3000\u3000Отменить: <%Cancel>\u3000\u3000Удалить: <%Exception>"""
BuildPaletteButton_Initialize#0,"""Сбросить палитру"""
BuildPaletteInitialize_Title#0,"""Подтверждение сброса"""
BuildPaletteInitialize_Text#0,"""Желаете сбросить палитру до стандатного вида?"""
Guide_BuildMenu#0,"""Принять: <%Decide>\u3000\u3000Отменить: <%Cancel>\u3000\u3000Двигать объект(ы): <%NextWidget>"""
Guide_BuildMenu_Blueprint#0,"""Принять: <%Decide>\u3000\u3000Отменить: <%Cancel>\u3000\u3000Двигать объект(ы): <%NextWidget>\u3000\u3000Сменить окно: <%ChangeCtrlWindowForward>\u3000\u3000Рег. деталь сборки: <%MultiSelect>\u3000\u3000Удалить: <%Exception>"""
Blueprint_RegistMSG_Text1#0,"""Все требуемы детали сборки чертежа уже доступны в этом Пространстве для Творчества."""
Blueprint_RegistMSG_Text2#0,"""Ни одну из этих частей сборки нельзя зарегистрировать в этом Пространстве для Творчества."""
BuildParts_Positioning_WindowTitle#0,"""Точная регулировка деталей"""
BuildParts_Positioning_Position#0,"""Двигать"""
BuildParts_Positioning_Rotate#0,"""Угол"""
BuildParts_Positioning_Size#0,"""Масштабировать"""
BuildParts_Positioning_SizeSyncMove#0,"""Масс. мастабирование"""
BuildParts_Positioning_X#0,"""X"""
BuildParts_Positioning_Y#0,"""Y"""
BuildParts_Positioning_Z#0,"""Z"""
BuildParts_Positioning_Coordinate_Rotate#0,"""（X,Y,Z：$(0),$(1),$(2)）"""
BuildParts_Positioning_Coordinate_Size#0,"""（X,Y,Z：$(0),$(1),$(2)）"""
BuildParts_Positioning_Decision#0,"""Подтвердить"""
BuildParts_Positioning_Cancel#0,"""Желаете выйти без изменений?"""
MySpaceOptionMenuFormTitle#0,"""Опции сборки"""
MySpaceOptionMenuTitle_GridTerrain#0,"""Вид сетки ланшафта"""
MySpaceOptionMenuTitle_GridTerrain_exp#0,"""Определяет отображение сетки при размещении деталей сборки или редактировании ланшафта."""
MySpaceOptionMenuTitle_GridSnap#0,"""Привязка к сетке"""
MySpaceOptionMenuTitle_GridSnap_exp#0,"""Устанавливает привязку детали сборки к сетке при размещении.<br><br><yellow>※При выборе \""Не использовать\"", вы сможете размещать детали в любых координатах.<c>"""
MySpaceOptionMenuTitle_HitCollision#0,"""Предотвращение перекрытия объектов"""
MySpaceOptionMenuTitle_HitCollision_exp#0,"""Устанавливает возможность пересечения деталями сборки уже установленных деталей."""
MySpaceOptionMenuTitle_Rotate#0,"""Угол поворота привязки"""
MySpaceOptionMenuTitle_Rotate_exp#0,"""Устанавливает блокировку углов поворота деталей сборки, кратного 45 градусам."""
MySpaceOptionMenuTitle_Scaling#0,"""Масштабирование связанных деталей сборки"""
MySpaceOptionMenuTitle_Scaling_exp#0,"""Устаналивает блокироку значения масштабирования деталей сборки, кртаного 25%"""
MySpaceOptionMenuTitle_Distance#0,"""Дистанция установки связанных деталей"""
MySpaceOptionMenuTitle_Distance_exp#0,"""Устанавливает фиксацию расстояния, на котором можно устанавливает детали сборки, к фиксированным значениям.<br><br><yellow>Если включена опция \""Привязать к сетке\"", будут активны ограничения на размещение деталей сборки, даже если эта опция не включена.<c>"""
MySpaceOptionMenuTitle_Assistance#0,"""Отображение направляющих силуэтов при размещении"""
MySpaceOptionMenuTitle_Assistance_exp#0,"""Устанавливает отображение силуэтов выбранной детали сборки на ближайшей поверхности, чтобы облегчить выравнивание во время размещения."""
MySpaceOptionMenuTitle_TerrainAdjustment#0,"""Дапазон изменения ланшафта"""
MySpaceOptionMenuTitle_TerrainAdjustment_exp#0,"""Устанавливает шаг регулировки высоты ланшафта."""
MySpaceOptionMenuTitle_TranslucentPlayer#0,"""Полупрозрачность персонажа"""
MySpaceOptionMenuTitle_TranslucentPlayer_exp#0,"""Устанавливает полупрозрачность персонажа.<br><br><yellow>※Некоторые элементы внешнего вида и Mag'и не будут затронуты.<c>"""
MySpaceOptionMenuItemText_On#0,"""Включить"""
MySpaceOptionMenuItemText_Off#0,"""Отключить"""
MySpaceOptionMenuItemText_onefourth#0,"""Каждые 1/4 кв."""
MySpaceOptionMenuItemText_onehalf#0,"""Каждые 1/2 кв."""
MySpaceOptionMenuItemText_one#0,"""Каждый кв."""
MySpaceMenuFormTitle#0,"""Меню ПдТ"""
MySpaceMenuHeadLine_AddObject#0,"""Дополн-е детали"""
MySpaceMenuTitle_ObjectExchange#0,"""Покупка деталей"""
MySpaceMenuTitle_ObjectRegister#0,"""Регистр-я деталей"""
MySpaceMenuHeadLine_Setting#0,"""Настройки ПдТ"""
MySpaceMenuTitle_BgmSetting#0,"""Настройки BGM"""
MySpaceMenuTitle_TimeControl#0,"""Настройка времени"""
IntroductionFormTitle#0,"""Настройки публикации"""
MySpaceMenuTitle_TeamMag#0,"""Mag команды"""
MySpaceMenuHeadLine_Init#0,"""Статус ПдТ"""
MySpaceMenuTitle_SettingInit#0,"""Сброс ПдТ"""
MySpaceMenuTitle_TerrainInit#0,"""Сброс ланшафта"""
MySpaceMenuHeadLine_EditPermission#0,"""Управление правами"""
MySpaceMenuTitle_EditPermission#0,"""Управление правами игроков"""
TeamSpaceMenuTitle_EditPermission#0,"""Настройка прав ред-я тиммейтов"""
TeamSpaceMenuTitle_EditPermission_Title#0,"""Настройка прав редактирования"""
MySpaceMenuHeadLine_ObjectSetting#0,"""Статус деталей сборки"""
MySpaceMenuTitle_ObjectSetting#0,"""Сброс до стандартных"""
MySpaceMenuText_NoEditAuth1#0,"""Нельзя открыть, так как у вас недостаточно прав."""
TeamSpaceMenuText_NoEditAuth1#0,"""Доступ к выбранному меню только у главы комманды и менеджеров текущего ПК."""
MySpace_Notice_SwitchMode_Editing#0,"""Переключено в режим редактирования."""
MySpace_Notice_SwitchMode_Normal#0,"""Вы вышли из режима редактирования."""
MySpaceShopTitle_Guide#0,"""Здесь можно приобрести детали сборки за заработанные GP."""
MySpaceSgShopTitle_Guide#0,"""Здесь можно приобрести детали сборки за заработанные SG."""
MySpaceGPShop_VolumeSelectTitle#0,"""Выбор хранилища"""
MySpaceSGShop_VolumeSelectTitle#0,"""Выбор хранилища"""
MySpaceShop_Volume#0,"""Хранилище $(0)"""
MySpaceShopCheckBoxTitle#0,"""Не зарег. предметы"""
MySpaceRegisterText_Register#0,"""Желаете использовать $(0)<br>для регистрации детали сборки?"""
MySpaceRegisterText_Registered#0,"""Деталь сборки зарегистрирована."""
MySpaceBaseChangeTitle#0,"""Тема: Изменить/Разбок."""
MySpaceBaseChangeName#0,"""Название темы"""
MySpaceBaseUnlocked#0,"""Разблокировано"""
MySpaceBaseChangeAelio#0,"""Тема Эарио"""
MySpaceBaseChangeRetem#0,"""Тема Ритем"""
MySpaceBaseChangeKvaris#0,"""Тема Кварис"""
MySpaceBaseChangeStia#0,"""Тема Стиа"""
MySpaceBaseChangeScene#0,"""Превью темы"""
MySpaceBaseApply_Title#0,"""Сообщение"""
MySpaceBaseApply_Confirm1#0,"""Желаете применить к этому пространству<br>\""$(0)\""?<br>При изменении темы все размещённые детали<br>сборки сбросятся.<br><yellow>※Все другие игроки этого пространства вернутся<br>после применения изменения.<c>"""
MySpaceBaseApply_Confirm2#0,"""При изменении темы все размещённые детали<br>сборки сбросятся.<br>После изменения их нельзя будет вернуть на<br>место.<br>Желаете продолжить?"""
MySpaceBaseApply_Confirm2_Blueprint#0,"""При изменении темы все размещённые детали<br>сборки сбросятся.<br>осле изменения их нельзя будет вернуть<br>на место.<br>Желаете продолжить?<br><yellow>※С изменением темы также пропадут все<br>опубликованные чертежи.<c>"""
MySpaceBaseChangeBuyData#0,"""Инфо приобретаемого"""
MySpaceBaseChangePossessionPoint#0,"""Текущие очки"""
MySpaceBaseChangeRequiredPoint#0,"""Требуемые очки"""
MySpaceBaseChangeSettlement#0,"""После"""
MySpaceBaseChangeBuyTitle#0,"""Тема приобретаемого"""
MySpaceBaseChangeBuyConfirm#0,"""Желаете приобрести тему за $(0)GP?"""
MySpaceBaseChangeBuySuccess#0,"""Тема приобретена."""
MySpaceBaseChangeBuyFailure#0,"""Недостаточно GP."""
MySpaceBgmText_Note#0,"""Воспроизводящаяся музыка в вашем муз. автомате Mag'а будет приорететна.<br><br>Кроме того, некоторую музыку PSO2 нельзя воспроизвести."""
MySpaceBgmText_Notice#0,"""Нельзя воспроизвести пока играет музыка из муз. автомата Mag'а."""
TimeControl_Title#0,"""Изменение времени"""
TimeControll_TimePasses#0,"""Пройденное время ПдТ"""
TimeControll_TimePasses_TeamSpace#0,"""Пройденное время ПК"""
DefaultMySpaceName#0,"""ПдТ """
DefaultTeamSpaceName#0,"""ПК """
DefaultMySpaceComment#0,"""<pict 4space>"""
If_All_OK#0,"""Никому (вкл. поиск)"""
If_Friend_Guild_Member#0,"""Только друзья и тиммейты"""
If_Guild_Member#0,"""Только тиммейты"""
If_Friend_Member#0,"""Только друзья"""
If_All_Not#0,"""Приватный (только вам)"""
CancelMessageTitle#0,"""Сообщение"""
CancelMessage#0,"""Желаете завершить без применения изменений?"""
IntroductionSaveSameTag#0,"""Нельзя зарегистрировать один и тот же поисковый тег несколько раз. Пожалуйста, удалите повторяющийся тег."""
IntroductionSaveFailed#0,"""Не удалось сохранить публичную информацию."""
MySpaceMenuText_InitTitle#0,"""Подтверждение сброса"""
MySpaceMenuText_ConfirmSettingInit#0,"""Желаете сбросить положения деталей сборки<br>в положение до размещения?"""
MySpaceMenuText_ReconfirmSettingInit#0,"""Этим вы вернёте детали сборки в состояние до<br>размещения. Это действие нельзя отменить.<br>Желаете продолжить?<br><br><yellow>※После сброса все установленные чертежи<br>пропадут.<c>"""
MySpaceMenuText_SettingInit#0,"""Все детали сборки вернулись в исходное состояние."""
MySpaceMenuText_ConfirmTerrainInit#0,"""Желаете вернуть весь ланшафт в исходное<br>состояние?"""
MySpaceMenuText_ReconfirmTerrainInit#0,"""После сброса ланшафт нельзя будет вернуть<br>в предыдущее состояние.<br>Желаете продолжить?"""
MySpaceMenuText_TerrainInit#0,"""Ланшафт Пространства для Творчества вернулся в исходное состояние."""
TeamSpaceMenuText_TerrainInit#0,"""Ланшафт Пространства Команды вернулся в исходное состояние."""
PermissionList_Title#0,"""Редактирование разрешения на редактирование"""
PermissionList_Editors#0,"""Допущенные игроки"""
PermissionList_Authorize#0,"""Предоставить разрешение"""
PermissionList_Reject#0,"""Отозвать разрешение"""
PermissionList_IdName#0,"""$(0)"""
PermissionList_Names#0,"""$(0) $(1)"""
PermissionList_AuthorizeConfirm#0,"""Желаете предоставить доступ к $(0)?<br>Этим будет предоставлен доступ $(1) персонажам."""
PermissionList_RejectConfirm#0,"""Желаете отозвать доступ у $(0)?<br>Этим будет предоставлен доступ $(1) персонажам."""
PermissionList_EditorsNumberMax#0,"""Достигнут максимум игроков, которым можно выдать разрешение."""
TeamSpaceMenuText_Editpermission_Guide#0,"""Вы можете настроить предоставление разрешения<br>на редактирование всем членам команды,<br>а не только менеджерам и главе. После<br>предоставления разрешения им станут<br>доступны следующие функции:<br><br>・Режим редактирования<br>・Приобретение/регистрация деталей сборки<br>・Изменение времени суток<br>・Сброс деталей-уловок"""
TeamSpaceMenuText_Editpermission_PositionTitle#0,"""Ранг для выдачи разрешения"""
TeamSpaceMenuText_Editpermission_NoAuthority#0,"""Не менять разрешения"""
TeamSpaceMenuText_Editpermission_Commonmember#0,"""Член команды"""
TeamSpaceMenuText_Editpermission_Common_Visitormember#0,"""Члены команды и посетители"""
TeamSpaceMenuText_Editpermission_Position_Decision#0,"""Обновлены разрешения редактирования для членов команды"""
TeamSpaceMenuText_Editpermission_Position_Decision_Fail#0,"""Не удалось обновить разрешения редактирования для членов команды"""
ObjectReset_Title#0,"""Подтверждение сброса"""
ObjectReset_Confirm#0,"""Желаете сбросить все использованные детали<br>сборки в исходное состояние?"""
ObjectReset_Complete#0,"""Сброшены все использованные детали сборки."""
TeamSpaceMenuFormTitle#0,"""Меню Пространства Команды"""
TeamSpaceMenuHeadLine_Setting#0,"""Настройки ПК"""
TeamSpaceMenuHeadLine_Init#0,"""Статус ПК"""
TeamSpaceMenuHeadLine_EditPermission#0,"""Управ. разрешениями редактирования"""
TeamSpaceBgmText_NotPlay#0,"""Нельзя использовать BGM, посклоку у вашего Mag'а играет музыка."""
TeamSpaceBgmText_Download#0,"""Выбран BGM, который нельзя воспроизвести.<br>Сначала, пожалуйста, докачайте данные PSO2."""
MySpaceBase_ErrorMessage#0,"""Не удалось изменить данные. Пожалуйста, повторите попытку позже."""
MySpace_Notice_ReachGaugeLimit#0,"""Достигнут предел устанавливаемого. Нельзя установить больше."""
MySpace_Notice_ReachCreateLimit#0,"""Нельзя установить больше копий этой детали сборки."""
MySpace_Notice_ReachUnregisteredParts#0,"""Содержит незарегистрированные детали сборки. Эти детали сборки не были размещены."""
MySpace_Notice_ReachPartsNumberLimit#0,"""Некоторые из этих деталей сборки могут привести к превышению ограничения на установку. Эти детали сборки не были размещены."""
MySpaceColorChangeTitle#0,"""Настройки цвета"""
MySpaceColorChangePattern1#0,"""Цвет 1"""
MySpaceColorChangePattern2#0,"""Цвет 2"""
MySpaceColorPaletteTitle#0,"""Палитра цвета"""
DefaultColorButton#0,"""Цвет по умолчанию"""
MySpaceConfigGude#0,"""Просмотреть обновления: <%MultiSelect>"""
MySpaceUpdateInfo_Title#0,"""Информация обновления"""
MySpaceUpdateInfo_Label#0,"""Player ID последнего обновившего"""
MySpaceUpdateInfo_PlayerIDName#0,"""$(0)"""
MySpace_Label_DisallowChangeConfig#0,"""Настройки этой детали сборки нельзя изменить."""
MySpace_Notice_DisallowChangeColor#0,"""Цвет этой детали сборки нельзя изменить."""
MySpace_Notice_NoGeoChangePlace#0,"""Нельзя отредактировать ланшафт здесь."""
MySpace_Notice_GeoUpperLimit#0,"""Этот ланшафт нельзя поднять выше."""
MySpace_Notice_GeoLowerLimit#0,"""Этот ланшафт нельзя опустить ниже."""
MySpace_SwitchInstallation_Title#0,"""Установка детали сборки"""
MySpace_SwitchEditBuildPart_Title#0,"""Редактирование детали сборки"""
MySpace_SwitchEditTerrain_Title#0,"""Редактирование ланшафта"""
MySpace_SwitchInstallation_RotateGuide#0,"""Вращение: <swguidetype ActionLStick>\u3000\u3000Смена оси: <swguidetype ActionUpDown>\u3000\u3000Сброс угла: <%Jump>"""
MySpace_SwitchInstallation_RotateGuide_Key#0,"""Вращение: <swguidetype ActionLStick>\u3000\u3000Смена оси: <swguidetype ActionUpDownKey>\u3000\u3000Сброс угла: <%Jump>"""
MySpace_SwitchInstallation_ScaleGuide#0,"""Масштабирование: <swguidetype ActionLStick>\u3000\u3000Смена оси: <swguidetype ActionUpDown>\u3000\u3000Сброс масштаба: <%Jump>"""
MySpace_SwitchInstallation_ScaleGuide_Key#0,"""Масштабирование: <swguidetype ActionLStick>\u3000\u3000Смена оси: <swguidetype ActionUpDownKey>\u3000\u3000Сброс масштаба: <%Jump>"""
MySpace_SwitchInstallation_DistanceGuide#0,"""Макс. расстояние установки: <swguidetype ActionLStick>\u3000\u3000Сброс макс. расст-я установки: <%Jump>"""
MySpace_SwitchEditBuildPart_Guide_Hold#0,"""Выбор режима: <%WeaponAction_2>"""
MySpace_SwitchEditBuildPart_Guide_OnePush#0,"""Выбор режима: <%WeaponAction_2>"""
MySpace_SwitchEditTerrain_Guide_Hold#0,"""Масштабирование: <swguidetype ActionUpDown>\u3000\u3000Выбор режима: <%WeaponAction_2>"""
MySpace_SwitchEditTerrain_Guide_Hold_Key#0,"""Масштабирование: <swguidetype ActionUpDownKey>\u3000\u3000Выбор режима: <%WeaponAction_2>"""
MySpace_SwitchEditTerrain_Guide_OnePush#0,"""Масштабирование: <swguidetype ActionUpDown>\u3000\u3000Выбор режима: <%WeaponAction_2>"""
MySpace_SwitchEditTerrain_Guide_OnePush_Key#0,"""Масштабирование: <swguidetype ActionUpDownKey>\u3000\u3000Выбор режима: <%WeaponAction_2>"""
MySpace_Switch_Right#0,"""<swguidetype ActionRight>"""
MySpace_Switch_Right_Key#0,"""<swguidetype ActionRightKey>"""
MySpace_Switch_Left#0,"""<swguidetype ActionLeft>"""
MySpace_Switch_Left_Key#0,"""<swguidetype ActionLeftKey>"""
MySpaceJournalInstallation#0,"""Установка"""
MySpaceJournalInstallationInformation#0,"""Инфо установки"""
MySpaceJournalBuildPartsInformation#0,"""Инфо детали"""
MySpaceJournalEditTerrainInformation#0,"""Инфо ланшафта"""
MySpaceJournalRotate#0,"""Вращать"""
MySpaceJournalXAxis#0,"""Ось X:"""
MySpaceJournalYAxis#0,"""Ось Y:"""
MySpaceJournalZAxis#0,"""Ось Z:"""
MySpaceJournalXYZAxis#0,"""Все"""
MySpaceJournalScale#0,"""Мастаб"""
MySpaceJournalMaxDistance#0,"""Макс. дистанция"""
MySpaceJournalTerrainScope#0,"""Область прим-я"""
MySpaceJournalOperation#0,"""Управление"""
MySpaceJournalInst_Icon_Action1#0,"""<%NormalAttack>"""
MySpaceJournalInst_Icon_Action2#0,"""<%PhotonArts>"""
MySpaceJournalInst_Icon_Action3#0,"""<%MainPaletteC>"""
MySpaceJournalInst_Icon_Action1or2#0,"""<%NormalAttack>/<%PhotonArts>"""
MySpaceJournalInst_Icon_BP#0,"""<%WeaponAction_2>"""
MySpaceJournalInst_Icon_Space#0,"""<pict 4space>"""
MySpaceJournalTextInst_MoveObject_Move#0,"""Двигать"""
MySpaceJournalTextInst_MoveObject_MoveAdjustment#0,"""Точность"""
MySpaceJournalTextInst_ObjectConfig_Config#0,"""Настройки"""
MySpaceJournalTextInst_ObjectColor_ColorChange#0,"""Редактирование цвета"""
MySpaceJournalTextInst_ObjectColor_ColorApply#0,"""Применение цвета"""
MySpaceJournalTextInst_DeleteObject_Delete#0,"""Убрать"""
MySpaceJournalTextInst_EditTerrain_Uplift#0,"""Поднять ланшафт"""
MySpaceJournalTextInst_EditTerrain_Downlift#0,"""Опустить ланшафт"""
MySpaceJournalTextInst_EditTerrain_LandLeveling#0,"""Уровень ланшафта"""
MySpaceJournalTextInst_Installation#0,"""Установка"""
MySpaceJournalTextInst_Sub_SwitchingFunction#0,"""Меню редактирования деталей"""
MySpaceJournalTextInst_Sub_SwitchingGeneralControl#0,"""\u3000Закрыть меню редактирования"""
MySpaceJournalTextInst_Sub_SwitchingAux#0,"""Меню размещения деталей"""
MySpaceJournalTextInst_Sub_ExitInstallation#0,"""Отменить"""
MySpaceJournalTextInst_Sub_ExitInstallation_Space#0,"""\u3000Завершение установки деталей"""
MySpaceJournalTextInst_Sub_CraftMenu#0,"""Меню сборки"""
MySpaceJournalTextInst_Sub_SwitchingEditTerrainFunction#0,"""Меню редактирования ланшафта"""
MySpaceJournalTextInst_Sub_ExitEditTerrain#0,"""\u3000Закончить редактирование ланшафта"""
MySpaceJournalTextInst_Sub_InstConfig#0,"""\u3000Опции сборки"""
MySpaceJournalTextInst_Sub_CreativeSpaceMenu#0,"""\u3000Меню ПдТ"""
TeamSpaceJournalTextInst_Sub_CreativeSpaceMenu#0,"""\u3000Меню ПК"""
MySpaceJournalTextInst_SubTitle_Aux#0,"""Отобразить меню: <%WeaponAction_2>"""
MySpaceJournalTextInst_SubTitle_Function#0,"""Отобразить меню: <%WeaponAction_2>"""
MySpaceJournalTextInst_SubTitle_TerrainFunction#0,"""Отобразить меню: <%WeaponAction_2>"""
InstallationNumber#0,"""Номер связанного телепорта"""
Active#0,"""Активировать"""
Inactive#0,"""Отключить"""
Collision_Active#0,"""Создать контакт"""
Collision_Inactive#0,"""Не создавать контакт"""
Connect_Active#0,"""Отправлять/Получать"""
Connect_Inactive#0,"""Не отправлять/получать"""
Appear#0,"""Показать"""
Disappear#0,"""Скрыть"""
OpenDoor#0,"""Открыть"""
CloseDoor#0,"""Закрыть"""
On#0,"""Вкл."""
Off#0,"""Выкл."""
Graphics#0,"""Показать/Скрыть"""
Collision#0,"""Актив/Откл коллизии"""
Access#0,"""Актив/Откл доступа"""
TransLock#0,"""Получ/Отправ сигнала"""
SendContainerBreak#0,"""При уничтожении"""
SendSwitchOn#0,"""Вкл."""
SendSwitchOff#0,"""Выкл."""
SendDoorOpen#0,"""Открыть"""
SendDoorClose#0,"""Закрыть"""
SendSit#0,"""Садясь"""
SendGet#0,"""Подбирая"""
SendTakeShower#0,"""Принимая душ"""
SendTouch#0,"""Прикасаясь"""
SendLeave#0,"""Покидая область"""
SendLiedown#0,"""Ложась"""
SendTakeBath#0,"""Принимая ванну"""
SendAccess#0,"""При доступе"""
SendTeleport#0,"""При телепортации"""
SendTouchFence#0,"""При контакте"""
SendUpDrift#0,"""Поднимаясь на потоке"""
SendAfterDelay#0,"""По истечении времени"""
SendTimerOverValue#0,"""При превышении времени"""
SendTimerUnderValue#0,"""По достижении таймервом 0"""
SendRandam1#0,"""ID коннект случайной передачи 1"""
SendRandam2#0,"""ID коннект случайной передачи 2"""
SendRandam3#0,"""ID коннект случайной передачи 3"""
SendRandam4#0,"""ID коннект случайной передачи 4"""
SendRandam5#0,"""ID коннект случайной передачи 5"""
SendPlaySE#0,"""При звуковом эффекте"""
SendCountOverValue#0,"""Получив достаточно коннектов"""
SendReceiveChannel#0,"""Получив оба сигнала передачи"""
SendByReceiveChannel#0,"""Отправить после опред. времени"""
ReceiveChannel1#0,"""Опред. получатель ID коннекта 1"""
ReceiveChannel2#0,"""Опред. получатель ID коннекта 2"""
ResetReceiveChannel#0,"""Сброс канала"""
CountToByReceiveChannel#0,"""Увеличение счётчика +1"""
CountResetByReceiveChannel#0,"""Сброс счётчика"""
ActiveConnect#0,"""Активация ID коннекта"""
ActiveCollision#0,"""Активация обнаружения коллизий"""
