tut_006207#0,"""*Resta Sign"""
tut_006466#0,"""Настройка цвета Mag'а"""
tut_006467#0,"""Задачи Рональдин"""
tut_006468#0,"""Эффекты статуса"""
tut_006471#0,"""フローティングボード"""
tut_006472#0,"""Настройка быстрого меню"""
tut_006473#0,"""フレンド／チームメンバーの合流機能"""
tut_006474#0,"""Вербовка членов в группу"""
tut_006476#0,"""Боевая Мощь - 2"""
tut_006477#0,"""Повышение Боевой Мощи - 4"""
tut_006478#0,"""Повышение Боевой Мощи - 5"""
tut_006479#0,"""Музыкальный автомат Mag'а"""
tut_006480#0,"""Синий портал: Вариативный"""
tut_006483#0,"""Фото-комната"""
tut_006484#0,"""Капитан"""
tut_006485#0,"""Уравнивающие враги"""
tut_006486#0,"""Тринитес"""
tut_006487#0,"""Настройка вызовов"""
tut_006488#0,"""寒冷地エネミー討伐トライアル"""
tut_006489#0,"""フローズンコンテナ"""
tut_006490#0,"""ドールズ輸送物資奪取トライアル"""
tut_006491#0,"""Смешанные техники"""
tut_006492#0,"""Мегалутиксы"""
tut_006493#0,"""投擲アクション"""
tut_006495#0,"""コールドフォトン励起トライアル"""
tut_006496#0,"""氷雪暴風域エネミー討伐トライアル"""
tut_006497#0,"""巨大氷柱"""
tut_006498#0,"""低温ダメージ耐性の上げ方"""
tut_006499#0,"""エンシェントエネミー"""
tut_006500#0,"""フィールドレース"""
tut_006501#0,"""フィールドレース：走破"""
tut_006502#0,"""チームタスク"""
tut_006503#0,"""フィールドレース：板操"""
tut_006504#0,"""アイテム交換：クヴァリス"""
tut_006505#0,"""アームズリファイナー"""
tut_006506#0,"""チーム"""
tut_006507#0,"""ドロップアイテムの自動売却設定"""
tut_006508#0,"""トレジャーショップ"""
tut_006509#0,"""拡大鏡モード"""
tut_006510#0,"""メニューの並び替え機能"""
tut_006511#0,"""パーティーメンバー集合"""
tut_006512#0,"""低温ダメージ耐性・１"""
tut_006513#0,"""低温ダメージ耐性・２"""
tut_006514#0,"""低温ダメージ耐性・３"""
tut_006515#0,"""レイヨルド峡江"""
tut_006520#0,"""アイテムリサイクル"""
tut_006523#0,"""ウェイカー"""
tut_006524#0,"""バンカーType.1"""
tut_006526#0,"""アドオンスキル"""
tut_006528#0,"""アークスレコード"""
tut_006529#0,"""奏具（タクト）"""
tut_006531#0,"""エアリオで入手できる鉱石"""
tut_006532#0,"""リテムで入手できる鉱石"""
tut_006533#0,"""クヴァリスで入手できる鉱石"""
tut_006535#0,"""プレイナビゲーター"""
tut_006539#0,"""プレイレポート"""
tut_006540#0,"""適正距離"""
tut_006550#0,"""ジェネシスポイント交換ショップ"""
tut_006551#0,"""各カラー設定の一括管理"""
tut_006552#0,"""マイセット"""
tut_006554#0,"""チームへの加入方法"""
tut_006555#0,"""メンバー募集中のチーム検索"""
tut_006556#0,"""ゲームガイド"""
tut_006557#0,"""コーデカタログ"""
tut_006558#0,"""ほしい物リスト"""
tut_006559#0,"""火山弾"""
tut_006560#0,"""群鉱石"""
tut_006561#0,"""溶岩だまり"""
tut_006562#0,"""インビジブルボックス"""
tut_006563#0,"""スカウトワスプ"""
tut_006564#0,"""リーコンギガンツ"""
tut_006565#0,"""ゾンネル破壊トライアル"""
tut_006566#0,"""スティアで入手できる鉱石"""
tut_006569#0,"""ノイゼンプラント"""
tut_006570#0,"""フォトンチャージサイン"""
tut_006571#0,"""エクスプローシブデコイ"""
tut_006572#0,"""スカイホッパー／スカイチャージャー"""
tut_006573#0,"""プラズマトラップ"""
tut_006577#0,"""ハルフィリア湖の戦い"""
tut_006578#0,"""ハルフィリア湖の戦い"""
tut_006579#0,"""モバイルキャノンM2"""
tut_006581#0,"""チーム掲示板"""
tut_006582#0,"""ミッションパス倉庫"""
tut_006583#0,"""クリエイティブスペース"""
tut_006584#0,"""編集モード"""
tut_006585#0,"""ビルドパーツの設置"""
tut_006586#0,"""編集モードの終了"""
tut_006587#0,"""クリエイティブスペースNPC"""
tut_006588#0,"""ジェネシスポイント"""
tut_006589#0,"""ビルドパーツの入手方法"""
tut_006590#0,"""ビルドパーツの登録"""
tut_006591#0,"""ビルドパーツの回転"""
tut_006592#0,"""ビルドパーツのスケール"""
tut_006593#0,"""ビルドパーツのカラー変更"""
tut_006594#0,"""地形のアップ/ダウン"""
tut_006595#0,"""ビルドパレット"""
tut_006596#0,"""設計図"""
tut_006597#0,"""設計図のダウンロード"""
tut_006598#0,"""ビルドメニュー"""
tut_006599#0,"""ビルドオプション"""
tut_006600#0,"""最長設置距離"""
tut_006601#0,"""クリエイティブスペース端末"""
tut_006602#0,"""SONICコラボ"""
tut_006605#0,"""クリエイティブスペース"""
tut_006606#0,"""ルシエル"""
tut_006607#0,"""マイショップの称号と上級機能"""
tut_006608#0,"""スレイヤー"""
tut_006609#0,"""銃剣（ガンスラッシュ）"""
tut_006610#0,"""スターレス"""
tut_006611#0,"""素材倉庫"""
tut_006612#0,"""クラスレベルアップ＆適正装備セット"""
tut_006613#0,"""全トレイニア踏破"""
tut_006614#0,"""『NGS』ストーリー進行チケット"""
tut_006615#0,"""自撮りモード"""
tut_006616#0,"""コラボアイコン"""
tut_006617#0,"""イベント応募関連の表示設定"""
tut_006618#0,"""ビルドパーツの削除"""
tut_006619#0,"""イニシャルテレポーター"""
tut_006620#0,"""公開情報の設定"""
tut_006621#0,"""PSO2 11周年イベント概要"""
tut_006622#0,"""季節イベント限定トライアル"""
tut_006623#0,"""マイニン"""
tut_006624#0,"""エアリオジャンプパッド"""
tut_006625#0,"""ヒンドラスリリー"""
tut_006626#0,"""ハルファ環境実験区画調査②"""
tut_006627#0,"""デュエルクエスト"""
tut_006628#0,"""ポータブルホログラム"""
tut_006629#0,"""ストーリー６章"""
tut_006630#0,"""バムロードエネミー"""
tut_006631#0,"""グローサードエネミー"""
tut_006632#0,"""重要目標討伐任務"""
tut_006633#0,"""ルーイナス"""
tut_006635#0,"""バイタルゲージのデザイン変更"""
tut_006636#0,"""プリセット能力の強化"""
tut_006637#0,"""アイテム交換ショップでの交換方法"""
tut_006638#0,"""チームスペース"""
tut_006639#0,"""強雷域エネミー討伐トライアル"""
tut_006640#0,"""最深部のトライアルと報酬"""
tut_006641#0,"""短時狭域エネミー掃討"""
tut_006642#0,"""チームマグ"""
tut_006643#0,"""N-チームポイント"""
tut_006644#0,"""ジオエネミー"""
tut_006645#0,"""テイムズ捕獲トライアル"""
tut_006646#0,"""ハルファ環境実験区画調査①"""
tut_006647#0,"""ルーフ・マクアドの強力なスターレス"""
tut_006648#0,"""チームメンバーの募集"""
tut_006649#0,"""ホーンテッドドメイン"""
tut_006650#0,"""ギルーヴァ陽動トライアル"""
tut_006651#0,"""テックアーツカスタマイズ"""
tut_006653#0,"""アトラクティングソーサー"""
tut_006658#0,"""リワードボックス"""
tut_006661#0,"""最近更新されたチームスペース"""
tut_006663#0,"""赤色界"""
tut_006664#0,"""タイムエクステンションクエスト"""
tut_006666#0,"""グランドトーチスタンド／トーチスタンド"""
tut_006673#0,"""バーストチェンジ"""
tut_006675#0,"""ビルドパーツ設置微調整"""
unknown#0,"""Неизвестно"""
player_move#0,"""Действия персонажа и управление"""
base_system#0,"""Базовая система"""
equip_wepon_type#0,"""Снаряжение"""
battle#0,"""Базовое управление в бою"""
skill_classskill#0,"""Классы и классовые умения"""
skill_class#0,"""Классы"""
adventure#0,"""Приключение"""
quest_basic#0,"""Секции для исследования и для боёв"""
urgency#0,"""Срочные квесты"""
communication#0,"""Общение"""
enemy#0,"""Враги"""
datanum#0,"""$(0)"""
palettes#0,"""Основная палитра/Под-палитра"""
battle_power#0,"""Боевая Мощь"""
class#0,"""Класс"""
trial#0,"""Триал"""
urgency_defence#0,"""Оборона установок добычи"""
item_shop#0,"""Магазин предметов"""
weapons_enhancement#0,"""Заточка оружия"""
limited_time_event#0,"""Временные события"""
world_trial#0,"""Мировое Испытание"""
field_race#0,"""Гонки в областях"""
rayjord_gorge#0,"""Ущелье Рейолд"""
noisen_plant#0,"""Неусен Плант"""
df_thirdform_quest#0,"""Битва на озере Хальфия"""
creative_space#0,"""Пространство для Творчества"""
grow_up_quest#0,"""Исследование Люсиэль"""
item#0,"""Предметы"""
shop#0,"""Магазины"""
esthetic#0,"""Салон"""
special_area#0,"""Особые секции"""
content_on_the_field#0,"""Связанное с областями"""
order_quest#0,"""Особые квесты"""
quest_related#0,"""Координатор квестов"""
other#0,"""Прочее"""
useful_features#0,"""Полезные функции"""
task#0,"""Задачи"""
