ScratchMenue_Title#0,"""Игра в лотерею"""
PrizeChange_Check_Error02#0,"""Выбранная лотерея на данный момент недоступна для покупки.<br>Пожалуйста, проверьте сайт игрока для уточнения информации."""
EmissionParcent#0,"""$(0)%"""
ScratchLabelBonus#0,"""Бонус"""
ScratchLabelStage1#0,"""1-й круг"""
ScratchLabelStage2#0,"""После 2-го круга"""
AllUse#0,"""Использовать всё"""
Title_scratch#0,"""Список приобрет-х предметов"""
Title_useitem#0,"""Использовать предмет"""
scratch_message#0,"""Вы выиграли следующие призы!"""
bonus_message#0,"""Если вы получите все награды за [1-й круг], то перейдёте на [2-й круг].<br>[2-й круг] можно многократно повторять."""
useitem_message#0,"""Желаете использовать приобретённые предметы?<br>Их можно использовать один за другим, выбирая предметы."""
Tags01#0,"""Реком-е!"""
Tags02#0,"""Популярное!"""
Tags03#0,"""Бонус!"""
GachaBonusCommentNothing_re#0,"""У данной лотереи нет бонуса."""
GachaBonusCommentAchieved_re#0,"""Данный бонус лотереи уже забран."""
