Npc_7001001#0,"""Манон"""
Npc_7649001#0,"""Боджи"""
Npc_7653001#0,"""Матильда"""
Npc_7654001#0,"""Комьюна"""
Npc_7655001#0,"""Уезли"""
Npc_7656001#0,"""Сегретт"""
Npc_7657001#0,"""Адила"""
Npc_7658001#0,"""Радомагг"""
Npc_7660001#0,"""Стагги"""
Npc_7661001#0,"""Башиния"""
Npc_7662001#0,"""Датрей"""
Npc_7663001#0,"""Шарки"""
Npc_7664001#0,"""Хорньян"""
Npc_7667001#0,"""Неска"""
Npc_7687001#0,"""Трешис"""
Npc_7688001#0,"""Диментерна"""
Npc_7690001#0,"""ニムロード"""
Npc_7693001#0,"""イリーダ"""
Npc_7694001#0,"""ライサンダー"""
Npc_7695001#0,"""ツカーノ"""
Npc_7696001#0,"""ムリーヤ"""
Npc_7700001#0,"""シェリダン"""
Npc_7702001#0,"""チコーニャ"""
Npc_7705001#0,"""リンチェ"""
Npc_7707001#0,"""マーリン"""
Npc_7708001#0,"""食事中カップル男"""
Npc_7709001#0,"""食事中カップル女"""
Npc_7710001#0,"""ルスラン"""
Npc_7711001#0,"""ロアーラ"""
Npc_7712001#0,"""ゲパルト"""
Npc_7713001#0,"""ラスタ"""
Npc_7714001#0,"""グラート"""
Npc_7717001#0,"""ビバリー"""
Npc_7718001#0,"""ウォーラス"""
Npc_7719001#0,"""ラーテル"""
Npc_7720001#0,"""ルーイカット"""
Npc_7903001#0,"""Дарге"""
Npc_7904001#0,"""Да Чуа"""
Npc_7905001#0,"""Шамал"""
Npc_7906001#0,"""Шан Леи"""
Npc_7907001#0,"""Хосанья"""
Npc_7908001#0,"""Хороман"""
Npc_7991001#0,"""Куро"""
Npc_7992001#0,"""Широ"""
Npc_7993001#0,"""Npc_7993001"""
Npc_7994001#0,"""Npc_7994001"""
Npc_7995001#0,"""Npc_7995001"""
Npc_ArksTrainer#0,"""Инструктор ARKS"""
Npc_CounterQuest1#0,"""Историк ARKS"""
Npc_CounterSalon1#0,"""Сотрудник салона"""
Npc_CounterLab1#0,"""Специалист по усилению предметов"""
Npc_ClassCounter#0,"""Координатор классов"""
Npc_EmergencyCounter#0,"""Администратор срочных квестов"""
Npc_KitchenPolice#0,"""Продуктовый прилавок"""
Npc_Appraiser#0,"""Оценщик лаборатории предметов"""
Npc_MyShop#0,"""Приёмщик магазина игрока"""
Npc_ItemShop#0,"""Сотрудник магазина предметов"""
Npc_RecycleShop#0,"""Торговец предметами"""
Npc_Restaurant#0,"""Сотрудник уголка отдыха"""
Npc_MineralResearcher#0,"""Исследователь минералов ARKS"""
Npc_Communication#0,"""Сотрудник информационной поддержки ARKS"""
Npc_WeatherResearcher#0,"""Метеорологический исследователь ARKS"""
Npc_Telegraphist#0,"""Телеграфист ARKS"""
Npc_SeniorTelegraphist#0,"""Старший телеграфист ARKS"""
Npc_MagEngineer#0,"""Инженер-механик ARKS"""
Npc_MeleeInstructor#0,"""Наставник хантеров"""
Npc_MeleeInstructor2#0,"""Наставник файтеров"""
Npc_RangeInstructor#0,"""Наставник рейнджеров"""
Npc_RangeInstructor2#0,"""Наставник ганнеров"""
Npc_CasterInstructor#0,"""Наставник форсов"""
Npc_CasterInstructor2#0,"""Наставник тектеров"""
Npc_Seasonal#0,"""Исследователь аномальных явлений ARKS"""
Npc_MiniGame#0,"""ミニゲームNPC（仮）"""
Npc_BraverInstructor#0,"""Инструктор по комбин. техникам"""
Npc_DrillInstructor#0,"""アークス訓練教官"""
Npc_AdDrillInstructor#0,"""アークス上級訓練教官"""
