Accessories_Name1#0,"""1-й аксессуар"""
Body_Name2#0,"""Окрас тела 2"""
Body_FormTitle#0,"""Окрас тела"""
Body_List_FormTitle#0,"""Окрас тела"""
NoAccessoriesMessage#1,"""Без окраса тела"""
Remove#1,"""Убрать"""
Favorite_Add#0,"""Добрать в избранное"""
Favorite_Delete#0,"""Убрать из избранного"""
Body_display_1#0,"""Приоритет 1"""
Body_display_2#0,"""Приоритет 2"""
Body_display_3#0,"""Приоритет 3"""
MoveMotion_1#0,"""Ходьба"""
MoveMotion_2#0,"""Парение в воздухе"""
Fashion_OtherFashion#0,"""Закладка"""
PageSwitch_PC#0,"""Переключение <%NextTabDetails>"""
PageSwitch_Vita#0,"""<pict Sign_TRIANGLE>切替"""
Error_Title#0,"""Ошибка"""
Error_ImproperData_LoadMyFashion#0,"""Данные сохранённые данные нельзя применить из-за проблемы.<br><br>Пожалуйста, исправьте данные в салоне или замените или удалите их другими данными."""
Error_ImproperData_SaveMyFashion#0,"""Текущие данные нельзя сохранить в каталоге стиля из-за проблемы.<br><br>Пожалуйста, примените другие данные или исправьте их в салоне красоты."""
FashionTab_New_Base#0,"""N-Верхняя одежда"""
FashionTab_Base#0,"""Верхняя одежда"""
FashionTab_New_Inner#0,"""N-Внутренняя одежда"""
FashionTab_Inner#0,"""Внутренняя одежда"""
FashionTab_New_Body#0,"""N-Тело"""
FashionTab_Body#0,"""Тело"""
FashionTab_New_Arms#0,"""N-Руки"""
FashionTab_Arms#0,"""Руки"""
FashionTab_New_Legs#0,"""N-Ноги"""
FashionTab_Legs#0,"""Ноги"""
FashionTab_New_Outer#0,"""N-Внешняя одежда"""
FashionTab_Outer#0,"""Внешняя одежда"""
Fashion_Incompatible#0,"""Несовместимо"""
info_title_Motion#0,"""Движения"""
info_Motion_Wait#0,"""Ожидание"""
info_Motion_Run#0,"""Бег"""
info_Motion_Jump#0,"""Прыжок"""
info_Motion_Landing#0,"""Приземление"""
info_Motion_Dash#0,"""Рывок"""
info_Motion_Glide#0,"""Парение"""
info_Motion_Swim#0,"""Плаванье"""
Fashion_Visibility#0,"""Отображение украшений"""
Motion_Change_Item#0,"""Изменение движения"""
Motion_Change_Title#0,"""Изменение движения ［$(0)/$(1)］"""
Motion_List_Title#0,"""Список движений ［$(0)/$(1)］"""
Motion_Change_All#0,"""Все движения"""
Motion_Change_None#0,"""Нет доступных движений"""
Collabo_Equipped#0,"""<pict collab_icon><pict 4space><yellow>Некоторые предметы нелья применить<c>"""
With_NewIcon#0,"""$(0)<pict 4space><pict New>"""
TopMenuTitle#0,"""Каталог стиля"""
TopMenuTwolineGuide#0,"""Вы можете зарегистрировать свой стиль или посмотреть стиль других игроков. Просматривая стиль других игроков, вы можете добавить понравившиеся предметы в список желаемого."""
TopMenuItem_Ranking#0,"""Смотреть стили всех"""
TopMenuItem_Search#0,"""Искать стили всех"""
TopMenuItem_Posting#0,"""Зарегистрировать свой стиль"""
TopMenuItem_Confirm#0,"""Подтвердить свой стиль"""
TopMenuItem_ConfirmNiceCnt#0,"""Подтвердить свой стиль ($(0))"""
TopMenuItem_ConfirmNiceCntStop#0,"""Подтвердить свой стиль (99+)"""
TopMenuItem_Release#0,"""Убрать регистрацию"""
TopMenuItem_Back#0,"""Вернуться"""
TitleProfile#0,"""Информация о стиле"""
LikeButton#0,"""Нравится"""
RegistButton#0,"""Зарегистрировать закладку"""
BackButton#0,"""Вернуться"""
