Title_Partyselect#0,"""Выбор группы"""
BonusQuestName#0,"""Бонусный квест"""
TriggerQuestName#0,"""Тригер квест"""
StoryQuestName#0,"""Просмотр истории"""
Title_Quest_Order2#0,"""Условия разблокировки"""
Must_Quest_Recommended#0,"""Рекомендуемая Боевая Мощь"""
PtMakingTitle#0,"""Меню настройки группы"""
AdmissionOption#0,"""Настройки допуска"""
AdmissionWelcome#0,"""Активный набор"""
PartnerCardOn#0,"""Только друзья"""
GuildMemberOn#0,"""Только тиммейты"""
PasswordOption#0,"""Настройка пароля"""
PasswordWrite#0,"""Пароль для участия"""
PTPledge1#0,"""Только тиммейты"""
PTPledge2#0,"""Настройка пароля"""
OrdersOptionBlock1#0,"""Только приглашённые группы"""
OrdersOptionBlock2#0,"""Только текущий блок"""
StoryInfo#0,"""Информация об истории"""
NoMust_Quest_Recommended#0,"""---"""
StoryQuestGuide#0,"""Вы можете повторно пройти уже пройденные сюжетные квесты."""
QuestTypeSelectTitle#0,"""Выбор типа квеста"""
QuestSelectCheckTitle#0,"""Подтверждение принятия квеста"""
QuestSelectCheck#0,"""Желаете принять этот квест?"""
BattlePointNum#0,"""$(0)～"""
Title_Quest_Reward_3#0,"""Награда за квест"""
AttentionNewRoom#0,"""Принятие квеста.<br><br>Вы отмените подбор игроков и откажите от принятых<br>на данный момент квестов.<br>Вы уверены?"""
OrdersOptionBlock3#0,"""Начать подбор"""
NoMust_Quest_Conditions#0,"""Ничего"""
Title_TargetEnemy_Unknown#0,"""？？？"""
BattlePoint_Limit#0,"""Боевая Мощь $(0)+"""
level#0,"""Ур."""
Title_Quest_Clear_Failure_dot#0,"""Условие прохождения: $(0)<br>Условие проигрыша: $(1)"""
BattlePoint_Limit_Red#0,"""<yellow>Боевая Мощь $(0)+<c>"""
Level_Limit#0,"""$(0) ур.+"""
Level_Limit_Red#0,"""<yellow>$(0) ур.+<c>"""
Must_Parem_Text_Red#0,"""<yellow>Реком. характеристики или выше<c>"""
Must_Parem_Text#0,"""Реком. характеристики или выше"""
Btn_Quest_Order_Leader#0,"""Начать квест"""
Btn_Quest_Order_Member#0,"""Начать квест в одиночку"""
EnemyLvTitle#0,"""Ур. появляющегося врага"""
EnemyLv#0,"""$(0) ур."""
EnemyLvWarning#0,"""<yellow>$(0) ур.<c>"""
EnemyLvATTENTIONTitle#0,"""Подтвердить принятие квеста"""
EnemyLvATTENTION#0,"""В вашей группе есть участник, у которого<br>уровень на 5 ниже, чем у врагов, появляющихся<br>во время квеста.<br>Уверены, что хотите начать квест?<br><br><yellow>※Когда уровень игрока на 5 или более ниже<br>уровней врагов, наносимый урон значительно<br>снижается.<c>"""
EnemyLvATTENTION2#0,"""В вашей группе есть участник, у которого<br>уровень на $(0) ниже, чем у врагов, появляющихся<br>во время квеста.<br>Уверены, что хотите начать квест?<br><br><yellow>※Когда уровень игрока на $(0) или более ниже<br>уровней врагов, наносимый урон значительно<br>снижается.<c>"""
BoostInfo_Title#0,"""Бонус компании"""
CampaignBoost_Experience#0,"""＋$(0)％ к опыту<pict 4space><pict exp_icon>"""
CampaignBoost_MesetaDrop#0,"""＋$(0)％ к месете <pict 4space><pict meseta_icon2>"""
CampaignBoost_RareDrop#0,"""＋$(0)％ к редким предметам<pict 4space><pict rare_drop_icon>"""
CampaignBoost_TriggerQuantity#0,"""<pict boost_campaign><pict 4space>バトルトリガー必要数変動"""
Quest_Conditions_Possible#0,"""$(0)"""
Quest_Conditions_Impossible#0,"""<yellow>$(0)<c>"""
Quest_Conditions_None#0,"""---"""
Quest_Conditions_Param#0,"""Выше рекомендованного БМ"""
Quest_Conditions_Regions#0,"""Ограничение регионом"""
Quest_Conditions_Sequence#0,"""Прогресс основной задачи"""
None#0,"""Неизвестная ошибка.<br><br>[No.3000]"""
NotReceptQuestPartyGuest#0,"""Вы не можете принять этот квест так<br>как не являетесь лидером группы."""
NotReceptQuestAlreadyQuest#0,"""Вы не можете принять этот квест так<br>как не являетесь лидером группы.<br>(Квест уже начался. Рекомендуется<br>направиться к воротам.)"""
NotFoundQuestSearch#0,"""Не удалось найти квест,<br>соответствующий введённым вами<br>условиям."""
NotFoundRoomSearch#0,"""Не удалось найти квест,<br>соответствующий введённым вами<br>условиям."""
NotFoundPartyList#0,"""Не удалось найти группу."""
NotFoundQuestType#0,"""Нету квестов, которые можно<br>было бы принять."""
NotFoundQuestList#0,"""Нету квестов, которые можно<br>было бы принять."""
CantStartQuestNotFoundRoom#0,"""Не удалось начать квест, поскольку<br>не удалось найти выбранную комнату."""
CantStartQuestCapacityOverRoom#0,"""Не удалось присоединиться, так как<br>комната заполнена."""
CantStartQuestCapacityOverRoom2#0,"""Не удалось присоединиться, так как комната заполнена.<br>Число в комнате включает игроков, пытающихся<br>присоединиться к комнате, что может не отражать<br>количество участников.<br><yellow>※Игрок может попытаться присоединиться к комнате<br>только раз в минуту. Можно попробовать повторно,<br>подождав и попробовав ещё раз.<c>"""
CantStartQuestNewRaidQuest#0,"""Квест нельзя принять, так как члены<br>группы не одолели врагов, указанных<br>условиях входа."""
CantStartQuestNotNotFoundParty#0,"""Не удалось начать так как целевая<br>группа не найдена."""
CantStartQuestCapacityOverParty#0,"""Не удалось присоединиться, так как<br>группа заполнена."""
CantStartQuestDifferencePasswordParty#0,"""Не удалось присоединиться из-за<br>неверного пароля."""
CantStartQuestAlreadyFinished#0,"""Не удалось присоединиться к этому<br>квесту так как эта группа уже<br>выполнила его."""
CautionNotSoloParty#0,"""Не удалось перейти в другой блок,<br>так как вы уже состоите в группе."""
CantStartQuestDifferenceCondition#0,"""Не удалось присоединиться к группе,<br>так как вы не соответствуете<br>условиям входа."""
CantStartQuestDifferenceConditionLine1#0,"""Нельзя присоединиться к группе или принять квест<br>по следующей причине:<br><br>・$(0)"""
CantStartQuestDifferenceConditionLine2#0,"""Нельзя присоединиться к группе или принять квест<br>по следующим причинам:<br><br>・$(0)<br>・$(1)"""
CantStartQuestDifferenceConditionLine3#0,"""Нельзя присоединиться к группе или принять квест<br>по следующим причинам:<br><br>・$(0)<br>・$(1)<br>・$(2)"""
CantStartQuestDifferenceConditionLine4#0,"""Нельзя присоединиться к группе или принять квест<br>по следующим причинам:<br><br>・$(0)<br>・$(1)<br>・$(2)<br>・$(3)"""
CantStartQuestDifferenceConditionLine5#0,"""Нельзя присоединиться к группе или принять квест<br>по следующим причинам:<br><br>・$(0)<br>・$(1)<br>・$(2)<br>・$(3)<br>・$(4)"""
CantStartQuestDifferenceConditionLine6#0,"""Нельзя присоединиться к группе или принять квест<br>по следующим причинам:<br><br>・$(0)<br>・$(1)<br>・$(2)<br>・$(3)<br>・$(4)<br>・$(5)"""
CantStartQuestDifferenceConditionLine7#0,"""Нельзя присоединиться к группе или принять квест<br>по следующим причинам:<br><br>・$(0)<br>・$(1)<br>・$(2)<br>・$(3)<br>・$(4)<br>・$(5)<br>・$(6)"""
CantStartQuestDifferenceConditionLine8#0,"""Нельзя присоединиться к группе или принять квест<br>по следующим причинам:<br><br>・$(0)<br>・$(1)<br>・$(2)<br>・$(3)<br>・$(4)<br>・$(5)<br>・$(6)<br>・$(7)"""
QuestLevel#0,"""<pict mainclass_icon>$(0)  ур.+"""
PartyLevel#0,"""Условие присоединения к группе: уровень $(1)～$(0)"""
FriendOnly#0,"""Только друзья"""
GuildOnly#0,"""Только тиммейты"""
PasswordNG#0,"""Неверный пароль"""
BurstIntoNG#0,"""Участие ограничено квестом"""
ReasonEventFlag#0,"""Особые условия принятия"""
RareAreaNG#0,"""Группа уже в спец-области"""
CantStartQuestTimeLimitOver#0,"""Квест больше нельзя принять"""
CapacityOverParty#0,"""Ограничения по количеству групп"""
PlatformError#0,"""Ограничения платформы"""
RaidQuestDisable#0,"""Не побеждены враги, являющиеся условием участия"""
NotFoundPartyListtInBasnet#0,"""Не удалось найти группу"""
CantStartQuestClearCountLimit#0,"""Нельзя присоединиться к квесту, так как один<br>или несколько членов группы превысили<br>максимальное количество выполнения квеста."""
QuestSubLevel#0,"""<pict subclass_icon>$(0) ур.+"""
ClearCountLimit#0,"""Превышено максимальное количество прохождений этого квеста"""
CantStartQuestIgnoreQuest#0,"""На данный момент нельзя принять этот квест. Пожалуйста,<br>проверьте игровой сайт для получения подробной информации."""
IgnoreQuest#0,"""На данный момент нельзя принять этот квест. Пожалуйста,<br>проверьте игровой сайт для получения подробной информации."""
QuestDropPenalty#0,"""Один или несколько участников имеют штраф отказа."""
CantStartQuestDropPenalty#0,"""Нельзя присоединиться к группе или принять квест<br>по следующим причинам:<br><br>・Один или несколько участников имеют штраф отказа"""
CantStartProhibitQuestDropTitleCnt#0,"""Терминал координатора квестов"""
CantStartProhibitQuestDropTitleTlp#0,"""Телепортер"""
CantStartProhibitQuestDropForStart#0,"""В настоящее время это недоступно."""
TitleConfirmForQuest#0,"""Подтверждение принятие квеста"""
CautionNon#0,"""Неизвестная ошибка"""
CautionQuestLimitTimeOver#0,"""Квест больше нельзя принять."""
CautionQuestLevelNG#0,"""Вы не выполнили необходимые условия для этого квеста."""
CautionQuestLevelNG2#0,"""Нельзя принять квест, потому что не все члены группы<br>выполнили указанное ниже условие:<br><br>・$(0) ур.+"""
CautionQuestPartyMemberMax#0,"""Вы не можете принять этот квест, потому что<br>в группе более $(0) участников."""
CautionQuestPartyMemberJoinMax#0,"""Вы не можете присоединиться к данной группе,<br>потому что она находится посреди квеста, который<br>позволяет присоединиться только $(0) участникам."""
CautionQuestPlatform#0,"""Вы не можете принять данный квест, потому что не все<br>члены группы выполнили указанное ниже условие:<br><br>・$(0)"""
CautionQuestRaidQuest#0,"""Вы не можете принять данный квест так как<br>не выполнили необходимые условия."""
CautionMultiConditionLine1#0,"""Нельзя принять квест, потому что не все члены группы<br>выполнили указанное ниже условие:<br><br>・$(0)"""
CautionMultiConditionLine2#0,"""Нельзя принять квест, потому что не все члены группы<br>выполнили указанные ниже условия:<br><br>・$(0)<br>・$(1)"""
CautionMultiConditionLine3#0,"""Нельзя принять квест, потому что не все члены группы<br>выполнили указанные ниже условия:<br><br>・$(0)<br>・$(1)<br>・$(2)"""
CautionMultiConditionLine4#0,"""Нельзя принять квест, потому что не все члены группы<br>выполнили указанные ниже условия:<br><br>・$(0)<br>・$(1)<br>・$(2)<br>・$(3)"""
CautionMultiConditionLine5#0,"""Нельзя принять квест, потому что не все члены группы<br>выполнили указанные ниже условия:<br><br>・$(0)<br>・$(1)<br>・$(2)<br>・$(3)<br>・$(4)"""
CautionQuestClearCountLimit#0,"""Нельзя принять данный квест, так как вы достигли<br>максимального количества прохождений."""
CautionNothingQuest#0,"""Нет квестов данного типа."""
NotFoundQuestRecord#0,"""Нет записей квеста."""
CantStartQuestNewNetCafeQuest#0,"""У члена группы нет премиума Net Café и поэтому не может принять данный квест."""
CantStartQuestOutExtraQuest#0,"""Период компании для данного квеста закончился. Пожалуйста, примите ещё раз."""
CantStartQuestInExtraQuest#0,"""К данному квесту применяется период компании. Пожалуйста, примите ещё раз."""
CantStartCapacityOverInTraning#0,"""Не удалось начать квест для практики, так как блок заполнен. Немного подождите и попробуйте ещё раз.<br><br>※Квест для практики можно выполнять только в челендж блоке."""
