PlayNav_Unit1_Item1#0,"""Достигнуть 7 ур."""
PlayNav_Unit9_Index1#0,"""・Завершайте доп. задачи<br>・Сражайте врагов в следующих боев. секциях:<br>\u3000Ритем Эрноза"""
PlayNav_Unit9_Item2#0,"""Улучшайте своё снаряжение"""
PlayNav_Unit9_Index2#0,"""・Добудьте 5★ оружие и броню<br><yellow>※Выпадает из врагов; можно выкупить в магазине игрока<c><br>・Заточите 5★ оружие и броню до +40 и выше<br>・Добавьте по 4 абилки ко всему снаряжению<br>・Высвободите потенциал 3ур. 5★ оружия"""
PlayNav_Unit9_Item3#0,"""Изучите умения класса"""
PlayNav_Unit9_Index3#0,"""・Проходите трениа для зароботка SP<br>・Подойдите к координатору классов и изучите<br>по 20 классовых умений основного и под класса"""
PlayNav_Unit10_Item1#0,"""Достигнуть 40 ур."""
PlayNav_Unit10_Index1#0,"""・Завершайте доп. задачи<br>・Проходите батлдиа<br>・Сражайте врагов в следующих боев. секциях:<br>\u3000Гора Магнус (Ранг.3)<br>\u3000Руины лаборатории Ванфорд (Ранг.3)<br>\u3000Лес Резол (Ранг.2)"""
PlayNav_Unit10_Item2#0,"""Улучшайте своё снаряжение"""
PlayNav_Unit10_Index2#0,"""・・Добудьте 5★ оружие и броню<br><yellow>※Выпадает из врагов; можно выкупить в магазине игрока<c><br>・Заточите 5★ оружие и броню до +40 и выше<br>・Добавьте по 4 абилки II ранга+ ко всему снаряжению<br>・Высвободите потенциал 3ур. 5★ оружия"""
PlayNav_Unit10_Item3#0,"""Изучите умения класса"""
PlayNav_Unit10_Index3#0,"""・Проходите трениа для зароботка SP<br>・Подойдите к координатору классов и изучите<br>по 24 классовых умений основного и под класса"""
PlayNav_Unit11_Item1#0,"""Достигнуть 43 ур."""
PlayNav_Unit11_Index1#0,"""・Завершайте доп. задачи<br>・Проходите батлдиа<br>・Сражайте врагов в следующих боев. секциях:<br>\u3000Гора Магнус (Ранг.3)<br>\u3000Руины лаборатории Ванфорд (Ранг.3)<br>\u3000Лес Резол (Ранг.2)"""
PlayNav_Unit11_Item2#0,"""Улучшайте своё снаряжение"""
PlayNav_Unit11_Index2#0,"""・Добудьте 5★ оружие и броню<br><yellow>※Выпадает из врагов; можно выкупить в магазине игрока<c><br>・Заточите 5★ оружие и броню до +40 и выше<br>・Добавьте по 4 абилки II ранга+ ко всему снаряжению<br>・Высвободите потенциал 3ур. 5★ оружия"""
PlayNav_Unit11_Item3#0,"""Находите капсулы с абилками"""
PlayNav_Unit11_Index3#0,"""・Получите капсулы с абилками в следующих местах:<br>\u3000Ближние (S) классы: Гора Магнус (Ранг.3)<br>\u3000Стрелковые (R) классы: Нижний Макуадо (Ранг.3)<br>\u3000Технические (T) классы: Ритем Эрноза (Ранг.3)"""
PlayNav_Unit12_Item1#0,"""Достигнуть 43 ур."""
PlayNav_Unit12_Index1#0,"""・Завершайте доп. задачи<br>・Сражайте врагов в следующих боев. секциях:<br>\u3000Ритем Эрноза (Ранг.3)<br>\u3000Нижний Макуадо (Ранг.3)"""
PlayNav_Unit12_Item2#0,"""Улучшайте своё снаряжение"""
PlayNav_Unit12_Index2#0,"""・Добудьте 5★ оружие и броню<br><yellow>※Выпадает из врагов; можно выкупить в магазине игрока<c><br>・Заточите 5★ оружие и броню до +40 и выше<br>・Добавьте по 4 абилки II ранга+ ко всему снаряжению<br>・Высвободите потенциал 3ур. 5★ оружия"""
PlayNav_Unit12_Item3#0,"""Добывайте минералы для улучшения снаряжения"""
PlayNav_Unit12_Index3#0,"""・Минералы можно найти в следующих секциях:<br>\u3000Фрагмент фотона: Юг Эарио<br>\u3000Фотонный кварц: Север Эарио<br>\u3000Дуаломайт: Юг Эарио, Запад Эарио<br>\u3000Торанинайт: Север Эарио, Юг Ритем<br>\u3000Тедорасайт: Запад Ритем, Север Ритем, Верхний Макуадо"""
PlayNav_Unit13_Item1#0,"""Достигнуть 49 ур."""
PlayNav_Unit13_Index1#0,"""・Завершайте доп. задачи<br>・Сражайте врагов в следующих боев. секциях:<br>\u3000Руины Беругана"""
PlayNav_Unit13_Item2#0,"""Улучшайте своё снаряжение"""
PlayNav_Unit13_Index2#0,"""・Добудьте 5★ оружие и броню<br><yellow>※Выпадает из врагов; можно выкупить в магазине игрока<c><br>・Получайте капсулы с абилками посредством обмена<br>・Заточите 5★ оружие и броню до +40 и выше<br>・Добавьте по 4 абилки II ранга+ ко всему снаряжению<br>・Высвободите потенциал 3ур. 5★ оружия"""
PlayNav_Unit13_Item3#0,"""Изучите умения класса"""
PlayNav_Unit13_Index3#0,"""・Проходите трениа для зароботка SP<br>・Подойдите к координатору классов и изучите<br>по 28 классовых умений основного и под класса"""
PlayNav_Unit14_Item1#0,"""Достигнуть 60 ур."""
PlayNav_Unit14_Index1#0,"""・Завершайте доп. задачи<br>・Проходите батлдиа<br>・Сражайте врагов в следующих боев. секциях:<br>\u3000Руины Беругана<br>\u3000Утраченный Централ"""
PlayNav_Unit14_Item2#0,"""Улучшайте своё снаряжение"""
PlayNav_Unit14_Index2#0,"""・Добудьте 6★ оружие и броню<br><yellow>※Выпадает из врагов; можно выкупить в магазине игрока<c><br>・Получайте капсулы с абилками посредством обмена<br>・Заточите 6★ оружие и броню до +50 и выше<br>・Добавьте по 4 абилки III ранга+ ко всему снаряжению<br>・Высвободите потенциал 3ур. 6★ оружия"""
PlayNav_Unit14_Item3#0,"""Изучите умения класса"""
PlayNav_Unit14_Index3#0,"""・Проходите трениа для зароботка SP<br>・Подойдите к координатору классов и изучите<br>по 35 классовых умений основного и под класса"""
PlayNav_Unit15_Item1#0,"""Достигнуть 63 ур."""
PlayNav_Unit15_Index1#0,"""・Завершайте доп. задачи"""
PlayNav_Unit15_Item2#0,"""Улучшайте своё снаряжение"""
PlayNav_Unit15_Index2#0,"""・Добудьте 6★ оружие и броню<br><yellow>※Выпадает из врагов; можно выкупить в магазине игрока<c><br>・Получайте капсулы с абилками посредством обмена<br>・Заточите 6★ оружие и броню до +50 и выше<br>・Добавьте по 4 абилки III ранга+ ко всему снаряжению<br>・Высвободите потенциал 3ур. 6★ оружия"""
PlayNav_Unit15_Item3#0,"""Добывайте минералы для улучшения снаряжения"""
PlayNav_Unit15_Index3#0,"""・Минералы можно найти в следующих секциях:<br>\u3000Фрагмент фотонаs: Юг Эарио<br>\u3000Дуаломайт: Юг Эарио、Запад Эарио<br>\u3000Торанинайт: Север Эарио, Юг Ритем<br>\u3000Тедорасайт: Запад Ритем, Север Ритем, Верхний Макуадо<br>\u3000Пендорайт: Запад Кварис"""
PlayNav_Unit16_Item1#0,"""Достигнуть 65 ур."""
PlayNav_Unit16_Index1#0,"""・Завершайте доп. задачи"""
PlayNav_Unit16_Item2#0,"""Улучшайте своё снаряжение"""
PlayNav_Unit16_Index2#0,"""・Добудьте 6★ оружие и броню<br><yellow>※Выпадает из врагов; можно выкупить в магазине игрока<c><br>・Получайте капсулы с абилками посредством обмена<br>・Заточите 6★ оружие и броню до +60 и выше<br>・Добавьте по 5 абилок III ранга+ ко всему снаряжению<br>・Высвободите потенциал 4ур. 6★ оружия"""
PlayNav_Unit16_Item3#0,"""Находите капсулы с абилками"""
PlayNav_Unit16_Index3#0,"""・Получите капсулы с абилками в следующих местах:<br>\u3000Все классы: Утраченный Централ (Ранг.3)<br>\u3000Ближние (S) классы: Гора Магнус (Ранг.4)<br>\u3000Стрелковые (R) классы: Нижний Макуадо (Ранг.4)<br>\u3000Технические (T) классы: Ритем Эрноза (Ранг.4)"""
PlayNav_Unit17_Item1#0,"""Достигнуть 65 ур."""
PlayNav_Unit17_Index1#0,"""・Завершайте доп. задачи"""
PlayNav_Unit17_Item2#0,"""Улучшайте своё снаряжение"""
PlayNav_Unit17_Index2#0,"""・Добудьте 6★ оружие и броню<br><yellow>※Выпадает из врагов; можно выкупить в магазине игрока<c><br>・Получайте капсулы с абилками посредством обмена<br>・Заточите 6★ оружие и броню до +60 и выше<br>・Добавьте по 5 абилок III ранга+ ко всему снаряжению<br>・Высвободите потенциал 4ур. 6★ оружия"""
PlayNav_Unit17_Item3#0,"""Изучите умения класса"""
PlayNav_Unit17_Index3#0,"""・Проходите трениа для зароботка SP<br>・Подойдите к координатору классов и изучите<br>по 37 классовых умений основного и под класса"""
PlayNav_Unit18_Item1#0,"""Достигнуть 67 ур."""
PlayNav_Unit18_Index1#0,"""・Завершайте доп. задачи<br>・Сражайте врагов в следующих боев. секциях:<br>\u3000База Декст"""
PlayNav_Unit18_Item2#0,"""Улучшайте своё снаряжение"""
PlayNav_Unit18_Index2#0,"""・Добудьте 8★ оружие и 7★ броню<br><yellow>※Выпадает из врагов; можно выкупить в магазине игрока<c><br>・Получайте капсулы с абилками посредством обмена<br>・Заточите 8★ оружие и 7★ броню до +50<br>・Добавьте по 5 абилок III ранга+ ко всему снаряжению<br>・Высвободите потенциал 4ур. 8★ оружия"""
PlayNav_Unit18_Item3#0,"""Находите капсулы с абилками"""
PlayNav_Unit18_Index3#0,"""・Получите капсулы с абилками в следующих местах:<br>\u3000Все классы: База Декст<br>\u3000Ближние (S) классы: Гора Магнус (Ранг.4)<br>\u3000Стрелковые (R) классы: Нижний Макуадо (Ранг.4)<br>\u3000Технические (T) классы: Ритем Эрноза (Ранг.4)"""
