ActiveStatus_Title#0,"""Изм. сообщение друга"""
Selfie_OperationGuide_Camera_Zoom_Guide#0,"""<%PaletteForce>/<%PaletteReverse>"""
Selfie_OperationGuide_Camera_Reset_Guide#0,"""<%Exception>"""
Selfie_OperationGuide_Camera_Screenshot_Key_Guide#0,"""<%Exception2>"""
Selfie_OperationGuide_Camera_Move_Key_Guide#0,"""<%MoveForward>/<%MoveBack>/<%MoveLeft>/<%MoveRight>"""
Selfie_OperationGuide_Camera_Rotate_Key_Guide#0,"""<%MultiSelect>＋<%MoveLeft>/<%MoveRight>"""
Selfie_OperationGuide_Camera_Zoom_Key_Guide#0,"""<%PaletteForce>/<%PaletteReverse>"""
Selfie_OperationGuide_Camera_Reset_Key_Guide#0,"""<%Exception>"""
Selfie_FacialConfigWindow_Title#0,"""Изменение выражения"""
Selfie_FacialConfigWindow_Detail#0,"""Каждое выражение лица можно детально<br>скорректировать в салоне."""
Selfie_FacialConfigWindow_Item1#0,"""Обычное"""
Selfie_FacialConfigWindow_Item2#0,"""Улыбающееся"""
Selfie_FacialConfigWindow_Item3#0,"""Злое"""
Selfie_FacialConfigWindow_Item4#0,"""Печальное"""
Selfie_FacialConfigWindow_Item5#0,"""Подозрительность"""
Selfie_FacialConfigWindow_Item6#0,"""Закрытые глаза"""
Selfie_FacialConfigWindow_Item7#0,"""Обычное (без синхро. рта)"""
Selfie_FacialConfigWindow_Item8#0,"""Улыбающееся 2"""
Selfie_FacialConfigWindow_Item9#0,"""Подмигивающее"""
Selfie_DepthoffieldWindow_Title#0,"""Настройки камеры"""
Selfie_DepthoffieldWindow_Depthoffield#0,"""Глубина резкости"""
Selfie_DepthoffieldWindow_Depthoffield_Select1#0,"""Не использовать"""
Selfie_DepthoffieldWindow_Depthoffield_Select2#0,"""Использовать"""
Selfie_DepthoffieldWindow_Aperturevalue#0,"""Диафрагма (F)"""
Selfie_DepthoffieldWindow_Focus#0,"""Цель фокуса"""
Selfie_DepthoffieldWindow_Focus_Select1#0,"""Персонаж"""
Selfie_DepthoffieldWindow_Focus_Select2#0,"""Ручная фокусировка"""
Selfie_DepthoffieldWindow_Focusvalue#0,"""Регулировка фокуса"""
Selfie_DepthoffieldWindow_Focusvalue_Balloon#0,"""Зажмите <%Decide> и используйте <swguidetype T_ItemWarehouse> для корректировки по 10 за раз"""
Selfie_CameraWindow_TemporarySave#0,"""Временно сохранить настройки камеры"""
Selfie_CameraWindow_TemporarySave_Select1#0,"""Не использовать"""
Selfie_CameraWindow_TemporarySave_Select2#0,"""Использовать"""
Selfie_CameraWindow_TemporarySave_Balloon#0,"""Сохраняет положение и настройки камеры только во время игры."""
Selfie_StopActionWindow_Title1#0,"""ロビーアクションの停止<pict Arcscash>"""
Selfie_StopActionWindow_Item1#0,"""ロビーアクションの停止"""
Selfie_StopActionWindow_Head1#0,"""停止タイミング"""
Selfie_StopActionWindow_Detail1#0,"""“完全停止”に設定した場合は、他プレイヤーからは動いて見えます。"""
Selfie_StopActionWindow_Detail2#0,"""ロビーアクションを停止するタイミングを選択してください。"""
Selfie_StopActionWindow_Selector1#0,"""使用しない"""
Selfie_StopActionWindow_Selector2#0,"""10秒間停止"""
Selfie_StopActionWindow_Selector3#0,"""完全停止"""
Selfie_StopActionWindow_StopTime_Balloon#0,"""0.5秒単位で変更：<%Decide>を押しながら<swguidetype T_ItemWarehouse>"""
Selfie_StopActionWindow_StopTime_Disabled#0,"""このロビーアクションは、“ロビーアクションの停止”に対応していません。"""
SelectMenuType_CommunicationMenu1#0,"""Использовать быстрые команды"""
SelectMenuType_CommunicationMenu2#0,"""Выполнить лобби-экшен"""
SelectMenuType_CommunicationMenu3#0,"""Смена отобр. над головой персонажа"""
SelectMenuType_CommunicationMenu4#0,"""Изменить онлайн статус"""
SelectMenuType_CommunicationMenu5#0,"""Отображение ЛОГа Вкл./Выкл."""
SelectMenuType_ExecuteMenu1#0,"""Сделать скриншот"""
VITA_SelectMenuType_ExecuteMenu1#0,"""Изменить настройки камеры"""
SelectMenuType_Execute_Camera#0,"""Выбор камеры"""
SelectMenuType_ExecuteMenu2#0,"""В комнату"""
SelectMenuType_ExecuteMenu3#0,"""В комнату команды"""
SelectMenuType_QuestMenu1#0,"""Стратегия партнёров поддержки"""
SelectMenuType_QuestMenu2#0,"""Смена отображения радар-карты"""
SelectMenuType_QuestMenu3#0,"""Показать/Скрыть карту области"""
SelectMenuType_CommunicationMenu6#0,"""Уст./удал. Маркера группы"""
SelectMenuType_CommunicationMenu7#0,"""Изменить сообщение друга"""
SelectMenuType_CommunicationMenu8#0,"""Ближайшие персонажи"""
SelectMenuType_CommunicationMenu9#0,"""Список друзей"""
SelectMenuType_CommunicationMenu10#0,"""Команда"""
SelectMenuType_CommunicationMenu11#0,"""Почта"""
SelectMenuType_CommunicationMenu12#0,"""История общения"""
SelectMenuType_CommunicationMenu13#0,"""Символ Арты"""
SelectMenuType_CommunicationMenu14#0,"""Штамп"""
SelectMenuType_CommunicationMenu15#0,"""Настройки подбора и фото комнаты"""
SelectMenuType_CommunicationMenu16#0,"""Пространство для Творчества"""
SelectMenuType_Execute_CameraLight#0,"""Выбор камеры/освещения"""
SelectMenuType_ExecuteMenu4#0,"""На ваш корабль"""
SelectMenuType_ExecuteMenu5#0,"""На общий корабль"""
SelectMenuType_ExecuteMenu6#0,"""На командный мостик"""
SelectMenuType_ExecuteMenu7#0,"""В салон преображения"""
SelectMenuType_ExecuteMenu8#0,"""В Кафе Франки"""
SelectMenuType_ExecuteMenu9#0,"""Скрыть интерфейс"""
SelectMenuType_QuestMenu4#0,"""Группа"""
SelectMenuType_QuestMenu5#0,"""Клиентские заказы"""
SelectMenuType_QuestMenu6#0,"""Путь ARKS"""
SelectMenuType_QuestMenu7#0,"""Информация события"""
SelectMenuType_QuestMenu8#0,"""Инфо квеста"""
SelectMenuType_QuestMenu9#0,"""Координатор квестов"""
SelectMenuType_ItemMenu1#0,"""Оружие"""
SelectMenuType_ItemMenu2#0,"""Броня"""
SelectMenuType_ItemMenu3#0,"""Ред. стиля"""
SelectMenuType_ItemMenu4#0,"""Изменить под-палитры"""
SelectMenuType_ItemMenu5#0,"""Предметы"""
SelectMenuType_ItemMenu6#0,"""Кастомизация"""
SelectMenuType_ItemMenu7#0,"""Mag'и"""
SelectMenuType_ItemMenu8#0,"""Магазин переработки"""
SelectMenuType_ItemMenu9#0,"""Питомец"""
SelectMenuType_MyData1#0,"""Инфо персонажа"""
SelectMenuType_MyData2#0,"""Список титулов"""
SelectMenuType_MyData3#0,"""Ред. ARKS-карты"""
SelectMenuType_ShareShip1#0,"""Лобби испытаний"""
SelectMenuType_ShareShip2#0,"""Боевое лобби"""
SelectMenuType_VoiceChatMuteOn#0,"""Отключить микрофон"""
SelectMenuType_VoiceChatMuteOff#0,"""Включить микрофон"""
SelectMenuType_LocationNotification#0,"""Маяк местоположения группе"""
SelectMenuType_RoomPassword#0,"""Настройка подбора комнаты"""
SelectMenuType_EditMenu1#0,"""Скрыть интерфейс (600сек)"""
SelectMenuType_EditMenu2#0,"""Задачи"""
SelectMenuType_EditMenu3#0,"""*Mission Pass"""
SelectMenuType_EditMenu4#0,"""Повторить"""
SelectMenuType_EditMenu5#0,"""Покинуть квест"""
SelectMenuType_EditMenu6#0,"""Подпалитра"""
SelectMenuType_EditMenu7#0,"""Камуфляж оружия"""
SelectMenuType_EditMenu8#0,"""Регулировка положения оружия"""
SelectMenuType_EditMenu9#0,"""Настройки активного сонара"""
SelectMenuType_EditMenu10#0,"""Фоновая музыка (BGM)"""
SelectMenuType_EditMenu11#0,"""Регистрация BGM"""
SelectMenuType_EditMenu12#0,"""Создание BGM плейлиста"""
SelectMenuType_EditMenu13#0,"""Управление группой"""
SelectMenuType_EditMenu14#0,"""Поиск ARKS"""
SelectMenuType_EditMenu15#0,"""Набор в группу"""
SelectMenuType_EditMenu16#0,"""Фото-комната"""
SelectMenuType_EditMenu17#0,"""Настройки шаблонов слов"""
SelectMenuType_EditMenu18#0,"""Настройки группового чата"""
SelectMenuType_EditMenu19#0,"""Настройки авто-текста"""
SelectMenuType_EditMenu20#0,"""Настройка победной позы"""
SelectMenuType_EditMenu21#0,"""Титулы"""
SelectMenuType_EditMenu22#0,"""Карта ARKS"""
SelectMenuType_EditMenu23#0,"""Каталог стиля"""
SelectMenuType_EditMenu24#0,"""Рекорды игры"""
SelectMenuType_EditMenu25#0,"""Магазин AC/SG"""
SelectMenuType_EditMenu26#0,"""Сыграть в лотерею"""
SelectMenuType_EditMenu27#0,"""Обмен предметов"""
SelectMenuType_EditMenu28#0,"""История покупок/срок действия"""
SelectMenuType_EditMenu29#0,"""Настройки"""
SelectMenuType_EditMenu30#0,"""Настройки операций"""
SelectMenuType_EditMenu31#0,"""Получение предметов кампании"""
SelectMenuType_EditMenu32#0,"""Коды предметов"""
SelectMenuType_EditMenu33#0,"""Информация"""
SelectMenuType_EditMenu34#0,"""Бонус за вход"""
SelectMenuType_EditMenu35#0,"""Набор в группу"""
SelectMenuType_EditMenu36#0,"""Мой стиль"""
SelectMenuType_EditMenu37#0,"""Режим стримера"""
SelectMenuType_ShowCollabIcon#0,"""Отображение предметов коллаборации"""
SelectMenuType_EditMenuCategory1#0,"""[Сортировка] Меню снаряжения"""
SelectMenuType_EditMenuCategory2#0,"""[Сортировка] Личное меню"""
SelectMenuType_EditMenuCategory3#0,"""[Сортировка] Меню системы"""
SelectMenuType_EditMenuCategory4#0,"""[Сортировка] Меню задач"""
SelectMenuType_EditMenuCategory5#0,"""[Сортировка] Меню квестов"""
SelectMenuType_EditMenuCategory6#0,"""[Сортировка] Меню общения"""
SelectMenuType_EditMenuCategory7#0,"""[Сортировка] Меню чата"""
SelectMenuType_EditMenuCategory8#0,"""[Сортировка] Меню магазина"""
SelectMenuType_EditMenuCategory9#0,"""[Сортировка] Активное меню"""
SelectMenuType_EditMenuCategory10#0,"""[Сортировка] Меню отображения"""
SelectMenuType_EditMenuCategory11#0,"""[Сортировка] Меню движения"""
SelectMenuType_Vitalgauge_PsnOff#0,"""Показывать имя персонажа"""
SelectMenuType_Vitalgauge_PsnOn#0,"""Показывать PSN ID"""
SelectMenuType_PlaceObjectSelect#0,"""Установка голограммы"""
SelectMenuType_PlaceObjectList#0,"""Ближайшие голограммы"""
SelectMenuType_Selfie#0,"""Режим простой камеры"""
SelectMenuType_LineDuelRankMatch#0,"""ラインストライクのレートバトル"""
SelectMenuType_LineDuelCasualMatch#0,"""ラインストライクのアンレートバトル"""
Title#0,"""Быстрое меню"""
Caption1#0,"""Общение"""
Caption2#0,"""Меню выполнения"""
Caption3#0,"""Меню квестов"""
Caption4#0,"""Карта лобби"""
OnlineStatus_1#0,"""Не показывать"""
OnlineStatus_2#0,"""Вербовка членов группы"""
OnlineStatus_3#0,"""Поиск группы"""
OnlineStatus_4#0,"""Отошёл"""
OnlineStatus_5#0,"""Своё сообщение"""
OnlineStatus_Free#0,"""Писать здесь"""
OnlineStatus_Decide_Vita#0,"""Выбрать статус"""
OnlineStatus_FreeError_Title#0,"""Ошибка соединения"""
OnlineStatus_FreeError_Msg#0,"""Не удалось изменить сообщение."""
ApcTacticsOrder_title#0,"""-"""
ApcTacticsOrder_1#0,"""-"""
ApcTacticsOrder_2#0,"""-"""
ApcTacticsOrder_3#0,"""-"""
ApcTacticsOrder_4#0,"""-"""
ApcTacticsOrderHint_1#0,"""-"""
ApcTacticsOrderHint_2#0,"""-"""
ApcTacticsOrderHint_3#0,"""-"""
ApcTacticsOrderHint_4#0,"""-"""
ApcTacticsOrderPb_title#0,"""Инструкция Фотон Бласта для партнёров"""
ApcTacticsOrderPb_1#0,"""Использование ＰＢ"""
ApcTacticsOrderPb_2#0,"""ＰＢ в цепочку (чеин)"""
ApcTacticsOrderPbHint_1#0,"""Активно использует Фотон Бласт."""
ApcTacticsOrderPbHint_2#0,"""Использует Фотон Бласт в цепочке с игроком."""
ApcTacticsOrderAttack_title#0,"""Участие в битве партнёром"""
ApcTacticsOrderAttack_1#0,"""Участвовать"""
ApcTacticsOrderAttack_2#0,"""Не участвовать"""
ApcTacticsOrderAttackHint_1#0,"""Партнёр активно участвует в битве."""
ApcTacticsOrderAttackHint_2#0,"""Партнёр не участвует в битве."""
Caption5#0,"""Предметы"""
Caption6#0,"""Мои данные"""
Caption7#0,"""Меню перемещения"""
Caption8#0,"""Система"""
Caption9#0,"""Команда"""
Caption10#0,"""Событие"""
Caption11#0,"""Подготовка"""
Caption12#0,"""Персональное меню"""
Caption13#0,"""Настройка фото"""
Caption14#0,"""Группа"""
CustomizeGuide#0,"""<%MultiSelect><c f0df60> Изменить шаблон"""
CustomizeGuideVita#0,"""<pict Sign_TRIANGLE><c f0df60> Изменить шаблон"""
ConfirmHideInterface#0,"""UIを非表示にします。<br>※クイックメニュー表示時に復帰（仮）"""
Title_chatmenu#0,"""Использовать быстрые команды"""
InChallengeShip_DirectBuy_ErrorTitle#0,"""Ошибка покупки"""
InChallengeShip_NotPremium_ErrorMessage#0,"""選択した機能の利用権をお持ちでないか、<br>利用期限が切れています。<br><br>チャレンジブロックとバトルブロックでは<br><yellow>「プレミアムセット」<c>の購入はできません。<br>上記以外のブロックにてご購入ください。"""
QuickMenu_PatternEdit_Menu#0,"""Настройка шаблонов"""
QuickMenu_PatternSelect#0,"""Выбор шаблона"""
QuickMenu_PatternDetail#0,"""Инфо шаблона"""
QuickMenu_ListNumber#0,"""$(1) / $(0)"""
QuickMenu_PatternEdit#0,"""Редактрировать"""
QuickMenu_MenuList#0,"""Список пунктов"""
QuickMenu_PatternInactive#0,"""Скрыть"""
QuickMenu_PatternActive#0,"""Принять"""
QuickMenu_PatternNameEdit#0,"""Редактировать название"""
QuickMenu_PatternInitialize#0,"""Сброс до стандартной"""
QuickMenu_PatternInactive_Text#0,"""\""$(0)\"" скрыт в списке."""
QuickMenu_PatternActive_Text#0,"""\""$(0)\"" активен."""
QuickMenu_PatternInitialize_Text1#0,"""Желаете сбросить \""$(0)\""?<br>Будет сброшены настройки<br>и название шаблона."""
QuickMenu_PatternInitialize_Text2#0,"""\""$(0)\"" сброшен до стандартного."""
QuickMenu_PatternRename_Text1#0,"""Изменено название"""
QuickMenu_PatternRename_Text2#0,"""Идёт переименовка \""$(0)\"".<br><br>Введите новое имя."""
QuickMenu_MenuAdd_Menu#0,"""Добавть пример"""
QuickMenu_MenuSwap#0,"""Заменить"""
QuickMenu_MenuSort#0,"""Сортировать"""
QuickMenu_MenuDelete#0,"""Убрать"""
QuickMenu_MenuAdd_Text1#0,"""Нельзя добавить пункт по причине добавления максимального количества пунктов для данного шаблона."""
QuickMenu_MenuAdd_Text2#0,"""Достигнуто максимальное количество пунктов для данного шаблона. Нельзя добавть больше."""
QuickMenu_PremiumExpired_Text1#0,"""Срок действия премиум набора истёк. Быстрое меню сброшено до \""Основного типа\""."""
QuickMenu_Edit_Text1#0,"""Не относящийся к категории пункт перемещён в верх.<br><br>Перед сохранением шаблона, вы должны разместить пункт категории в верху списка."""
QuickMenu_Cancel_Text1#0,"""Желаете завершить редактирование и вернуться к предыдущему паттерну?"""
QuickMenu_SaveError_Text1#0,"""Нельзя сохранить пустой шаблон."""
QuickMenu_SaveError_Text2#0,"""Не относящийся к категории пункт перемещён в верх.<br><br>Перед сохранением шаблона, вы должны разместить пункт категории в верху списка."""
QuickMenu_SaveError_Text3#0,"""Два или более пункта категории находятся внизу списка.<br><br>Перед сохранением шаблона, вы должны убедиться, что под каждым пунктом категории есть пункт, не относящийся к категории."""
QuickMenu_SaveError_Text4#0,"""Невозможно сохранить шаблон, содержащий только категории элементов.<br><br>Перед сохранением добавьте элементы, не входящие в категорию."""
QuickMenu_SaveConfirm_Text1#0,"""Данный пункт уже присутствует в вашем шаблоне. Всё равно добавить?"""
QuickMenu_SaveConfirm_Text2#0,"""Функция \""$(0)\"" не поддерживается на данной платформе. Даже добавив её в быстрое меню, вы не сможете ей воспользоваться.<br><br>Желаете добавить?"""
QuickMenu_SaveConfirm_Text3#0,"""Желаете добавть \""$(0)\""<br>в быстрое меню？"""
QuickMenu_ListTab_Text0#0,"""Всё"""
QuickMenu_ListTab_Text1#0,"""Только быстрое меню"""
QuickMenu_ListTab_Text2#0,"""Задачи / Квесты"""
QuickMenu_ListTab_Text3#0,"""Снаряжение / Подпалитра"""
QuickMenu_ListTab_Text4#0,"""Общение"""
QuickMenu_ListTab_Text5#0,"""Чат"""
QuickMenu_ListTab_Text6#0,"""Персональное"""
QuickMenu_ListTab_Text7#0,"""Магазин"""
QuickMenu_ListTab_Text8#0,"""Система"""
QuickMenu_ListTab_Text9#0,"""Переключение страниц шаблонов слов"""
QuickMenu_ListTab_Text10#0,"""Использование шаблона слова"""
QuickMenu_ListTab_Text11#0,"""Переключение камеры/света"""
QuickMenu_ListTab_Text12#0,"""Движения"""
QuickMenu_ListTab_Text13#0,"""Категория"""
Caption15#0,"""Меню снаряжения"""
Caption16#0,"""Персональное меню"""
Caption17#0,"""Меню штампов"""
Caption18#0,"""Меню задач"""
Caption19#0,"""Меню чата"""
Caption20#0,"""Меню магазина"""
Caption21#0,"""Отображаемое меню"""
Caption22#0,"""Меню платформы"""
Caption23#0,"""Меню"""
EditSave#0,"""Сохранить"""
EditCancel#0,"""Отменить"""
EditTitle#0,"""Изменить шаблон быстрого меню"""
LobbyActionText#0,"""<%NextTabDetails><yellow>Выбрать избранное<c>"""
VITA_LobbyActionText#0,"""<pict Sign_select><yellow>Выбрать избранное<c>"""
VITA_FavoritesSwitching#0,"""<pict Sign_select>Переключить избранное/Всё"""
LobbyAction_TypeA#0,"""<pict Key_SHIFT>+[ЛКМ]<yellow>Альт. действие<c>"""
LobbyAction_TypeB#0,"""<%Function>+<%Decide><yellow>Альт. действие<c>"""
LobbyAction_TypeC#0,"""<pict Sign_TRIANGLE>+<pict Sign_CIRCLE><yellow>Альт. действие<c>"""
MapCommand_Item2_1#0,"""Скрыть карту области"""
MapCommand_Item2_2#0,"""Показать карту области"""
Installation#0,"""Установить Маркер группы"""
Removal#0,"""Убрать Маркер группы"""
PresetName0#0,"""Основной тип"""
PresetName1#0,"""01. Разнообразный"""
PresetName2#0,"""02. Общение"""
PresetName3#0,"""03. Одиночная игра"""
PresetName4#0,"""04. Игра в нескольких группах"""
PresetName5#0,"""05. Движения"""
PresetName6#0,"""06. Предметы"""
PresetName7#0,"""07. События"""
PresetName8#0,"""08. Обучение"""
PresetName9#0,"""09. Выделенное меню"""
PresetName10#0,"""10. Фотография"""
PresetName11#0,"""Тип общения"""
QuickMenu_PatternDefaultName#0,"""Заготовленный шаблон $(0)"""
QuickMenu_PatternDefaultName1#0,"""Заготовленный шаблон 1"""
QuickMenu_PatternDefaultName2#0,"""Заготовленный шаблон 2"""
QuickMenu_PatternDefaultName3#0,"""Заготовленный шаблон 3"""
QuickMenu_PatternDefaultName4#0,"""Заготовленный шаблон 4"""
VITA_Shortcut_Title#0,"""ショートカット一覧"""
VITA_Tab_Symbol#0,"""シンボルアート"""
VITA_Tab_Chat#0,"""チャット"""
SubWindowChange1#0,"""<pict Sign_TRIANGLE>Переключение"""
VITA_Target#0,"""Чат: """
SubWindowChange2#0,"""<%Function>Переключение"""
StartChat#0,"""Начать общение"""
UserCommand_Item1#0,"""Смена отобр. над головой персонажа"""
UserCommand_Item2#0,"""Изменить онлайн статус"""
UserCommand_Item4#0,"""Изменить расстояние камеры"""
OverheadDisplay_NoSENID#0,"""Ничего"""
OverheadDisplay_Item1#0,"""Не отображать"""
OverheadDisplay_Item2#0,"""Имя персонажа"""
OverheadDisplay_Item3#0,"""Ур. класса/Имя персонажа"""
OverheadDisplay_Item4#0,"""“PSN” онлайн ID/ID имя игрока"""
OverheadDisplay_Item5#0,"""Имя Player ID"""
OverheadDisplay_Item6#0,"""Имя Player ID/Имя персонажа"""
OverheadDisplay_Item7#0,"""ID игрока"""
OverheadDisplay_Item8#0,"""Имя персонажа/HP бар (квесты)"""
OverheadDisplay_Item9#0,"""Выбранные титулы/Имя персонажа"""
OverheadDisplay_Item10#0,"""Название команды/Ранг команды"""
OverheadDisplay_Item11#0,"""Название команды/Имя персонажа"""
OverheadDisplay_Item12#0,"""Имя персонажа (кроме вашего)"""
Camera_Item1#0,"""Ближе к персонажу"""
Camera_Item2#0,"""Дальше от персонажа"""
TagName#0,"""：$(0)"""
TitleNon#0,"""Без титула"""
GuildNon#0,"""Без команды"""
OverheadDisplay_Item13#0,"""Имя персонажа/HP・PP бар (квест)"""
OverheadDisplay_Item14#0,"""Имя корабля/Имя персонажа"""
