r01_gd_flo_wi#0,"""Fuwan"""
Ice01#0,"""Barta"""
Ice02#0,"""Gibarta"""
Thunder01#0,"""Zonde"""
Thunder02#0,"""Gizonde"""
WandPA01#0,"""Swift Smash"""
WandPA02#0,"""Wave Crash"""
TalisPA01#0,"""Convergence Shot"""
TalisPA02#0,"""Spread Shot"""
KatanaPA01#0,"""Silverleaf Storm"""
KatanaPA02#0,"""Iris Gale"""
KatanaPA03#0,"""Lotus Lightning"""
CompoundBowPA01#0,"""Flex Arrow"""
CompoundBowPA02#0,"""Frenzied Firework"""
CompoundBowPA03#0,"""Dimensional Ray"""
SwordPA01#1,"""Sword Photon Art.<br>Se eleva con un corte vertical, ascenso en espiral.<br>La carga aumenta la potencia."""
SwordPA02#1,"""Sword Photon Art.<br>Se eleva con un corte horizontal, ascenso en espiral.<br>La carga aumenta el número de giros."""
SwordPA03#1,"""Sword Photon Art.<br>Desata un potente corte.<br>Puede atacar hasta 3 veces pulsando <br>el botón PA después del corte. <br>Cargar los ataques aumentará <br>el número de golpes de cada uno de ellos"""
WlancePA01#1,"""Wired Lance Photon Art.<br>Lanza un ataque amplio frente a ti repetidamente"""
WlancePA02#1,"""Wired Lance Photon Art.<br>Gira y atraviesa a los enemigos antes de<br>soltar un poderoso golpe final.<br>Puede usarse en movimiento"""
WlancePA03#1,"""Wired Lance Photon Art.<br>Lanza un corte vertical mientras gira agresivamente"""
PartisanPA01#1,"""Partisan Photon Art..<br>Acaba rápidamente con los enemigos que tienes delante.<br>Carga para lanzar un ataque alternativo"""
PartisanPA02#1,"""Partisan Photon Art.<br>Lanza el arma a un objetivo después de un empuje.<br>Mantén pulsado el botón PA para empujar hasta que <br>se agoten tus PP"""
PartisanPA03#1,"""Partisan Photon Art.<br>Ataca a los enemigos circundantes haciendo girar el arma. <br>Carga para lanzar un ataque alternativo"""
TdaggerPA01#1,"""Twin Daggers Photon Art.<br>Acércate al enemigo mientras giras y <br>desata una ráfaga de ataques relámpago"""
TdaggerPA02#1,"""Twin daggers Photon art.<br>Desarrolla una onda de choque tras saltar hacia delante"""
TdaggerPA03#1,"""Twin daggers Photon art.<br>Atraviesa a los enemigos con innumerables golpes tras una rápida puñalada"""
DsaberPA01#1,"""Double Saber Photon Art.<br>Se acerca rápidamente a un enemigo y desencadena una cadena de golpes.<br>Genera un torbellino cuando se usa."""
DsaberPA02#1,"""Double Saber Photon Art.<br>Realiza un ataque de barrido después de que tus armas arrojadizas ataquen a los enemigos circundantes.<br>Genera un torbellino cuando se usa."""
DsaberPA03#1,"""Double Saber Photon Art.<br>Realiza un tornado mientras te mueves hacia atrás <br>después de un rápido barrido lateral.<br>Genera un torbellino cuando se usa"""
KnucklePA01#1,"""Knuckles Photon Art.<br>Desata un poderoso golpe tras dar un puñetazo a la izquierda y a la derecha"""
KnucklePA02#1,"""Knuckles Photon Art.<br>Aplasta a un enemigo con innumerables golpes <br>antes de desatar un poderoso corte superior"""
KnucklePA03#1,"""Knuckles Photon Art.<br>Salta hacia delante con un puñetazo antes de desatar innumerables golpes"""
RiflePA01#1,"""Photon Art Assault Rifle.<br>Dispara proyectiles que explotan al impactar con el enemigo.<br>Los proyectiles entran en espiral y penetran en los objetivos al cargar"""
RiflePA02#1,"""Photon Art Assault Rifle.<br>Dispara balas especiales que rastrean a varios<br>enemigos en tu campo de visión al cargar"""
RiflePA03#1,"""Photon Art Assault Rifle.<br>Dispara una andanada de alta velocidad tras una esquiva.<br>Al mantener pulsado el botón PA,<br>seguirá disparando hasta que se agote el PP"""
LauncherPA01#1,"""Launcher Photon Art.<br>Suelta un proyectil explosivo delante de ti."""
LauncherPA02#1,"""Launcher Photon Art.<br>Dispara un láser de fotones de alta potencia. Al pulsar y <br>mantener pulsado el botón PA, seguirá <br>disparando hasta que se agoten los PP. Un ataque de seguimiento se <br>añade cuando se utiliza de forma continua durante una cierta cantidad de tiempo."""
LauncherPA03#1,"""Lanzador Photon Art.<br>Dispara una andanada continua de proyectiles explosivos que terminan en una<br>devastadora explosión.<br>Puede dispararse en movimiento o inmóvil."""
MachinegunPA01#1,"""Photon Art Twin Machine Guns<br>Lanza un potente disparo de enfoque tras perder el fuego de forma intermitente.<br>La carga aumenta la potencia."""
MachinegunPA02#1,"""Photon Art Twin Machine Guns<br>Pulveriza a los enemigos circundantes con una lluvia de balas mientras das vueltas y vueltas.<br>Cargarla aumenta la potencia"""
MachinegunPA03#1,"""Photon Art Twin Machine Guns<br>Acércate rápidamente a los enemigos y golpéalos con una potente ráfaga.<br>Cargarla aumenta la potencia"""
Fire01#1,"""Técnica de fuego<br>Lanza una bola de fuego delante de ti.<br>Carga para lanzar un ataque alternativo"""
Fire02#1,"""Técnica de fuego<br>Crea un vórtice de llamas a tu alrededor.<br>Carga para lanzar un ataque alternativo"""
Ice01#1,"""Técnica de hielo<br>Crea una reacción de fotones que<br>forma y libera un racimo de hielo.<br>Cargarla aumenta la potencia"""
Ice02#1,"""Técnica de hielo<br>Lanza una hoja de hielo delante de ti.<br>Cargarla aumenta la potencia"""
Thunder01#1,"""Técnica Electrica<br>Lanza un rayo delante de ti.<br>cargala aumenta la potencia"""
Thunder02#1,"""Técnica Electrica<br>Lanza un racimo esférico de energía<br>en el aire y descarga a los enemigos circundantes de forma intermitente.<br>Cárgalo para lanzar un ataque alternativo"""
WandPA01#1,"""Wand Photon Art.<br>Acércate rápidamente a un enemigo para asestarle un golpe devastador.<br>Cargarla aumenta la potencia."""
WandPA02#1,"""Wand Photon Art.<br>Golpea con tu arma en el suelo y ataca generando <br>una onda de choque que se extiende por una amplia zona"""
TalisPA01#1,"""Talis Photon Art<br>Descarga fotones a tu paso y despliega el Talis.<br>Las técnicas se alterarán durante el despliegue del Talis"""
TalisPA02#1,"""Talis Photon Art<br>Despliega el Talis después de acribillar a los enemigos que te rodean<br>soltando fotones.El despliegue del Talis se alterará dependiendo <br>del estado del ataque. Además, la técnica se alterará durante el <br>despliegue"""
KatanaPA01#1,"""Katana Photon<br>Lanza un corte hacia delante tras un desenvainado rápido de la katana.<br>Si se usa varias veces, libera ataques alternativos"""
KatanaPA02#1,"""Katana Photon<br>Acaba con los enemigos cercanos tras un desenvainado rápido de la katana.<br>Múltiples usos liberan ataques alternativos"""
KatanaPA03#1,"""Katana Photon<br>Lanza múltiples ondas de choque en línea recta tras cargar tu Katana.<br>Múltiples usos liberan ataques alternativos."""
CompoundBowPA01#1,"""Bow Photon Art<br>Dispara flechas de regreso.<br>Se puede cargar hasta dos niveles de potencia para liberar diferentes<br>ataques"""
CompoundBowPA02#1,"""Bow Photon Art<br>Esparce flechas por todas partes cuando golpeas a un enemigo.<br>Cárgalo para lanzar un ataque alternativo"""
CompoundBowPA03#1,"""Bow Photon Art<br>Un arco de una dimensión alternativa dispara flechas hacia abajo<br>sobre los enemigos. Al cargarlo y soltarlo, se almacenan hasta 5 ataques dirigidos, que se desencadenan de uno en uno, después de que se consigan impactos con otras Photons Arts"""
TypeNon#0,"""None"""
TypeNoUse#0,"""Photon Blast"""
Type1_1#0,"""Helix-roi"""
Type1_2#0,"""Helix-Imera"""
Type1_3#0,"""Helix-Nifta"""
Type2_1#0,"""Ajax-Proi"""
Type2_2#0,"""Ajax-Imera"""
Type2_3#0,"""Ajax#-Nifta"""
Type3_1#0,"""Cetus-Proi"""
Type3_2#0,"""Cetus-Imera"""
Type3_3#0,"""Cetus-Nifta"""
Type4_1#0,"""Julius-Proi"""
Type4_2#0,"""Julius-Imera"""
Type4_3#0,"""Julius-Nifta"""
Type5_1#0,"""Troy-Proi"""
Type5_2#0,"""Troy-Imera"""
Type5_3#0,"""Troy-Nifta"""
TypeNon#1,"""None"""
TypeNoUse#1,"""No puedes usar Photon Blast en este momento.<br>Equipa un mag que haya aprendido Photon Blast."""
Tipo1_1#1,"""Invoca a un avatar de Helix, el imperturbable.<br>Desata un ataque rápido contra los objetivos mientras<br>está envuelto en fotones."""
Type1_2#1,"""Invoca un avatar de Helix, el imperturbable.<br>Avanza rápidamente hacia un objetivo y luego<br>invoca una ráfaga de rayos a su alrededor."""
Type1_3#1,"""Invoca a un avatar de Helix, el imperturbable.<br>Atropella a un objetivo repetidamente, y luego utiliza su peso<br>para aplastar al enemigo con un ataque de pisoteo."""
Type2_1#1,"""Invoca un avatar de Ajax, el inflexible.<br>Dispara una serie de disparos explosivos en una amplia zona<br>delante de él."""
Type2_2#1,"""Invoca a un avatar de Ajax, el inflexible.<br>Dispara máscaras de fotones desde su cabeza que llueven en la zona seleccionada."""
Type2_3#1,"""Invoca a un avatar de Ajax, el inflexible.<br>Dispara con alas que cobran vida propia y atacan a los objetivos."""
Tipo3_1#1,"""Invoca a un avatar de Cetus, el inquebrantable.<br>Excita fotones atmosféricos para aumentar la cantidad de PP recuperada."""
Type3_2#1,"""Invoca a un avatar de Cetus, el que no cambia.<br>Bombardea un área frente a él con láseres de<br>fotones condensados."""
Type3_3#1,"""Invoca a un avatar de Cetus, el inquebrantable.<br>Excita la actividad fotónica para invocar poderosas<br>ráfagas de rayos."""
Type4_1#1,"""Invoca un avatar de Julius, el inquebrantable.<br>Se dirige hacia un objetivo y desata una ráfaga de golpes con sus numerosos brazos."""
Type4_2#1,"""Invoca a un avatar de Julius, el inquebrantable.<br>Desata un feroz ataque con sus cuernos que<br>seguro que derriba al objetivo."""
Type4_3#1,"""Invoca a un avatar de Julius, el inquebrantable.<br>Restringe y aplasta a los enemigos en la zona elegida con un campo hipergravitatorio."""
Type5_1#1,"""Invoca un avatar de Troya, el inquebrantable.<br>Se vincula y ataca a los objetivos en tándem con su<br>propietario."""
Type5_2#1,"""Invoca a un avatar de Troya, el irrompible.<br>Desata una onda de choque bisectriz de una<br>masiva espada contra el objetivo elegido por su dueño."""
Type5_3#1,"""Invoca a un avatar de Troya, el irrompible.<br>Llama a una venganza despiadada desde el espacio<br>sobre el objetivo elegido por su dueño."""
PetPALearn#0,"""$(1) aprendido $(0)."""
PetPALevelUp#0,"""$(2)'s $(1) ha alcanzado el nivel $(0)."""
PetUnequipped#0,"""No se ha establecido ninguna mascota en Harmonizer"""
Npc_7001#0,"""Manon"""
Npc_7002#0,"""Aina"""
Npc_7003#0,"""Garoa"""
Npc_7004#0,"""Crawford"""
Npc_7005#0,"""Dozer"""
Npc_7006#0,"""Ran"""
Npc_7007#0,"""Liu Lin"""
Npc_7008#0,"""Rossa"""
Npc_7009#0,"""Oranje"""
Npc_7010#0,"""Nadereh"""
AutorunToast1#0,"""Iniciando la ejecución automática."""
Toast_Defend#0,"""El daño recibido se reduce debido a la diferencia de nivel"""
MoonAtmizerToYou#0,"""te han revivido con un objeto"""
ResurrectToYou#0,"""te ha revivido"""
<GatlingGun>EquippingEnd#0,"""Desequipar"""
<GatlingGun>AttackGun#0,"""Fuego Rápido"""
<GatlingGun>AttackRailgun#0,"""Carga de Blaster"""
<GatlingGun>AttackJet#0,"""Burst Glider"""
HealTankRecast#0,"""Restasigne"""
RecoveryMoonAtomizerRecast#0,"""Reversasigne"""
RideTimeAlert1#0,"""<yellow>Tiempo de uso restante: $(0) segundos<c>"""
RideTimeAlert2#0,"""<red>Tiempo de uso restante: $(0) segundos<c>"""
