Window_Titletelop_Exchange_General#0,"""Item Exchange Shop"""
WarehouseAddition02_sell#0,"""<pict wh_extend2_icon> Vender desde el Expansion Storage 2"""
WarehouseAddition03_sell#0,"""<pict wh_extend3_icon> Vender desde el Expansion Storage 3"""
WarehouseAddition04_sell#0,"""<pict wh_extend4_icon> Vender desde el Expansion Storage 4"""
WarehouseAddition05_sell#0,"""<pict wh_extend5_icon> Vender desde el Expansion Storage 5"""
WarehouseAddition06_sell#0,"""<pict wh_extend6_icon> Vender desde el Expansion Storage 6"""
WarehouseDrop_sell#0,"""Vender desde el Quest Storage"""
WarehousePool_sell#0,"""<pict wh_pool_icon> クエスト倉庫 から売る"""
Bay#0,"""Comprar"""
Sell#0,"""Vender"""
BayBuck#0,"""Comprar de nuevo"""
Buck#0,"""Volver"""
Decision#0,"""Confirmar"""
Recommended#0,"""Recomendación"""
