Hypotension#0,"""Madrugador"""
MsgErrorAddNotListed#0,"""Se ha detectado que has obtenido una carta de aliado que no está permitida en tu lista de aliados."""
Healing#0,"""Reanimación"""
Valor#0,"""Listo para la guerra"""
Guardian#0,"""Defensa total"""
Meddler#0,"""Furia"""
Savior#0,"""Recuperación y apoyo"""
FavHuman#0,"""Amante de los humanos"""
FavCast#0,"""Amante del CAST"""
FavNewman#0,"""Amante de Newman"""
FavDewman#0,"""Amante de Deuman"""
FavMale#0,"""Perseguidor de hombres"""
FavFemale#0,"""Perseguidor de faldas"""
Troublemaker#0,"""Maestro de la condición"""
5001#0,"""Llámame si alguna vez te metes en problemas.<br>¡Eso es lo que hace un veterano de la operación ARKS!"""
5002#0,"""Soy un operador de ARKS como todos los demás, así que puedes llamarme cuando quieras, ¿de acuerdo?"""
5003#0,"""¡Hola, amigo! ¡Me gustaría pensar que somos lo suficientemente buenos<br>amigos como para que me llames siempre que lo necesites!"""
5007#0,"""...Incluso en mi estado actual,<br>cuando lo desees,<br>estaré encantado de ayudarte."""
5008#0,"""Si puedo serte útil, ¡sólo tienes que pedirlo!"""
5009#0,"""Sólo me interesa la investigación,<br>pero eso no significa que no me acompañe si me invitas."""
5010#0,"""Uh... uhhm... Aunque me llames, <br>puede que no pueda hacer nada..."""
5013#0,"""Pati de PaTia, el equipo de inteligencia estrella de ARKS, ¡a tu servicio! ¡Estoy<br>siempre dispuesta a todo cuando me llames!"""
5014#0,"""Tia de PaTia, el equipo de inteligencia estrella de ARKS, a tu servicio."""
5018#0,"""Todo con moderación, ¿sabes? <br>¡No nos presionemos más de lo necesario!<br>Se hace con calma."""
5019#0,"""...Llámame cuando quieras.<br>Te mostraré el verdadero poder de una Fuerza."""
5020#0,"""¡Llámame cuando quieras! <br>¡Te mostraré el poder de un Cazador!"""
5021#0,"""Heh heh... Si alguna vez necesitas mi ayuda, <br>¡puedes llamarme cuando quieras! Yo mismo he <br>pasado algún tiempo en el campo de batalla..."""
5022#0,"""Oh, ¿te vas a algún sitio?<br>¿Y quieres que te acompañe?<br>¡Claro! ¡Estoy listo para ir en cualquier momento!"""
5026#0,"""¡Asegúrate de invitarme cuando salgas a KILL KILL KILL! ¿De acuerdo? Lo prometes, ¿verdad?"""
5054#0,"""Soy el Instructor de Combate Joseph.<br>Me he recuperado completamente y espero<br>que haya futuras aventuras."""
5057#0,"""Soy la instructora de combate Bárbara. <br>No encontrarás ningún respiro en el campo de batalla, <br>así que tampoco lo encontrarás en mí."""
5059#0,"""No estoy buscando un amigo;<br>Todo lo que quiero es matar a Falspawn.<br>¡No es necesario que sigas curioseando!"""
5062#0,"""No creo que tenga lo que hay que tener,<br>pero si me invitas...<br>¡Lo daré todo!"""
5063#0,"""Puede que sea inexperto y no tenga experiencia,<br>pero me esforzaré por ser más como tú! <br>¡Gracias por tu guía y tu ánimo!"""
5066#0,"""Te debo mucho.<br>Llámame siempre que me necesites,<br>y haré todo lo posible por ayudarte."""
5068#0,"""＊＊＊"""
5069#0,"""＊＊＊"""
5083#0,"""Llámame si alguna vez te metes en problemas.<br> ¡Eso es lo que hace un veterano de la operación ARKS!"""
5086#0,"""No creo que sea un gran sustituto de <br>Zeno, pero lo intentaré igualmente, así que <br>llámame cuando quieras."""
5087#0,"""Todavía estoy un poco verde, pero como <br>el valiente número uno, puedes apostar que daré el 110% siempre."""
5091#0,"""No pienso ponerte la zancadilla, jefe, así que llámame cuando me necesites."""
5108#0,"""Espero que me llames siempre que<br>necesites mi poder.<br>Mi espada está siempre afilada y a punto."""
5125#0,"""＊＊＊"""
5126#0,"""Temporary"""
5127#0,"""Temporary"""
5128#0,"""Temporary"""
5135#0,"""Temporary"""
5150#0,"""¡Soy Katori, y estoy a cargo de administrar el examen de <br>Bouncer! Si lo deseas, ¡te acompaño a cualquier sitio!"""
5151#0,"""¡Soy Saga, y estoy a cargo de administrar la prueba de <br>Bouncer! Participar en las misiones es una gran oportunidad para<br>recopilar datos. Espero que me invites alguna vez"""
5153#0,"""Lo que viste no era mi poder. Pero si mi<br>poder te sirve de algo, puedes llamarme<br>cuando quieras. Vendré corriendo."""
5185#0,"""Um, ¿qué debo escribir en la tarjeta de socio...<br>Oh, ¿eh? ¿Esto también está ya rellenado?<br>Bueno, um... ¡llámame cuando quieras!"""
5186#0,"""¡Soy Klariskrays del Consejo de los Seis! <br>¡Si alguna vez necesitas algo, sólo tienes que decirlo! <br>¡Iré corriendo en tu ayuda!"""
5188#0,"""Puede que sea poco fiable, <br>pero como tengo más antigüedad que tú, <br>puedes confiar en mí siempre que estés en problemas!"""
5194#0,"""Ya no puedo decir eso no tiene nada que ver conmigo <br>porque me has ayudado con <br>mucho! Así que llámame cuando quieras."""
5200#0,"""Por favor, permite que mi poder te sea de utilidad.<br>¡Iré corriendo a unirme a ti en cualquier momento!"""
5201#0,"""Si alguna vez necesitas mi poder,<br>¡vendré corriendo para unirme a ti en cualquier momento!"""
5206#0,"""Llámame cuando quieras.<br> Estaré encantado de unirme a ti."""
5207#0,"""Vendré corriendo siempre que lo desees.<br>¡No seas tímido, llámame!"""
5209#0,"""...Incluso en mi estado actual,<br>cuando lo desees,<br>estaré encantado de ayudarte."""
5210#0,"""¡Hola, amigo! ¡Me gustaría pensar que somos lo suficientemente<br>amigos como para que me llames siempre que lo necesites!"""
5213#0,"""Ya he confiado mucho en ti,<br>así que tú también puedes empezar a confiar más en mí.<br>¡Eso es una promesa, <br>! """
5220#0,"""Soy Karen Erra. Quiero usar este poder mío para proteger a todos. Llámame cuando quieras."""
5221#0,"""¡Soy yo, Ethan Waber, a tu servicio! <br>¡Si alguna vez me llamas, iré corriendo cuando quieras! ¡Espero tu llamada!"""
5222#0,"""Has sido de gran ayuda para mí;<br>¡Siéntete libre de llamarme cuando quieras!<br>¡No tienes que ser tímido ni nada!"""
5241#0,"""＊＊＊"""
5242#0,"""¡Hay una conexión entre tú y yo, mon ami! <br>¡Llámame cada vez que estés en problemas! <br>¡Eso es lo que mis queridos esperan también!"""
5244#0,"""＊＊＊"""
5227#0,"""¡Puedes llamarme cuando quieras! <br>Te recompensaré adecuadamente por toda tu ayuda."""
5230#0,"""＊＊＊"""
5272#0,"""Ya nadie me llamará una carga.<br>¡Por favor, invítame siempre que lo necesites, señor!"""
5288#0,"""No creo que tenga lo que hay que tener,<br>pero si me invitas...<br>¡Lo daré todo!"""
5289#0,"""Puede que sea inexperto y no tenga experiencia,<br>pero me esforzaré por ser más como usted! <br>¡Gracias por su guía y ánimo!"""
5306#0,"""Puede que aún sea inexperto, <br>pero haré lo posible por ayudarte! <br>¡Por favor, llámame cuando quieras!"""
5292#0,"""¡Soy Klariskrays III! ¡Puede que sea un Teniente de la Oficina de Combate, pero llámame en cualquier momento y vendré <br>corriendo en tu ayuda inmediatamente!"""
5293#0,"""Me han hecho teniente de la Oficina de Asuntos Generales, pero sigo siendo el mismo. Puedes llamarme cuando quieras."""
5254#0,"""Soy Aika. Estoy asignada a la Oficina de Inteligencia, pero no dejes que eso te desanime. Me encantaría que te sintieras libre de llamarme cuando me necesites."""
5314#0,"""Um... Soy RINA.<br> Dedicaré todos mis esfuerzos<br>a serle útil."""
5315#0,"""Soy SORO.<br>Algunas personas me llamarían distante, pero<br>llámame como quieras."""
5316#0,"""He podido aprender mucho<br>a través de PSO2. No es que esto me devuelva ningún<br>favor, pero aun así me gustaría que me dejaras ayudarte."""
5318#0,"""Hace tiempo que no juego a PSO2, <br>así que vuelvo a sumergirme para divertirme<br>¡Espero verte por aquí!"""
5319#0,"""Me he enterado por el Presidente que <br>hay escasez de personal...<br>Pero puedo ayudar si no me retenéis mucho tiempo."""
5320#0,"""¡Me llamo Koa! Encantado de conocerte! <br>Ya que somos compañeros, ¿por qué no emprendemos juntos este viaje de aventuras sin fin?"""
5323#0,"""Soy Musashi. No me importa echarte una mano, si quieres. Pero será mejor que no te metas en mi camino."""
5321#0,"""Mi nombre es Yumiko. Si me llamas, me apresuraré a unirme a ti en cualquier momento. Espero tu llamada."""
5322#0,"""¡Soy yo, el Último Samurai! <br>Si alguna vez necesitas ayuda, llámame en cualquier momento!"""
5346#0,"""Llámame siempre que necesites mi poder."""
5347#0,"""Llámame cuando estés en un aprieto.<br>Te ayudaré."""
5348#0,"""¡Llámame siempre que lo necesites! <br>¡No hay que ser tímido al respecto!"""
5349#0,"""¡Llámame si surge algo! <br>¡Me apresuraré a ir a tu lado!"""
5363#0,"""Por favor, llámame siempre que necesites mi poder.<br>Iré corriendo a ayudarte."""
5378#0,"""Si crees que soy lo suficientemente bueno... Te ayudaré.<br>Llámame siempre que tengas problemas."""
5407#0,"""Puede que aún sea inexperto,<br>pero haré lo posible por ayudarte.<br>¡Llámame cuando quieras!"""
5408#0,"""No estás siendo demasiado imprudente, ¿verdad? <br>Porque sabes que puedes confiar en mí <br>cuando sea, ¿verdad?"""
5409#0,"""Soy Enga Yasaka de los Guías de la Tierra.<br>Siéntete libre de llamarme cuando quieras.<br>Siempre estaré en deuda contigo."""
5410#0,"""Has sido de gran ayuda tanto para mí como para Hitsugi.<br>Si alguna vez me necesitas, ¡llámame cuando quieras!<br>Pero, eh... no soy tan fuerte."""
5411#0,"""Si alguna vez necesitas mi poder, ¡vendré<br>a ayudarte en cualquier momento! Puede que ahora esté en la Tierra, pero no seas tímido al respecto, ¿de acuerdo?"""
5412#0,"""Soy Laia Martínez,<br>Presidenta de los GUARDIANES.<br>Si lo que necesitas es poder, llámame cuando quieras."""
5223#0,"""Soy Lumia Waber de la Oficina de Investigación General de los GUARDIANES.<br>Espero trabajar con usted."""
5443#0,"""＊＊＊"""
5444#0,"""＊＊＊"""
5445#0,"""＊＊＊"""
5437#0,"""Me llamo Stratos, de la Oficina de Combate de ARKS, Equipo de Nuevas Tácticas."""
5426#0,"""En pocas palabras, estoy hecho de puro poder.<br>Y si estás preparado para caminar conmigo,<br>entonces me convertiré en tu poder."""
5457#0,"""¿Sirve esto para una tarjeta de socio?<br>Es de gran ayuda que estés aquí.<br>¡Me encantaría que me llamaras alguna vez!"""
5427#0,"""¡Mis armas siempre dan en el blanco! <br>Llámame cuando me necesites.<br>¡Iré corriendo a acompañarte!"""
5428#0,"""¡Oye, no acapares toda la diversión! <br>¿No me llamarás alguna vez? <br>Hee hee... ¡Te haré pasar un buen rato!"""
5459#0,"""＊＊＊"""
5462#0,"""Puedo ayudarte con tus misiones<br>mientras busco a Papá Noel, así que<br>llámame cuando quieras."""
5463#0,"""Tanto si estoy buscando a Papá Noel como haciendo<br>una búsqueda, ¡siempre lo doy todo! <br>Así que llámame cuando quieras, ¿vale?"""
5478#0,"""Déjalo en mis manos, Och Miller, y no te equivoques, ¡cada misión será 100% exitosa! ¿El día de San Valentín? Eso no me importa."""
5483#0,"""La investigación y la experiencia son importantes para mi trabajo de <br>escritura. Quiero cubrir los acontecimientos locales para <br>el día de San Valentín, también. Te ayudaré si tú me ayudas a mí."""
5479#0,"""Estoy obligado a devolver cualquier favor que reciba. Llámame cuando quieras... ¿Quieres chocolates de mi parte?"""
5499#0,"""Puede que aún sea inexperto, pero haré todo lo posible para ayudarte. Por favor, llámame cuando quieras."""
5510#0,"""¡Comandante Huey de la Oficina de Combate de ARKS! <br>¡No dudes en llamarme si te metes en problemas! <br>Me uniré a ti en cualquier momento, incluso en traje de baño!"""
5519#0,"""Déjame mostrarte mi poder.<br>Y entonces... alguna vez, debemos batirnos en duelo..."""
5525#0,"""Mi espada del trueno es la justicia.<br>Si tu lucha es justa,<br>Cortaré a tus enemigos hasta el último hombre."""
5518#0,"""Quiero salir a buscar bonitas rocas.<br>¿Podrías... acompañarme?"""
5527#0,"""Espero tus órdenes.<br>No importa qué clase de enemigos haya...<br>¡Mira cómo los hago desaparecer de la faz del planeta!"""
5526#0,"""Aunque sea súper molesto...<br>Todavía puedo ayudarte si me lo pides...<br>Será mejor que seas agradecido, ¿de acuerdo?"""
5532#0,"""¡Soy Mágica ★ Xiera! <br>Estoy lista para hechizar a todos<br>con mi increíble magia ☆"""
5528#0,"""＊＊＊"""
5533#0,"""Yo también estoy cada vez más fuerte.<br>Te echaré una mano cuando sea... ¡incluso en Navidad!<br>¡Si esta ropa está bien, claro!"""
5534#0,"""Siempre me esfuerzo al máximo,<br>así que, por favor, invítame cuando quieras, ¡y<br>no tiene que ser en Navidad ni nada!"""
5543#0,"""¿Esta ropa que llevo tiene<br>algo que ver con el día de San Valentín?<br>Bueno, como sea, ¡haré lo posible por ser sociable!"""
5544#0,"""¡Si alguna vez necesitas mi ayuda, vendré corriendo! <br>¡No dudes en llamarme, amigo!"""
5566#0,"""¿Necesitas el poder del Lobo Negro? En ese caso,<br>también puedes aprender el horror del Fantasma."""
5570#0,"""Le deseo un buen día, Maestro.<br>Siempre estoy dispuesto a servirle.<br>¡Por favor, siéntase libre de llamarme cuando quiera!"""
5580#0,"""¿Necesitas que Tuna Buster y yo te ayudemos? <br>¡No tenemos problema en prestar una aleta o cuatro! <br>¡Te mostraremos el poder de un Guerrero del Atún!"""
5581#0,"""Estaré encantado de ayudar, si me aceptan. Fugi y Git pueden acompañarnos también, ¿verdad?"""
5582#0,"""¡Señor, sí, señor! ¡Puede que no sea digno,<br>pero siempre puedes contar con<br>Yasminokov 8000C!"""
5583#0,"""¡No puedes equivocarte con el uso de mi poder! Te echaré una mano como guardián de la madre naturaleza."""
5584#0,"""Llévame contigo. <br>Te prestaré mi fuerza.<br>Nuestros objetivos se alinean, después de todo."""
5587#0,"""Te debo mucho.<br>Llámame cuando me necesites,<br>y haré todo lo posible por ayudarte."""
5589#0,"""Puede que aún sea inexperto, <br>pero lo daré todo! <br>¡Por favor, llámame cuando quieras!"""
5590#0,"""Si crees que soy lo suficientemente bueno... Te ayudaré.<br>Llámame siempre que tengas problemas."""
5591#0,"""¡Oye, no acapares toda la diversión! <br>No dudes en llamarme.<br>Hee hee... ¡Te haré pasar un buen rato!"""
5597#0,"""¡Soy Mitarashi! Llámame si alguna vez vas a hacer misiones recomendadas o algo parecido. ¡Llaves de oro!"""
5598#0,"""Aquí Tetra. Te cubro las espaldas.<br>¡Oh, y avísame si alguna vez<br>quieres hacer una sesión fotográfica de capturas de pantalla!"""
5599#0,"""Puedes llamarme cuando quieras, ¿de acuerdo? <br>Cuando lo hagas, desataré mi verdadero poder... ¡sólo apunta y yo haré el resto!"""
5620#0,"""Que un Guardián me deba una no parece un mal trato. Te ayudaré."""
5621#0,"""Por favor, no dudes en llamarme en cualquier momento<br>si necesitas mi ayuda."""
5624#0,"""Haré todo lo posible para ser un héroe de San Valentín, <br>protegiendo la paz y el chocolate por igual<br>¡Llámame cuando quieras!"""
5625#0,"""El Lobo Negro prestando sus habilidades a alguien de tu calibre... Heh.<br>Qué cosas tan perversas podríamos lograr."""
Pure#0,"""Si alguna vez me necesitas, <br>te prestaré mi poder cuando quieras."""
Bracing#0,"""Por favor, no dudes en llamarme<br>cuando necesites mi poder."""
Cool#0,"""¡Yo también me esforzaré al máximo! <br>Así que por favor... llámame cuando quieras."""
Pride#0,"""Si necesitas mi poder, llámame en cualquier momento.<br>Iré contigo a cualquier lugar."""
Naughty#0,"""¡Siempre estoy listo para la acción!"""
Urbane#0,"""Me apresuraré a acudir en tu ayuda, cuando sea y donde sea.<br>No dudes en llamarme."""
Noisy#0,"""¡Llámame cuando quieras! <br>¡Vendré corriendo al instante!"""
Sharp#0,"""...Llámame en cualquier momento.<br>Esa es la razón por la que estoy aquí."""
Boyish#0,"""¡Iré corriendo en tu ayuda en cualquier momento!<br>¡Estoy esperando saber de ti!"""
