Symbol_Common_ID#0,"""ID de la pieza"""
CreateForm_Menu_View#0,"""Mostrar/Ocultar"""
CreateForm_Menu_ViewEnable#0,"""Mostrar"""
CreateForm_Menu_ViewDisable#0,"""Ocultar"""
CreateForm_Menu_Pos#0,"""Mover"""
CreateForm_Menu_Size#0,"""Redimensionar"""
CreateForm_Menu_Rotate#0,"""Rotar"""
CreateForm_Menu_Warp#0,"""Warp"""
CreateForm_Menu_Reverse#0,"""Invertido"""
CreateForm_Menu_ReverseUPDOWN#0,"""V Flip"""
CreateForm_Menu_ReverseLEFTRIGHT#0,"""H Flip"""
CreateForm_Menu_ColorSelect#0,"""Color"""
CreateForm_Menu_Alpha#0,"""Transparencia"""
CreateForm_Menu_Move#0,"""Shift"""
CreateForm_Menu_Move_Shift#0,"""Movimiento continuo"""
CreateForm_Menu_Move_UP#0,"""Mover ↑ 1\u3000\u3000<gray>[-]<c>"""
CreateForm_Menu_Move_UP_V#0,"""Mover ↑ 1"""
CreateForm_Menu_Move_DOWN#0,"""Mover ↓ 1\u3000\u3000<gray>[+]<c>"""
CreateForm_Menu_Move_DOWN_V#0,"""Mover ↓ 1"""
CreateForm_Menu_Move_TOP#0,"""Subir al principio\u3000<gray>[Ctrl]+[E]<c>"""
CreateForm_Menu_Move_TOP_V#0,"""Subir al principio"""
CreateForm_Menu_Move_BOTTOM#0,"""bajar al final\u3000<gray>[Ctrl]+[E]<c>"""
CreateForm_Menu_Move_BOTTOM_V#0,"""bajar al final"""
CreateForm_Menu_Delete#0,"""Borrar"""
CreateForm_Menu_Duplicate#0,"""Duplicar\u3000\u3000\u3000<gray>[Ctrl]+[D]<c>"""
CreateForm_Menu_Duplicate_V#0,"""Duplicar"""
CreateForm_Menu_Copy#0,"""Copiar\u3000\u3000<gray>[Ctrl]+[C]<c>"""
CreateForm_Menu_Copy_V#0,"""Copiar"""
CreateForm_Menu_Paste#0,"""Pegar\u3000<gray>[Ctrl]+[V]<c>"""
CreateForm_Menu_Paste_V#0,"""Pegar"""
CreateForm_Menu_AddParts#0,"""Agregar piezas"""
CreateForm_Menu_ColorCopy#0,"""Copiar Color"""
CreateForm_Menu_ColorPaste#0,"""Pegar Color"""
CreateForm_Menu_Change#0,"""Cambiar piezas"""
CreateForm_Menu_Edit#0,"""Editar"""
CreateForm_Menu_Etc#0,"""Otro"""
CreateForm_Menu_ColorPasteToast#0,"""El color y la transparencia se han copiado."""
ListForm_Title#0,"""Almacenamiento de datos"""
ListForm_Hash#0,"""ID: $(0)"""
ListForm_NoHash#0,"""ID: Ninguno"""
ListForm_ItemName#0,"""Ranura $(1) $(0)"""
ListForm_DefaultName#0,"""Sin título"""
ListForm_List_Non#0,"""No hay datos"""
ListForm_NoSymbolArt#0,"""No hay Symbol Arts"""
ListForm_NowLoading#0,"""Cargando..."""
ListForm_WrongSize#0,"""No coincide con el tamaño del objetivo"""
ListForm_StockSave_Exp#0,"""Guardado en la Ranura."""
ListForm_ServerSave_Exp#0,"""Guardar."""
ListForm_StockLoad_Exp#0,"""Cargado desde la Ranura."""
ListForm_ServerLoad_Exp#0,"""Cargando."""
ListForm_StockRemove_Exp#0,"""Borrado de tarjeta."""
ListForm_ServerRemove_Exp#0,"""Eliminado del servidor."""
ListForm_VITA_Status_Title#0,"""Estado"""
ListForm_VITA_Hash#0,"""ID"""
ListForm_VITA_Size#0,"""Tamaño"""
ListForm_Say_Title#0,"""Symbol Arts"""
ListForm_Save_Exp#0,"""Esta ranura ya está en uso.<br> ¿Desea sobrescribir?"""
ListForm_RemoveQue_Title#0,"""Borrar Symbol Art"""
ListForm_RemoveQue_Exp#0,"""Borrar este Symbol Art.<br>¿Estás seguro?"""
ListForm_RemoveImport_Title#0,"""Borrar Symbol Art importados"""
ListForm_RemoveImport_Exp#0,"""Borrando Symbol Art importados.<br>¿Estás seguro?"""
ListForm_ClearImport_Title#0,"""Borrando todos los Symbol Art importados.<br>¿Estás seguro?"""
ListForm_ClearImport_Exp#0,"""Eliminación de todos los Symbol Arts importados.<b>¿Estás seguro?"""
ListForm_BAN_Exp#0,"""El Symbol Art que intentas<br>utilizar está restringido. Sólo puede guardar símbolos no restringidos."""
ListForm_Illegal_LayerDelete#0,"""Debido a que se utilizó una parte no autorizada, se ha eliminado."""
ListForm_Error_ServerLoadFailed#0,"""No se ha podido cargar.<br><br><br>[No.1200]"""
ListForm_Error_LoacalLoadFailed#0,"""No se ha podido cargar.<br><br>[No.1201]"""
ListForm_Error_LoacalLoadFailed_Null#0,"""Se ha solicitado un dato vacío.<br><br>[No.1202]"""
ListForm_Error_LoacalLoadFailed_Not#0,"""No se han podido encontrar los datos.<br><br>[No.1203]"""
ListForm_Error_LoacalLoadFailed_Other#0,"""No se ha podido cargar.<br><br>[No.1204]"""
ListForm_Error_SaveFailed#0,"""No se puede guardar.<br><br>[No.1205]"""
ListForm_Error_LoacalRemoveFailed#0,"""No se ha podido borrar.<br><br>[No.1206]"""
ListForm_Error_ServerRemoveFailed#0,"""No se ha podido borrar.<br><br>[No.1207]"""
ListForm_Error_LoadImport#0,"""No se ha podido cargar.<br><br>[No.1208]"""
ListForm_Error_RemoveImport#0,"""No se ha podido borrar.<br><br>[No.1209]"""
ListForm_Error_Illegaldata#0,"""No se ha podido guardar el Symbol Art<br>porque contiene modificaciones no autorizadas.<br><br>[No.1210］"""
ListForm_Error_IllegalNotSay#0,"""No se puede utilizar el Symbol Art<br>ya que contiene modificaciones no autorizadas.<br><br>[No.1211]"""
SelectedForm_Title#0,"""Symbol Art List"""
SelectedForm_Exp#0,"""<c f0df60>Seleccione un Symbol Art para editarlo. Seleccione 'Editar' en un espacio en blanco para crear un nuevo.<c>"""
SelectedForm_Exp_v#0,"""<c f0df60>Seleccione el Symbol Art que desea editar.<c>"""
ListForm_Exp#0,"""<c f0df60>Por favor, seleccione la ranura de guardado.<c>"""
EditForm_Exp#0,"""<c f0df60>Seleccione el botón 'Añadir partes' para añadir partes a editar. (? para ayuda)<c>"""
EditForm_Exp_v#0,"""<c f0df60>Haga clic en el botón 'Añadir parte' para editar la parte añadida y crear el Symbol Art.<c>"""
SelectedForm_SaveList#0,"""1. Guardar"""
SelectedForm_LogList_Big#0,"""2. Historial (Estándar)"""
SelectedForm_LogList_Normal#0,"""3. Historial (Medio)"""
SelectedForm_LogList_Mini#0,"""4. Historia (Pequeño)"""
SelectedForm_LogList#0,"""2.Historial"""
SelectedForm_Etc#0,"""5. Importar"""
SelectedForm_EditName_Title#0,"""Renombrar Symbol Art"""
SelectedForm_EditName_Exp#0,"""Nombre Symbol Art<br>(visible para los demás)"""
SelectedForm_Menu_Save#0,"""Guardar"""
SelectedForm_Menu_Say#0,"""Mostrar"""
SelectedForm_Menu_Edit#0,"""Editar"""
SelectedForm_Menu_Delete#0,"""Borrar"""
SelectedForm_Menu_Clear#0,"""Borrar todo"""
SelectedForm_Menu_NameEdit#0,"""Renombrar Symbol Art"""
SelectedForm_Menu_BlackList#0,"""-"""
SelectedForm_Menu_Import#0,"""Importar"""
SelectedForm_LoadImport_Exp#0,"""Importación completada"""
SelectedForm_Error_Filter#0,"""El nombre de este Symbol Art incluye caracteres que no se pueden utilizar."""
SelectedForm_Error_Premium#0,"""<pict Arcscash><c ff4f3f>ARKS Cash Content<c><br><yellow>No eres un usuario premium, o<br>tu premium ha expirado.<br><br><c>No puedes guardar en las ranuras SA 11-40<br>Si tienes un <yellow>Premium Set<c>, puedes<c>guardar en estas ranuras adicionales.<br><br>Para aprovechar las ventajas de <yellow>Premium<c>,<br>consulta el menú principal de la Tienda AC."""
Title#0,"""Symbol Art Selection"""
Title_Monitor#0,"""Symbol Art Monitor"""
Close_Title#0,"""Confirmacion"""
Close_Exp#0,"""Esto mostrará el Símbolo seleccionado. ¿Está bien?<br><br><red>※Si no se selecciona ningún símbolo,<br>no se mostrará nada.<c>"""
