Title_DeadMenu#0,"""Menú de incapacitación"""
Category_Communication#0,"""Comunicación"""
Category_Personal#0,"""Personal """
Category_Chat#0,"""ChaT"""
Category_Info#0,"""Información"""
Category_System#0,"""Sistema"""
Category_Scratch#0,"""Tirar Scratch"""
Category_ACShop#0,"""<pict ba_acshop>Ac & SG Shop<pict Arcscash><pict StarGem>"""
Category_SGShop#0,"""<pict ba_sgshop>SG ShoP<pict StarGem>"""
Category_MyShop#0,"""Mi Tienda"""
Category_RecycleShop#0,"""<pict ba_recycle><pict 4space>Reciclar artículos"""
Category_BuyHistory#0,"""<pict ba_history><pict 4space>Historial de compras/Vencimientos"""
Category_Shop#0,"""Tienda"""
Popup_ItemPack#0,"""<pict ba_task><pict 4space>Paquete de artículos"""
Popup_FriendList#0,"""<pict ba_friend><pict 4space>Lista de amigos"""
Popup_PartyCommand#0,"""<pict ba_partycom><pict 4space>Configuración de Grupo"""
Popup_TeamCommand#0,"""<pict ba_guild><pict 4space>Configuración de Team"""
Popup_Mail#0,"""<pict ba_mail><pict 4space>Correo"""
Popup_ArksSearch#0,"""<pict ba_search><pict 4space>Búsqueda ARKS"""
Popup_CommuHistory#0,"""<pict ba_commu><pict 4space>Historia de la comunicación"""
Popup_NearCharacter#0,"""<pict ba_surround><pict 4space>Jugadores cercanos"""
Popup_CharacterData#0,"""<pict ba_charainfo><pict 4space>Información del PJ"""
Popup_Honor#0,"""<pict ba_title><pict 4space>Titulo"""
Popup_ArksCard#0,"""<pict ba_card><pict 4space>Tarjeta ARKS"""
Popup_Honor_ArksCard#0,"""Titulo/Tarjeta ARKS"""
Popup_PlayLog#0,"""<pict ba_performance><pict 4space>Registros de juego"""
Popup_GroupChat#0,"""<pict ba_gchat><pict 4space>Configuración de chat grupal"""
Popup_ShortcutWord#0,"""<pict ba_shortcut><pict 4space>Configuración Shortcut Word"""
Popup_AutoWord#0,"""<pict ba_autoword><pict 4space>Configuración Autoword"""
Popup_SymbolArt#0,"""<pict ba_symbol><pict 4space>Symbol Art"""
Popup_Information#0,"""<pict ba_info><pict 4space>Informacion"""
Popup_Help#0,"""<pict ba_help><pict 4space>Ayuda"""
Popup_Option#0,"""<pict ba_option><pict 4space>Opcion"""
Popup_CampaignItem#0,"""<pict ba_get><pict 4space>Recibir artículos de campaña"""
Popup_ItemCode#0,"""<pict ba_code><pict 4space>Código del objeto"""
Popup_ControlSetting#0,"""<pict ba_conf><pict 4space>Configuración de control"""
Popup_MagMenu#0,"""<pict ba_mag><pict 4space>MaG"""
Popup_Stamp#0,"""<pict ba_stamp><pict 4space>Sello"""
Popup_BuyScratch#0,"""<pict ba_scratch><pict 4space>Tirar Scratch<pict 4space><pict Arcscash>"""
Popup_ScratchStorage#0,"""<pict ba_scwa><pict 4space>Almacenamiento Scratch"""
Popup_QuestInfo#0,"""<pict ba_questinfo><pict 4space>Info de misión"""
Popup_Equip_Weapon#0,"""<pict ba_weapon><pict 4space>Equip Armas"""
Popup_Equip_Guard#0,"""<pict ba_unit><pict 4space>Equip Armaduras"""
Popup_Equip_Subpalette#0,"""<pict ba_subp><pict 4space>Subpaleta"""
Popup_Equip_Fashion#0,"""<pict ba_cos><pict 4space>Editar moda"""
Popup_QuestMenue#0,"""Menú de misiones"""
Operation_MenuCommon#0,"""Es una configuración común de la guía de menús en el menú."""
MenuEquipmentOpen#0,"""Equipar el artículo seleccionado"""
MainMenu_Equip_WeaponPosition#0,"""<pict ba_positioning><pict 4space>Ajustar la posición del arma"""
MainMenu_Loguin_Bonus#0,"""<pict icon_login_bonus><pict 4space>Bonificación de inicio de sesión"""
Menu_Matching_Blockade#0,"""No se puede usar durante la mision de emergencia"""
HealTank#0,"""Recupera el 50% de tu HP máximo."""
RecoveryMoonAtomizer#0,"""Revive jugadores incapacitados cercanos.."""
HunterWarCry#0,"""<yellow>[Habilidad activa]<c><br>Atrae la atención de todos los enemigos cercanos,<br>y hace que tus ataques atraigan la atención del<br>enemigo más fácilmente durante un tiempo<br> determinado.<br> <yellow>※Solo Clase principal.<c>"""
HunterIronWill#0,"""Te permite sobrevivir al daño que<br>te incapacitaría con 1 HP.<br>Te vuelve invulnerable temporalmente<br>después de la activación.<br><yellow>※Solo Clase principal.<c>"""
HunterMassiveHunter#0,"""<yellow>[Habilidad activa]<c><br>Durante un tiempo determinado, reduce el daño recibido<br>y te hace inmune a los empujones<br>y el estremecimiento de los ataques enemigos."""
HunterParryingPa#0,"""Aumenta el daño de las PAs<br>si te golpea un ataque inmediatamente<br>después de activarlos.<br><yellow>※Solo armas Hunter.<c>"""
HunterSwordGuardCounterPlus#0,"""Cuando realizas con éxito un bloqueo<br>de espada, puedes ingresar un ataque<br>normal para un contraataque adicional."""
HunterSwordNormalAttackPlus#0,"""Aumenta el número de pasos en tu combo de ataque normal de Espada a 5."""
HunterSwordAttackExtra#0,"""Aumenta el número de pasos en<br>tu combo de ataque normal a 5. <br><yellow>※Solo Sword<c>"""
HunterWeakHitAdvance#0,"""仮テキスト"""
HunterParryingCritical#0,"""仮テキスト"""
HunterCounterBoost#0,"""仮テキスト"""
HunterJustGuardDownBoost#0,"""仮テキスト"""
HunterSwordGuardCounter#0,"""Realiza un contraataque automáticamente<br>cuando simplemente proteges con éxito un ataque<br>con tu acción de arma.<br> <yellow>※Solo espada.<c>"""
HunterFlashGuard#0,"""Reduce todo el daño recibido."""
HunterAllGuard#0,"""Hace que las acciones de las armas de guardia te protejan de todas las direcciones.<yellow>※Solo armas Hunter.<c> """
HunterParryingPPHeal#0,"""Recupera PP cada vez que se activa<br>Hunter Art Avenge."""
HunterParryingPaJustGuard#0,"""Bloquea brevemente todo el daño de los enemigos<br>cuando usa un PA.<yellow>※Solo armas Hunter.<c>"""
HunterSlowFallCharge#0,"""Te hace caer más lentamente<br>mientras cargas un PA. <yellow>※Solo armas Hunter.<c>"""
HunterTecArtsSkipAttack#0,"""El uso de diferentes PA de la misma arma<br>en una fila hace que su combo de ataque<br> normal salte al cuarto paso. <br>Si su combo de ataque normal se limita<br>a 3 pasos o menos, salta al paso final.<br><br><yellow>※Solo armas Hunter.<c>"""
HunterSameArtsSkipAttack#0,"""Usar un PA varias veces seguidas hace<br>que su combo de ataque normal salte<br>al cuarto paso. Si su combo de ataque<br> normal se limita a 3 pasos o menos,<br> salta al paso final.<br><yellow>※Solo armas Hunter.<c>"""
HunterPartisanVolgraptor#0,"""Mantén pulsado el botón de acción<br>delarma para disparar una lanza de<br>fotón que cuenta el daño infligido al<br>enemigo en el que se incrusta.<br>La lanza de fotón explota después de<br>un tiempo establecido o cuando recibe<br>suficiente daño.<br><yellow>※Partizan solamente.<c>"""
HunterPartisanAssaultCharge#0,"""Te permite realizar un ataque de empuje cargable presionando el botón de Acción de Arma con el tiempo correcto después de usar un PA.<br><yellow>※Partizan solamente.<c>"""
HunterPartisanParryingAssaultCharge#0,"""Aumenta el poder de Assault Charge cuando se usa después de un PA que fue impulsado por Hunter Art Avenge."""
HunterWLanceAttackExtra#0,"""Aumenta el número de pasos en tu combo de ataque normal a 4.<br> <yellow>※Solo Wired Lance.<c>"""
HunterWLanceWAPlus#0,"""Altera el comportamiento de tu acción de arma cuando la usas mientras ingresas una dirección.<br><yellow>※Wired Lance solamente.<c>"""
HunterWLanceWAGuardPointPlus#0,"""Bloquea brevemente todo el daño de los enemigos cuando activa su Acción de arma.<br><yellow>※Wired Lance solamente.<c>"""
RangerGaugeShotGun#0,"""<yellow>[Habilidad activa]<c><br>Agrega un indicador que se llena cuando infliges daño con un rifle. Actívalo para consumir el medidor y disparar una ráfaga de corto alcance.<br><yellow>※Rifle de asalto solamente.<c>"""
RangerGaugeShotGunAway#0,"""Agrega tiempo de invencibilidad cuando activas Spread Shot y te permite moverte más durante el ataque."""
RangerWeakBullet#0,"""<yellow>[Habilidad activa]<c><br>Dispara una bala que aumenta temporalmente el daño infligido a la parte que golpea.<br><yellow>※Clase principal/Rifle de asalto solamente.<c>"""
RangerWeakBulletParse#0,"""Marcar una parte afectada por Weak Bullet suficientes veces aumenta el daño infligido a esa parte aún más y extiende la duración del efecto.<br><yellow>※Clase principal solamente.<c>"""
RangerWeaponActionAvoid#0,"""Otorga invencibilidad temporal cuando activas tu Acción de arma. <br><yellow>※Solo rifle de asalto.<c>"""
RangerGrenadeTrap#0,"""Mantén pulsado el botón de acción de arma para atacar con una granada. Si ingresa una dirección, dispara la granada. De lo contrario, lo configuras como mina.<yellow>※Solo rifle de asalto.<c>"""
RangerRangeBonus#0,"""仮テキスト"""
RangerDownChain#0,"""仮テキスト"""
RangerWeakHitAdvance#0,"""仮テキスト"""
RangerWeakBlastBonus#0,"""仮テキスト"""
RangerFallSlowAttack#0,"""Te hace caer más lentamente mientras usas<br>un ataque normal.<br><yellow>※Solo armas de Ranger.<c>"""
RangerFallSlowCharge#0,"""Te hace caer más lentamente mientras cargas un PA.<br><yellow>※Solo armas de Ranger.<c>"""
RangerClusterBombRecastReduce#0,"""Reduce el tiempo de reutilización después de activar<br>tu acción de arma.<br><yellow>※Solo Launcher.<c>"""
RangerLauncherChargeConvergence#0,"""Si avanzas hacia adelante mientras usas un ataque normal cargado, todos los disparos convergerán en un solo punto.<br><yellow>※Solo Launcher.<c>"""
RangerConditionBadGuard#0,"""Reduce la posibilidad de que se te apliquen efectos de estado."""
RangerConditionBadEase#0,"""Reduce la duración de los efectos de estado que se te aplican."""
ForcePhotonFlare#0,"""<yellow>[Habilidad activa]<c><br>Aumenta tus PP máximos y la potencia de tus armas durante un tiempo determinado.<br><yellow>*Sólo puede ser utilizada por una Clase Principal/Armas de Force<c>"""
ForcePpConvert#0,"""<yellow>[Habilidad activa]<c><br>Disminuye tus PS máximos durante un tiempo determinado a cambio de una mayor velocidad de recuperación natural de los PP."""
ForcePpConvertReCharge#0,"""Le ofrece más acciones de PP Convert"""
ForceChargePpRevival#0,"""No se impide que el PP se regenere mientras cargas las Técnicas.<br><yellow>Sólo armas de Force .<c>"""
ForceChargeEscape#0,"""Si realizas una Acción de Armas o un Paso mientras cargas una Técnica, mantendrás la carga. Si vuelves a usar esa Técnica te costará 0 PP y se cargará más rápidamente.<br><yellow>※Sólo Rod.<c>"""
ForceHeal#0,"""Cada vez que utilices un Resta Sign, otros personajes cercanos también recuperarán HP.<br><yellow>※Sólo para la clase principal.<c>"""
ForceOverFlow#0,"""仮テキスト"""
ForcePhotonFlareTecShortCharge#0,"""Mientras Photon Flare está activo, el poder de la técnica se reduce, pero su tiempo de carga también se reduce. <br> <yellow>※Solo armas de clase principal/Force .<c>"""
ForcePhotonFlareAfterBurst#0,"""仮テキスト"""
ForcePhotonFlareBoost#0,"""仮テキスト"""
ForceRodCounterTechnic#0,"""Cualquier Técnica utilizada inmediatamente después de bloquear con éxito un ataque con una Guardia o evadir uno con Paso gana tiempo de invencibilidad.<br><yellow>※Sólo Rod.<c>"""
ForcePhotonFlarePpRefrain#0,"""Cuando finaliza Photon Flare, recuperas los PP en función de la cantidad de PP que hayas gastado mientras Destello de fotón estaba activo.<br><yellow>※Sólo para la clase principal.<c>"""
ForceNightmare#0,"""Recupera PP cada vez que un enemigo cercano es derribado o derrotado."""
ForceReflectCounterShot#0,"""Cualquier técnica utilizada inmediatamente después de bloquear con éxito un ataque con una guardia también dispara una bala técnica del mismo atributo.<br><yellow>※Sólo Rod.<c>"""
ForceRodCounterTecBonus#0,"""Con un Rod equipada, el uso de una Técnica cuando esquivas con éxito con Sidestep o te proteges con una Acción de Arma te hará invulnerable durante un tiempo."""
ForceRodAbsorption#0,"""Si no atacas ni esquivas después de usar una Técnica, tus PP se recuperarán.<br><yellow>*Sólo puede usarse con un Rod.<c>"""
ForceTalisConcentrate#0,"""Si lanzas el Talis después de usar un PA, el poder de tus Técnicas se potenciará y su consumo de PP se reducirá, pero el Talis permanecerá activo durante menos tiempo."""
ForceTalisQuickMarkShot#0,"""Si usas tu acción de arma sin introducir una dirección, atacarás a varios enemigos cercanos de forma intermitente durante un tiempo determinado.<br><yellow>※Solo Talis.<c>"""
ForceTalisSetRevok#0,"""Si mantienes pulsado el botón de acción del arma, eliminarás un Talis activo.<br><yellow>※Solo Talis.<c>"""
ForcePpRestorate#0,"""Hace que el PP se regenere más rápido"""
ForceSlowFallCharge#0,"""Hace que desciendas más lentamente en el aire mientras cargas una Técnica.<br><yellow>※Sólo armas de fuerza.<c>"""
ForceBartaBlot#0,"""Al golpear a los enemigos con técnicas de hielo no cargadas suficientes veces, se les graba un escudo de hielo. Golpear a un enemigo con un escudo de hielo con una técnica de hielo cargada detona el escudo de hielo."""
ForceZondeClad#0,"""Golpear a los enemigos con técnicas de relámpago no cargadas suficientes veces te pone en un estado de energía. Tu siguiente técnica de relámpago cargada infligirá más daño y eliminará el estado de energía."""
FighterLimitBreak#0,"""<yellow><yellow>[Habilidad activa]<c><br>Aumenta la potencia de las armas durante un tiempo determinado, pero también aumenta el daño que recibes de los enemigos.<br><yellow>※Sólo para armas de la clase principal/Fighter.<c>"""
FighterLimitBreakPhotonCharge#0,"""Recupera PP al final de la Sobrecarga.<br><yellow>Esta habilidad sólo puede ser utilizada por una Clase Principal.<c>"""
FighterLimitBreakInsurance#0,"""Durante Limit Break, si quedas incapacitado por el daño, sobrevives con 1 HP y te vuelves temporalmente invencible, pero la Ruptura del Límite termina.<br><yellow>※Sólo clase principal.<c>"""
KnuckleDodgeHeatRevenge#0,"""Cuando evades con éxito un ataque con tu acción de arma, tu combo de ataque normal salta a su quinto paso.<br><yellow>※Sólo Knuckles.<c>"""
FighterKnuckleSwayCounterPlus#0,"""Si utilizas tu acción de arma después de que se active el contador de balanceo de Knuckle, se generará un contraataque adicional."""
FighterKnuckleNormalAttackPlus#0,"""Puedes encadenar hasta 5 ataques normales.<br><yellow>*Sólo se puede usar con Knuckles.<c>"""
FighterPhotonFlood#0,"""仮テキスト"""
FighterUnFlatBonus#0,"""仮テキスト"""
FighterTecArtsJABonus#0,"""仮テキスト"""
FighterPPSlayer#0,"""仮テキスト"""
FighterKnuckleSwayCounter#0,"""Contraataca automáticamente cuando evades con éxito un ataque con tu Acción de Armas.<br><yellow>※Sólo Knuckles.<c>"""
FighterChaseAdvance#0,"""Aumenta el daño infligido a los enemigos derribados."""
FighterChaseAdvancePPRecovery#0,"""Aumenta la recuperación de PP al atacar a los enemigos derribados."""
FighterTecArtsSkipAttack#0,"""Usar diferentes PAs de la misma arma en una fila hace que tu combo de Ataque Normal se salte al 4º paso, o al último paso si la longitud de tu combo de Ataque Normal es de 3 o menos.<br><yellow>※Sólo armas de Fighter.<c>"""
FighterSameArtsSkipAttack#0,"""Usar un PA varias veces seguidas hace que tu combo de Ataque Normal se salte al 3er paso.<br><yellow>※Sólo armas de Fighter.<c>"""
FighterSkipArts#0,"""Si se utiliza un PA sin introducir una dirección, se pasará a la segunda mitad del PA.<br><yellow>※Sólo armas de Fighter.<c>"""
FighterTDAnotherDerive#0,"""Si pulsas el botón de ataque normal con la sincronización correcta después de usar un PA, te acercarás a tu objetivo a gran velocidad.<br><yellow>※Sólo Twin Daggers.<c>"""
FighterTDSpinCounter#0,"""Al pulsar el botón de ataque normal después de bloquear con éxito un ataque con tu acción de arma, se genera un contraataque.<br><yellow>※Sólo Twin Daggers.<c>"""
FighterTDAttackExtra#0,"""Aumenta el número de pasos de tu combo de Ataque Normal a 4.<br><yellow>※Sólo Twin Daggers.<c>"""
FighterDSDodgeWindCounter#0,"""Si pulsas el botón de ataque normal después de bloquear con éxito un ataque con tu acción de arma, se generará un contraataque.<br><yellow>※Sólo Double Saber.<c>"""
FighterDSDodgeWindWACounter#0,"""Si vuelves a usar tu acción de arma después de bloquear con éxito un ataque con tu acción de arma, se generará un contraataque especial.<br><yellow>※Sólo Double Saber.<c>"""
FighterDSDeadlyArcher#0,"""Si mantienes pulsado el botón de acción del arma con un Kamaitachi de fase 2 activa, transferirás toda la energía de la Kamaitachi a tu arma y la lanzarás contra el enemigo.<br><yellow>※Sólo Double Saber.<c>"""
FighterDSEnhanceAttack#0,"""Si mantienes pulsado el botón de ataque normal con una Kamaitachi de fase 2 activa, usarás toda la energía de la Kamaitachi para generar un torbellino.<br><yellow>※Sólo Double Saber.<c>"""
GunnerChainTrigger#0,"""Se activa al golpear con un PA cargado. <yellow>Chain Count<c> aumenta al golpear con ataques normales. Vuelve a golpear con un PA cargado para obtener un potente <yellow>Chain Finish<c><br><yellow>※Sólo clase principal/Solo Twin Machineguns.<c>"""
GunnerChainFinish#0,"""Después de que se haya producido un Chain Finish, el tiempo que transcurre hasta que la cadena puede volver a activarse se reduce<br>según el número de cadenas en el Chain Count<br> <yellow>Esta habilidad sólo se aplica a la clase principal.<c>"""
GunnerChainFinishTimeBonus#0,"""Reduce el tiempo de Chain Trigger en función de tu Chain Count cuando realizas un Chain Finish.<br><yellow>※Sólo clase principal.<c>"""
GunnerSRollArts#0,"""Pulsa el botón PA mientras realizas tu acción de arma para consumir PP y realizar un ataque muy potente.<br><yellow>※Sólo Twin Machineguns.<c>"""
GunnerCounterPABurst#0,"""Cuando evades con éxito un ataque enemigo con tu acción de arma, la potencia de tu siguiente PA se potencia, pero su consumo de PP aumenta.<br><yellow>※Sólo Twin Machineguns.<br>"""
GunnerChainBoost#0,"""Cuando se activa el Acabado en Cadena, el comportamiento de los ataques durante tu Acción de Armas cambia y tu velocidad de ataque aumenta durante un tiempo determinado.<br><yellow>※Sólo Clase Principal/Twin Machineguns.<c>"""
GunnerNeutralDeadApproach#0,"""Cuando usas tu acción de arma sin introducir una dirección, se convierte en un high-speed.<br><yellow>※Sólo Twin Machineguns.<c>"""
GunnerPerfectKeeper#0,"""仮テキスト"""
GunnerChainFinishBonus#0,"""仮テキスト"""
GunnerNeoTime#0,"""仮テキスト"""
GunnerNeoTimeBlastBonus#0,"""仮テキスト"""
GunnerNeoTimePPRefresh#0,"""仮テキスト"""
GunnerAirAttackBonus#0,"""仮テキスト"""
GunnerReactionWeak#0,"""仮テキスト"""
GunnerFallSlowAttack#0,"""Hace que desciendas más lentamente en el aire mientras usas un Ataque Normal.<br><yellow>※Sólo para armas de artillería.<c>"""
GunnerFallSlowCharge#0,"""Hace que desciendas más lentamente en el aire mientras cargas un PA.<br><yellow>※Sólo para armas Gunner.<c>"""
GunnerGaugeShotGun#0,"""<yellow>[Habilidad activa]<c><br>Añade un medidor que se llena cuando infliges daño con un rifle. Actívala para consumir el medidor y disparar una ráfaga de corto alcance.<br><yellow>※Sólo Assault Rifle.<c>"""
GunnerGaugeShotGunAway#0,"""Añade tiempo de invencibilidad cuando activas Spread Shot, y te permite moverte más lejos durante el movimiento."""
GunnerAttackPPRestraint#0,"""Aumenta la recuperación de PP de los ataques"""
GunnerOverWhelm#0,"""Aumenta la recuperación de PP al atacar a enemigos que no son jefes."""
TechterShiftaDeband#0,"""<yellow>[Habilidad activa]<c><br>Aumenta el daño infligido y reduce el daño infligido a ti y a los personajes cercanos durante un tiempo determinado.<br><yellow>※Sólo para la clase principal.<c>"""
TechterPartyAssist#0,"""Cuando activas Shifta-Deband, el efecto se aplica a todos los miembros del grupo, incluso si no están dentro del alcance.<br><yellow>※Sólo clase principal.<c>"""
TechterWandElementChange#0,"""Cada vez que usas una Técnica cargada, tus Explosiones Técnicas cambian para coincidir con el Atributo de esa Técnica.<br><yellow>※Sólo Wand.<c>"""
TechterWandElementDiscard#0,"""Pulsa el botón de Acción de Armas para restablecer cualquier cambio realizado en tus Explosiones Técnicas por Cambio de Elemento de Wand.<br><yellow>※Sólo Wand .<c>"""
TechterHeal#0,"""Aumenta tu recuperación de los Resta Signs. Cada vez que uses un Resta Signs, otros personajes cercanos también recuperarán HP.<br><yellow>※Sólo clase principal.<c>"""
TechterWandGuardCounter#0,"""Al pulsar el botón de ataque normal después de bloquear con éxito un ataque con tu acción de arma, se genera un contraataque.<br><yellow>※Sólo Wand.<c>"""
TechterAssistField#0,"""仮テキスト"""
TechterWandLovers#0,"""<yellow>[Habilidad activa]<c><br>Añade la capacidad de bloquear los ataques enemigos a tus ataques normales y evita el retroceso durante un tiempo determinado.<br><yellow>※Sólo Wand.<c>"""
TechterWandCounterReflection#0,"""Genera una explosión tecnológica cuando bloqueas con éxito un ataque enemigo con tu acción de arma.<br><yellow>※Sólo Wand.<c>"""
TechterShiftaStrike#0,"""Da a Shifta-Deband un efecto adicional que potencia la capacidad de los ataques para derribar a los enemigos.<br><yellow>※Sólo clase principal.<c>"""
TechterShiftaAdvance#0,"""Da a Shifta-Deband un efecto adicional que potencia el daño infligido a los enemigos abatidos.<br><yellow>※Sólo clase principal.<c>"""
TechterDebandCut#0,"""Da a Shifta-Deband un efecto adicional que reduce la posibilidad de que los jugadores reciban efectos de estado.<br><yellow>※Sólo clase principal.<c>"""
TechterDebandPpReStraight#0,"""Da a Shifta-Deband un efecto adicional que aumenta la regeneración de PP.<br><yellow>※Sólo clase principal.<c>"""
TechterExtendAssist#0,"""Extiende la duración de Shifta-Deband.<br><yellow>※Sólo clase principal.<c>"""
TechterElementWeakBonus#0,"""Hace que Photon Blast se llene más rápido al atacar a los enemigos con su debilidad de Atributos."""
TechterAwakeYell#0,"""Hace que el Photon Blast se llene más rápido cuando los enemigos del jefe están cerca."""
TechterReverseBonus#0,"""Aplica el efecto de Shifta-Deband a los aliados revividos.<br><yellow>※Sólo clase principal.<c>"""
TechterWandGuardCounterEdge#0,"""Genera una onda de choque cuando se activa Wand Parry Counter."""
TechterFallSlowCharge#0,"""Te hace descender más lentamente en el aire mientras cargas un PA o Técnica.<br><yellow>※Sólo armas Techter.<c>"""
TechterBartaBlot#0,"""Al golpear suficientes veces a los enemigos con Técnicas de Hielo no cargadas, se les graba un Escudo de Hielo. Golpear a un enemigo con una cresta de hielo con una técnica de hielo cargada detona la cresta de hielo."""
TechterZondeClad#0,"""Golpear a los enemigos con técnicas de relámpago sin carga suficientes veces te pone en estado de energía. Tu siguiente técnica de relámpago cargada causará más daño y eliminará el estado de energía."""
FighterKnuckleAttackExtra#0,"""Aumenta el número de pasos de tu combo de ataque normal de Nudillos a 5."""
ForceTalisTecBurst#0,"""<yellow>[Habilidad activa]<c><br>Añade un indicador que se llena cuando atacas a los enemigos. Actívala cuando el medidor esté lleno para realizar un ataque especial a distancia.<br><br>※Talis solamente.<c>"""
TechterTalisTecBurst#0,"""<yellow>[Habilidad activa]<c><br>Añade un indicador que se llena cuando atacas a los enemigos. Actívala cuando el medidor esté lleno para realizar un ataque especial a distancia.<br><yellow>※Talis solamente.<c>"""
TechterTalisQuickMarkShot#0,"""Si usas tu acción de arma sin introducir una dirección, atacarás a varios enemigos cercanos de forma intermitente durante un tiempo determinado.<br><yellow>※Talis solamente.<c>"""
TechterTalisSetRevok#0,"""Si mantienes pulsado el botón de Acción de Arma, eliminarás un Talis activo.<br><yellow>※Talis solamente.<c>"""
HealTank#1,"""Resta Sign."""
RecoveryMoonAtomizer#1,"""Reverser Sign."""
HunterWarCry#1,"""War Cry."""
HunterIronWill#1,"""Iron Will."""
HunterMassiveHunter#1,"""Massive Hunter."""
HunterParryingPa#1,"""Hunter Art <br>Avenge."""
HunterSwordGuardCounterPlus#1,"""Sword Guard <br>Counter Plus."""
HunterSwordNormalAttackPlus#1,"""Sword Attack <br>Extra."""
HunterSwordAttackExtra#1,"""Sword Attack <br>Extra."""
HunterWeakHitAdvance#1,"""Weak Hit <br>Advanced Hu."""
HunterParryingCritical#1,"""Parry Critical."""
HunterCounterBoost#1,"""Counter <br>Boost."""
HunterJustGuardDownBoost#1,"""Just Guard <br>Reaction Boost."""
HunterSwordGuardCounter#1,"""Sword Guard <br>Counter."""
HunterFlashGuard#1,"""Flash Guard."""
HunterAllGuard#1,"""All Guard."""
HunterParryingPPHeal#1,"""Hunter Art <br>Avenge PP Gain."""
HunterParryingPaJustGuard#1,"""Hunter Art <br>Just Parry."""
