extra_assign#0,"""exq_$(0)"""
exq_EnemyHpDown_40#0,"""HP baja un 40%"""
exq_EnemyHpDown_50#0,"""HP baja un 50%"""
exq_EnemyHpDown_60#0,"""HP baja un 60%"""
exq_EnemyHpDown_70#0,"""HP baja un 70%"""
exq_EnemyHpDown_80#0,"""HP baja un 80%"""
exq_EnemyHpDown_90#0,"""HP baja un 90%"""
exq_ResistAll20%#0,"""La resistencia global aumenta un 20%"""
exq_ResistAll20%Down#0,"""La resistencia global baja 20%"""
exq_ResistAll40%#0,"""La resistencia global aumenta un 40%"""
exq_ResistAll40%Down#0,"""La resistencia global baja 40%"""
exq_ResistAll60%#0,"""La resistencia global aumenta un 60%"""
exq_ResistAll60%Down#0,"""La resistencia global baja 60%"""
exq_ResistAll80%#0,"""La resistencia global aumenta un 80%"""
exq_ResistAll80%Down#0,"""La resistencia global baja 80%"""
exq_ResistDarkDown#0,"""La resistencia oscura baja L"""
exq_ResistDarkDown_low#0,"""La resistencia oscura baja S"""
exq_ResistDarkUp#0,"""Resistencia oscura sube L"""
exq_ResistDarkUp_low#0,"""Resistencia oscura sube S"""
exq_ResistFirearm20%#0,"""La resistencia a distancia sube 20%"""
exq_ResistFirearm20%Down#0,"""La resistencia a distancia baja 20%"""
exq_ResistFirearm40%#0,"""La resistencia a distancia sube 40%"""
exq_ResistFirearm40%Down#0,"""La resistencia a distancia baja 40%"""
exq_ResistFirearm60%#0,"""La resistencia a distancia sube 60%"""
exq_ResistFirearm60%Down#0,"""La resistencia a distancia baja 60%"""
exq_ResistFirearm80%#0,"""La resistencia a distancia sube 80%"""
exq_ResistFirearm80%Down#0,"""La resistencia a distancia baja 80%"""
exq_ResistFireDown#0,"""La resistencia al fuego baja L"""
exq_ResistFireDown_low#0,"""La resistencia al fuego baja S"""
exq_ResistFireUp#0,"""La resistencia al fuego sube L"""
exq_ResistFireUp_low#0,"""La resistencia al fuego sube S"""
exq_ResistIceDown#0,"""Resistencia al hielo baja L"""
exq_ResistIceDown_low#0,"""Resistencia al hielo baja S"""
exq_ResistIceUp#0,"""Resistencia al hielo sube L"""
exq_ResistIceUp_low#0,"""Resistencia al hielo sube S"""
exq_ResistLightDown#0,"""Resistencia luz baja L"""
exq_ResistLightDown_low#0,"""Resistencia luz baja S"""
exq_ResistLightUp#0,"""Resistencia luz sube L"""
exq_ResistLightUp_low#0,"""Resistencia luz sube S"""
exq_ResistStrike20%#0,"""Resistencia cuerpo a cuerpo sube 20%"""
exq_ResistStrike20%Down#0,"""Resistencia cuerpo a cuerpo baja 20%"""
exq_ResistStrike40%#0,"""Resistencia cuerpo a cuerpo sube 40%"""
exq_ResistStrike40%Down#0,"""Resistencia cuerpo a cuerpo baja 40%"""
exq_ResistStrike60%#0,"""Resistencia cuerpo a cuerpo sube 60%"""
exq_ResistStrike60%Down#0,"""Resistencia cuerpo a cuerpo baja 60%"""
exq_ResistStrike80%#0,"""Resistencia cuerpo a cuerpo sube 80%"""
exq_ResistStrike80%Down#0,"""Resistencia cuerpo a cuerpo baja 80%"""
exq_ResistTechnic20%#0,"""Resistencia de técnica sube 20%"""
exq_ResistTechnic20%Down#0,"""Resistencia de técnica baja 20%"""
exq_ResistTechnic40%#0,"""Resistencia de técnica sube 40%"""
exq_ResistTechnic40%Down#0,"""Resistencia de técnica baja 40%"""
exq_ResistTechnic60%#0,"""Resistencia de técnica sube 60%"""
exq_ResistTechnic60%Down#0,"""Resistencia de técnica baja 60%"""
exq_ResistTechnic80%#0,"""Resistencia de técnica sube 80%"""
exq_ResistTechnic80%Down#0,"""Resistencia de técnica baja 80%"""
exq_ResistThunderDown#0,"""Resistencia a los rayos baja L"""
exq_ResistThunderDown_low#0,"""Resistencia a los rayos baja S"""
exq_ResistThunderUp#0,"""Resistencia a los rayos sube L"""
exq_ResistThunderUp_low#0,"""Resistencia a los rayos sube S"""
exq_ResistWindDown#0,"""Resistencia al viento baja L"""
exq_ResistWindDown_low#0,"""Resistencia al viento baja S"""
exq_ResistWindUp#0,"""Resistencia al viento sube L"""
exq_ResistWindUp_low#0,"""Resistencia al viento sube S"""
exq_PPRegenerateUp10#0,"""velocidad de recuperación PP sube 10%"""
exq_PPRegenerateUp20#0,"""velocidad de recuperación PP sube 20%"""
exq_PPRegenerateUp30#0,"""velocidad de recuperación PP sube 30%"""
exq_PPRegenerateUp40#0,"""velocidad de recuperación PP sube 40%"""
exq_PPRegenerateUp50#0,"""velocidad de recuperación PP sube 50%"""
exq_PPRegenerateUp60#0,"""velocidad de recuperación PP sube 60%"""
exq_PPRegenerateUp70#0,"""velocidad de recuperación PP sube 70%"""
exq_PPRegenerateUp80#0,"""velocidad de recuperación PP sube 80%"""
exq_PPRegenerateUp90#0,"""velocidad de recuperación PP sube 90%"""
exq_PPRegenerateUp100#0,"""velocidad de recuperación PP sube 100%"""
exq_PPRegenerateUp200#0,"""velocidad de recuperación PP sube 200%"""
exq_PPRegenerateUp300#0,"""velocidad de recuperación PP sube 300%"""
exq_PPRegenerateUp400#0,"""velocidad de recuperación PP sube 400%"""
exq_PPRegenerateUp500#0,"""velocidad de recuperación PP sube 500%"""
exq_PPRegenerateDown10#0,"""velocidad de recuperación PP baja 10%"""
exq_PPRegenerateDown20#0,"""velocidad de recuperación PP baja 20%"""
exq_PPRegenerateDown30#0,"""velocidad de recuperación PP baja 30%"""
exq_PPRegenerateDown40#0,"""velocidad de recuperación PP baja 40%"""
exq_PPRegenerateDown50#0,"""velocidad de recuperación PP baja 50%"""
exq_PPRegenerateDown60#0,"""velocidad de recuperación PP baja 60%"""
exq_PPRegenerateDown70#0,"""velocidad de recuperación PP baja 70%"""
exq_PPRegenerateDown80#0,"""velocidad de recuperación PP baja 80%"""
exq_PPRegenerateDown90#0,"""velocidad de recuperación PP baja 90%"""
exq_RecoveryEffectDown#0,"""Efectos de recuperación baja"""
exq_AtpUp10#0,"""La tasa de daño infligido aumenta un 10%"""
exq_AtpUp20#0,"""La tasa de daño infligido aumenta un 20%"""
exq_AtpUp30#0,"""La tasa de daño infligido aumenta un 30%"""
exq_AtpUp40#0,"""La tasa de daño infligido aumenta un 40%"""
exq_AtpUp50#0,"""La tasa de daño infligido aumenta un 50%"""
exq_AtpUp60#0,"""La tasa de daño infligido aumenta un 60%"""
exq_AtpUp70#0,"""La tasa de daño infligido aumenta un 70%"""
exq_AtpUp80#0,"""La tasa de daño infligido aumenta un 80%"""
exq_AtpUp90#0,"""La tasa de daño infligido aumenta un 90%"""
exq_AtpUp100#0,"""La tasa de daño infligido aumenta un 100%"""
exq_AtpUp110#0,"""La tasa de daño infligido aumenta un 110%"""
exq_AtpUp120#0,"""La tasa de daño infligido aumenta un 120%"""
exq_AtpUp130#0,"""La tasa de daño infligido aumenta un 130%"""
exq_AtpUp140#0,"""La tasa de daño infligido aumenta un 140%"""
exq_AtpUp150#0,"""La tasa de daño infligido aumenta un 150%"""
exq_AtpUp160#0,"""La tasa de daño infligido aumenta un 160%"""
exq_AtpUp170#0,"""La tasa de daño infligido aumenta un 170%"""
exq_AtpUp180#0,"""La tasa de daño infligido aumenta un 180%"""
exq_AtpUp190#0,"""La tasa de daño infligido aumenta un 190%"""
exq_AtpUp200#0,"""La tasa de daño infligido aumenta un 200%"""
exq_AtpUp210#0,"""La tasa de daño infligido aumenta un 210%"""
exq_AtpUp220#0,"""La tasa de daño infligido aumenta un 220%"""
exq_AtpUp230#0,"""La tasa de daño infligido aumenta un 230%"""
exq_AtpUp240#0,"""La tasa de daño infligido aumenta un 240%"""
exq_AtpUp250#0,"""La tasa de daño infligido aumenta un 250%"""
exq_AtpUp260#0,"""La tasa de daño infligido aumenta un 260%"""
exq_AtpUp270#0,"""La tasa de daño infligido aumenta un 270%"""
exq_AtpUp280#0,"""La tasa de daño infligido aumenta un 280%"""
exq_AtpUp290#0,"""La tasa de daño infligido aumenta un 290%"""
exq_AtpUp300#0,"""La tasa de daño infligido aumenta un 300%"""
AllEnemy#0,"""Todos los enemigos"""
EnemyCost7AndMore#0,"""Jefe Enemigo"""
EnemyCost6AndLess#0,"""Enemigos regulares"""
