DirectUse_MyRoom_1#0,"""Confirmar el uso del objeto"""
DirectUse_EquipNote_2#0,"""<pict Arcscash><c 5fdf00>Confirmar el uso del objeto<c><br>O bien te falta un \""Premium Set\"" para beneficiarse<br>de \""Collection Sheet Expansion\"" or your<br>usage period has expired.<br><br>¿Desea utilizar el <yellow>Premium Set<c><br>que tiene en su Inventario para permitir\""Collection Sheet Expansion\""?<br><br><red>※Si tiene varios tipos de billetes, se utilizará el de mayor duración.<c><br><br><red>※Para utilizar el billete usted mismo,<br>  selecciónelo en su inventario.<c>"""
DirectBuy_DishContainer_1#0,"""Item Purchase Confirmation"""
DirectBuy_DishContainer_2#0,"""<pict Arcscash><c ff4f3f>ARKS Cash content<c><br>No tiene derecho a utilizar el<br>\""Material Storage\"", o el período de uso<br>ha expirado.<br><br>You could buy a <yellow>[Material Storage Ticket]<c><br>y utilizarlo inmediatamente.<br>¿Pasa a la pantalla de compra?"""
DirectBuySG_DishContainer_1#0,"""Item Purchase Confirmation"""
DirectBuySG_DishContainer_2#0,"""<pict StarGem><vivid_cyan>SG Consumption<c><br>No tiene derecho a utilizar el<br>\""Material Storage\"", o el período de uso<br>ha expirado.<br><br>You could buy a <yellow>[Material Storage Ticket]<c><br>y utilizarlo inmediatamente.<br>¿Pasa a la pantalla de compra?"""
DirectBuy_EquipNote_1#0,"""Item Purchase Confirmation"""
DirectBuy_EquipNote_2#0,"""<pict Arcscash><c ff4f3f>AC Content<c><br>No puede utilizar Collection Sheet<br>Expansión ya que no ha utilizado un<br>Set Premium, o su Set Premium ha<br>expirado.<br><br>You can buy a <yellow>Premium Set<c><br>to immediately enable the function.<br>¿Proceder a la pantalla de compra?<br><br><red><c>"""
DirectUse_MyFashion_1#0,"""Confirmar el uso del objeto"""
DirectUse_MyFashion_2#0,"""<pict Arcscash><c 5fdf00>Confirmar el uso del objeto<c><br>O bien te falta un \""Premium Set\"" para beneficiarse<br>de \""My Fashion Expansion\"" or your<br>usage period has expired.<br><br>¿Desea utilizar el <yellow>Premium Set<c><br>que tiene en su Inventario para permitir\""My Fashion Expansion\""?<br><br><red>※Si tiene varios tipos de billetes, se utilizará el de mayor duración.<c><br><br><red>※Para utilizar el billete usted mismo,<br>  selecciónelo en su inventario.<c>"""
DirectBuySG_RentalContainer_1#0,"""Item Purchase Confirmation"""
DirectBuySG_RentalContainer_2#0,"""<pict StarGem><c 1dedd7>SG Consumption<c><br>No tiene derecho a utilizar el<br>\""Expansion Storage\"", o el período de uso<br>ha expirado.<br><br>Puede comprar un <yellow>[Expansion Storage Ticket]<c><br>y utilizarlo inmediatamente.<br>¿Pasa a la pantalla de compra?"""
DirectUseSG_RentalContainer_1#0,"""Item Use Confirmation"""
DirectUseSG_RentalContainer_2#0,"""<pict StarGem><c 5fdf00>Confirmar el uso del objeto<c><br>No tiene derecho a utilizar el<br>\""Expansion Storage\"", o el período de uso<br>ha expirado.<br><br>You could buy a rental Storage ticket<br>to enable it.<br>¿Proceder a la pantalla de compra?<br>"""
DirectUse_FreeLight_1#0,"""Item Use Confirmation"""
DirectUse_FreeLight_2#0,"""<pict Arcscash><c 5fdf00>Confirmar el uso del objeto<c><br>No puede utilizar estos ajustes de luz personalizados porque no ha utilizado un conjunto premium o su conjunto premium ha caducado.<br><br>¿Desea utilizar el <yellow>Premium Set<c><br>que tiene en su Inventario para permitir<br>these Custom Light settings?<br><br><red>※Si tiene varios tipos de billetes, se utilizará el de mayor duración.<c><br><br><red>※Para utilizar el billete usted mismo,<br>  selecciónelo en su inventario.<c>"""
DirectUse_FreeCamera_1#0,"""Item Use Confirmation"""
DirectUse_FreeCamera_2#0,"""<pict Arcscash><c 5fdf00>Confirmar el uso del objeto<c><br>No puede utilizar estos ajustes de cámara fija porque no ha utilizado un conjunto premium o su conjunto premium ha caducado.<br><br>¿Desea utilizar el <yellow>Premium Set<c><br>que tiene en su Inventario para permitir<br>these Fixed Camera settings?<br><br><red>※Si tiene varios tipos de billetes, se utilizará el de mayor duración.<c><br><br><red>※Para utilizar el billete usted mismo,<br>  selecciónelo en su inventario.<c>"""
DirectUse_MP_Gold_1#0,"""Item Use Confirmation"""
DirectUse_MP_Gold_2#0,"""<pict Arcscash><c 5fdf00>Confirmar el uso del objeto<c><br>Gold Rewards no han sido desbloqueados para esta temporada del Pase de Misión.<br><br>¿Desea utilizar el <yellow>Mission Pass<br>Gold Ticket<c> que tienes en tu Inventario<br> para desbloquear las Recompensas de Oro?<br><br><red>※Para utilizar el billete usted mismo,<br>  selecciónelo en su inventario.<c>"""
DirectUse_Task_1#0,"""アイテム使用確認"""
DirectUse_Task_2#0,"""<pict Arcscash><c 5fdf00>購入済みアイテムの使用<c><br>サイドタスクの受注上限を超えています。<br><br><yellow>“プレミアムセット”<c>を有効にすることで、<br>受注上限を拡張できます。<br><br>アイテムパック内にお持ちの<br>“プレミアムセット”をすぐに使用しますか？<br><br><yellow><br>※プレミアム有効期間の一番長いチケットを<br>\u3000優先して使用します。<c><br><br><yellow>※使用するアイテムを選択したい場合は、<br>\u3000アイテムパックを確認ください。<c>"""
DirectBuy_PremiumTicket_4#0,"""<pict Arcscash><c ff4f3f>AC消費コンテンツ<c><br>サイドタスクの受注上限を超えています。<br><br><yellow>“プレミアムセット”<c>を有効にすることで、<br>受注上限を拡張できます。<br><br>“プレミアムセット”の購入画面に進みますか？"""
YesNoTitle#0,"""Item Purchase Confirmation"""
YesNoMsgStaminaNotice#0,"""Usted está bajo en $(0) Stamina.<br><br>$(1)<br>[$(4)] puede utilizarse<br>para recuperar instantáneamente su $(0) Stamina.<br>$(2)<br><yellow>¿Proceder a la pantalla de compra?<c><br><br>$(3)"""
YesNoMsgStaminaBuy#0,"""Adquirir los siguientes artículos para $(3)$(2).<br>¿Está seguro?<br><br>$(0)<br><br>$(1)"""
AddMsg_GatType_C#0,"""Harvesting"""
AddMsg_GatType_F#0,"""Fishing"""
AddMsg_Symbol_AC#0,"""<pict Arcscash><c ff4f3f>AC Contents<c>"""
AddMsg_Symbol_SG#0,"""<pict StarGem><c 1dedd7>SG Consumption<c>"""
AddMsg_NoticePrice_Def#0,"""Item: <yellow>$(2)<c><br>Price: <green>$(1)$(0)<c>"""
AddMsg_NoticePrice_Off#0,"""Item: <yellow>$(3)<c><br>Discounted Price: <green>$(1)$(0)<c> (Usually $(2)$(0))"""
AddMsg_BuyPrice_Def#0,"""Item: <yellow>$(2)<c><br>Price: <green>$(1)$(0)<c>"""
AddMsg_BuyPrice_Off#0,"""Item: <yellow>$(3)<c><br>Discounted Price: <green>$(1)$(0)<c> (Usually $(2)$(0))"""
AddMsg_HaveValue#0,"""($(0) Owned: $(1))"""
AddMsg_Bill_AC#0,"""AC"""
AddMsg_Bill_SG#0,"""SG"""
YesNoMsgUseItemNotice#0,"""Necesitarás un [$(3)].<br><br>$(0)<br>Este artículo seguramente<br>adquirirá materiales raros.<br>$(1)<br>¿Proceder a la pantalla de compra?<br><br>$(2)"""
YesNoMsgUseItemBuy#0,"""Purchasing the following items for $(1)AC.<br>¿Estás seguro?<br><br>「$(0)」<br><green>$(1)AC<c><br><br>(Actual AC：$(2))"""
DirectBuy_GatCStaItem#0,"""Harvesting Stamina Drink """
DirectBuy_GatCStaItem01#0,"""Harvesting Stamina Drink (1st)"""
DirectBuy_GatCStaItem02#0,"""Harvesting Stamina Drink (2nd)"""
DirectBuy_GatCStaItem03#0,"""Harvesting Stamina Drink (3rd)"""
DirectBuy_GatCStaItem04#0,"""Harvesting Stamina Drink (4th)"""
DirectBuy_GatCStaItem05#0,"""Harvesting Stamina Drink (5th)"""
DirectBuy_GatCStaItem06#0,"""Harvesting Stamina Drink (6th)"""
DirectBuy_GatCStaItem07#0,"""Harvesting Stamina Drink (7th)"""
DirectBuy_GatCStaItem08#0,"""Harvesting Stamina Drink (8th)"""
DirectBuy_GatCStaItem09#0,"""Harvesting Stamina Drink (9th)"""
DirectBuy_GatCStaItem10#0,"""Harvesting Stamina Drink (10th y más allá)"""
DirectBuy_GatFStaItem#0,"""Fishing Stamina Drink"""
DirectBuy_GatFStaItem01#0,"""Fishing Stamina Drink (1st)"""
DirectBuy_GatFStaItem02#0,"""Fishing Stamina Drink (2nd)"""
DirectBuy_GatFStaItem03#0,"""Fishing Stamina Drink (3rd)"""
DirectBuy_GatFStaItem04#0,"""Fishing Stamina Drink (4th)"""
DirectBuy_GatFStaItem05#0,"""Fishing Stamina Drink (5th)"""
DirectBuy_GatFStaItem06#0,"""Fishing Stamina Drink (6th)"""
DirectBuy_GatFStaItem07#0,"""Fishing Stamina Drink (7th)"""
DirectBuy_GatFStaItem08#0,"""Fishing Stamina Drink (8th)"""
DirectBuy_GatFStaItem09#0,"""Fishing Stamina Drink (9th)"""
DirectBuy_GatFStaItem10#0,"""Fishing Stamina Drink (10th y más allá)"""
