YesText#0,"""Si"""
Popup_TeamCommand#0,"""<pict ba_guild><pict 4space>Team Commands"""
Popup_Mail#0,"""<pict ba_mail><pict 4space>Correo"""
Popup_ArksSearch#0,"""<pict ba_search><pict 4space>ARKS Search"""
Popup_CommuHistory#0,"""<pict ba_commu><pict 4space>Communication History"""
Popup_NearCharacter#0,"""<pict ba_surround><pict 4space>Personajes cercanos"""
Popup_CharacterData#0,"""<pict ba_charainfo><pict 4space>Información de personajes"""
Popup_Honor#0,"""<pict ba_title><pict 4space>Título"""
Popup_ArksCard#0,"""<pict ba_card><pict 4space>ARKS Card"""
Popup_Honor_ArksCard#0,"""Title/ARKS Card"""
Popup_PlayLog#0,"""<pict ba_performance><pict 4space>Play Records"""
Popup_GroupChat#0,"""<pict ba_gchat><pict 4space>Group Chat Settings"""
Popup_ShortcutWord#0,"""<pict ba_shortcut><pict 4space>Shortcut Word Settings"""
Popup_AutoWord#0,"""<pict ba_autoword><pict 4space>Autoword Settings"""
Popup_Motion#0,"""<pict ba_motion><pict 4space>勝利演出設定"""
Popup_SymbolArt#0,"""<pict ba_symbol><pict 4space>Symbol Arts"""
Popup_Information#0,"""<pict ba_info><pict 4space>Information"""
Popup_Help#0,"""<pict ba_help><pict 4space>Ayuda"""
Popup_Option#0,"""<pict ba_option><pict 4space>Opciones"""
Popup_CampaignItem#0,"""<pict ba_get><pict 4space>Receive Campaign Items"""
Popup_ItemCode#0,"""<pict ba_code><pict 4space>Item Code"""
Popup_ControlSetting#0,"""<pict ba_conf><pict 4space>Control Settings"""
Popup_MagMenu#0,"""<pict ba_mag><pict 4space>Mag"""
Popup_Stamp#0,"""<pict ba_stamp><pict 4space>Stamp"""
Popup_BuyScratch#0,"""<pict ba_scratch><pict 4space>Draw Scratch<pict 4space><pict Arcscash>"""
Popup_ScratchStorage#0,"""<pict ba_scwa><pict 4space>Scratch Storage"""
Popup_QuestInfo#0,"""<pict ba_questinfo><pict 4space>Quest Information"""
Popup_Equip_Weapon#0,"""<pict ba_weapon><pict 4space>Equip Weapon"""
Popup_Equip_Guard#0,"""<pict ba_unit><pict 4space>Equip Armor"""
Popup_Equip_Subpalette#0,"""<pict ba_subp><pict 4space>Subpalette"""
Popup_Equip_Fashion#0,"""<pict ba_cos><pict 4space>Edit Fashion"""
Popup_QuestMenue#0,"""Quest Menu"""
Operation_MenuCommon#0,"""Este es el ajuste común para la guía de menús."""
MenuEquipmentOpen#0,"""Equip Selected Item"""
MainMenu_Equip_WeaponPosition#0,"""<pict ba_positioning><pict 4space>Edit Weapon Position"""
MainMenu_Loguin_Bonus#0,"""<pict icon_login_bonus>Login Bonus"""
Menu_Matching_Blockade#0,"""No se puede utilizar mientras se hace el Matching."""
Menu_Ad_Guide#0,"""操作ウィンドウ切り替え：<%ChangeCtrlWindowForward>\u3000\u3000ページ切り替え：<%TabBack><%TabForward>"""
Menu_Ad_Title#0,"""お知らせ"""
MainMenu_CharacterInfo#0,"""Character Info"""
MainMenu_Palette#0,"""Personalizar Palette"""
MainMenu_Inventory#0,"""Inventario"""
MainMenu_Party#0,"""Grupo"""
MainMenu_FriendList#0,"""Lista de amigos"""
MainMenu_Mail#0,"""Correo"""
MainMenu_Macro#0,"""Ajustar mensajes automaticos"""
MainMenu_LogWindow#0,"""Ventana de chat"""
MainMenu_AreaMap#0,"""Mapa del área"""
MainMenu_KeyboardHelp#0,"""Ayuda del teclado"""
MainMenu_Config#0,"""Opciónes"""
MainMenu_Logout#0,"""Desconectarse"""
MainMenu_PlayerList#0,"""Personajes cercanos"""
MainMenu_Library#0,"""Libreria"""
MainMenu_QuestInfo#0,"""Info. de la misión"""
MainMenu_Equip#0,"""Equipar"""
MainMenu_ClientOrder#0,"""Ordenes de clientes"""
MainMenu_MatterBoard#0,"""Matter Board"""
MainMenu_MugMenu#0,"""Menu del MAG"""
MainMenu_CommHistory#0,"""Historial de comunicación"""
MainMenu_ItemTreasure#0,"""Tesoros"""
MainMenu_CharacterStatus#0,"""Status actual"""
MainMenu_Equip_note#0,"""Archivo de recolección"""
MainMenu_simple_gat_status#0,"""/"""
MainMenu_Item_Item#0,"""Inventario"""
MainMenu_Item_Castom#0,"""Personalizar"""
MainMenu_Item_Mug#0,"""Abrir menu del MAG"""
MainMenu_Item_Pet#0,"""Mascotas"""
MainMenu_Equip_Weapon#0,"""Armas"""
MainMenu_Equip_Guard#0,"""Unidades - Protectores"""
MainMenu_Equip_Accessories#0,"""Equipar accessorios"""
MainMenu_Equip_FashionGroup#0,"""Mi moda"""
MainMenu_Equip_Fashion#0,"""Edición de moda"""
MainMenu_Equip_FashionCat#0,"""<pict ba_corde><pict 4space>Fashion Catalog"""
MainMenu_Equip_PolluteEdit#0,"""Dark Blast"""
MainMenu_Equip_Subpalette#0,"""Editar subpaletas"""
MainMenu_Community_Friend#0,"""Lista de amigos"""
MainMenu_Community_Team#0,"""Menu del Team"""
MainMenu_Community_Party#0,"""Menu del grupo"""
MainMenu_Community_Mail#0,"""Correo"""
MainMenu_Community_Chara#0,"""Personajes cercanos"""
MainMenu_MyData_CharaInfo#0,"""Info. del personaje"""
MainMenu_MyData_GatInfo#0,"""Info. de recolección"""
MainMenu_MyData_ContentInfo#0,"""Info. de contenido"""
MainMenu_MyData_License#0,"""Lista de titulos"""
MainMenu_MyData_CraftAchievement#0,"""Logros del Crafteo"""
MainMenu_MyData_MyMenu#0,"""Menu rápido"""
MainMenu_MyData_History#0,"""Historial de comunicación"""
MainMenu_MyData_TitleAndCard#0,"""Titulos / Tarjeta ARKS"""
MainMenu_MyData_Profile#0,"""Editar tarjeta ARKS"""
MainMenu_MyData_Profile_v#0,"""Editar tarjeta ARKS"""
MainMenu_Quest_StoryBoard#0,"""Story Board"""
MainMenu_Quest_MatterBoard#0,"""Matter Board"""
MainMenu_Quest_ArksRoad#0,"""ARKS Road"""
MainMenu_Quest_ClientOrder#0,"""Ordenes de clientes"""
MainMenu_Quest_BingoCard#0,"""ARKS Bingo Card """
MainMenu_Quest_OpenEvent#0,"""Info. de eventos"""
MainMenu_Quest_TotalScoreBoost#0,"""Quest-Linked Boost"""
MainMenu_Quest_ShipBattle#0,"""Competición"""
MainMenu_Quest_QuestInfo#0,"""Info. de la misión"""
MainMenu_Quest_MapChange#0,"""Cambio de mapa"""
MainMenu_Quest_EventItem#0,"""Objetos de evento"""
MainMenu_System_SimbolArt#0,"""Symbol Arts"""
MainMenu_System_ChatConfig#0,"""Config. de chat"""
MainMenu_System_Option#0,"""Opciónes"""
MainMenu_System_LogWindow#0,"""Ventana de chat"""
MainMenu_System_GameHelp#0,"""Ayuda en juego"""
MainMenu_System_OnlineHelp#0,"""Ayuda en linea"""
MainMenu_System_Information#0,"""Información"""
MainMenu_System_Notify#0,"""Anuncio"""
MainMenu_System_LoginStamp#0,"""Sellos de conexión"""
MainMenu_System_StarGem#0,"""Objetos de Star Gem"""
MainMenu_ACMenu_ACShop#0,"""AC Shop<pict 4space><pict Arcscash>"""
MainMenu_SALE_IconText#0,"""$(0)<pict sale_shop_icon>"""
MainMenu_ACMenu_Gacha#0,"""Comprar loteria (Scratch)<pict 4space><pict Arcscash>"""
MainMenu_ACMenu_Recycle#0,"""Tienda de reciclaje"""
MainMenu_ACMenu_MagicStone#0,"""Compra Star Gems<pict 4space><pict Arcscash>"""
MainMenu_ACMenu_HistoryRental#0,"""Historial de compras/Expiracion"""
MainMenu_ACMenu_History#0,"""Historial de compras con AC"""
MainMenu_ACMenu_Rental#0,"""Expiración del alquiler de Servicios"""
MainMenu_Logout_Logout#0,"""Desconectarse"""
MainMenuCategory_ItemPack#0,"""Inventario"""
MainMenuCategory_Equip#0,"""Abrir equipamento"""
MainMenuCategory_MyData#0,"""Mi información"""
MainMenuCategory_Mug#0,"""Mags"""
MainMenuCategory_Community#0,"""Comunidad"""
MainMenuCategory_Quest#0,"""Misión"""
MainMenuCategory_System#0,"""Sistema"""
MainMenuCategory_Shop#0,"""AC Menu"""
MainMenuCategory_Logout#0,"""Desconectarse"""
MainMenu_Title#0,"""Menu principal"""
MainMenu_MainCommand#0,"""Comandos principales"""
MainMenu_Notify#0,"""Nuevo objeto"""
MainMenu_Shortcut#0,"""Atajos"""
MainMenu_Notify_KeyHelp#0,"""Ir a la nueva área usando <%NextWidget>"""
MainMenu_Notify_KeyHelp_reb#0,"""Compruebe las nuevas notificaciones con <%NextWidget>"""
MainMenu_Notify_KeyHelp_reb2#0,"""Abra el menú y compruebe las nuevas notificaciones con <%NextWidget>"""
MainMenu_Notify_KeyHelp_vita#0,"""Pulse <pict Sign_TRIANGLE> para las nuevas áreas."""
MainMenu_Notify_KeyHelp_Disable#0,"""La nueva área aun no se encuentra disponible"""
MainMenu_Notify_KeyHelp_Disable_reb#0,"""No se puede comprobar si hay nuevas notificaciones en este momento."""
MainMenu_Community_NewArrival#0,"""$(0) ($(1))"""
MainMenu_Recycle_NoEnter#0,"""No es posible usarla mientras se encuentre en una misión."""
MainMenu_Recycle_NoEnterTitle#0,"""Tienda de reciclaje"""
WeaponPosition#0,"""Ajustar posición del arma"""
RedPivot#0,"""Ajuste horizontal (Vertical)"""
GreenPivot#0,"""Ajuste vertical (Horizontal)"""
BluaPivot#0,"""Ajustar profundidad"""
Error_NotSetting#0,"""No es posible ajustar la posición<br>del accesorio seleccionado."""
StarGemMessage#0,"""Comprado / $(0)SG<br>Libre / $(1)SG<br><br>※ El SG libre sera consumido primero."""
MainMenu_ACMenu_SGShop#0,"""Tienda de Star Gems <pict StarGem>"""
MainMenu_ArksContract#0,"""Misiones ARKS"""
NotHoldingEvent#0,"""Actualmente no se celebra ningún evento."""
StatusLabel_EveryMpShort1#0,"""Mission Pass: $(0)"""
StatusLabel_EveryMpShort1_2#0,"""Mission Pass: No está abierto"""
StatusLabel_EveryMpShort2#0,"""Tier: $(1) (Until Next Tier $(0)<pict mp_star_icon>)"""
MainMenu_Logout_October#0,"""<space><space><space><space><space><space><space><space><space><space>"""
Toast_October_1#0,"""El botón de cierre de sesión, que estaba ahí hasta que configuré el título, ya no existe."""
Toast_October_2#0,"""Estoy seguro de que ya te has dado cuenta de que el botón de cierre de sesión ha desaparecido."""
Toast_October_3#0,"""Esto no es un error. Repito, esto no es un error. Esta es una función prevista para establecer su título."""
Toast_October_4#0,"""No podrás salir del juego hasta que hayas eliminado el título que has establecido."""
MainMenu_Shop_Window_Title#0,"""Información de la tienda"""
MainMenu_Room_Password#0,"""<pict ba_roomkey><pict 4space>ルームマッチング設定"""
Confirm_Title#0,"""Confirmación de transferencia de nave"""
Confirm_Message#0,"""Las siguientes condiciones tendrán efecto<br>mientras estés en un bloque de batalla de nave compartida. <br> ・[Battle Warrior] class only<br> ・PAs, Techniques, Class Skills unlearned<br> ・No Meseta, CC or on-hand items allowed<br> ・Usage of Storage, Mi habitación y Sala de equipo no están permitidos<br> ・Las notificaciones de misiones de emergencia están ocultas<br> ・Lista de amigos, correo y artes de los símbolos<br> ・Indicador de amistad oculto<br><red>※Todas las condiciones volverán a la normalidad al abandonar la nave compartida. <c><br><red>※Efecto Premium de NetCafe No se aplican los Puntos de Equipo Adicionales.<c><br><red>※Tu personaje puede aparecer en las retransmisiones en directo.<c><br><br>¿Vas a la Sala de Batalla de la Nave Compartida?"""
Confirm_Title_InBlock#0,"""Confirmación de transferencia de bloque"""
Confirm_Message_InBlock#0,"""Estás a punto de transferirte a un bloque de batalla. <br>Las siguientes condiciones tendrán efecto: <br><br> ・[Battle Warrior] class only<br> ・PAs, Techniques, Class Skills unlearned<br> ・No Meseta, CC o ítems de mano permitidos<br> ・No se permite el uso de Almacenamiento<br> ・No se permite mi habitación ni la del equipo<br> ・Las notificaciones de misiones de emergencia están ocultas<br> ・Lista de amigos dedicada, Correo y Artes de los Símbolos<br> ・El medidor de amistad está oculto<br><br>※Todas las condiciones volverán a la normalidad al<br>abandonar la nave compartida. <c><br><br>¿Ir al vestíbulo de batalla compartido?"""
Confirm_Title_InNormal#0,"""Confirmación de transferencia de nave"""
Confirm_Message_InNormal#0,"""Cuando vuelvas a tu barco, ten en cuenta<br>que las solicitudes de amistad, los correos y las artes de los símbolos<br>no se transferirán.<br><br>※Puedes volver a la nave compartida después.<br><br>※El regreso a tu barco aparecerá en<br>tu <br>'Historial de acceso'.<br><br>¿Volver a tu barco?"""
ShopTitleText#0,"""Intercambio de monedas de batalla"""
ShopGuideText#0,"""<c f0df60>Puedes cambiar monedas de batalla por objetos.<c>"""
ShopListTitle#0,"""Menú de la tienda"""
PluralityMenuGuide#0,"""<c f0df60>Por favor, selecciona una tienda.<c>"""
Exit#0,"""Salir de la tienda"""
Buy#0,"""Comprar"""
NameNumber#0,"""$(0) x$(1)"""
BuyTitle#0,"""Confirmacion de compra"""
BuyCheck#0,"""Estos artículos costarán $(1) $(0).<br>¿Continuar con la compra?"""
CPDenomination#0,"""Battle Coins"""
BuyResultMessage1#0,"""Compra completa"""
BuyErrorMessage2#0,"""Te falta espacio libre en tu Inventario,<br>o tienes demasiados de los objetos que estás comprando.<br>La compra no se ha podido completar."""
CPInsufficient#0,"""Insuficientes monedas de batalla."""
BuyResultMessage2#0,"""No se ha podido completar la compra."""
BuyResultTitle#0,"""Compra del artículo"""
CancelTitle#0,"""Confirmar la cancelación de la compra"""
CancelMessage#0,"""Esto cancelará la compra. ¿Continuar?"""
SelectItemInputVita#0,"""Introduzca un importe"""
MenuErrorTitle#0,"""Mensaje"""
MenuErrorMessage#0,"""[Battle Coin Exchange 2] <br><yellow>estará disponible una vez que se haya completado la misión.<c><br><br>No puedes acceder a esta tienda<br>porque la misión aún no se ha completado."""
PokaQuest_SummaryName#0,"""Battle Arena"""
PokaRanking_Title#0,"""Battle Ranking Rewards"""
PokaRanking_RewardConfirm#0,"""Has recibido los siguientes objetos<br>como recompensa de la clasificación de batalla."""
PokaRanking_Date#0,"""Fecha y hora"""
PokaRanking_Caption#0,"""$(1) [$(0)] Recompensa"""
PokaRanking_Rule_BattleRoyal#0,"""Battle Royal"""
PokaRanking_Rule_BattleCrystal#0,"""Emblem Battle"""
PokaRanking_Rule_BattleRoyal_Switch#0,"""Battle Royal (Cloud Version)"""
PokaRanking_Rule_BattleCrystal_Switch#0,"""Emblem Battle (Cloud Version)"""
PokaRanking_PrizeMessage#0,"""Recoge tu recompensa de clasificación de batalla de Mimi, administradora de ARKS League."""
Confirm_Title#1,"""Confirmación transferencia Ship"""
Confirm_Message#1,"""Seras transferido a una nave compartida.<br>Las siguientes condiciones seran aplicadas.<br><br>・Tu Clase sera Desafiante nivel 1.<br>・PAs, técnicas y habilidades seran olvidadas,<br>Mesetas, CC y objetos no podran intercambiarse.<br>No tienes permitido depositar/sacar objetos del almacen.<br>・No puedes usar tu cuarto o el salon de tu Team.<br>・No podrás recibir notificaciones de emergency quest.<br>・Tus amigos, correo y symbol art seran cambiados a unos diferentes para usar en la nave compartida.<br><red>※ Si estas usando NetCafe Premium,<br>Los puntos de Team no seran adicionados cada hora.<c><br><red>※ Todas estas condiciones regresaran a la<br>normalidad después de regresar de la nave compartida.<c><br><br>Ir a la nave compartida?"""
Confirm_Title_InBlock#1,"""Confirmación transferencia bloque"""
Confirm_Message_InBlock#1,"""Seras transferido a un bloque desafio.<br>Las siguientes condiciones seran aplicadas.<br><br>·Tu clase sera Desafiante nivel 1.<br>·PAs, técnicas y habilidades seran olvidadas,<br>·Meseta, CC y objetos no podran intercambiarse.<br><br><red>※ Todas estas condiciones regresaran a la normalidad<br>al salir del bloque de desafio.<c><br>¿Quieres ir a un bloque desafio?"""
Confirm_Title_InNormal#1,"""Confirmación transferencia Ship"""
Confirm_Message_InNormal#1,"""Seras transferido a tu nave.<br>Todas las condiciones de la nave compartida seran regresadas a su condición original.<br><br>・Amigos, correo y symbol art adquiridos<br>en la nave compartida no se podran usar.<br>・Challenge miles adquiridos en misiones de<br>desafio estaran disponibles en los detalles<br>de la nave.<br>・Tu ship's challenge rank sera un valor<br>separado de tu nave compartida challenge ranking.<br><br><yellow>※ Cuando regreses a tu nave, tu [Login History]<br>sera incrementado por 1.<c><br><br><red>※ Las condiciones de la nave compartida regresaran al regesar a la nave compartida.<c><br><br>Ir a tu nave?"""
ShopTitleText#1,"""Tienda de intercambio de CM"""
ShopGuideText#1,"""<c f0df60>Intercambia tus Challenge Miles por objetos.<c>"""
ShopListTitle#1,"""Menú de tienda"""
PluralityMenuGuide#1,"""<c f0df60>Por favor selecciona una tienda.<c>"""
Exit#1,"""Dejar la tienda"""
Buy#1,"""Comprar"""
NameNumber#1,"""$(0) x$(1)"""
BuyTitle#1,"""Confirmación de compra"""
BuyCheck#1,"""Estos artículos costarán $(1) $(0).<br>¿Continuar con la compra?"""
CPDenomination#1,"""CM"""
BuyResultMessage1#1,"""Compra completada."""
BuyErrorMessage2#1,"""Te falta espacio en tu inventario,<br>o está comprando mas objetos de los que puede llevar<br>La compra no se pudo completar."""
CPInsufficient#1,"""Insuficiente CM."""
BuyResultMessage2#1,"""No se puede completar tu compra."""
BuyResultTitle#1,"""Compra de objetos"""
CancelTitle#1,"""Cancelación de compra confirmada"""
CancelMessage#1,"""Esto va a cancelar la compra. Quieres continuar?"""
SelectItemInputVita#1,"""Por favor, introduzca el numero"""
MenuErrorTitle#1,"""Mensaje"""
MenuErrorMessage#1,"""「[Battle Coin Exchange 2] <br><yellow>Estará disponible una vez que se haya completado la misión.<c><br><br>No puedes acceder a esta tienda<br>porque la misión aún no se ha completado."""
ChallengePoint#0,"""Challenge Miles"""
BlackbordCharaName#0,"""Nombre del personaje"""
BlackbordPlayerIDname#0,"""Nombre ID del jugador"""
BlackbordTime#0,"""Publicado"""
BlackbordMessage#0,"""Publicar un mensaje"""
BlackbordTitleText#0,"""Tablero de mensajes"""
BlackbordTitleTextTeam#0,"""Team Bulletin Board"""
Blackbord_InputMessage#0,"""Introduzca el mensaje que desea enviar."""
Blackbord_InputMessageTeam#0,"""Introduzca el mensaje que desea enviar en<br>la pizarra del Team."""
Blackbord_NoMessage#0,"""No hay mensajes.<br>Ingrese un mensaje y luego pulse<br>'Publicar mensaje' para confirmar."""
Blackbord_MessageWriteError#0,"""No se pudo publicar<br>su mensaje.<br>Por favor espere un poco mas,<br>y vuelve a intentarlo."""
Blackbord_WriteToast#0,"""Su mensaje ha sido publicado."""
Blackbord_DeleteMessage#0,"""Se eliminara el mensaje seleccionado.<br>¿Estas seguro?"""
Blackbord_DeleteToast#0,"""El mensaje ha sido eliminado."""
Blackbord_MessageDeleteError#0,"""No se pudo eliminar<br>su mensaje.<br><br>Por favor espere un poco mas,<br>y vuelve a intentarlo."""
Blackbord_NoMessageTitle#0,"""Mensaje de confirmación vacio"""
Blackbord_MessageWriteErrorTitle#0,"""Error del mensaje"""
Blackbord_DeleteMessageTitle#0,"""Confirmación de borrado de mensaje """
Blackbord_MessageDeleteErrorTitle#0,"""Error al borrar el mensaje """
Blackbord_InputMessage_Announce#0,"""※Oprima [Alt]+[Enter] para agregar una nueva linea"""
Logout_Title#0,"""Desconectarse"""
Logout_GameEnd#0,"""Salir del juego"""
Logout_GotoTitle#0,"""Desconectarse"""
Logout_GotoShipSelect#0,"""Selección de nave (Servidor)"""
Logout_Cancel#0,"""Volver"""
Logout_Close_Title#0,"""Salir del juego"""
Logout_Close_Message#0,"""¿De verdad quieres salir del juego?"""
TargetInfo_WeakPoint#0,"""Debil a:"""
TargetInfo_Level#0,"""Lv.$(0)"""
TargetInfo_Name#0,"""$(0) $(1)"""
TargetInfo_WeekAndResist#0,"""$(0)"""
TargetInfo_Ability#0,"""×$(0)"""
TargetInfo_Resist#0,"""Resistente a: """
TargetInfo_ShieldWeakPoint#0,"""Defecto de Escudo:"""
INTERRUPT_CODE_ATTACK#0,"""[ATAQUE]"""
INTERRUPT_CODE_PROTECTION#0,"""[PROTECCION]"""
INTERRUPT_CODE_ELIMINATION#0,"""[ELIMINACION]"""
INTERRUPT_CODE_COLLECT#0,"""[RECOGER]"""
INTERRUPT_CODE_DUEL#0,"""[DUELO]"""
INTERRUPT_CODE_CHASE#0,"""[PERSECUCION]"""
INTERRUPT_CODE_ARREST#0,"""[ARRESTAR]"""
INTERRUPT_CODE_RESCUE#0,"""[RESCATE]"""
INTERRUPT_CODE_DESTRUCTION#0,"""[DESTRUCCION]"""
INTERRUPT_CODE_AVOID#0,"""[EVADIR]"""
INTERRUPT_CODE_CAPTURE#0,"""[CAPTURAR]"""
INTERRUPT_CODE_ESCORT#0,"""[ESCOLTA]"""
INTERRUPT_CODE_PRESENT#0,"""[OBSEQUIO]"""
INTERRUPT_CODE_CLONE#0,"""[CLON]"""
INTERRUPT_CODE_GESTURE#0,"""[GESTO]"""
INTERRUPT_CODE_VANISH#0,"""[VANISH]"""
INTERRUPT_CODE_OFFENSIVE#0,"""[OFENSIVA]"""
INTERRUPT_CODE_INTERCEPT#0,"""[INTERCEPTAR]"""
INTERRUPT_CODE_FOLLOW#0,"""[SEGUIR]"""
INTERRUPT_CODE_UNITE#0,"""[UNIRSE]"""
INTERRUPT_CODE_SEARCH#0,"""[BUSCAR]"""
INTERRUPT_CODE_HIDE#0,"""[ESCONDER]"""
INTERRUPT_CODE_BASH#0,"""[INTENTO]"""
INTERRUPT_CODE_TEST#0,"""[PRUEBA]"""
INTERRUPT_CODE_UNKNOWN#0,"""[DESCONOCIDO]"""
INTERRUPT_CODE_QUICK#0,"""[RAPIDO]"""
INTERRUPT_CODE_PERSONA#0,"""【Persona】"""
INTERRUPT_CODE_JUDGEMENT#0,"""[JUICIO]"""
INTERRUPT_CODE_FORTUNE#0,"""[FORTUNA]"""
INTERRUPT_CODE_JOKER#0,"""[JOKER]"""
INTERRUPT_CODE_ABYSS#0,"""[ABISMO]"""
INTERRUPT_CODE_EXPLOSION#0,"""[EXPLOSION]"""
INTERRUPT_CODE_VARIANT#0,"""[VARIANTE]"""
INTERRUPT_CODE_DISASTER#0,"""[DESASTRE]"""
INTERRUPT_CODE_CHALLENGE#0,"""[RETO]"""
INTERRUPT_CODE_CONTROL#0,"""[CONTROL]"""
INTERRUPT_CODE_DEFEAT#0,"""[DERROTAR]"""
INTERRUPT_CODE_FEAR#0,"""[MIEDO]"""
INTERRUPT_CODE_FUSION#0,"""[FUSION]"""
INTERRUPT_CODE_JAMMER#0,"""[JAMMER]"""
INTERRUPT_CODE_KEEP#0,"""[MANTENER]"""
INTERRUPT_CODE_KILLER#0,"""[MATAR]"""
INTERRUPT_CODE_MANAGE#0,"""[GESTIONAR]"""
INTERRUPT_CODE_NEGOTIATION#0,"""[NEGOCIACION]"""
INTERRUPT_CODE_REGIST#0,"""[REGISTRO]"""
INTERRUPT_CODE_SACRIFICE#0,"""[SACRIFICIO]"""
INTERRUPT_CODE_SNIPE#0,"""[SNIPE]"""
INTERRUPT_SUCCESS_CODE_ATTACK#0,"""Codigo [ATAQUE]"""
INTERRUPT_SUCCESS_CODE_PROTECTION#0,"""Codigo [PROTECCIÓN]"""
INTERRUPT_SUCCESS_CODE_ELIMINATION#0,"""Codigo [ELIMINACIÓN]"""
