WINDOW_TITLE#0,"""¿Qué vas a hacer?"""
RECYCLESHOP_JIG_TITLE15#0,"""Cambiar la categoría del arma de la serie Ares-NT"""
RECYCLESHOP_JIG_TITLE16#0,"""Actualización de la serie Ceres"""
RECYCLESHOP_JIG_TITLE17#0,"""Obtenga Arma 15★"""
RECYCLESHOP_JIG_TITLE18#0,"""Actualización de la serie Profound Xion"""
RECYCLESHOP_JIG_TITLE19#0,"""Obtenga  Modern Arms"""
RECYCLESHOP_JIG_TITLE20#0,"""Cambiar la categoría del arma"""
RECYCLESHOP_JIG_TITLE21#0,"""Obtenga la serie Profound Xion"""
RECYCLESHOP_JIG_TITLE22#0,"""勇者の紋章で★14武器を入手"""
RECYCLESHOP_JIG_TITLE23#0,"""イヴリダシリーズのアップグレード<pict Fresh>"""
RECYCLESHOP_JIG_TITLE24#0,"""紋章で装備品を入手"""
RECYCLESHOP_JIG_TITLE25#0,"""打撃武器の入手"""
RECYCLESHOP_JIG_TITLE26#0,"""射撃武器の入手"""
RECYCLESHOP_JIG_TITLE27#0,"""法撃武器の入手"""
RECYCLESHOP_JIG_TITLE28#0,"""ユニットの入手"""
RECYCLESHOP_JIG_TITLE29#0,"""武器のカテゴリ変更"""
RECYCLESHOP_REO_TITLE01#0,"""Utilizar el certificado para obtener 13★ Weapon"""
RECYCLESHOP_REO_TITLE02#0,"""Utilice el certificado B para obtener ★14 Weapon"""
TICHETSHOP_SEA_TITLE01#0,"""Tienda de intercambio por el 6º aniversario 1 (till 11:00 am, Jul 11, 2018)"""
TICHETSHOP_SEA_TITLE02#0,"""Tienda de intercambio por el 6º aniversario 2 (till 11:00 am, Jul 25, 2018)"""
TICHETSHOP_SEA_TITLE03#0,"""Tienda de intercambio por el 6º aniversario 1 (till 11:00 am, Aug 1, 2018)"""
TICHETSHOP_SEA_TITLE04#0,"""Tienda de intercambio por el 6º aniversario 2 (till 11:00 am, Aug 8, 2018)"""
TICHETSHOP_SEA_TITLE05#0,"""Homura Series Exchange Shop (till 11:00 am, Aug 8, 2018)"""
TICHETSHOP_SEA_TITLE06#0,"""New Year's Festival 2019 Exchange Shop 1 (till 11:00 am, Jan 23, 2019)"""
TICHETSHOP_SEA_TITLE07#0,"""New Year's Festival 2019 Exchange Shop 2 (till 11:00 am, Feb 6, 2019)"""
TICHETSHOP_SEA_TITLE08#0,"""Omega DF Series Exchange Shop (till 11:00 am, Mar 6, 2019)"""
TICHETSHOP_SEA_TITLE09#0,"""2019 New Year’s Festival Exchange Shop 1 (till 11:00 am, Feb 20, 2019)"""
TICHETSHOP_SEA_TITLE10#0,"""2019 New Year’s Festival Exchange Shop 2 (till 11:00 am, Mar 6, 2019)"""
TICHETSHOP_SEA_TITLE13#0,"""限定ACリサイクルショップ（～2019年8月21日11時00分)"""
TICHETSHOP_SEA_TITLE14#0,"""7周年バッヂ交換ショップ・前半（～2019年7月24日11時00分)"""
TICHETSHOP_SEA_TITLE15#0,"""Web連動パネル確認"""
TICHETSHOP_SEA_TITLE21#0,"""7周年バッヂ交換ショップ・後半（～2019年8月7日11時00分)"""
TICHETSHOP_SEA_TITLE24#0,"""7周年バッヂ交換ショップ（～2019年8月21日11時00分)"""
TICHETSHOP_SEA_TITLE22#0,"""7周年バッヂでノヴェルシリーズ引換券を入手"""
TICHETSHOP_SEA_TITLE23#0,"""ノヴェルシリーズ交換ショップ（～2019年8月21日11時00分)"""
TICHETSHOP_SEA_TITLE16#0,"""個人ポイント報酬確認"""
TICHETSHOP_SEA_TITLE17#0,"""獲得ポイントランキング報酬確認"""
TICHETSHOP_SEA_TITLE18#0,"""獲得ポイントランキング"""
TICHETSHOP_SEA_TITLE19#0,"""前半ランキング確認"""
TICHETSHOP_SEA_TITLE20#0,"""後半ランキング確認"""
TICHETSHOP_SEA_TITLE25#0,"""Web連動メニュー"""
TICHETSHOP_COLLABO_TITTLE01#0,"""Huntstone Exchange Shop (till 11:00 am, Dec 5, 2018)"""
TICHETSHOP_COLLABO_TITTLE02#0,"""Ceres Series Exchange Shop (till 11:00 am, Dec 5, 2018)"""
QC_STORY_EP6#0,"""Story Quests"""
EP6_CHANGE_SIERRA#0,"""Cambiar episodio"""
00_01#0,"""Opción 1"""
00_02#0,"""Opción 2"""
TALK_ST#0,"""Hablar"""
C_ORDER_ST#0,"""Escuchar"""
