MenuTitle#0,"""Exchange Shop"""
MenuTitleCampship#0,"""Medical Terminal"""
MenuGuide#2,"""<c f0df60>Aquí puedes comprar diferentes Buff Drinks que te fortalecerán durante tu próxima búsqueda.<c>"""
CategoryAtp#0,"""Attack Boost"""
CategoryDef#0,"""Defense Boost"""
CategoryHp#0,"""HP Boost"""
CategoryPp#0,"""PP Boost"""
CategoryRandom#0,"""Random Effect"""
BuyCheck#0,"""¿Estas seguro de querer comprar<br>a $(0) por $(1) Mesetas?"""
ErrorDrinked#0,"""Ya has utilizado una bebida.<br>Por favor, termina la Misión<br>para usar una diferente."""
ErrorNotMeseta#0,"""Mesetas insuficientes."""
ErrorQuestFinished#0,"""La misión actual ha sido completada.<br>No se puede usar una bebida hasta que<br>una nueva misión haya sido aceptada."""
ErrorNotPremium#0,"""No puedes beber esto por que no eres Premium."""
ErrorOther#0,"""El efecto de la bebida no ocurrio.<br><br>Error code [2101]"""
DrinkEffectMessage#0,"""Has adquirido el siguiente efecto ( Por un<br>tiempo limitado, o hasta completar la misión )."""
DrinkEffectMessage_Premium#0,"""Se han concedido el siguiente <yellow>Premium effect.<c><br>(Por un tiempo limitado,<br>o hasta completar la misión)."""
CheckTitle#0,"""Confirmación de ingesta de bebida"""
SubEffect#0,"""<space>"""
SubEffectPremium#0,"""<space>"""
DrinkMenu#0,"""Drinks Menu"""
DrinkEffect#0,"""Drink Effects"""
Main#0,"""Main Effect"""
Sub#0,"""Add. Effect"""
StopDrink#0,"""Pause Boost Item Effects"""
BuyCheck_SuspendWarning#0,"""$(0) sera comprado<br>con $(1) Mesetas.<br>¿Continar?<br><br><c f0df60>※ Por que [Pausar efecto de la bebida] está activo, \u3000el tiempo de activación de la bebida \u3000esta pausado.<c>"""
ItemEffect_SuspendHint#0,"""Si marcas está casilla<br>los efectos de las bebidas<br>se detienen<br><br><yellow>※ Los efectos se pausan<br>mientras no se inicie la misión<c>"""
ShopTitle#0,"""Asesora de Netcafe"""
MenuGuide#3,"""<c f0df60>Aquí puedes intercambiar Puntos Café, que solo se pueden ganar a través de Cibercafés afiliados a PSO2, o al comprar una cierta variedad de objetos originales usando Meseta<c>"""
MenuGuide_v#0,"""<c f0df60>Aquí puedes intercambiar Puntos Café, que solo se pueden ganar a través de Cibercafés afiliados a PSO2, o al comprar una cierta variedad de objetos originales usando Meseta<c>"""
PointGuide#0,"""<c f0df60>Elige el artículo que deseas comprar con Cafe Points<c>"""
MesetaGuide#0,"""<c f0df60>【Solo cuando se conecta a través de un cibercafe】 Escoge el objeto que deseas comprar.<c>"""
MenuTitle#3,"""Menu principal"""
MenuPointShop#0,"""Intercambia tus Cafe Points por objetos"""
MenuMesetaShop#0,"""Comprar objetos (Solo Net Cafe)"""
MenuExit#0,"""Dejar el asesor"""
NetcafeInfoTitle#0,"""Info. del Netcafe"""
NetcafeInfoShopName#0,"""Nombre de la tienda"""
CpDenomination#0,"""CP"""
CashTitle#0,"""Cafe Points actuales"""
TotalCashTitle#0,"""Total puntos café"""
PaperDoll#0,"""Vista previa"""
SwapTitle#0,"""Confirmación de compra"""
BuyTitle#0,"""Confirmación de compra"""
BuyCheck#1,"""Estos objetos costaran $(1) $(0).<br>¿Continuar con la compra?"""
CancelTitle#1,"""Cancelación de la compra confirmada"""
CancelMessage#1,"""Esto va a cancelar la compra. ¿Deseas continuar?"""
CafePointInsufficient#0,"""No tienes suficientes Cafe Points."""
MenuConnectTime#0,"""Tiempo de los NetCafe"""
ConnectTimeTitle#0,"""Tiempo de juego actual"""
ConnectTimeMessage#0,"""■ Tu tiempo en total en los NetCafe:<br>\u3000$(0)"""
NetCafeEventInfo#0,"""<br><br>■『$(1)』<br>\u3000接続時間：$(3)（$(2)で報酬獲得）<br>\u3000\u3000※開催期間 $(0) まで"""
ShopTitle#1,"""Tienda de reciclaje"""
ShopTitle_k_m#0,"""Tienda de Shiny/Spellstone"""
MenuGuide#4,"""<c f0df60>Puedes obtener una variedad de objetos cambiándolos por objetos especificos. Si cambias mas de la cuenta, puedes recivir multiples objetos.<c>"""
MenuGuideItemSelect#0,"""<c f0df60>Por favor selecciona la cantidad de objetos que quieres cambiar. Presiona <c><%MultiSelect><c f0df60> para escojer multiples objetos.<c>"""
NotingSetItem#0,"""No ha establecido un objeto de destino."""
SuccessMessage#1,"""Completado."""
FailedMessage#1,"""Ha fallado."""
FailedMessage2#1,"""Intercambio fallido.<br>Excede el limite de apilado, o tu inventario<br>esta lleno."""
FailedMessage3#1,"""<yellow>Se requiere Premium para intercambiar por este artículo."""
NotingTradeItem#0,"""Objeto no encontrado."""
ChangeTitle#0,"""Confirmación"""
ChangeCheck#1,"""Seran cambiados los objetos seleccionados por.<br><c f0df60>$(0)<c> ×$(1)<br>Los de abajo seran consumidos, ¿Estas segur@<br>de querer continuar?<br><yellow>※ Solo los siguientes objetos seran consumidos.<c>"""
TargetItem#0,"""Objetivo $(0) × $(1)x"""
TargetItem2#0,"""$(0) × $(1)個"""
CancelTitle#2,"""Cancelar intercambio"""
CancelMessage#2,"""Esto cancelara el intercambio.<br>¿Deseas continuar?"""
InventoryList#0,"""Lista del inventario"""
TargetItemInfo#0,"""Objeto seleccionado"""
SwapList#0,"""Lista de objetos a cambiar"""
SwapNum#0,"""Cantidad a cambiar"""
NeedItem#0,"""Objetos que quieres"""
ChangeCheckVita#1,"""<c f0df60>$(0)<c> ×$(1)<br>seran cambiados por los elementos seleccionados.<br>¿Quieres continuar?<br><br><yellow>※ Solo los siguientes Objetos seran consumidos.<c>"""
SelectItemVita#1,"""Exchange number selection"""
SelectItemInputVita#1,"""Por favor, introduzca el numero"""
ItemErrorVita#0,"""Exchange item error"""
ItemErrorMessageVita#0,"""Already required number of items have been selected."""
PluralityMenuGuide#1,"""<c f0df60>Por favor selecciona una opción.<c>"""
Warehouse#1,"""Abrir almacen"""
ShopTitle_m#0,"""Tienda de Spellstone"""
ShopTitle_b01#0,"""Tienda de medallas Buster"""
ShopTitle_k#0,"""Tienda Pyroxene"""
ShopTitle_jig#0,"""Tienda emblemas"""
ShopTitle_reo#0,"""Intercambio de certificados"""
ShopTitle_sea#0,"""Tienda de Intercambio"""
ShopChallengeWeaponTitle#0,"""Intercambiar armas"""
ShopTitle_sea01#0,"""Intercambio de Novel Series"""
ShopChallengeUnitTitle#0,"""Intercambiar unidades"""
ShopChallengePATECTitle#0,"""Intercambiar PAs/Técnicas"""
ShopChallengeSkillTitle#0,"""Intercambiar discos de habilidad"""
ShopChallengeConsumeTitle#0,"""Intercambiar objetos consumibles"""
ShopChallengeATitle#0,"""Intercambiar piedras Rojas"""
ShopChallengeBTitle#0,"""Intercambiar piedras Azules"""
ShopChallengeCTitle#0,"""Intercambiar piedras Verdes"""
ShopChallengeDTitle#0,"""Intercambiar piedras Amarillas"""
ShopChallengePATECTitle01#0,"""Intercambiar discos"""
MenuGuideWepSelect#0,"""<c f0df60> Elige un arma que heredará las habilidades especiales y otras propiedades.<c>"""
BaseSelect#0,"""Selección de arma base"""
WepSelectTitle#0,"""Selección de arma base"""
TaktCheckMessage#0,"""Si se selecciona un [Takt] como arma base o el arma completada es un [Takt], entonces no se aplicarán las Habilidades especiales y el Atributo.<br>¿Deseas continuar?"""
LimitExchange#0,"""Usted supera el número de objetos."""
NoExchangeMessage#0,"""Por favor mejore el objeto solicitado<br>a +35 e inténtelo de nuevo."""
ExchangeTitle#0,"""Confirmación del cambio de objeto"""
TargetItem3#0,"""$(0) <red>× $(1)個<c>"""
TargetItem4#0,"""$(0) ＋ $(1)"""
TargetItemMulti#0,"""Intercambiar varios objetos"""
TargetItemEtc#0,"""$(0) など"""
PopupExchange#0,"""Intercambiar"""
PopupSpecialFactor#0,"""Confirmar Special Ability Factor"""
PopupPotential#0,"""Confirmar Potential Ability"""
MenuTitleJig1#0,"""Intercambio de emblema y material"""
MenuTitleJig2#0,"""Devolución de material"""
MenuTitleJig3#0,"""Intercambio de Crystal Fragment"""
MenuTitleJig4#0,"""Intercambio de Camo Genesis"""
MenuTitleJig5#0,"""Mejora de Serie Orbit"""
MenuTitleJig6#0,"""Mejora de Serie Ray"""
MenuTitleJig7#0,"""Intercambio de Camo Avatar"""
MenuTitleJig8#0,"""Mejora de Serie Zeinesis"""
MenuTitleJig9#0,"""Mejora de Serie de la Tierra"""
MenuTitleJig10#0,"""Mejora de Serie Qliphad"""
MenuTitleJig11#0,"""Mejora de Serie Evleda"""
MenuTitleJig12#0,"""Mejora de Serie Cleasis"""
MenuTitleJig001#0,"""Mejora de Serie Cleasis"""
MenuTitleJig002#0,"""Mejora de Serie Evleda"""
MenuTitleJig003#0,"""Mejora de Serie de la Tierra"""
MenuTitleJig004#0,"""Mejora de Serie Qliphad"""
MenuTitleJig005#0,"""Mejora de Serie Zeinesis"""
MenuTitleJig006#0,"""Mejora de Serie Ray"""
MenuTitleJig007#0,"""Intercambio de Objetos Basicos"""
MenuTitleJig008#0,"""Intercambio de Camo de Armas"""
MenuTitleJig009#0,"""Intercambio de Camo Genesis"""
MenuTitleJig010#0,"""Intercambio de Camo Avatar"""
MenuTitleJig011#0,"""Intercambio de Serie Invade"""
MenuTitleJig012#0,"""Intercambio de Serie Austere"""
MenuTitleJig013#0,"""Intercambio de Serie Orbit"""
MenuTitleJig014#0,"""Intercambio de Fahren y devolución de material"""
MenuTitleJig015#0,"""Mejora de Serie Broken"""
MenuTitleJig016#0,"""Mejora de Serie Val"""
MenuTitleJig017#0,"""Intercambio de Serie Atlas"""
MenuTitleJig018#0,"""Actualizacion de Serie Nemesis"""
MenuTitleJig019#0,"""Actualizacion de Serie Slave"""
MenuTitleJig020#0,"""Intercambio de ★14 Conqueror´s Crest"""
MenuTitleJig021#0,"""Intercambio de Invade NT"""
MenuTitleJig022#0,"""Mejora de Serie Demon"""
MenuTitleJig023#0,"""Mejora de Serie Jutus"""
MenuTitleJig024#0,"""Mejora de Serie Homura"""
MenuTitleJig025#0,"""Intercambio de ★14 King´s Crest"""
MenuTitleJig026#0,"""Intercambio de Serie Ares-NT"""
MenuTitleJig027#0,"""Mejora de Serie Ceres"""
MenuTitleJig028#0,"""Mejora de Serie Profound Xion"""
MenuTitleJig029#0,"""Mejora de Serie Celestial Xion"""
MenuTitleJig030#0,"""Intercambio de Lightstream Xion"""
MenuTitleJig031#0,"""Mejora de Serie Atlas"""
MenuTitleJig032#0,"""Intercambio de Serie Atlas EX"""
MenuTitleJig033#0,"""Actualizacion de Serie Austere"""
MenuTitleJig034#0,"""Intercambio de Serie Profound Xion"""
MenuTitleJig035#0,"""Intercambio de ★14 Hero Crest"""
MenuTitleJig036#0,"""Mejora de Serie Evleda <pict Fresh>"""
MenuTitleJig037#0,"""Intercambio de Serie Liberate"""
MenuTitleJig038#0,"""Cambio de Series Cras"""
MenuTitleJig039#0,"""Cambio de Series Fluxio"""
MenuTitleJig01_01#0,"""Hero´s Crest."""
MenuTitleJig01_02#0,"""King´s Crest."""
MenuTitleJig01_03#0,"""Conqueror´s Crest."""
MenuTitleJig01_04#0,"""Sage´s Crest."""
MenuTitleJig02_01#0,"""<pict sw_icon> Sword"""
MenuTitleJig02_02#0,"""<pict wl_icon> Wired Lance"""
MenuTitleJig02_03#0,"""<pict pz_icon> Partizan"""
MenuTitleJig02_04#0,"""<pict td_icon> Twin Daggers"""
MenuTitleJig02_05#0,"""<pict ds_icon> Double Saber"""
MenuTitleJig02_06#0,"""<pict kn_icon> Knuckles"""
MenuTitleJig02_07#0,"""<pict bl_icon> Katana"""
MenuTitleJig02_08#0,"""<pict du_icon> Dual Blades"""
MenuTitleJig02_09#0,"""<pict gs_icon> Gunslash"""
MenuTitleJig03_01#0,"""<pict rf_icon> Assault Rifle"""
MenuTitleJig03_02#0,"""<pict gl_icon> Launcher"""
MenuTitleJig03_03#0,"""<pict ts_icon> Twin Machineguns"""
MenuTitleJig03_04#0,"""<pict co_icon> Bullet Bow"""
MenuTitleJig04_01#0,"""<pict rd_icon> Rod"""
MenuTitleJig04_02#0,"""<pict tr_icon> Talis"""
MenuTitleJig04_03#0,"""<pict wd_icon> Wand"""
MenuTitleJig04_04#0,"""<pict je_icon> Jet Boots"""
MenuTitleJig04_05#0,"""<pict tt_icon> Takt"""
MenuTitleJig05_01#0,"""<pict ab_icon> Rear"""
MenuTitleJig05_02#0,"""<pict ah_icon> Arms"""
MenuTitleJig05_03#0,"""<pict al_icon> Legs"""
MenuTitleJig06_01#0,"""Lightstream Xion."""
MenuTitleJig06_02#0,"""Atlas EX."""
MenuTitleJig06_03#0,"""Atlas."""
MenuTitleJig07#0,"""<pict qi_icon>Material"""
MenuTitleJig06_04#0,"""Ares-NT."""
MenuTitleReo001#0,"""★13 Certificate Exchange"""
MenuTitleReo002#0,"""★14 Certificate B Exchange"""
MenuTitleSea001#0,"""Homura Series Exchange"""
MenuTitleSea003#0,"""Novel Series Exchange"""
MenuTitleCollabo001#0,"""Ceres Series Exchange"""
MenuTitleSea002#0,"""Obtenido en el certificado de la serie Novel de la tienda del séptimo aniversario."""
ChangeItemSettingNumTitle#0,"""Configurar cantidad de intercambio"""
ChangeItemSettingNumMessage#0,"""Por favor coloca la cantidad de objetos que quieres intercambiar."""
ChangeItemSettingNumErrorTitle#0,"""Error de cantidad"""
ChangeItemSettingNumErrorMessage#0,"""Límite de cantidad excedido; no se puede intercambiar"""
HandoverGammaMessage#0,"""<c f0df60>$(0)<c>×$(1)<br><c ff9c70>El arma a cambiar mantendra lo siguiente:<c><br><yellow>Grind, Element, Special Habilidades, Craft Nivel,<br>Photon Color y registro de propietario.<c><br><br>¿Eso está bien?<br><yellow>※ Los objetos que no están especificados se perderan.<c>"""
HandoverAddonMessage#0,"""<c f0df60>$(0)<c>×$(1)<br>serán intercambiados por el objeto seleccionado.<br><br><c ff9c70>La Unit mantendra lo siguiente:<c><br><yellow>Grind, Special Habilidades, Timed Habilidades,<br>Photon Color, y registro del propietario.<c><br><br>¿Eso está bien?<br><yellow>※ Los elemento que no esten especificados se perdera.<c><br>"""
MenuGuide_Limit#0,"""<c f0df60>Seleccione un objeto para el cambio. (Las cantidades de intercambio están limitadas por semana y se restablecen cada miércoles a las 13:00 JST).<c>"""
MenuGuideKey#0,"""<c f0df60>Puede intercambiar artículos que caducaron después de $(3)/$(0)/$(4) $(1):$(2).<c>"""
NoPotentialErrorMessage#0,"""No hay potencial para mostrar."""
HandoverTactMessage#0,"""<c f0df60>$(0)<c> x$(1)<br>Se intercambiará por el objeto seleccionado.<br><br><c fba646>El arma transferirá lo siguiente:<c><br>Grind Level, Overgrind Limit,<br>Color de Photon y registro de propietario<br><br>¿Eso esta bien?"""
CategoryChangeTactMessage#0,"""<c f0df60>$(0)<c> x$(1)<br>Se intercambiará por el objeto seleccionado.<br><br><c fba646>El arma transferirá lo siguiente:<c><br>Grind Level, Overgrind Limit,<br>Color de Photon y registro de propietario<br><c ff4f3f>※El atributo, el valor del atributo y todas<br>las habilidades especiales se perderán.<c><br><br>¿Eso esta bien?"""
MenuTitleLimit#0,"""Tienda de cambios por tiempo limitado"""
ShopTitle#2,"""Tienda"""
ShopTitle_f#0,"""Tienda culinaria"""
ShopTitle_r#0,"""Tienda de anillos"""
Title#0,"""Lista de productos"""
MenuGuide#5,"""<c f0df60>Por favor seleccione un objeto. También necesitarás Meseta y un material especifico.<c>"""
NotingSetItem#1,"""No ha establecido un objeto de destino."""
SuccessMessage#2,"""Objeto obtenido."""
FailedMessage#2,"""Fallo al obtener el objeto.<br>Por favor, intentelo mas tarde."""
FailedMessage2#2,"""El paquete de objetos no se puede obtener<br>porque se ha quedado sin espacio<br>o ha excedido el límite de posesión."""
FailedMessage3#2,"""Para obtener este producto<br>es obligatorio tener <yellow>Cuenta Premium<c>."""
NotingTradeItem#1,"""No tienes<br>Los objetos requeridos o las Mesetas."""
NotingTradeItem2#0,"""Insuficientes objetos requeridos."""
NotingTradeItem3#0,"""Insuficientes mesetas."""
LockErrorMessage#0,"""El objeto seleccionado está bloqueado<br>y no se puede utilizar.<br>Por favor, compruebe el estado<br>de bloqueo en el objeto."""
ChangeTitle#1,"""Adquisición del objeto"""
ChangeResultTitle#0,"""Adquisición del objeto"""
ChangeErrorTitle#0,"""Error de adquisición del objeto"""
ChangeCheck#2,"""<yellow>Paga usando Meseta para comprar<br>Los siguientes objetos:<br><br>$(0)<c>×$(1)<br><br>¿Está eso bien?<br><br><yellow>Meseta requerida：$(2)(Propiedad：$(3))<c>"""
PluralityMenuGuide#2,"""<c f0df60>Por favor selecciona una tienda.<c>"""
Warehouse#2,"""Abrir almacen"""
ChangeItemSettingNumTitle#1,"""Selección de cantidad"""
ChangeItemSettingNumMessage#1,"""Seleccione cuántos objetos desea"""
ChangeItemSettingNumErrorTitle#1,"""Error de cantidad"""
ChangeItemSettingNumErrorMessage#1,"""No se puede obtener; Límite de almacenaje alcanzado."""
FormTitleRingL#0,"""Tienda de anillos L"""
FormTitleRingR#0,"""Tienda de anillos R"""
FormTitleRingMix#0,"""Tienda de anillos combinados"""
FormTitleFood#0,"""Tienda culinaria"""
title#0,"""Food Stand"""
Explanation1#0,"""<c f0df60>Aquí puedes meter/sacar, objetos/mesetas del almacen.<c>"""
Explanation2#0,"""<c f0df60>Deposita, retira o mueve objetos. Puede arrastrar y soltar objetos en la columna izquierda.<c>"""
Explanation3#0,"""<c f0df60>Deposita, retira o mueve objetos. Puede arrastrar y soltar objetos en la columna izquierda.<c>"""
Explanation4#0,"""<c f0df60>Retira objetos de Almacen o Almacén temporal. Puede arrastrar y soltar objetos en la columna izquierda.<c>"""
ChoiceMenu#0,"""Select an Item"""
ChoiceMenu2#0,"""Create from My Recipes"""
MaterialListTitle#0,"""Item List"""
BoostListTitle#0,"""Boost Effect"""
NotingBoost#0,"""No Boost Effect."""
UseItemListTitle#0,"""Items to Use"""
NotingItem#0,"""No Items."""
UseItemNum#0,"""Items to Use"""
ConfirmationTitle#0,"""Confirmation"""
ConfirmationAttentionMessage#0,"""Crea comida con los siguientes ingredientes... <br><br><yellow>Si ya has creado un refuerzo con comida<br>antes de esto, tu refuerzo se sobrescribirá.<c>"""
ResultTitle#0,"""Boost Effect"""
ResultMessage#0,"""Se han aplicado los siguientes efectos de refuerzo:"""
RecipeMenuTitle#0,"""Receta Selection"""
RecipeSetNull#0,"""Guardar"""
RecipeSet#0,"""Guardar Receta"""
RecipeMenu1#0,"""Usar Receta"""
RecipeMenu2#0,"""Editar nombre de Receta"""
RecipeMenu3#0,"""Borrar Receta"""
RecipeNameSet#0,"""Nombre de Receta"""
RecipeNameResultTitle#0,"""Guardado completo"""
RecipeNameResultMessege#0,"""Receta guardado."""
RecipeNameEditTitle#0,"""Edición completa"""
RecipeNameEditMessege#0,"""nombre de Receta editado."""
RecipeDelete#0,"""Borrar Receta"""
RecipeDeleteMessege#0,"""¿Proceder a borrar la Receta especificada?"""
RecipeDeleteResultTitle#0,"""Confirmación de borrado"""
RecipeDeleteResultMessege#0,"""Receta eliminada."""
ErrorMessage#0,"""Hay un problema de comunicación."""
ResultBoostAtpUp#0,"""[Meat] Damage +$(0)%"""
ResultBoostDfpUp#0,"""[Vegetables] Damage Resistance +$(0)%"""
ResultBoostHpUp#0,"""[Seafood] HP +$(0)%"""
ResultBoostPpUp#0,"""[Fruit] PP +$(0)%"""
ResultBoostWeaknessUp#0,"""[Sharp] Weakness Damage +$(0)%"""
ResultBoostHealUp#0,"""[Healthy] HP Recovery +$(0)%"""
ResultBoostPpRecoverySpeedUp#0,"""[Refreshing] PP Recovery +$(0)%"""
ResultBoostPpUsageDown#0,"""[Nourishing] PP Cost Reduction +$(0)%"""
RecipeNameRegistrationMessege#0,"""Enter Recipe Name"""
MaterialCount#0,"""x$(0)"""
MaterialCountMax#0,"""($(0))"""
MaterialCountSlash#0,"""/"""
TopWindowTitle#0,"""Food Menu"""
EffectDuringOccurrence#0,"""Added Effects"""
OccurringEffect#0,"""Additional Effects"""
DefaultRecipeName#0,"""Recipe: $(0)"""
ShopTitle#3,"""AC Shop"""
MenuGuide#6,"""<c f0df60>Comprar y consumir artículos sólo de AC. También puedes cargar AC.<c>"""
ItempackGuide#0,"""<c f0df60>Seleccione un objeto para comprar. Los artículos comprados se colocarán en tu inventario.<c>"""
WarehouseGuide#0,"""<c f0df60>Seleccione un objeto para comprar. Los objetos comprados se colocarán en su Almacén.<c>"""
HistoryGuide#0,"""Ver el historial de compras de AC."""
MenuItemPack#0,"""Comprar (Inventory)"""
MenuWarehouse#0,"""Comprar (Storage)"""
MenuHistory#0,"""Historial de compras"""
MenuCharge#0,"""Carga de AC"""
MenuAboutAC#0,"""Sobre AC"""
AboutACMessage#0,"""La carga de AC con tu smartphone ya está aquí (sólo algunos smartphones son compatibles)."""
HaveAC#0,"""AC Actual"""
TotalAC#0,"""Requiere AC"""
BuyTitle#1,"""Confirmación de compra"""
BuyCheck#2,"""Esto comprara lo siguiente por $(2)$(0).<br>¿Estas seguro?<br><br>(Actual AC: $(1))"""
PackItemTitle#0,"""Expansión del inventario"""
PackItemListText#0,"""$(0)\u3000(Tienes: $(1))"""
PackItemListText2#0,"""$(0)×$(2)\u3000(Tienes: $(1))"""
MessageNotAc#0,"""Insuficiente AC."""
MessageCancel#0,"""Cancelado."""
MessageBusy#0,"""Comunicando..."""
MessageOk#0,"""Objeto comprado."""
Direct_MessageOk#0,"""Objeto comprado y usado."""
MessageNoSpace#0,"""No hay suficiente espacio en el inventario."""
MessageError#0,"""Un error ha ocurrido.<br>Could not purchase.<br><br>Error code [2102]"""
MessageNotItem#0,"""Objeto no encontrado.<br><br>Error code [2103]"""
HaveTicket#1,"""<pict Arcscash><c ff4f3f>Compras adicionales<c><br>Además de los objetos que <c 5fdf00>ya compró<c>,<br>se agregará lo siguiente por $(2)$(0).<br>¿Estas seguro?<br>( Actual AC：$(1) )"""
AcCharge#0,"""No hay suficiente AC.<br>¿Deseas cargar mas AC?"""
AcCharge_v#0,"""ACが不足しています。<br>ACをチャージしますか？<br><br><yellow>※ブラウザーを起動し、Webページへ移動します。<br>ゲームは終了してログアウトされます。<c>"""
ACChargeURL#0,"""<&URL AC_CHARGE_PAGE>"""
HistoryTitle#0,"""Historial de compras"""
HistoryEmpty#0,"""Tu historial de compras está vacio."""
HistoryTime#0,"""Purchase fecha/hora"""
CancelTitle#3,"""Cancelación de la compra confirmada"""
CancelMessage#3,"""Esto va a cancelar la compra. ¿Deseas continuar?"""
Welcome1#0,"""Bienvenidos, gracias por venir!"""
Welcome2#0,"""¡Tenemos muchos objetos que no puedes dejar ir!"""
Welcome3#0,"""¡Por favor asegurate de mirar nuestra ultima mercancia tambien!"""
Welcome4#0,"""Podemos recomendar, uhm... ¡Todo!"""
BuyMessage#0,"""¡¡En-Encerio muchas gracias!!, ¡Estamos de verdad agradecidos!"""
PaperDoll#1,"""Vista previa"""
TabName0#0,"""1. Todos los objetos"""
TabName1#0,"""2. Recomendados"""
TabName2#0,"""3.Comprar loteria"""
TabName3#0,"""4. Objetos de expansión"""
TabName4#0,"""5.Consumibles"""
TabName5#0,"""6.Meseta."""
TabName6#0,"""7.No hay conjunto"""
TabName7#0,"""8.No hay conjunto"""
TabName8#0,"""9.No hay conjunto"""
Date#0,"""Datos"""
NewHistory#0,"""Compras recientes"""
HistoryDBError#0,"""Error al recuperar el historial. Por favor, intentelo mas tarde."""
