GroupChat_Title#0,"""Chat Grupal"""
NewGroupChat#0,"""Invitación a un nuevo grupo"""
NewExpGroupChat#0,"""Recibió una invitación grupal."""
GroupChatTost_GroupList#0,"""Obtener información del grupo"""
GroupChatTost_GroupCreate#0,"""Crear un grupo"""
GroupChatTost_Delete#0,"""Salió del grupo \""$(0)\""."""
GroupChatTost_MemberList#0,"""Información de miembro"""
GroupChatTost_MemberInvite#0,"""Se ha enviado una invitación."""
GroupChatTost_MemberJoin#0,"""Se unió al grupo [$(0)]."""
GroupChatTost_MemberBanish#0,"""$(0) ha sido eliminado del grupo."""
GroupChatTost_GroupActive#0,"""Mostrando el grupo \""$(0)\""."""
GroupChatTost_GroupInactive#0,"""No se muestran grupos"""
GroupChatTost_NameChange#0,"""Se ha cambiado la configuración del grupo."""
GroupChatTost_MoveTop#0,"""Mover al principio"""
GroupChatTost_LeaderSuccess#0,"""$(0) se ha convertido en el nuevo líder de grupo."""
GroupChatTost_LeaderFailed#0,"""No pudo convertirse en líder."""
GroupChatTost_InviteFailed#0,"""No se recibió la invitación de grupo"""
GroupChatTost_Error#0,"""Error general"""
GroupChatTost_CreateGroupError#0,"""No se pudo crear el grupo"""
GroupChatTost_ListReceiveError#0,"""No se pudieron recuperar los grupos"""
GroupChatTost_InviteGroupError#0,"""Invitación fallida"""
GroupChatTost_ToInviteGroupError#0,"""Ocurrió un error con la invitación."""
GroupChatTost_ReInviteGroupError#0,"""No se pudo recibir la invitación."""
GroupChatTost_LeaveGroupError#0,"""No pude dejar el grupo"""
GroupChatTost_DeleteGroupError#0,"""No se pudo eliminar el usuario seleccionada"""
GroupChatTost_UpdateTextError#0,"""No se pudo cambiar el nombre del grupo o el comentario"""
GroupChatTost_MoveListError#0,"""No se pudo cambiar la lista de grupos"""
GroupChatTost_LockError#0,"""No se pudo bloquear el grupo"""
GroupChatTost_GetLogError#0,"""No se ha podido adquirir el registro."""
GroupChatTost_DenyInviteError#0,"""La configuración del bloque de invitación ha fallado."""
GroupChatTost_InviteListError#0,"""No se ha podido adquirir la lista de invitados actual."""
GroupChatTost_InviteLimitOver#0,"""Se ha superado el número de invitaciones, no se ha podido recuperar la invitación de $(0)."""
GroupChatTost_InviteDeny#0,"""Un amigo está incluido en parte de su configuración de desinvitación."""
FriendList_Title#0,"""Invitación a \""$(0)\"""""
Make_Default_Name#0,"""Nombre del grupo $(0)"""
FriendList_Tree_Online#0,"""Posibles invitados en línea ($(0))"""
FriendList_Tree_OnlineLite#0,"""Amigas en línea ($(0))"""
FriendList_Tree_Offline#0,"""Posibles invitados sin conexión ($(0))"""
FriendList_Tree_OfflineLite#0,"""Amigas desconectados ($(0))"""
FriendList_Tree_BlackList#0,"""Bloqueado ($(0))"""
FriendList_Tree_Member#0,"""Miembros del grupo ($(0))"""
FriendList_Tree_Invite#0,"""Invitación pendiente ($(0))"""
GroupList_NoItem#0,"""No hay grupos registrados.<br><br>Puede unirse a un grupo o crear uno presionando \""Crear un grupo\"" e invitando amigos."""
InviteList_NoItem#0,"""No estás invitado a ningún grupo."""
GroupChatDate#0,"""$(1)/$(0) $(2)"""
GroupChatDateSunday#0,"""(Dom)"""
GroupChatDateMonday#0,"""(Lun)"""
GroupChatDateTuesday#0,"""(Mar)"""
GroupChatDateWednesday#0,"""(Mie)"""
GroupChatDateThursday#0,"""(Jue)"""
GroupChatDateFriday#0,"""(Vie)"""
GroupChatDateSaturday#0,"""(Sab)"""
GroupListLabel#0,"""$(0) ($(1))"""
GroupListLabelMax#0,"""$(0) <c ff9933>($(1))<c>"""
GroupChatTost_GroupJoin#0,"""$(0) se ha unido al grupo: $(1)"""
GroupChatTost_InviteDeny2#0,"""Rechazar invitación del grupo"""
Popup_Inviterefuse#0,"""Rechazar invitación"""
GroupChat_JoinMax_Title#0,"""VER EL NÚMERO DE GRUPOS UNIDOS"""
GroupChat_JoinMax_Message#0,"""Te has unido al máximo número de Grupos y no puedes unirte a ninguno más. Por favor, únase al Grupo al que ha sido invitado<br>al salir de uno de los Grupos a los que se ha unido."""
GroupChatError_MakeEmptyFault#0,"""No se pudo crear el grupo porque el nombre del grupo<br>o el tema del grupo están en blanco."""
GroupChatError_RenameEmptyFault#0,"""No se pudo editar el grupo porque el nombre del grupo<br>o el tema del grupo están en blanco."""
GroupChatError_NotFindTitle#0,"""VERIFICAR GRUPOS"""
GroupChatError_NotFindMessage#0,"""El Grupo no se puede unir porque no se ha podido encontrar."""
GroupChatError_NotInviteTitle#0,"""VERIFICAR GRUPOS"""
GroupChatError_NotInviteMessage#0,"""No se puede entrar en el grupo porque no has recibido una invitación."""
GroupChatError_JoiningTitle#0,"""COMPROBAR LA INSCRIPCIÓN DEL GRUPO"""
GroupChatError_JoiningMessage#0,"""Ya te has unido a este Grupo"""
GroupChatTost_ListNumFault#0,"""No se pudo mostrar este grupo"""
GroupChatTost_PopupInvitedCansel#0,"""Cancelar invitación"""
GroupChatTost_TitleInvitedCansel#0,"""Confirmar la cancelación de la invitación"""
GroupChatTost_QuesInvitedCansel#0,"""Cancelando la invitación de $(0) para unirse a $(1). ¿Está seguro?"""
GroupChatTost_ButtonInvitedCansel#0,"""Cancelar invitación"""
GroupChatTost_ToastInvitedCansel#0,"""Invitación cancelada"""
GroupChatTost_ToastInvitedCansel1#0,"""La persona seleccionada ya se ha registrado en el grupo."""
GroupChatTost_ToastInvitedCansel2#0,"""No se puede cancelar la invitación."""
