tut_006207#0,"""Resta signs"""
tut_006369#0,"""Sonar activo"""
tut_006370#0,"""Trials Supresión de enemigos"""
tut_006371#0,"""Pruebas de regalos estelares"""
tut_006372#0,"""Prueba de defensa"""
tut_006378#0,"""Emergency Quest Password matchmaking"""
tut_006379#0,"""Mi tienda"""
tut_006390#0,"""DOLLs"""
tut_006397#0,"""Habilidades de clase"""
tut_006398#0,"""Aumentar el nivel de potencia: Parte 1"""
tut_006399#0,"""Comando simple"""
tut_006403#0,"""Enemigos terroríficos"""
tut_006404#0,"""Secciones de alto rango"""
tut_006408#0,"""Aumentar el nivel de potencia: Parte 2"""
tut_006409#0,"""Aumentar el nivel de potencia: Parte 3"""
tut_006411#0,"""Defensa de la plataforma minera: Aerio"""
tut_006412#0,"""Dispositivos de entrega"""
tut_006413#0,"""DOLLS Weapons"""
tut_006414#0,"""Collect Signs"""
tut_006415#0,"""Mining Rig Functions"""
tut_006416#0,"""Sudden Incidents"""
tut_006418#0,"""Mobile Cannons"""
tut_006419#0,"""Advice"""
tut_006421#0,"""Braver"""
tut_006422#0,"""Katana"""
tut_006423#0,"""Bullet Bow"""
tut_006431#0,"""Bouncer"""
tut_006432#0,"""Jet Boots"""
tut_006433#0,"""Dual Blades"""
tut_006434#0,"""Alters"""
tut_006435#0,"""Formers"""
unknown#0,"""Desconocido"""
player_move#0,"""Acciones/Controles de PJ"""
base_system#0,"""Sistema Basico"""
equip_wepon_type#0,"""Armas/Armaduras"""
battle#0,"""Combate basico"""
skill_class#0,"""Habilidades de clase"""
adventure#0,"""Aventuras"""
quest_basic#0,"""Seccion de exploración/Seccion de combate"""
urgency#0,"""Misiones de emergencia"""
communication#0,"""Comunicación"""
enemy#0,"""Enemigos"""
datanum#0,"""$(0)"""
task#0,"""Tareas"""
palettes#0,"""Paleta principal/subpaleta"""
battle_power#0,"""NIvel de Poder"""
class#0,"""Clases"""
trial#0,"""Pruebas"""
urgency_defence#0,"""Mining Rig Defense"""
item_shop#0,"""Objetos/Tienda"""
weapons_enhancement#0,"""Mejora de Equipo"""
limited_time_event#0,"""Limited Time Events"""
