E_Quest_Common_End#0,"""異常事態の収束を確認。作戦協力に感謝します。"""
Title_Quest_Info_1#0,"""Info de misión simple"""
Title_Quest_Info_2#0,"""Nombre de la misión"""
Title_Quest_Info_3#0,"""participantes """
Title_Quest_Info_4#0,"""Objetivo de la misión"""
Mes_Failure_Confirm#0,"""Misión fallida"""
Title_Mission_Achievement#0,"""Misión cumplida"""
Title_Mainmission#0,"""Misión principal"""
Title_Submission#0,"""Misión secundaria"""
Title_Quest_Cleartime#0,"""Tiempo completado"""
SubTitle_Quest_Cleartime#0,"""Tiempo completado"""
SubTitle_Quest_Besttime#0,"""Mejor tiempo """
SubTitle_Quest_newRecord#0,"""NUEVO RECORD!"""
Title_Quest_Reward#0,"""Recompensa"""
Window_ControlGuide_1#0,"""<%Decide>: Siguiente"""
Window_ControlGuide_2#0,"""<%Decide>: Cerrar"""
UrgencyQuest_Result_Reward#0,"""Recompensa"""
UrgencyQuest_Result_TotalEvalution#0,"""Calificación general"""
UrgencyQuest_Result_Experience#0,"""Experiencia"""
UrgencyQuest_Result_Meseata#0,"""Meseta """
UrgencyQuest_Result_NoRetryBonus#0,"""Bono de reanimación"""
UrgencyQuest_Result_SeasonPoint#0,"""Punto estacional"""
Quest_Result_OtherItems#0,"""その他$(0)個――"""
UrgencyQuest_Result_HPRatio#0,"""全防衛対象の耐久値"""
UrgencyQuest_Result_Percent#0,"""%"""
Window_Title_PartyMatching1#0,"""Coincidencia de Partido"""
Window_Title_PartyMatching2#0,"""Partido con contraseña"""
Title_PartyMatching1#0,"""Misiones disponibles"""
Title_PartyMatching2#0,"""Estado del partido"""
Title_PartyMatching3#0,"""Estado del Grupo"""
Label_Participants#0,"""participantes"""
Label_ElapsedTime#0,"""Tiempo de cola"""
Label_MenberName#0,"""Nombre de miembro"""
Participation_Participation_OK#0,"""<c 00ff00>Listo<c>"""
Participation_Participation_NG#0,"""<light_red>No listo<c>"""
Participation_Non_Participation#0,"""<gray>No participar<c>"""
Mes_Matching_Error1#0,"""Cancelada la cola del Partido."""
Mes_Matching_Error2#0,"""$(0)により、<br>マッチングがキャンセルされました。"""
Mes_Matching_Error3#0,"""パーティー情報が更新されたため、<br>マッチングがキャンセルされました。"""
Mes_Matching_Error4#0,"""マッチングのやり直しが規定数に達したため、<br>マッチングをキャンセルしました。"""
Mes_Matching_Error5#0,"""パーティー情報が更新されたため、<br>マッチングをリセットします。"""
Mes_Matching_Error6#0,"""マッチング中のパーティーから離脱しました。"""
Mes_Matching_Timeout#0,"""Se agotó el tiempo de espera."""
Mes_Matching_Countdown_1#0,"""Empezando en $(0) segundos"""
Mes_Matching_Countdown_2#0,"""Empezando en $(0) minutos"""
Mes_Matching_Starttransfer#0,"""Emparejamiento completo. Comenzando la transferencia en 5 segundos."""
Mes_Matching_SectionMove#0,"""セクション移動を行うと、マッチングの<br>対象外となりますのでご注意ください。"""
Mes_Matching_ClassChange#0,"""マッチング中はクラスを変更できません。"""
Mes_Matching_MainTaskStop#0,"""マッチング中はメインタスク進行が中断されます。"""
Mes_Matching_Election_Titile1#0,"""Comience el partido de inmediato"""
Mes_Matching_Election_Titile2#0,"""Si Votos"""
Mes_Matching_Election_Titile3#0,"""Tiempo restante"""
Mes_Matching_Election_Param1#0,"""$(0) Votos"""
Mes_Matching_Election_Param2#0,"""$(0):$(1)"""
Mes_Matching_Election_Com1#0,"""Salida Inmediatamente"""
Mes_Matching_Election_Com2#0,"""Detener cola de coincidencias"""
Mes_Matching_Election_Msg1#0,"""最大参加人数に満たない状態で、<br>現メンバーにクエストの即時開始を提案します。<br>よろしいですか？"""
Mes_Matching_Election_Error1#0,"""クエスト即時開始の再提案が可能になるまで<br>あと $(0) 秒です。"""
Mes_Matching_Election_Error2#0,"""一度投票を否決されたプレーヤーは<br>再度投票を開始できません。"""
Mes_Matching_Election_Error3#0,"""この機能はパーティーリーダーのみが使用できます。"""
Mes_Matching_Election_Com3#0,"""Salida Inmediatamente"""
Mes_Matching_Election_Countdown1#0,""":(0) segundos restantes"""
Mes_Matching_Election_Title#0,"""クエスト即時開始の同意"""
Mes_Matching_Election_Msg2#0,"""最大参加人数に満たない状態ですが、<br>クエストの即時開始に同意しますか？<br>あと$(0)回反対すると、マッチングから離脱します。<br>"""
Mes_Matching_Election_Countdown2#0,"""<center>Tiempo restante: $(0) segundos</center>"""
Mes_Matching_Election_Yes#0,"""同意する"""
Mes_Matching_Election_No#0,"""反対する"""
Mes_Matching_Election_End1#0,"""全員の同意によりクエストを開始します。"""
Mes_Matching_Election_End2#0,"""全員の同意が得られなかったため、クエスト即時開始を中止します。"""
Mes_Matching_Election_End3#0,"""必要人数が揃ったため投票を中止し、クエストを開始します。"""
Mes_Matching_Election_End4#0,"""マッチング中の一部メンバーが離脱したため、クエスト即時開始を中止します。"""
Mes_Matching_Election_End5#0,"""無効票があったため、クエスト開始は否決されました。"""
Mes_Matching_Election_End6#0,"""定員オーバーです。"""
Mes_Matching_Number_Limit#0,"""このクエストは、あと$(0)回クリアできます。"""
Mes_Matching_Start#0,"""クエスト\""$(0)\""のマッチングを開始しました。"""
Mes_Quest_Desorption#0,"""$(0)に帰還します。"""
Mes_Matching_Election_non#0,"""---"""
Mes_Matching_Election_Desp1#0,"""クエスト受注メニューから“クエスト即時開始の提案”を<br>選択することで、現メンバーでクエストを開始できます。"""
Mes_Matching_Election_Desp2#0,"""現メンバーでのクエスト即時開始が提案されました。<br>“新着通知”より内容を確認してください。"""
Mes_Matching_Election_Start1#0,"""現メンバーでのクエスト即時開始が提案されました。<br>“新着通知”より内容を確認してください。"""
Mes_Matching_Election_Start2#0,"""参加メンバーの回答を待っています。"""
Mes_Matching_Election_Start3#0,"""現メンバーでのクエスト即時開始が提案されました。<br>回答はパーティーリーダーのみ行うことができます。"""
Mes_Matching_Election_Com4#0,"""クエスト即時開始に同意しました。"""
Mes_Matching_Election_Com5#0,"""パーティーリーダーがクエスト即時開始に同意しました。"""
Mes_Matching_AutoStart_Mes1#0,"""緊急クエスト開始確認が届きました。（クエスト開始まで あと $(0)秒）"""
Mes_Matching_AutoStart_Arrival1#0,"""緊急クエスト開始確認"""
Mes_Matching_AutoStart_Title1#0,"""緊急クエスト開始確認"""
Mes_Matching_AutoStart_Mes2#0,"""緊急クエストの受注可能期限になりました。<br>現在のマッチングメンバーでクエストを自動的に開始します。<br>このメンバーでクエストに参加しますか？<br>※参加しない場合はマッチングがキャンセルされます。<br>クエスト開始まで あと $(0)秒"""
Mes_Matching_AutoStart_Btn1#0,"""参加する"""
Mes_Matching_AutoStart_Btn2#0,"""マッチングから離脱する"""
Mes_Matching_AutoStart_Sub1#0,"""参加表明"""
Mes_Matching_AutoStart_Sub2#0,"""参加表明人数"""
Mes_Matching_AutoStart_Sub3#0,"""参加表明残り時間"""
Mes_Matching_AutoStart_Mes3#0,"""参加表明しました。"""
Mes_Matching_AutoStart_Mes4#0,"""リーダーが参加表明しました。"""
Mes_Matching_AutoStart_Mes5#0,"""マッチングから離脱しました。"""
DefenseTerminal_Title#0,"""資源採掘リグ"""
DefenseTerminal_Title_BLUEFULL#0,"""資源採掘リグ[ブルー]"""
DefenseTerminal_Title_WHITILL#0,"""資源採掘リグ[ホワイト]"""
DefenseTerminal_Title_VIRIDIA#0,"""資源採掘リグ[グリーン]"""
DefenseTerminal_Title_ORAN#0,"""資源採掘リグ[オレンジ]"""
DefenseTerminal_Title_PURPLENUM#0,"""資源採掘リグ[パープル]"""
DefenseTerminal_Title_Weapon#0,"""デリバリーデバイス"""
DefenseTerminal_Help#0,"""このウィンドウを閉じます。"""
DefenseTerminal_Sub_Title1#0,"""デバイス機能"""
DefenseTerminal_Sub_Title2#0,"""使用可能回数"""
DefenseTerminal_Sub_Title3#0,"""回数追加まで"""
DefenseTerminal_Pt#0,"""$(0)Pt"""
DefenseTerminal_Pt2#0,"""あと$(0)Pt"""
DefenseTerminal_Back#0,"""閉じる"""
DefenseTerminalList_Title#0,"""機能開放の必要ポイント"""
DefenseTerminalList_Help#0,"""コレクトサインの<yellow>“取得ポイント（Pt）”<c>が<br>一定数蓄積すると、以下の機能が開放されます。"""
DefenseTerminalList_Sub_Title1#0,"""現在のコレクトサイン"""
DefenseTerminalList_Sub_Title2#0,"""必要ポイント"""
DefenseTerminalList_Sub_Title3#0,"""デバイス機能"""
DefenseTerminal_Check_Window1#0,"""“$(0)” を使用しますか？"""
DefenseTerminal_Check_Window2#0,"""<center>使用可能回数：$(0) → $(1)"""
DefenseTerminal_Uesed#0,"""使用済み"""
DefenseTerminal_Starting#0,"""<yellow>“$(0)”<c>を使用しました。"""
DefenseTerminal_StartingWeapon#0,"""<yellow>“$(0)”<c>を呼び出しました。"""
DefenseTerminal_Starting_Other#0,"""$(2)が$(0)に<yellow>“$(1)”<c>を使用しました。"""
DefenseTerminal_Starting_OtherWeapon#0,"""$(1)が<yellow>“$(0)”<c>を呼び出しました。"""
DefenseTerminal_Help2#0,"""一定時間、資源採掘リグへのダメージを防ぎます。"""
DefenseTerminal_Help3#0,"""資源採掘リグの耐久値が回復します。"""
DefenseTerminal_Help4#0,"""一定時間、モバイルキャノンを使用することができます。"""
DefenseTerminal_command1#0,"""バリアシールドを展開する"""
DefenseTerminal_command2#0,"""損傷箇所を修復する"""
DefenseTerminal_command3#0,"""特殊兵装を使用する"""
DefenseTerminal_command4#0,"""モバイルキャノンを使用する"""
