MesetaDenomination#0,"""<pict reb_meseta> Meseta"""
MesetaShopGuide#0,"""<c f0df60>Seleccione los objetos a comprar. Pulse 'Update Listings<c><pict StarGem><c f0df60>' para cambiar la lista de productos.<c>"""
MesetaShopGuide_v#0,"""<c f0df60>Seleccione los objetos a comprar. Pulse 'Update Listings<c><pict StarGem><c f0df60>' para cambiar la lista de productos.<c>"""
ShopListTitle#0,"""Lista de productos"""
ShopListResetTime#0,"""Próxima actualización: $(0)"""
ShopListResetButton#0,"""<yellow>Update Listings<c><pict StarGem>"""
ShopListResetTime_wait#0,"""Búsqueda de información"""
RenewConfirmTitle#0,"""Update Listings"""
RenewConfirmMessage#0,"""<pict StarGem><c 1dedd7>Consumir SG<c><br><br>Comprar '$(0)'?<br>Esto actualizará el listado inmediatamente.<br>¿Quieres comprar este contenido?<br><br><yellow>※Debido a que el listado es aleatorio,<br>existe la posibilidad de que se repitan artículos en el listado.<c><br><br>(SG Actual: $(1))"""
RenewBuyTitle#0,"""Update Listings"""
RenewBuyMessage#0,"""Compra por $(0)SG (Reg. Precio: $(1)SG) y<br>actualizar la lista ahora mismo?<br><br><yellow>Recibirá un descuento para las primeras 1~9 compras. Sin embargo, a medida que siga haciendo compras consecutivas, su descuento disminuirá.<c><br>※Este descuento se restablecerá en<br><utc>20:00</utc> por día.<br>(SG Actual: $(2))"""
RenewResultTitle#0,"""商品リスト更新結果"""
RenewResultMessage#0,"""商品リスト更新に成功しました。"""
RenewResultError#0,"""商品リスト更新に失敗しました。"""
RenewResultError2#0,"""Insufficient Star Gems."""
RenewResultError3#0,"""すでに自動更新による商品リスト更新が行われました。"""
RenewResultError4#0,"""Failed to communicate with the server.<br><br>Please try again later."""
RenewResultError5#0,"""予期せぬ問題が発生しました。<br><br>時間をおいて再度お試しください。"""
RenewResultError6#0,"""データベースのアクセスに失敗しました。<br><br>時間をおいて再度お試しください。"""
RenewSgShop#0,"""Actualización de la tienda del tesoro de SG"""
RenewSgShop01#0,"""Actualización de la tienda del tesoro de SG (1st Time)"""
RenewSgShop02#0,"""Actualización de la tienda del tesoro de SG (2nd Time)"""
RenewSgShop03#0,"""Actualización de la tienda del tesoro de SG (3rd Time)"""
RenewSgShop04#0,"""Actualización de la tienda del tesoro de SG (4th Time)"""
RenewSgShop05#0,"""Actualización de la tienda del tesoro de SG (5th Time)"""
RenewSgShop06#0,"""Actualización de la tienda del tesoro de SG (6th Time)"""
RenewSgShop07#0,"""Actualización de la tienda del tesoro de SG (7th Time)"""
RenewSgShop08#0,"""Actualización de la tienda del tesoro de SG (8th Time)"""
RenewSgShop09#0,"""Actualización de la tienda del tesoro de SG (9th Time)"""
RenewSgShop10#0,"""Actualización de la tienda del tesoro de SG (10th+ Time)"""
RenewMesetaShop#0,"""Actualizar la tienda del tesoro de Meseta"""
RenewMesetaShop01#0,"""Actualizar la tienda del tesoro de Meseta (1st Time)"""
RenewMesetaShop02#0,"""Actualizar la tienda del tesoro de Meseta (2nd Time)"""
RenewMesetaShop03#0,"""Actualizar la tienda del tesoro de Meseta (3rd Time)"""
RenewMesetaShop04#0,"""Actualizar la tienda del tesoro de Meseta (4th Time)"""
RenewMesetaShop05#0,"""Actualizar la tienda del tesoro de Meseta (5th Time)"""
RenewMesetaShop06#0,"""Actualizar la tienda del tesoro de Meseta (6th Time)"""
RenewMesetaShop07#0,"""Actualizar la tienda del tesoro de Meseta (7th Time)"""
RenewMesetaShop08#0,"""Actualizar la tienda del tesoro de Meseta (8th Time)"""
RenewMesetaShop09#0,"""Actualizar la tienda del tesoro de Meseta (9th Time)"""
RenewMesetaShop10#0,"""Actualizar la tienda del tesoro de Meseta (10th+ Time)"""
InfoError_None#0,"""FailureReason_None<br>成功"""
InfoError_Error#0,"""商品リストの情報を取得できませんでした。<br>しばらくしてから、再度アクセスしてください。"""
InfoError_NotFound#0,"""商品リストの情報を取得できませんでした。<br>しばらくしてから、再度アクセスしてください。"""
InfoError_NoMoney#0,"""Meseta insuficiente."""
BuyError_OK#0,"""BlackMarketBuyAns_OK<br>交換成功"""
BuyError_LowPoint#0,"""Insuficiente Star Gems."""
BuyError_IllegalParam#0,"""購入することができませんでした。<br>しばらくしてから、再度アクセスしてください。"""
BuyError_NoSpace#0,"""Te falta espacio libre en tu Inventario,<br> o tienes demasiados de los artículos que estás comprando.<br>No se ha podido completar la compra."""
BuyError_ExchangeLimit#0,"""購入可能数を超えているため<br>購入することができませんでした。"""
BuyError_Other#0,"""購入することができませんでした。<br>しばらくしてから、再度アクセスしてください。"""
ShopTitleText#0,"""Battle Coin Exchange"""
NormalShopGuideText#0,"""<c f0df60>Cambia las monedas de batalla por objetos. Por favor, selecciona un objeto para canjearlo.<c>"""
LimitedShopGuideText#0,"""<c f0df60>Seleccione un artículo para intercambiar. (Las cantidades de intercambio son limitadas por semana y se restablecen en <utcdow>Miércoles 4:00</utcdow>)<c>"""
ShopListTitle#1,"""Shop Menu"""
PluralityMenuGuide#0,"""<c f0df60>Seleccione una tienda.<c>"""
Exit#0,"""Dejar la tienda"""
Buy#0,"""Comprar"""
NameNumber#0,"""$(0) x$(1)"""
BuyTitle#0,"""Confirmación de compra"""
BuyCheck#0,"""Estos artículos costarán $(1) $(0).<br>¿Continuar con la compra?"""
BCDenomination#0,"""BC"""
BuyResultMessage1#0,"""Compra completa."""
BuyErrorMessage2#0,"""Te falta espacio libre en tu Inventario,<br> o tienes demasiados de los artículos que estás comprando.<br>No se ha podido completar la compra."""
BCInsufficient#0,"""Insuficiente BC."""
BuyResultMessage2#0,"""No se puede completar la compra."""
BuyResultTitle#0,"""Compra de objetos"""
CancelTitle#0,"""Confirmar la cancelación de la compra"""
CancelMessage#0,"""Esto cancelará la compra. ¿Continuar?"""
SelectItemInputVita#0,"""Por favor, introduzca una cantidad."""
MenuErrorTitle#0,"""Mensaje"""
MenuErrorMessage#0,"""[BC Exchange Shop] Mensaje de error de selección"""
