Title_Partyselect#0,"""Selección de Grupo"""
QuestTypeSelectTitle#0,"""Selección del tipo de misión"""
QuestSelectCheckTitle#0,"""Confirmación de pedido de misión"""
QuestSelectCheck#0,"""¿Aceptar esta misión?"""
BattlePointNum#0,"""$(0)～"""
Title_Quest_Reward_3#0,"""Recompensa de misión"""
AttentionNewRoom#0,"""Aceptando la misión.<br><br>Esto cancelará el matchmaking y hará que abandones las misiones actualmente aceptadas.<br>¿Estás seguro de que deseas continuar?"""
OrdersOptionBlock3#0,"""Iniciar Matchmaking"""
NoMust_Quest_Conditions#0,"""Ninguno"""
Title_TargetEnemy_Unknown#0,"""？？？"""
BattlePoint_Limit#0,"""Nivel de poder: $(0) o +"""
level#0,"""Lv."""
Title_Quest_Clear_Failure_dot#0,"""Condiciones de exito: $(0)<br>Condiciones para fallar: $(1)"""
BattlePoint_Limit_Red#0,"""<yellow>Sobre $(0) Poder de Batalla<c>"""
Level_Limit#0,"""Nivel $(0) o superior"""
Level_Limit_Red#0,"""<yellow>Nivel $(0) o superior<c>"""
Must_Parem_Text_Red#0,"""<yellow>Estados recomendados o superiores<c>"""
Must_Parem_Text#0,"""Estadísticas recomendadas o superiores"""
Btn_Quest_Order_Leader#0,"""Iniciar misión"""
Btn_Quest_Order_Member#0,"""Iniciar misión en solitario"""
EnemyLvTitle#0,"""Lv. de enemigos presentes."""
EnemyLv#0,"""Lv.$(0)"""
EnemyLvWarning#0,"""<yellow>Lv.$(0)<c>"""
EnemyLvATTENTIONTitle#0,"""Confirmar la aceptación de misiones"""
EnemyLvATTENTION#0,"""Hay un Miembro que es 5 o más niveles <br>inferiores a los enemigos que aparecen durante la misión.<br><br>¿Estás seguro de que deseas comenzar la misión?<br><br><yellow>Nota: Cuando el nivel del jugador es 5 <br>o más niveles inferiores al nivel del enemigo,<br>el daño infligido disminuirá significativamente.<c>"""
EnemyLvATTENTION2#0,"""Hay un Miembro que es $(0) o más niveles <br>inferior a los enemigos que aparecen durante la misión.<br>¿Estás seguro de que deseas comenzar la misión?<br><br><yellow>Nota: Cuando el nivel del jugador es $(0) <br>o más niveles inferiores al nivel del enemigo y <br>el Poder de Batalla está por debajo de un determinado valor, <br>el daño infligido disminuirá significativamente.<c>"""
BoostInfo_Title#0,"""キャンペーンブースト"""
CampaignBoost_Experience#0,"""<pict exp_icon><pict 4space>獲得経験値＋$(0)％"""
CampaignBoost_MesetaDrop#0,"""<pict meseta_icon2><pict 4space>獲得メセタ＋$(0)％"""
CampaignBoost_RareDrop#0,"""<pict rare_drop_icon><pict 4space>レアドロップ倍率＋$(0)％"""
CampaignBoost_TriggerQuantity#0,"""<pict boost_campaign><pict 4space>バトルトリガー必要数変動"""
Quest_Conditions_Possible#0,"""$(0)"""
Quest_Conditions_Impossible#0,"""<yellow>$(0)<c>"""
Quest_Conditions_None#0,"""---"""
Quest_Conditions_Param#0,"""推奨能力値以上"""
Quest_Conditions_Regions#0,"""当該リージョン限定"""
Quest_Conditions_Sequence#0,"""メインタスクの進行"""
None#0,"""Se ha producido un error desconocido.<br><br>[Nº 3000]"""
NotReceptQuestPartyGuest#0,"""No puedes aceptar la misión porque no eres un líder de grupo."""
NotReceptQuestAlreadyQuest#0,"""No puedes aceptar la misión porque no eres un líder de grupo.<br>(La misión ya ha comenzado. Se recomienda dirigirse hacia la puerta)."""
NotFoundQuestSearch#0,"""No se ha podido encontrar una misión que coincida con las condiciones introducidas."""
NotFoundRoomSearch#0,"""No se ha podido encontrar una sala que coincida con las condiciones introducidas."""
NotFoundPartyList#0,"""No pude encontrar un grupo."""
NotFoundQuestType#0,"""No hay misiones que aceptar."""
NotFoundQuestList#0,"""No hay misiones que aceptar."""
CantStartQuestNotFoundRoom#0,"""No se ha podido iniciar la misión porque no se ha encontrado la sala de destino."""
CantStartQuestCapacityOverRoom#0,"""No se puede participar porque la sala está llena."""
CantStartQuestCapacityOverRoom2#0,"""\u3000No se puede participar porque la sala está llena.<br>El número de la<br>sala incluye a los jugadores que están intentando unirse a la sala, lo que<br>puede no reflejarse en el número de participantes.<br><br><yellow>Nota: un jugador sólo puede intentar unirse a una sala durante un minuto cada vez, por lo que es posible que pueda unirse a la sala esperando y<br>volviendo a intentarlo.<c>"""
CantStartQuestNewRaidQuest#0,"""La misión no puede ser aceptada porque los miembros del grupo<br>no han derrotado a los enemigos en las condiciones de unión."""
CantStartQuestNotNotFoundParty#0,"""No se ha podido iniciar la misión<br>porque no se ha encontrado el grupo objetivo."""
CantStartQuestCapacityOverParty#0,"""No es posible unirse porque el grupo está lleno."""
CantStartQuestDifferencePasswordParty#0,"""No es posible unirse porque la contraseña es incorrecta."""
CantStartQuestAlreadyFinished#0,"""No puedes unirte a esta misión<br>porque este grupo ya la ha completado."""
CautionNotSoloParty#0,"""No se puede transferir a otro bloque<br>porque está actualmente en un grupo."""
CantStartQuestDifferenceCondition#0,"""No puedes unirte al grupo<br>porque no cumples las condiciones de unión."""
CantStartQuestDifferenceConditionLine1#0,"""Debido a las siguientes razones a continuación,<br>no puedes unirte a un grupo ni recibir misiones:<br><br>・$(0)"""
CantStartQuestDifferenceConditionLine2#0,"""Debido a las siguientes razones a continuación,<br>no puedes unirte a un grupo ni recibir misiones:<br><br>・$(0)<br>・$(1)"""
CantStartQuestDifferenceConditionLine3#0,"""Debido a las siguientes razones a continuación,<br>no puedes unirte a un grupo ni recibir misiones:<br><br>・$(0)<br>・$(1)<br>・$(2)"""
CantStartQuestDifferenceConditionLine4#0,"""Debido a las siguientes razones a continuación,<br>no puedes unirte a un grupo ni recibir misiones:<br><br>・$(0)<br>・$(1)<br>・$(2)<br>・$(3)"""
CantStartQuestDifferenceConditionLine5#0,"""Debido a las siguientes razones a continuación,<br>no puedes unirte a un grupo ni recibir misiones:<br><br>・$(0)<br>・$(1)<br>・$(2)<br>・$(3)<br>・$(4)"""
CantStartQuestDifferenceConditionLine6#0,"""Debido a las siguientes razones a continuación,<br>no puedes unirte a un grupo ni recibir misiones:<br><br>・$(0)<br>・$(1)<br>・$(2)<br>・$(3)<br>・$(4)<br>・$(5)"""
CantStartQuestDifferenceConditionLine7#0,"""Debido a las siguientes razones a continuación,<br>no puedes unirte a un grupo ni recibir misiones:<br><br>・$(0)<br>・$(1)<br>・$(2)<br>・$(3)<br>・$(4)<br>・$(5)<br>・$(6)"""
CantStartQuestDifferenceConditionLine8#0,"""Debido a las siguientes razones a continuación,<br>no puedes unirte a un grupo ni recibir misiones:<br><br>・$(0)<br>・$(1)<br>・$(2)<br>・$(3)<br>・$(4)<br>・$(5)<br>・$(6)<br>・$(7)"""
QuestLevel#0,"""<pict mainclass_icon>Lv.$(0)～"""
PartyLevel#0,"""Condicion de nivel de participación/Nv.$(1)～$(0)"""
FriendOnly#0,"""Solo Amigos"""
GuildOnly#0,"""Solo Team"""
PasswordNG#0,"""Contraseña incorrecta"""
BurstIntoNG#0,"""Participación restringida"""
ReasonEventFlag#0,"""Condiciones especiales de pedido"""
RareAreaNG#0,"""El grupo se encuentra en una zona especial"""
CantStartQuestTimeLimitOver#0,"""El período de la orden de misión ha expirado."""
CapacityOverParty#0,"""Límite de Grupo alcanzado"""
PlatformError#0,"""Restricciones de la plataforma"""
RaidQuestDisable#0,"""Condición de unión Enemigos no derrotados"""
NotFoundPartyListtInBasnet#0,"""No se pude encontrar un grupo."""
CantStartQuestClearCountLimit#0,"""No puedes unirte a la misión porque uno o más<br>miembros del grupo han superado el número<br>máximo de veces que se puede completar la misión."""
QuestSubLevel#0,"""<pict subclass_icon> Nivel $(0) y superior"""
ClearCountLimit#0,"""Has sobrepasado el máximo de veces que puedes completar esta misión."""
CantStartQuestIgnoreQuest#0,"""Esta misión no puede ser aceptada en este momento.<br>Por favor, revisa el Sitio del Jugador para más detalles."""
IgnoreQuest#0,"""Esta misión no puede ser aceptada en este momento.<br>Por favor, revisa el Sitio del Jugador para más detalles."""
QuestDropPenalty#0,"""Uno o más miembros tienen una 'Pena de Abandono'."""
CantStartQuestDropPenalty#0,"""Debido a las siguientes razones a continuación, no puedes unirte a un grupo ni recibir misiones:<br><br>・Un miembro de tu grupo ha recibido una penalización por abandonar una misión."""
CantStartProhibitQuestDropTitleCnt#0,"""Terminal del menú de pedidos de misiones"""
CantStartProhibitQuestDropTitleTlp#0,"""Teletransportador"""
CantStartProhibitQuestDropForStart#0,"""actualmente no disponible"""
TitleConfirmForQuest#0,"""Confirmación del pedido de la misión"""
CautionNon#0,"""Error desconocido"""
CautionQuestLimitTimeOver#0,"""La misión ya no puede ser aceptada"""
CautionQuestLevelNG#0,"""No has cumplido las condiciones requeridas para esta misión."""
CautionQuestLevelNG2#0,"""No puedes aceptar esta búsqueda porque no todos los miembros del Grupo<br>han cumplido las condiciones siguientes.<br><br>- Nivel $(0) y superior"""
CautionQuestPartyMemberMax#0,"""No puedes aceptar esta misión porque el grupo tiene más de<br>$(0) miembros."""
CautionQuestPartyMemberJoinMax#0,"""No puedes unirte a este grupo porque está en medio de una misión que sólo permite a los miembros de $(0) unirse."""
CautionQuestPlatform#0,"""No puedes aceptar esta misión porque no todos los miembros del grupo<br>han cumplido las siguientes condiciones.<br><br>- $(0)"""
CautionQuestRaidQuest#0,"""No puedes aceptar esta misión porque no cumples las condiciones requeridas."""
CautionMultiConditionLine1#0,"""No puedes aceptar esta misión porque no todos los miembros del grupo<br>han cumplido las siguientes condiciones.<br><br>- $(0)"""
CautionMultiConditionLine2#0,"""No puedes aceptar esta misión porque no todos los miembros del grupo<br>han cumplido las siguientes condiciones.<br><br>- $(0)<br>・$(1)"""
CautionMultiConditionLine3#0,"""No puedes aceptar esta misión porque no todos los miembros del grupo<br>han cumplido las siguientes condiciones.<br><br>- $(0)<br>・$(1)<br>・$(2)"""
CautionMultiConditionLine4#0,"""No puedes aceptar esta misión porque no todos los miembros del grupo<br>han cumplido las siguientes condiciones.<br><br>- $(0)<br>・$(1)<br>・$(2)<br>・$(3)"""
CautionMultiConditionLine5#0,"""No puedes aceptar esta misión porque no todos los miembros del grupo<br>han cumplido las siguientes condiciones.<br><br>- $(0)<br>・$(1)<br>・$(2)<br>・$(3)<br>・$(4)"""
CautionQuestClearCountLimit#0,"""No puedes aceptar esta misión porque has alcanzado el número<br>máximo de veces que se puede realizar esta misión."""
CautionNothingQuest#0,"""No hay misiones de este tipo."""
NotFoundQuestRecord#0,"""No hay registros de misión"""
CantStartQuestNewNetCafeQuest#0,"""Un miembro del grupo no tiene Net Café Premium y no puede aceptar esta misión."""
CantStartQuestOutExtraQuest#0,"""El periodo de la campaña para esta misión ha terminado. Por favor, vuelve a aceptarla."""
CantStartQuestInExtraQuest#0,"""Ahora se aplica un periodo de campaña a esta misión. Por favor, vuelve a aceptarla."""
CantStartCapacityOverInTraning#0,"""No se ha podido iniciar la misión de práctica porque el bloque está lleno. Por favor, espera un poco e inténtalo de nuevo.<br><br>Nota: Las misiones de práctica tienen lugar en el bloque de desafío de su nave."""
