ssc_506040_0010#0,"""ไง <%me>"""
ssc_506040_0220#0,"""พวกเราไม่สามารถตั้งรับได้ตลอดไปจนกว่า<br>ทุกสิ่งที่พวกเราไม่รู้บนโลกใบนี้จะถูกเปิดเผยออกมาหรอกนะ"""
ssc_506040_0230#0,"""ฉันกำลังเตรียมโครงสร้างของพวกเราสำหรับการบุกโจมตีน่ะ"""
ssc_506040_0240#0,"""จากนี้ไป พวกเราต้องเริ่มคิดถึงการร่วมมือ<br>ไม่ใช่แค่กับเอลิโอ (Aelio) เท่านั้น แต่รวมถึงควาริส (Kvaris) และสเตีย (Stia) ด้วย"""
ssc_506040_0250#0,"""อิลม่า (Ilma) และครอบครัวของเขามีการทำงานเป็นทีมที่ยอดเยี่ยมมาก"""
ssc_506040_0260#0,"""เกลน (Guren) และทีมของเขาเป็นมืออาชีพเลยล่ะ"""
ssc_506040_0270#0,"""ถึงพวกเขาจะมีจำนวนน้อย แต่ก็ดูเหมือนจะ<br>ทุ่มเทให้กับการฟื้นฟูควาริส (Kvaris) อย่างแท้จริงเลยล่ะ"""
ssc_506040_0280#0,"""โอโฮ ถ้างั้นพวกเราคง<br>ยอมน้อยหน้าพวกเขาไม่ได้แล้วล่ะ"""
ssc_506040_0290#0,"""ช่วงนี้ ความตระหนักรู้ของทุกคน<br>เริ่มจะเปลี่ยนไปแล้วล่ะ"""
ssc_506040_0300#0,"""ทุกคนพยายามที่จะเคารพประเพณีของรีเทม (Retem)<br>ที่สืบทอดกันมา..."""
ssc_506040_0310#0,"""ไปพร้อมๆ กับการร่วมมือกับ<br>คนที่มีความคิดแตกต่างกันน่ะ"""
ssc_506040_0320#0,"""ถ้าหากจะต้องทำงานร่วมกับคนอื่นล่ะก็<br>พวกเราจะมัวแต่กลัวการเปลี่ยนแปลงไม่ได้หรอกนะ"""
ssc_506040_0330#0,"""พวกเราไม่สามารถคอยปฏิเสธคนที่ดีจริงๆ<br>เพียงเพราะอคติของพวกเราเองได้หรอก"""
ssc_506040_0340#0,"""ถ้าหากต้องการเอาชนะศัตรูที่ยิ่งใหญ่ นั่นแหละคือ<br>ทางเลือกที่ถูกต้อง ได้เรียนรู้เรื่องนั้นมาด้วยตัวเองเลยล่ะ"""
ssc_506040_0350#0,"""...คาดว่าคงจะมีการต่อสู้ที่ยิ่งใหญ่กว่านี้<br>รออยู่ในอนาคตอย่างแน่นอน"""
ssc_506040_0360#0,"""เป็นเส้นทางที่ไม่อาจหลีกเลี่ยงได้<br>เพื่ออนาคตที่สงบสุขล่ะนะ"""
ssc_506040_0370#0,"""มาพยายามร่วมกันต่อไปเถอะ ทำให้มันเป็นจริงกัน"""
