11_voice_NPC_5062_100#0,"""先輩、ちょっといいですか？<br>実はお渡ししたいものが……"""
11_voice_NPC_5062_100#17,"""わたし、応援してますから。<br>ずっと、応援しています。"""
Npc62_mb24_after_010#0,"""せ、先輩の活躍、聞きました。<br>その……大切な人のために<br>諦めなかったって。"""
Npc62_mb24_after_020#0,"""先輩のため、アークスも一丸になって<br>戦ったって聞きました。<br>すごく……素敵だと思いました。"""
11_voice_NPC_5062_100#18,"""わたし、頑張ります。<br>そして絶対……先輩みたいな<br>素敵なアークスになりたいです。"""
ep01_03_010#0,"""あ、アークスにはなりたてですけど……<br>足を引っ張らないように頑張ります。<br>って、それ、当たり前ですよね。"""
ep01_03_020#0,"""新人って言い訳をしないように……<br>でも、新人の気持ちを忘れずに<br>頑張ります。"""
ep01_03_030#0,"""いっぱい迷惑をかけると思いますが<br>よろしくお願いします。"""
st01_010#0,"""せ、先輩！？<br>復帰されたんですね！<br>もう、お身体大丈夫なんですね！"""
st01_020#0,"""……よかった、よかったです。<br>こうしてまた会うことができて……<br>これでやっと、報告できます。"""
11_voice_NPC_5288_100#0,"""先輩。<br>わたし、正式なアークスになりました。<br>これから、よろしくお願いしますね。"""
