11_voice_NPC_5014_100#0,"""あの、少しいいかな。<br>あなたに渡したいものがあって……"""
11_voice_NPC_5014_104#2,"""いくら正確な情報を持ってても<br>私たちを頼ってもらわないことには<br>意味がないのよね。"""
Tiea_09_020#0,"""だから、アナタは広告塔として<br>あたしたちの便利さ有能さを<br>もっとアピールしてね！"""
11_voice_NPC_5014_105#0,"""表だった騒動が目立つけど<br>こういうとき、本当に留意すべきは<br>裏での暗躍……大丈夫だと思うけど……"""
Tiea_10_020#0,"""はーっくしょん！<br>……ううっ、なんだか寒気がするなぁ。<br>イヤーな感じー……"""
Alice_01_10#0,"""他種族は恋愛対象たりうるか……<br>なるほど、アークスにとっては<br>それは大きなテーマかも。"""
Alice_01_20#0,"""私としては、とくに抵抗はないかな。<br>生まれたときから、どの種族も<br>そばにいたし。"""
Alice_01_30#0,"""……もっとも、そういう経験のない<br>私が何を言っても説得力ないけど。"""
Alice_01_40#0,"""理想を語らせてもらえるなら<br>見た目や性格もあるんだろうけど<br>気が合うかどうか、かなぁ。"""
Alice_01_50#0,"""トータルで気が合う人がいて<br>適切なタイミングがあれば<br>どんな種族とかは、関係ないと思う。"""
Alice_01_60#0,"""ダメだよー！\u3000ダメだよティアー！<br>そんなテキトーに決めた相手となんて<br>お姉ちゃん許しませんよー！"""
Alice_01_70#0,"""『適当』じゃなくて<br>『適切』だ、バカ姉。"""
Alice_01_80#0,"""……まあ、もっともパティちゃんと<br>一緒にいるかぎりは<br>そんなタイミングなさそうだけど。"""
11_voice_NPC_14_105#0,"""ダークファルスについて<br>調べてはいるけど、情報が少なくて<br>当時の被害なんかもさっぱり……"""
Tiea_mb9_020#0,"""１０年前よりも、４０年前の情報が<br>多く見つかるぐらいだもん。<br>ヘンなの。"""
11_voice_NPC_14_104#0,"""ウワサの暴走龍については<br>襲われたというより、出現したって<br>報告が多いみたい。"""
Tiea_mb10_020#0,"""単一個体じゃなくて、類似体が<br>確認されてるみたいだし<br>よくわからないなぁ……"""
11_voice_NPC_14_100#0,"""昔から、定期的に戦技大会のような<br>催し物は開かれていたみたい。"""
Tiea_mb11_020#0,"""最近はなかったようだけど<br>これを機会に定期化してくるかもね。"""
11_voice_NPC_5014_104#3,"""私も、泳ぎたくなるって<br>意見には同意かな。"""
Tiea_mb12_020#0,"""いっつもいっつも尻ぬぐいばかりだから<br>時には息抜きもしたいって思うし。"""
11_voice_NPC_5014_104#4,"""最近は、シティの内外問わずに<br>すこし慌ただしい感じ。"""
Tiea_mb13_020#0,"""表だっては何も起こってないはずだけど<br>裏では何かが動いてるのかも……"""
11_voice_NPC_5014_101#1,"""惑星リリーパの探索もかなり<br>進んできた感じだね。"""
Tiea_mb14_020#0,"""ダーカーがやってくるようになった<br>理由とかがまだわかってないのが<br>ちょっと怖いけど。"""
11_voice_NPC_5014_100#5,"""売りものにはしていません。<br>まったく、情報屋に見られないのは<br>誰のせいなんだか……"""
Tiea_mb15_020#0,"""でも、そのおかげなのか<br>情報収集していても、あんまり<br>警戒されないの。"""
Tiea_mb15_030#0,"""それについてだけは<br>パティちゃんの功績かもしれない。"""
11_voice_NPC_5014_100#6,"""なんだかんだで、パティちゃんの<br>直感は結構アテになるんだよね。"""
Tiea_mb16_020#0,"""いい人と悪い人を、直感的に<br>判断できるというか、なんというか。<br>ちょっと羨ましい才能かも。"""
Tiea_mb16zeno_010#0,"""やっぱり、こうして直に会って<br>無事を確認すると、安心感が違うね。"""
11_voice_NPC_5014_100#7,"""絶対令はどうしようもなかったけど<br>戦うことなく、こうして普通にもう一度<br>会うことが出来て……嬉しい。"""
Tiea_mb18_010#0,"""パティちゃんがよからぬことを<br>考えているっぽいので<br>カジノには絶対に近づけません。"""
11_voice_NPC_5014_100#8,"""でも、評判はいいみたいだから<br>機を見てあなたは行ってみたらどう？"""
11_voice_NPC_5014_100#9,"""パティちゃんの意見はさておいて<br>ウォパルって、全体的に<br>キレイなエリアが多いのよね。"""
Tiea_mb19_020#0,"""エネミーも出てくるわけだし<br>あんまりのんびりはできないけど<br>……息抜きしたくなっちゃうかも。"""
Tiea_mb20_010#0,"""パティちゃんが真剣に<br>何かを考えてる時って<br>大抵ロクなことがおきないんだよね。"""
11_voice_NPC_5014_104#5,"""とはいえ、考えなしに突っ込まれても<br>トラブルばっかりだから……<br>どうしたものかなぁ。"""
11_voice_NPC_5014_100#10,"""パティちゃんが周りに迷惑をかけるのは<br>いつものことなんで、気にしないで。"""
Tiea_mb21_020#0,"""またやってるなーくらいに<br>思ってもらえればいいかなーって。"""
11_voice_NPC_5014_100#11,"""パティちゃんが変な行動を取るのは<br>いつものことだから<br>あんまり気にしないで。"""
Tiea_mb22_020#0,"""普段はあてにならないんだけど<br>たまーにその直感とかが<br>当たったりするんだよね……"""
Tiea_mb23_010#0,"""まさか【双子】に食べられるなんて<br>思いもしなかったから<br>無事を確認できてよかった……"""
11_voice_NPC_5014_100#12,"""だって、あなた以外の人に<br>情報提供をする気には<br>なれないんだもん。"""
11_voice_NPC_5014_104#6,"""マトイさんの行方については<br>今、アークス全体で調べているの。"""
Tiea_mb23_after_020#0,"""もちろん、私たちも調査中。<br>パティちゃんが、誰よりもはりきって<br>調査していると思う。私も、だけどね。"""
11_voice_NPC_5014_100#13,"""見つけたら、真っ先に知らせるから。<br>アークスいちの情報屋を名乗る以上<br>誰よりも最初に、見つけてみせるから。"""
Tiea_mb24_010#0,"""パティちゃんは、今までにないくらい<br>すごくはりきってるの。<br>もちろん、私も一緒だけどね。"""
11_voice_NPC_5014_100#14,"""アークスいちの情報屋を信じてね。<br>どんな情報であっても、隠されていても<br>ちゃんと見つけてみせるから。"""
Tiea_mb24_after_010#0,"""パティちゃんが張り切ってるの。<br>一生分の情報の提供だーって。<br>忙しくなるぞーって。"""
Tiea_mb24_after_020#0,"""でもね、私も嬉しいんだ。<br>やっぱり私たちも情報提供するなら<br>お気に入りの人がいいからね。"""
11_voice_NPC_5014_100#15,"""だから本当よかった。<br>無事に二人で帰ってきてくれて。<br>ほんとに、よかった……"""
11_voice_NPC_5014_100#16,"""アークスの体制が一部変わるんだって。<br>管理を移行するついでに<br>変えていくって話みたいだね。"""
Tiea_mb25_020#0,"""どんな感じに変わるのかは<br>ちょっとまだわからないけど<br>悪いようにはならないんじゃないかな。"""
11_voice_NPC_5014_100#17,"""お久しぶりです。<br>こうして会うのは二年ぶりなんだよ。"""
st01_020#0,"""あなたにとっては一瞬かもですけど<br>私たちにとっては……長かったかな。<br>待ちくたびれちゃったもの。"""
st01_030#0,"""……おかえりなさい。<br><%me>さん。"""
11_voice_NPC_5014_100#18,"""ああ、あんまり気にしないで。<br>パティちゃん、照れてるだけだから。"""
st01_020#1,"""かくいう私も何から話したものかと<br>悩んでいたりするんだけど……"""
st01_030#1,"""まあ、パティちゃんと一緒に<br>いろいろ話聞かせてもらえれば<br>それでいいかな、って。"""
11_voice_NPC_5014_100#19,"""情報部に入ると、情報提供の判断が<br>部署全体の判断に拠るので<br>私たちの本質から離れてしまう！"""
st01_020#2,"""というパティちゃんのもっともらしい<br>意見によって、戦闘部に行きました。"""
st01_030#2,"""でもたぶん、一番の理由は<br>情報部はいろいろ面倒くさそうだから<br>だと思うけどね。"""
11_voice_NPC_5014_100#20,"""武器の具現化、かぁ。<br>なんか不思議だよね。"""
st01_020#3,"""フォトンと性質は似てるってことだけど<br>フォトンだとできないみたい。"""
st01_030#3,"""もしフォトンでできるなら<br>パティちゃんを止める道具とか<br>具現化したいんだけどね。"""
11_voice_NPC_5014_100#21,"""地球からこちらへ干渉ができるって<br>普通に考えてもスゴイって思う。"""
st01_020#4,"""アークスを見つけたからといって<br>すぐに来れるわけでもないはずだし。"""
st01_030#4,"""なんとなく……<br>その辺、少し気になるかも。"""
st01_010#0,"""今回ばかりはパティちゃんの直感に<br>同意って感じなんだよね。<br>すごい、すれ違いがある気がする。"""
st01_020#5,"""一応、過去の事例を洗ってみたけど<br>地球に対しての干渉は、半年前の<br>情報部がやってたことぐらい。"""
st01_030#5,"""もっとも、情報部が<br>何か酷いことしたってのを<br>隠してなければ、だけど。"""
st01_010#1,"""具現武装のぶつかり合いって<br>要するに心と心のぶつかり合いだよね。"""
st01_020#6,"""それで負ける、っていうのは<br>なんていうか……辛いと思うんだ。<br>心から負けちゃった、みたいで。"""
st01_030#6,"""……もっと具体的にいうなら<br>パティちゃんとの口論に負けた感じ？<br>……うん、尋常じゃないダメージだよ。"""
st01_010#2,"""襲撃があったみたいだけど<br>被害は少ない、って話。"""
st01_020#7,"""でも、本当にそうなのかな？<br>敵だってある程度の目的を達成したから<br>撤退していったわけなんだし。"""
st01_010#3,"""……パティちゃんはああいってるけど<br>アークスとして、地球の事案について<br>まだ継続的な調査が主、とのこと。"""
st01_020#8,"""かの、幻創種ダーカーについては<br>アークスでも判断に迷っているところが<br>あるみたいなんだよね。"""
11_voice_NPC_5014_104#7,"""アーデム＝セークリッドの目的について<br>今のところは、彼の言葉から<br>推し量ることしか出来ていないみたい。"""
st01_020#9,"""つまるところ「地球を進化させる」。<br>言ってることは壮大なんだけども<br>具体的なやり方は不明なんだよね。"""
st01_030#7,"""何の方法もなしに、無策で動くような<br>人物ではないだろうし、何か<br>とんでもないことしてきそうだけど……"""
st01_010#4,"""アーデム＝セークリッドの目的について<br>……本人が言ってるままだったね。<br>「地球を進化させる」って。"""
st01_020#10,"""比喩表現でもなんでもなく<br>そのまま丸ごと作り替えようなんて<br>とんでもないこと考えるなあ。"""
st01_010#5,"""パティちゃんも言っていますが<br>本当にお疲れさまでした。"""
st01_020#11,"""世界を創った神様とか出てきて<br>しかも、それを倒しちゃうとか<br>それこそ想像もしていなかったかな。"""
st01_030#8,"""具現武装といい、とんでもないものが<br>いっぱい出てきて大変だったよね。<br>その分、いろいろ情報も集まったけど。"""
