11_voice_NPC_5020_101#0,"""Llegaste a un lugar agradable."""
Oza_mb21_030#0,"""アークスである以上、他のクラスと<br>共闘する機会はいくらでもある。<br>他のクラスを知ることはとても大事だ。"""
11_voice_NPC_5020_104#6,"""他のクラスと共闘する際に<br>ハンターとしてどう動くべきなのか<br>よく考えるようにしている。"""
Oza_mb22_020#0,"""クラスに対する偏見を持っていたのは<br>もう過去の話だ。<br>これからはもっと視野を広く持つ。"""
Oza_mb22_030#0,"""見方を変えるだけで、ずいぶんと<br>動き方も変わった。<br>未熟さを知れて良かったと思ってる。"""
11_voice_NPC_5020_100#7,"""よう、大変だったな。<br>無事で何よりだ。"""
11_voice_NPC_5020_104#7,"""それにしても最近は、緊張感というか<br>ピリピリしているな……"""
Oza_mb23_030#0,"""無理もないとは思うが<br>どうにも嫌な予感がする。<br>気を付けておけよ。"""
11_voice_NPC_5020_100#8,"""大丈夫だったか？<br>いろいろ大変だったようだな。<br>事情はある程度、聞いている。"""
Oza_mb23_after_020#0,"""何か力になれることはないか？<br>オレにできることなら<br>なんでも言ってくれ。"""
Oza_mb24_after_010#0,"""ああ、お前か！<br>無事で何よりだ。"""
Oza_mb24_after_020#0,"""正直なところ、相手が相手なだけに<br>かなり厳しいと思っていたんだが……<br>いや、やはりさすがだよな。"""
11_voice_NPC_5020_101#4,"""ちゃんと二人で戻ってきたんだ。<br>これほど嬉しいことはない！<br>本当に良かった。"""
Oza_mb25_010#0,"""アークスがまた色々と変わるそうだ。<br>皆、その改善については<br>かなり前向きに受け止めている。"""
11_voice_NPC_5020_100#9,"""その理由の一つに<br>皆で一丸となって戦えたことがあると<br>オレは思っているぞ。"""
11_voice_NPC_5020_100#10,"""<%me>！<br>……久しぶりだな。<br>ずいぶん長く寝てたじゃないか。"""
st01_020#0,"""皆、お前の復帰を待ちわびてたぞ。<br>もちろん、オレもだ。<br>……これからも、よろしくな。"""
11_voice_NPC_5020_104#8,"""ふーむ、どうするかな……<br>ああ、すまん。<br>考え事をしていてな。"""
st01_020#1,"""新しく創設されたサモナーだが<br>共に戦うのはペットになるだろう？<br>どう連携を取ればいいのかと思ってな。"""
st01_030#0,"""せっかく創設されたクラスだ。<br>共に戦いやすくするには<br>お互いに歩み寄らないとな。"""
11_voice_NPC_5020_100#11,"""Oh Hola.<br>la tierra es interesante."""
st01_020#2,"""Hay coches parques y se ve como un área urbana.<br>Yo alcancé a ver un resto."""
11_voice_NPC_5020_104#9,"""Luchar contra esas illusion se esta asiendo comun,<br>pero simplemente no me puedo acostumbrar."""
st01_020#3,"""お前もわかると思うが<br>倒した時の感触がないだろう？<br>どうもそれだけは慣れないな……"""
11_voice_NPC_5020_104#10,"""El problema en el que estás involucrado es cada vez más grande."""
st01_020#4,"""まあお前なら大丈夫だとは思うが<br>手が必要な時はいつでも言ってくれ。"""
st01_010#0,"""今回の敵は、人が集った組織か。<br>それがアークスに対して明確に<br>敵対する理由は、何なんだろうな。"""
11_voice_NPC_5020_104#11,"""Los Darker atacan a menudo las Naves ARKS,<br>pero almenos no entran directamente al área de la tienda."""
st01_020#5,"""様々な策を使ってくるぶん<br>ダーカーよりも厄介かもしれん。<br>今回の相手は。"""
st01_010#1,"""ダーカーと幻創種が融合したとなると<br>それぞれ単体のときよりも<br>厄介になるのは目に見えているな。"""
11_voice_NPC_5020_104#12,"""Especialmente si la erosión de todas las cosas, la naturaleza de los Darkers, fue recreado como una especie fantasmal...<br>es peligroso."""
11_voice_NPC_5020_100#12,"""サポートはオレ達に任せておけ。<br>お前はただ、お前の目的のために<br>力を発揮してくれればそれでいい。"""
11_voice_NPC_5020_100#13,"""Oh, ¿regresaste?<br>No sé qué pasó,<br>pero al principio estaba bien."""
sq02_010#0,"""出撃回数が落ち着いてきた分は<br>訓練でフォローしている。"""
sq02_020#0,"""普段出来ない連携訓練などに<br>時間を割けて、良い感じだ。"""
