11_voice_NPC_5009_101#0,"""おや、キミか。<br>ああ、丁度良いからこれを。"""
11_voice_NPC_5009_100#3,"""キミは、生命が発生する瞬間を<br>考えてみたことがあるかな？<br>ひどく神秘的なものだよ。"""
Aki_09_020#0,"""意識はどうやって発生しているのか<br>誰も解き明かせていない。<br>故に生命は興味深く、貴重なんだ。"""
11_voice_NPC_5009_100#4,"""私が龍族に拘る理由？<br>簡単な話だよ。彼らの生命は鮮烈だ。<br>見た者を魅了する強さがある。"""
11_voice_NPC_5009_108#0,"""私がアークスの資格を取ったのは<br>たまたま適性があったからさ。<br>その使命に殉じるつもりはないよ。"""
11_voice_NPC_5009_100#5,"""なによりも人の為にと動く人もいれば<br>私のように利己の為に動く人もいる。<br>アークスとは、そういう組織だよ。"""
11_voice_NPC_5009_104#0,"""アークスは、こと戦闘などにおいては<br>非常に秀でた力を持っている。<br>それは周知の事実だ。"""
Aki_13_020#0,"""だがその反面、研究や分析等については<br>システム任せな感が否めないな。<br>……若干、歪にすら見える。"""
11_voice_NPC_5009_103#1,"""誰かのために命を賭けて、と言う者は<br>残される側のことを一切考えていない。<br>話にならない、頑固で臆病なやつらだ。"""
11_voice_NPC_5009_104#1,"""別に私は研究者になろうとはしてない。<br>自分の知りたいことを調べていたら<br>いつの間にか、そう呼ばれていたのさ。"""
Aki_15_020#0,"""肩書きは、あとから勝手についてくる。<br>望まない形で英雄扱いされる者も<br>きっとどこかにはいるのだろうな。"""
11_voice_NPC_5009_104#2,"""<%me>さん。<br>ありがとうございました。<br>僕の背中を押してくれて。"""
C141_20#0,"""僕は先生の隣にいたかった。<br>ようするに、それだけなんです。"""
C141_30#0,"""猪突猛進な先生の助手を<br>名乗ってるのに、情けないですよ。<br>決めたら動く、それでよかったのに。"""
Alice_01_10#0,"""他の種族との恋愛について？<br>藪から棒にどうしたんだい？"""
Alice_01_20#0,"""しかし、言われてみると<br>真面目に考えたことはなかったな。"""
Alice_01_30#0,"""子孫を残すという意味ならば<br>遺伝子があればなんとでもなる。"""
Alice_01_40#0,"""科学的には種族が違うもの同士でも<br>子供を残すことはできるだろう。<br>極端な話、キャストとも可能だ。"""
Alice_01_50#0,"""だが、恋愛となると難しいな。<br>そこには非科学的な感情が絡み合い<br>時に理解しがたい状況を生む。"""
Alice_01_60#0,"""私としては全く抵抗はないが<br>もちろん、そうではない者もいる。<br>人それぞれ、というわけだ。"""
Alice_01_70#0,"""もっとも、今の私は恋愛に抵抗がない<br>というよりも、興味がないんだけどね。"""
11_voice_NPC_09_104#0,"""ダークファルスが復活したことは<br>もはや何を言っても覆らない。<br>そこの議論に興味はないよ。"""
Aki_mb9_020#0,"""だが、彼の者は倒されたのではなく<br>封印されていただけだった。<br>この事実は、重く捉えるべきだ。"""
11_voice_NPC_09_104#1,"""かの龍の出自については誰も彼も<br>把握していない。だというのに<br>暴走したという結果が周知されている。"""
Aki_mb10_020#0,"""……暴走龍、か。<br>その形容が正しいのかどうか<br>私にはわかりかねるよ。"""
11_voice_NPC_09_100#0,"""戦技大会そのものは悪くない<br>試みだと私も思うよ。<br>戦力の選別にも役に立つだろう。"""
Aki_mb11_020#0,"""圧倒的な戦力を育てることよりも<br>無駄な犠牲をなくす方が<br>簡単なんだからね。"""
11_voice_NPC_5009_100#6,"""惑星ウォパル……ね。<br>あいにくだが、あまり興味はないかな。"""
11_voice_NPC_5009_104#3,"""龍祭壇……龍族の聖地、か。"""
Aki_mb13_020#0,"""果たしてそこは、私の来訪を<br>歓迎してくれるのかな。"""
11_voice_NPC_5009_104#4,"""むむ……また書類を書き間違えたか。<br>ライト君でないと、どうにも勝手が<br>つかめないな。"""
Aki_mb14_020#0,"""まったく、何を悩んでいるのだか。"""
11_voice_NPC_5009_100#7,"""悩みというのは、悩んでいる時点で<br>本人の中では答えが出ているものだよ。"""
Aki_mb15_020#0,"""最後の一歩を踏み出す勇気がないだけ。<br>それを見て、ただ待つだけか<br>背中を押すかは、人次第だ。"""
11_voice_NPC_5009_100#8,"""……キナ臭いね。<br>ああいや、キミがじゃなくて<br>全体的に、だよ。"""
11_voice_NPC_5009_102#2,"""そうか、虚空機関の総長が……<br>どこまでも、研究者だったんだな<br>あの男は。"""
Aki_mb16zeno_020#0,"""自分以外のものを、駒としてしか見ず<br>すべて演算の範囲内に収まると考え<br>下に見て、甘く見る。"""
Aki_mb16zeno_030#0,"""……愚かなやつと思ってはいたが<br>やはり、そういう結末になったか。"""
11_voice_NPC_5009_100#9,"""惑星ハルコタンの文化は<br>独特の進化を遂げていると聞く。"""
Aki_mb18_020#0,"""私は所用が多くて行けていない。<br>ぜひ、私の分まで見てきてくれ。"""
Aki_mb19_010#0,"""惑星ウォパルの浮上施設か……<br>興味はないのかって？<br>正直、イマイチといったところだ。"""
Aki_mb19_020#0,"""おそらく重要な情報が眠っていたり<br>貴重な発見があるのかもしれないが……<br>それは、私の求めているものじゃない。"""
11_voice_NPC_5009_100#10,"""私は今まで通り、自分の興味が<br>向いたところに赴く。それだけさ。"""
Aki_mb20_010#0,"""興味深いレポートを見ると<br>ついつい夢中になってしまうね。"""
Aki_mb20_020#0,"""時間が許すなら、現地へ行きたいが<br>なかなかこれでも忙しくてね。<br>まずは自分の研究が優先だ。"""
11_voice_NPC_5009_100#11,"""何はともあれ、興味が惹く対象が<br>増えるのは喜ばしいことだよ。"""
Aki_mb21_010#0,"""レラ君とはたまに会うんだが<br>彼女はとても好奇心が旺盛で<br>いろんな事に興味を持っているんだ。"""
Aki_mb21_020#0,"""それにとても友好的でね<br>私に限らず、アークスの人を見ると<br>声をかけたりしているみたいなんだ。"""
Aki_mb21_030#0,"""だが、彼女はなにせ大きいからね。<br>話をする前に驚かれてしまうらしいよ。<br>こればっかりは、解決が難しいね。"""
11_voice_NPC_5009_100#12,"""なかなか面白い発見をしてね。<br>今はそれに夢中なんだ。"""
Aki_mb22_020#0,"""レラ君の発想がヒントになってね。<br>想像すらしなかったものだ。<br>彼女と話すのはいつも楽しいよ。"""
Aki_mb22_030#0,"""論文もはかどってきている。<br>必ずやいい研究にしてみせるよ。"""
11_voice_NPC_5009_100#13,"""やあ、大変だったみたいだね。<br>息災のようでなによりだよ。"""
Aki_mb23_020#0,"""どうにも論文で忙しくてね。<br>キミがダークファルスに喰われて<br>帰ってきてから、事件を知ったんだ。"""
11_voice_NPC_5009_104#5,"""さすがに私も聞いた時は驚いたさ。<br>でも、こうして顔も見れたことだし<br>また論文に集中できそうだよ。"""
11_voice_NPC_5009_100#14,"""キミが特別なアークスであろうことは<br>なんとなくだけど、察していたさ。"""
Aki_mb23_after_020#0,"""ただ想像よりも、特別だったけどね。<br>それで、どうするつもりなんだい？<br>キミの相手はとても強大な存在だ。"""
Aki_mb23_after_030#0,"""だが、キミには人望がある。<br>私から言えることは少ないが……<br>周りを頼ってみるのもいいと思うよ。"""
Aki_mb24_after_010#0,"""ああ、キミか。<br>無事に帰ってきて良かったよ。"""
Aki_mb24_after_020#0,"""望んだ結果が得られるのは<br>研究だろうとなんだろうと<br>嬉しいものだからね。"""
11_voice_NPC_5009_100#15,"""他ならぬキミが望んだことが<br>無事に叶ったんだ。<br>私にとっても嬉しい報告だよ。"""
Aki_mb25_010#0,"""リリーパでなんだか問題が<br>起きているようだね。"""
Aki_mb25_020#0,"""起きている問題に興味はないが<br>まあ……大変な案件なら<br>そのうち連絡はくるだろ。"""
Aki_mb25_030#0,"""キミは関わってるのかい？<br>私が言うのもあれだが<br>あまり無理ないようにな。"""
11_voice_NPC_5009_100#16,"""おや、キミは……誰だっけ？"""
st01_020#0,"""いやいや冗談だよ。<br><%me>君。<br>キミを忘れられるはずがないだろう。"""
st01_030#0,"""無事に戻ってきてくれてなによりだ。<br>これでまた、色々お願いできるからね。"""
11_voice_NPC_5009_100#17,"""相変わらずせわしないね、キミは。<br>手が空いたら、こっちの仕事も<br>手伝ってくれると嬉しいな。"""
11_voice_NPC_5009_100#18,"""私の所属かい？<br>総務部の研究課、となっているよ。"""
st01_020#1,"""情報部から研究部門は切り離されたよ。<br>トップの意志で悪用されないようにね。"""
st01_030#1,"""マリアが司令の総務部なら<br>悪用とも無縁だろう？<br>研究というものに興味もないだろうし。"""
11_voice_NPC_5009_100#19,"""エーテルについては<br>うちの研究課でも、研究者たちが<br>調べているようだよ。"""
st01_020#2,"""私はそっちの専門ではないから<br>詳しいことはわからないけどね。"""
st01_030#2,"""みんな、いきいきと研究してるよ。<br>未知のものを調べるのは<br>やはり楽しいものだよ。"""
st01_010#0,"""具現武装……サモナーの使うペットと<br>同様の、フォトン具現による創造物。<br>そう判断されている。"""
st01_020#3,"""だが、その特殊能力の性質や<br>所有者を選ぶという点から鑑みると<br>創世器、のほうが近く感じるな。"""
11_voice_NPC_5009_100#20,"""具現武装の汎用化とは、相変わらず<br>総務部の司令は無茶ばかりを言う。"""
st01_020#4,"""あれを汎用化するというのは<br>いわば創世器の汎用化だ。<br>汎用モデルを作るという話とは違う。"""
st01_030#3,"""一人一人に適した武装を作り上げる。<br>実現可能か研究してみろ、だってさ。<br>あれは挑戦状だよ。マリアからのね。"""
st01_010#1,"""アークスシップ内にかかるリミッターは<br>フォトンに作用し、結合を分解する。<br>ダーカーでも例外ではない。"""
11_voice_NPC_5009_104#6,"""ゆえに、ここショップエリアは<br>安全な場所と言われていたのだが……<br>神話は崩壊するものだな。"""
Emilia_01_10#0,"""ああ、キミか。<br>どうしたんだい、改まって。"""
Emilia_01_20#0,"""……ふむ、成る程。<br>異世界からの来訪者への技術協力、か。"""
Emilia_01_30#0,"""そんな魅力的なお誘いを<br>私が断ると思うかい？<br>喜んで協力させてもらうよ。"""
Emilia_01_40#0,"""未知の技術や思考に触れる機会なんて<br>そうそうあるものじゃないからね。"""
st01_010#2,"""先日の襲撃を経て、エーテルの構成と<br>その分解、及びリミッターの解放権限を<br>見直す方向で話がまとまった。"""
st01_020#5,"""決定が迅速で、とても良いことだな。<br>もろもろの反省が生きている<br>とも言える。"""
