text00#0,"""バトルアリーナ管理官、ラベルナだ。<br>質問は手短に頼む。"""
text0001#2,"""マップ内に設置されたピックアップスポットに<br>アクセスすることで<br><c ffff00>１つの武器と１つのPA（またはテクニック）が<br>ランダムで装備されます。<c><br><br>※一度アクセスしたピックアップスポットは<br>\u3000\u3000一定時間、全プレイヤーが<br>\u3000\u3000使用できなくなります。<br>※バトル開始時や戦闘不能からの復活時は<br>\u3000\u3000武器を装備していない素手の状態です。<br><c ff0000>※配信中の武器環境によって<br>\u3000\u3000装備されるＰＡ（またはテクニック）は<br>\u3000\u3000変化します。<c>"""
text0002#2,"""また<c ffff00>アップデートが発生すると<br>ピックアップスポットで手に入る武器が<br>より強化されたものになります。<c><br><br>アップデートは発生するたびに<br>より強力な武器を手に入れることができます。"""
text0003#1,"""<c ffff00>またピックアップスポットにアクセスすると<br>現在の装備から、新しく入手した装備へと<br>上書きされます。<c><br><br>ピックアップスポットで<br>ランダムで手に入った武器の長所を活かしつつ<br>戦況に応じて、戦い方を変えていくのが<br>上手いプレイになります。"""
text00#12,"""『バトルエリア』について"""
text0001#3,"""エンブレム争奪戦では<br>ＶＲアリーナと呼ばれる特殊なＶＲ空間で<br>戦闘訓練をおこないます。"""
text0002#3,"""【ＶＲアリーナ（森林）】<br><br>惑星ナベリウスの森林エリアを模したマップで<br>シンプルな地形構造と<br>マップ中央での激しい戦闘が特色です。<br><br>両ユニオンの攻め方や戦略を把握しやすいため<br>バトルアリーナの立ち回りを覚えるのに<br>最適なマップです。"""
text0003#2,"""【ＶＲアリーナ（火山）】<br><br>惑星アムドゥスキアの火山を模したマップで<br>せりあがってくるマグマと<br>だんだん狭くなっていく地形構造が特色です。<br><br>マグマは接触するだけでダウンしてしまうほど<br>非常に高温なため、厳重な警戒が必要です。<br><br>時間経過とともに安全な足場が失われるため<br>状況に応じた武器の立ち回りや<br>戦略の立て方が要求されるマップです。"""
text0004#0,"""【ＶＲアリーナ（東京）】<br><br>惑星地球の東京エリアを模したマップで<br>上層と下層に分かれた立体的な地形構造と<br>至るところに存在する障害物が特色です。<br><br>上層では激しい遠距離攻撃が飛びかい<br>下層では小規模な遭遇戦がおこなわれます。<br><br>見通しが非常に悪く、戦略を把握しづらいため<br>個人の判断力とプレイヤースキルが<br>多く求められるマップです。"""
text0005#0,"""【ＶＲアリーナ（森林：雨）】<br><br>「ＶＲアリーナ（森林）」をベースに<br>地形構造を変化させたマップです。<br>マップの両端を流れる<c ffff00>川<c>と<br>時折発生する<c ffff00>落雷<c>が特色です。<br><br>川には流れが存在し、川の中に入ると<br>その流れに沿って移動することができます。<br><br>時折発生する落雷は、エンブレム獲得数上位の<br>プレイヤーを狙う形で上空から発生し<br>落雷地点を中心にして<br>広範囲に大ダメージを与えます。"""
text0006#0,"""【ＶＲアリーナ（火山：夜）】<br><br>「ＶＲアリーナ（火山）」をベースに<br>地形構造を変化させたマップです。<br>外周から中央に向けて架けられた<br><c ffff00>大きな橋<c>が特色です。<br><br>時間経過とともに下から迫りくるマグマに加え<br>橋を利用した上空からの攻撃にも<br>更なる警戒が必要となります。<br><br>高低差や障害物を利用した戦略が<br>これまで以上に求められるマップです。"""
text00#13,"""『武器の詳細』について"""
text0001#4,"""エンブレム争奪戦では<br>下記の武器のいずれかを使用して<br>戦闘訓練をおこないます。<br><c 00b0f0>\u3000・ソード<br>\u3000・ライフル<br>\u3000・ロッド<br>\u3000・ジェットブーツ<br>\u3000・バレットボウ<c><br><br>※戦闘中、一定時間の経過でHPが回復します。"""
text0002#4,"""【ソード】<br>高いHPと攻撃力が特徴の<br>近接戦闘に特化した武器です。<br><br>下記のPAのいずれかを使用できます。<br><c 00b0f0>\u3000・ライジングエッジ<c><br>\u3000\u3000\u3000前方を斬り上げて攻撃します。<br>\u3000\u3000\u3000高威力ですが横方向の攻撃範囲は<br>\u3000\u3000\u3000狭くなっています。<br><c 00b0f0>\u3000・ノヴァストライク<c><br>\u3000\u3000\u3000周囲に対して回転斬撃を行います。<br>\u3000\u3000\u3000やや威力は劣りますが<br>\u3000\u3000\u3000隙の少ない攻撃を繰り出します。"""
text0003#3,"""【ライフル】<br>扱い易い射程範囲と制圧力の高さが特徴の<br>中距離戦闘に特化した武器です。<br><br>下記のPAのいずれかを使用できます。<br><c 00b0f0>\u3000・ワンポイント<c><br>\u3000\u3000\u3000連続射撃を行います。<br>\u3000\u3000\u3000扱い易い性能をもっていますが<br>\u3000\u3000\u3000威力や射程は他PAなどに劣ります。<br><c 00b0f0>\u3000・ピアッシングシェル<c><br>\u3000\u3000\u3000一点集中の射撃を行います。<br>\u3000\u3000\u3000命中した敵にインジュリーの状態異常を<br>\u3000\u3000\u3000与えますが、命中率は高くありません。"""
text0004#1,"""【ロッド】<br>長い射程とトリッキーさが特徴的な<br>遠距離戦闘に特化した武器です。<br><br>下記のテクニックのいずれかを使用できます。<br><c 00b0f0>\u3000・フォイエ<c><br>\u3000\u3000\u3000炎球を射出します。軌道は単調ですが<br>\u3000\u3000\u3000非常に長い射程をほこります。<br><c 00b0f0>\u3000・ゾンデ<c><br>\u3000\u3000\u3000上空に落雷を発生させます。<br>\u3000\u3000\u3000トリッキーな攻撃で敵を翻弄します。<br><c 00b0f0>\u3000・メギド<c><br>\u3000\u3000\u3000追尾弾で攻撃します。高い追尾性能が<br>\u3000\u3000\u3000特徴ですが、攻撃速度は遅めです。"""
text0005#1,"""【ジェットブーツ】<br>機動力に特化した武器で、<br><c ffff00>２段ジャンプ、空中ダッシュ<c>が可能です。<br><br>下記のＰＡのいずれかを使用できます。<br><c 00b0f0>\u3000・ストライクガスト<c><br>\u3000\u3000前方を回し蹴りで攻撃します。<br>\u3000\u3000攻撃中に武器アクションを行うと、<br>\u3000\u3000急降下からの叩きつけ攻撃に派生します。<br><br><c 00b0f0>\u3000・グランウェイヴ<c><br>\u3000\u3000敵に突撃し、連続蹴りで攻撃します。<br>\u3000\u3000攻撃中に武器アクションを行うと<br>\u3000\u3000後方へ飛び退き、敵との距離を離します。"""
text0006#1,"""【バレットボウ】<br>非常に高い攻撃力が特徴の<br>近・遠距離戦闘に特化した武器です。<br><br>下記のＰＡを使用できます。<br><c 00b0f0>\u3000・ラストネメシス<c><br>\u3000\u3000弓を引き絞った後、矢を放ちます。<br>\u3000\u3000長射程、高威力ですが、<br>\u3000\u3000発射までには非常に時間がかかります。<br><br>また、<c ffff00>通常攻撃はチャージすると<br>高威力の矢を３本放てるようになります。<c>"""
text0007#0,"""【パルチザン】<br>高いＨＰと攻撃力が特徴の<br>近接戦闘に特化した武器です。<br><br>下記のＰＡを使用できます。<br><c 00b0f0>\u3000・アサルトバスター<c><br>\u3000\u3000敵との間合いを一瞬でつめ、<br>\u3000\u3000刺突攻撃を行います。<br>\u3000\u3000縦方向・横方向への攻撃範囲は<br>\u3000\u3000狭くなっていますが、<br>\u3000\u3000前方方向への攻撃範囲に優れます。"""
text0008#0,"""【ツインマシンガン】<br>高い機動力と射撃攻撃を併せ持つ<br>中距離戦闘に特化した武器です。<br><br>武器アクションの<c ffff00>スタイリッシュロール<c>を<br>利用することで、ＰＰを消費し、<br>前後左右方向に素早く<br>回避行動を取ることができます。<br><br>下記のＰＡを使用できます。<br><c 00b0f0>\u3000・サテライトエイム<c><br>\u3000\u3000敵を大きくよろけさせる弾丸で<br>\u3000\u3000２連続射撃を行います。<br>\u3000\u3000隙が少なく、扱いやすい性能をもちます。"""
text0009#0,"""エンブレム争奪戦では<br>下記の武器のいずれかを使用して<br>戦闘訓練をおこないます。<br><c 00b0f0>\u3000・ソード<br>\u3000・ライフル<br>\u3000・ロッド<br>\u3000・ジェットブーツ<br>\u3000・バレットボウ<br>\u3000・パルチザン<br>\u3000・ツインマシンガン<br>\u3000・タリス<br>\u3000・デュアルブレード<br>\u3000・ツインダガー<c><br>※戦闘中、一定時間の経過でHPが回復します。"""
text0010#0,"""【タリス】<br>タリスを投擲する形で攻撃を行う<br>遠距離戦闘に特化した武器です。<br><br>投擲されたタリスは一定距離進むか、<br>テクニックを使用すると、その場で停止し、<br>一定時間留まり続けます。<br>この設置の性質を利用して、狙った箇所に<br>テクニック攻撃を発生させることができます。<br><br>下記のテクニックを使用できます。<br><c 00b0f0>\u3000・ナ・グランツ<c><br>\u3000\u3000自分、もしくは設置したタリスを中心に<br>\u3000\u3000一定時間光球を発生させます。"""
text0011#0,"""【デュアルブレード】<br>ＰＡによる攻撃力の高い近距離攻撃と、<br>武器アクションによる遠距離攻撃を併せ持つ<br>遠近両用の万能武器です。<br><br>武器アクションを使用すると<br><c ffff00>フォトンブレード<c>を発射することができ、<br>遠くの敵に対して攻撃することができます。<br><br>下記のＰＡを使用できます。<br><c 00b0f0>\u3000・イモータルダーヴ<c><br>\u3000\u3000多数のフォトンブレードを一直線に束ね、<br>\u3000\u3000前方に向かって叩き付けます。<br>\u3000\u3000隙は大き目ですが高い攻撃力を持ちます。"""
text0012#0,"""【ツインダガー】<br>非常に高い機動力が特徴の<br>近距離戦闘に特化した武器です。<br>高速度のステップ移動が可能で、<br>急襲性能に優れます。<br><br>武器アクションの<c ffff00>スピンムーブ<c>を利用する<br>ことで、ＰＰを消費し、任意の方向に<br>素早く回避行動を取ることができます。<br><br>下記のＰＡを使用できます。<br><c 00b0f0>\u3000・シンフォニックドライブ<c><br>\u3000\u3000敵に急速接近し、キックを放ちます。<br>\u3000\u3000射程が長く、遠くからの急襲が可能です。"""
text0013#0,"""【ソード】<br>バーチャロンコラボ期間中は<br>一部の武器デザインが<br><c ffff00>「テムジン」が使用する武装<br>「スライプナー」に変化！<c><br><br>更にコラボ期間限定で<br>下記のＰＡを使用することができます。<br><br><c 00b0f0>\u3000\u3000・ライドスラッシャー<c><br>\u3000\u3000ソードに乗り、高速突撃を行います。<br>\u3000\u3000ＰＡボタンを押している間は、<br>\u3000\u3000自由に突撃方向を変更可能ですが、<br>\u3000\u3000ＰＰを消費します。"""
text0014#0,"""【ライフル】<br>バーチャロンコラボ期間中は<br>一部の武器デザインが<br><c ffff00>「ライデン」が使用する武装<br>「Ｚｉｇ\u3000ランチャー」に変化！<c><br>更にコラボ期間限定で<br>下記のＰＡを使用することができます。<br><br><c 00b0f0>\u3000・エンドアトラクト<c><br>\u3000\u3000高火力の大型弾丸を<br>\u3000\u3000敵に向かって発射します。<br>\u3000\u3000<c ffff00>２段階のチャージ<c>が可能で、<br>\u3000\u3000チャージを行う度に攻撃力が上昇しますが<br>\u3000\u3000チャージ中は常にＰＰを消費します。"""
text0015#0,"""<c 00b0f0>\u3000・ライドスラッシャー<c><br>\u3000\u3000\u3000ソードに乗り、高速突撃を行います。<br>\u3000\u3000\u3000ＰＡボタンを押している間は、<br>\u3000\u3000\u3000自由に突撃方向を変更可能ですが、<br>\u3000\u3000\u3000ＰＰを消費します。"""
text0016#0,"""<c 00b0f0>\u3000・エンドアトラクト<c><br>\u3000\u3000\u3000高火力の大型弾丸を<br>\u3000\u3000\u3000敵に向かって発射します。<br>\u3000\u3000\u3000<c ffff00>２段階のチャージ<c>が可能で、<br>\u3000\u3000\u3000チャージを行う度に攻撃力が上昇しますが<br>\u3000\u3000\u3000チャージ中は常にＰＰを消費します。"""
text0017#0,"""【ナックル】<br>非常に高い機動力が特徴の<br>近距離戦闘に特化した武器です。<br>高速度のステップ移動が可能で、<br>通常攻撃の威力に優れます。<br><br>下記のＰＡを使用できます。<br><c 00b0f0>\u3000・ストレイトチャージ<c><br>\u3000\u3000力を溜めた拳で突進攻撃を行います。<br>\u3000\u3000チャージを行うとスタン効果が付きますが<br>\u3000\u3000チャージ中は常にＰＰを消費します。"""
text00#14,"""『共通シップ』について"""
text0001#5,"""『共通シップ』について説明します。<br><br>共通シップは各シップの垣根を越えて<br>交流することが出来るシップとなります。<br>このシップ内に限り、別シップのプレイヤーと<br>チャレンジクエストやバトルアリーナを<br>プレイする事が可能です。<br><br>テレポーターから<br>「共通シップのチャレンジロビーへ移動」か<br>「共通シップのバトルロビーへ移動」を<br>選択することでそれぞれのロビーに<br>移動が可能です。"""
text00#15,"""『ユニオン』について"""
text0001#6,"""マッチングしたプレイヤーは<br><c ffff00>青か赤のいずれかのユニオンに<br>グループ分けされます。<c><br>その際、以下のような変更が発生します。<br><br>\u3000<c ffff00>・味方ユニオンのみチャット可能<br>\u3000・敵対ユニオンのキャラクターのみ<br>\u3000\u3000専用エフェクトを表示<c><br>\u3000・敵対ユニオンのキャラクター名は<br>\u3000\u3000すべて「ARKS(番号)」に変更<br><br>※また「キャラクター頭上表示切り替え」の<br>\u3000いくつかの設定は使用できなくなり<br>\u3000「キャラクター名/HPバー」で表示されます"""
text00#16,"""『スキル』について"""
text0001#7,"""エンブレム争奪戦では<br>戦闘中に<c ffff00>スキル<c>を使用することで、<br>様々な特殊効果を受けることができます。<br><br>スキルは<c ffff00>使用回数が限られています<c>が、<br>その効果を上手く利用することで<br>戦闘をより有利に進めることが<br>できるようになります。<br><br><c ffff00>毎回戦闘開始前に３種類のスキルが<br>ランダムで選出され、<c><br>その中から使用したいものを１つ選ぶと<br>そのスキルがサブパレットにセットされます。"""
text00#17,"""『スキルの詳細』について"""
text0001#8,"""エンブレム争奪戦で使用することができる<br>スキルは以下の５種類です。<br><br><c 00b0f0>\u3000・キュア<br>\u3000・プロテクション<br>\u3000・スタンショット<br>\u3000・ＰＰアンリミテッド<br>\u3000・スプリント<c>"""
text0002#5,"""【キュア】<br>使用するとＨＰを<c ffff00>全回復<c>することができます。<br><br>敵から攻撃を受けても、<br>このスキルを使用すれば<br>一瞬でＨＰを回復できるので、<br>長時間戦闘を続けることができます。<br><br><c ffff00>発動時に状態異常に掛かっていた場合は<br>その状態異常を解除します。<c><br><br>発動モーションを取らずに効果が発生します。"""
text0003#4,"""【プロテクション】<br>使用するとＨＰを<c ffff00>全回復<c>することができます。<br>さらに、一定時間自分の周りにバリアを張り<br><c ffff00>敵からの攻撃ダメージを軽減します。<br><br>発動時に状態異常に掛かっていた場合は<br>その状態異常を解除します。<br>また、発動中は状態異常を無効化します。<c><br><br>一度しか使えないので、<br>効果的な場面を見極めて使いましょう。<br><br>発動モーションを取らずに効果が発生します。"""
text0004#2,"""【スタンショット】<br>敵に向かって追尾性のある弾を放ち、<br><c ffff00>ヒットした敵をスタン状態にします。<br><br>敵のガードも無効化できる<c>ため<br>確実に敵を撃破したい時に<br>使用すると効果的です。"""
text0005#2,"""【ＰＰアンリミテッド】<br>使用すると一定時間、<br><c ffff00>ＰＰ消費量が１になります。<br>※ガード時を除く<br><br>ただし、最大ＨＰが低下します。<c><br><br>使用中はＰＡやテクニックを連続で使用し、<br>怒涛の勢いで敵を攻撃することができます。<br><br>発動モーションを取らずに効果が発生します。"""
text0006#2,"""【スプリント】<br>使用すると一定時間、<c ffff00>移動速度が上昇します。<c><br><br>他のスキルと違い戦闘能力は上昇しませんが<br>敵から逃げる時、敵を追いかける時、<br>遠くにあるエンブレムを拾いに行く時、など<br>様々な場面で便利に使用することができます。<br><br>発動モーションを取らずに効果が発生します。"""
text00#18,"""『ランクマッチで使用できる武器』について"""
text0001#9,"""現在、ランクマッチではマップごとに<br>使用できる武器が異なります。<br><br>各マップで使用できる武器については<br>待機エリアに設置されたメッセージパックに<br>アクセスすることで確認が可能です。<br><br>各武器の詳細については<br>「ラベルナ」にアクセスし、<br>【『武器の詳細』について】<br>を選択することで確認が可能です。"""
text00#19,"""『ランクマッチで使用できる武器』について"""
text0001#10,"""現在、ランクマッチでは下記の３種類の<br>武器を使用することができます。<br><br>\u3000<c 00b0f0>・ソード<c><br>\u3000<c 00b0f0>・ライフル<c><br>\u3000<c 00b0f0>・ジェットブーツ<c><br><br>各武器の詳細については<br>「ラベルナ」にアクセスし、<br>【『武器の詳細』について】<br>を選択することで確認が可能です。"""
