11_voice_NPC_5057_101#0,"""あら、よく来たわね。<br>丁度良いわ、これを持っていきなさい。"""
Alice_01_40#0,"""そして、凶暴化した生物は例外なく<br>ダーカーと同様に、我々アークスを<br>襲ってくるようになる。"""
Alice_01_50#0,"""ダーカーを完全に消し去れるのは<br>フォトンを扱えるアークスのみ。"""
Alice_01_60#0,"""だから、たとえ良心の呵責があろうとも<br>私達アークスがやらなければならない。<br>……どんなに辛くても、ね。"""
11_voice_NPC_5057_106#0,"""ダークファルスの復活、というのは<br>正直予想外の事態ね。"""
Npc57_mb9_020#0,"""私ものんびりと隠居している<br>場合じゃないのかもしれないわ。"""
11_voice_NPC_5057_106#1,"""ダークファルスの復活、というのは<br>正直予想外の事態ね。"""
Npc57_mb10_020#0,"""私ものんびりと隠居している<br>場合じゃないのかもしれないわ。"""
11_voice_NPC_5057_106#2,"""ダークファルスの復活、というのは<br>正直予想外の事態ね。"""
Npc57_mb11_020#0,"""私ものんびりと隠居している<br>場合じゃないのかもしれないわ。"""
11_voice_NPC_5057_101#1,"""ダーカーも進化してきているようだけど<br>それはアークスも同じよ。<br>尻込みする必要はないわ。"""
11_voice_NPC_5057_101#2,"""ダーカーも進化してきているようだけど<br>それはアークスも同じよ。<br>尻込みする必要はないわ。"""
11_voice_NPC_5057_101#3,"""ダーカーも進化してきているようだけど<br>それはアークスも同じよ。<br>尻込みする必要はないわ。"""
Npc57_mb16zeno_010#0,"""アークスの劇的な進化は、ああいった<br>狂人の手が入っていたからなのかもね。"""
11_voice_NPC_5057_101#4,"""ただ、一線を越えたソレは悪そのもの。<br>本当に、よくやってくれたわ。"""
11_voice_NPC_5057_100#5,"""アークスもどんどん変わっていくわね。<br>どうなるのかは不明だけど<br>いい方向に変わっていきそうね。"""
Npc57_mb21_010#0,"""見たことないダーカーも増えていくし<br>敵もどんどん強くなってるわね。"""
Npc57_mb21_020#0,"""でも焦ったり、嘆くことじゃないわ。<br>アークスだって同じように進化して<br>戦力だって上がってるんだから。"""
11_voice_NPC_5057_100#6,"""それにいい方向へアークスは変わった。<br>後方の憂いはなくなったのだから<br>あとはもう、前だけみてればいいわ。"""
Npc57_mb23_010#0,"""いよいよ、厳しい戦いになってきたわ。<br>でも、不思議と私は不安じゃないの。"""
Npc57_mb23_020#0,"""今のアークスは、一丸となっている。<br>情報は全て開示されたし<br>士気もすごく高いわ。"""
Npc57_mb23_030#0,"""不安な要素なんて、全くない。<br>だから私は大丈夫、そう思っているの。"""
Npc57_mb23_after_010#0,"""些細な事だけど<br>意外とね、最後は精神的な部分に<br>かかってきたりするのよ。"""
Npc57_mb23_after_020#0,"""諦めない感情は、バカにできないのよ。<br>全体の士気だって同じ。<br>高ければ高いほど、なんとかなるの。"""
Npc57_mb23_after_030#0,"""だから貴方も、自分がどうしたいのか<br>それを貫けばいいの。<br>負けちゃダメよ。"""
11_voice_NPC_5057_100#7,"""この結果は、貴方が誰よりも強く<br>願ったから手に入れたんだと思うわ。"""
Npc57_mb24_after_020#0,"""バラバラだったアークスも<br>一丸となったわけだし……<br>本当に素晴らしいことよ。"""
Npc57_mb24_after_030#0,"""貴方の影響力は計り知れないわ。<br>これからもそのままの貴方で<br>頑張ってほしいわ。"""
11_voice_NPC_5057_100#8,"""貴方に多くの言葉は不要よね。<br>だから……おかえりなさい。"""
11_voice_NPC_5057_104#3,"""たまに妙なアークスを見るのよね。<br>どこかおかしいというか……<br>違和感を覚えるのよ。"""
st01_020#0,"""しぐさというか、雰囲気というか……<br>なんだか妙なのよね。"""
11_voice_NPC_5057_100#9,"""サモナーの戦い方って、結構好きよ。<br>ペットと一緒に、戦うって<br>素敵だと思うもの。"""
st01_020#1,"""戦場で自分以外の味方がいるって<br>すごく嬉しいことだしね。"""
11_voice_NPC_5057_100#10,"""貴方に続くアークスを育てるためにも<br>最近は、少し厳し目に指導しているわ。"""
st01_020#2,"""そのほうが、将来的にも<br>アークスのためになるからね。"""
