11_voice_NPC_5151_100#0,"""お前か。<br>ちょうどいいところだった。"""
11_voice_NPC_5151_100#8,"""この二年の間に<br>バウンサーはかなりの広まりをみせた。"""
st01_020#1,"""それはもちろん、所構わず宣伝していた<br>カトリの功績でもあるが……<br>寄せられた苦情も大変な数だった。"""
st01_030#1,"""その処理やら対応やらについては<br>あまり思い出したくはない。"""
11_voice_NPC_5151_100#9,"""東京エリアは<br>実に特訓向きの場所といえよう。"""
st01_020#2,"""多様なエネミーももちろんだが<br>急なカーブがあったりと<br>実に面白い。"""
st01_030#2,"""カトリは辛いと嘆いていたが<br>修行を重ねれば<br>泣き言も言わなくなるだろう。"""
11_voice_NPC_5151_100#10,"""アークス訓練所、という施設が<br>実験的に作られている。"""
st01_020#3,"""あれには、私達試験運用担当の<br>集めたデータなども用いられている。<br>機会があったら、訪ねてみるといい。"""
11_voice_NPC_5151_104#2,"""お前が関わっている問題だが<br>やはり厄介な内容になってきたな。"""
st01_020#4,"""アークス全体で対応しなければ<br>ならないかもしれんな。"""
st01_030#3,"""そこに備えてというわけでもないが<br>特訓に励んでおくとしよう。<br>いつまでもお前任せではいられない。"""
11_voice_NPC_5151_100#11,"""各々の強くイメージした武装を<br>その手の内に具現化する。<br>それが具現武装、らしいな。"""
st01_020#5,"""私にその原理は理解できないが<br>イメージを強く持つことの<br>重要さは理解できる。"""
st01_030#4,"""こうありたい、という強い意志は<br>目的達成の標となるものだからな。"""
11_voice_NPC_5151_104#3,"""先日の襲撃時は、ちょうど出撃中でな。<br>現場にいられず、皆に迷惑をかけた。"""
st01_020#6,"""……いや、現場にいたとしても<br>リミッター影響下では無力か。"""
st01_030#5,"""事後処理は手伝わせてもらったが<br>思ったよりも被害が抑えられていたのが<br>幸いだったといえるな。"""
11_voice_NPC_5151_104#4,"""ダーカーを模した幻創種か。<br>……率直に、厄介な相手だな。"""
st01_020#7,"""どこまで模倣しているかも気になる。<br>そもそも、アークスのフォトンでしか<br>討ち取れないのか、などだな。"""
st01_030#6,"""全力で分析を進めているならば<br>おいおいわかるとは思うが……<br>危険なことに、違いはない。"""
st01_010#0,"""出し抜かれてしまった、という形だな。<br>とはいえ想定しろというのも無理な話。<br>起きるべくして、起きたのだ。"""
11_voice_NPC_5151_104#5,"""ならば次にやることは一つ。<br>未来を予測し、取るべき行動を決める。<br>私達に出来ることは、それだけだ。"""
st01_030#7,"""相手も意志ある者。<br>ならば自分の理想は曲げまい。<br>ぶつかるしか、ないだろうな。"""
st01_010#1,"""紆余曲折はあったが<br>地球を取り巻く状況は落ち着いたな。"""
11_voice_NPC_5151_104#6,"""とはいえ、幻創種はまだ出現する。<br>しばらくは連携しての討伐任務など<br>気は抜けないだろうな。"""
11_voice_NPC_5151_100#12,"""緊張しているか？<br>……大丈夫だ、何も心配はない。<br>お前の背中は、私達が支えよう。"""
11_voice_NPC_5151_104#7,"""先日の作戦の結果は、成功とも<br>失敗とも言えないようだな。<br>現状維持、とでも言えばいいのか。"""
sq01_020#0,"""もっとも、お前が帰還できたことで<br>十分成功だと、私は思うぞ。"""
sq02_010#0,"""先日の作戦が功を奏したのか<br>ダーカーの出現頻度が落ち着きつつ<br>あるようだな。"""
sq02_020#0,"""もちろん、楽観は出来ないが<br>無駄ではなかったのなら、良いことだ。<br>育成のために時間を割けるからな。"""
