WINDOW_TITLE#0,"""¿Qué?"""
RECYCLESHOP_JIG_TITLE01#0,"""Actualización de la serie Cleasis <pict Fresh>"""
RECYCLESHOP_JIG_TITLE02#0,"""Actualización de equipos"""
RECYCLESHOP_JIG_TITLE03#0,"""Obtener otros objetos"""
RECYCLESHOP_JIG_TITLE04#0,"""Actualización de la serie Val"""
RECYCLESHOP_JIG_TITLE05#0,"""Actualización de la serie Nemesis"""
RECYCLESHOP_JIG_TITLE06#0,"""Actualización de la serie Raven"""
RECYCLESHOP_JIG_TITLE07#0,"""Cambiar la categoría del arma de la serie Atlas <pict Fresh>"""
BEGINNER_GUIDE#0,"""Manual ARKS"""
SCQ_ITEMSHOP_TITTLE#0,"""Tienda de artículos"""
TICKETSHOP_ES_TITTLE01#0,"""TIENDA DE INTERCAMBIO POR TIEMPO LIMITADO（～2018年10月10日11時00分)"""
TICKETSHOP_ES_TITTLE03#0,"""TIENDA DE INTERCAMBIO POR TIEMPO LIMITADO（～2019年9月4日11時00分)"""
TICKETSHOP_ES_TITTLE04#0,"""TIENDA DE INTERCAMBIO POR TIEMPO LIMITADO（～2019年10月2日11時00分)"""
TICKETSHOP_ES_TITTLE02#0,"""TIENDA DE INTERCAMBIO POR TIEMPO LIMITADO（～2019年5月15日11時00分）"""
TICKETSHOP_ES_TITTLE05#0,"""TIENDA DE INTERCAMBIO POR TIEMPO LIMITADO（～2020年5月13日11時00分）"""
TICKETSHOP_ES_TITTLE06#0,"""TIENDA DE INTERCAMBIO POR TIEMPO LIMITADO（～2020年10月28日11時00分）"""
TICKETSHOP_ES_TITTLE07#0,"""TIENDA DE INTERCAMBIO POR TIEMPO LIMITADO（～2021年5月12日11時00分）"""
RECYCLESHOP_JIG_TITLE08#0,"""Usar Conqueror's Crest para obtener armas 14★"""
RECYCLESHOP_JIG_TITLE09#0,"""Obtener Invade Series"""
RECYCLESHOP_JIG_TITLE10#0,"""Obtener Armas"""
RECYCLESHOP_JIG_TITLE11#0,"""Actualizar Supernatural Series"""
RECYCLESHOP_JIG_TITLE12#0,"""Jutus Series Upgrade"""
RECYCLESHOP_JIG_TITLE13#0,"""Actualizar Homura Series"""
RECYCLESHOP_JIG_TITLE14#0,"""Usar King's Crest para obtener armas 14★"""
RECYCLESHOP_JIG_TITLE15#0,"""Cambiar en la catergoria Ares Series"""
RECYCLESHOP_JIG_TITLE16#0,"""Actualizar Ceres Series"""
RECYCLESHOP_JIG_TITLE17#0,"""Obtener Armas ★15"""
RECYCLESHOP_JIG_TITLE18#0,"""Actualizar Profound Xion Series"""
RECYCLESHOP_JIG_TITLE19#0,"""Obtener Armas"""
RECYCLESHOP_JIG_TITLE20#0,"""Cambiar la catergoria de armas"""
RECYCLESHOP_JIG_TITLE21#0,"""Obtener Profound Xion Series"""
RECYCLESHOP_JIG_TITLE22#0,"""Usar Hero's Crest pa obtener armas ★14<pict Fresh>"""
RECYCLESHOP_JIG_TITLE23#0,"""Actualización de la Serie Evelida<pict Fresh>"""
RECYCLESHOP_JIG_TITLE24#0,"""Intercambios de Crests"""
RECYCLESHOP_JIG_TITLE25#0,"""Intercambiar armas Striking"""
RECYCLESHOP_JIG_TITLE26#0,"""Intercambiar armas Ranged"""
RECYCLESHOP_JIG_TITLE27#0,"""Intercambiar armas Technique"""
RECYCLESHOP_JIG_TITLE28#0,"""Intercambiar Units"""
RECYCLESHOP_JIG_TITLE29#0,"""Intercambios Avanzados"""
RECYCLESHOP_JIG_TITLE30#0,"""Intercambios Especiales"""
RECYCLESHOP_REO_TITLE01#0,"""Usar Leontina's Certificate A para obtener armas 13★"""
RECYCLESHOP_REO_TITLE02#0,"""Usar Leontina's Certificate B para obtener armas 14★"""
TICHETSHOP_SEA_TITLE01#0,"""6-YEAR ANNIVERSARY EXCHANGE SHOP 1（～2018年7月11日11時00分)"""
TICHETSHOP_SEA_TITLE02#0,"""6-YEAR ANNIVERSARY EXCHANGE SHOP 2（～2018年7月25日11時00分)"""
TICHETSHOP_SEA_TITLE03#0,"""6-YEAR ANNIVERSARY EXCHANGE SHOP 1（～2018年8月1日11時00分)"""
TICHETSHOP_SEA_TITLE04#0,"""6-YEAR ANNIVERSARY EXCHANGE SHOP 2（～2018年8月8日11時00分)"""
TICHETSHOP_SEA_TITLE05#0,"""Homura Series Exchange Shop（～2018年8月8日11時00分)"""
TICHETSHOP_SEA_TITLE06#0,"""NEW YEAR'S FESTIVAL 2019 EXCHANGE SHOP 1（～2019年1月23日11時00分）"""
TICHETSHOP_SEA_TITLE07#0,"""新年祭2019交換ショップ・後半（～2019年2月6日11時00分）"""
TICHETSHOP_SEA_TITLE08#0,"""オメガDFシリーズ交換ショップ（～2019年3月6日11時00分）"""
TICHETSHOP_SEA_TITLE09#0,"""NEW YEAR'S FESTIVAL 2019 EXCHANGE SHOP 2（～2019年2月20日11時00分）"""
TICHETSHOP_SEA_TITLE10#0,"""新年祭2019交換ショップ・後半（～2019年3月6日11時00分）"""
TICHETSHOP_SEA_TITLE13#0,"""限定ACリサイクルショップ（～2019年8月21日11時00分)"""
TICHETSHOP_SEA_TITLE14#0,"""7周年バッヂ交換ショップ・前半（～2019年7月24日11時00分)"""
TICHETSHOP_SEA_TITLE15#0,"""Web連動パネル確認"""
TICHETSHOP_SEA_TITLE21#0,"""7周年バッヂ交換ショップ・後半（～2019年8月7日11時00分)"""
TICHETSHOP_SEA_TITLE24#0,"""7周年バッヂ交換ショップ（～2019年8月21日11時00分)"""
TICHETSHOP_SEA_TITLE22#0,"""7周年バッヂでノヴェルシリーズ引換券を入手"""
TICHETSHOP_SEA_TITLE23#0,"""ノヴェルシリーズ交換ショップ（～2019年8月21日11時00分)"""
TICHETSHOP_SEA_TITLE16#0,"""View Individual Point Rewards"""
TICHETSHOP_SEA_TITLE17#0,"""Confirm Point Ranking Rewards"""
TICHETSHOP_SEA_TITLE18#0,"""Point Ranking"""
TICHETSHOP_SEA_TITLE19#0,"""Confirm Ranking (1/2)"""
TICHETSHOP_SEA_TITLE20#0,"""Confirm Ranking (2/2)"""
TICHETSHOP_SEA_TITLE25#0,"""Web Link Menu"""
TICHETSHOP_SEA_TITLE26#0,"""2020 WEAPONS Badge Exchange Shop"""
TICHETSHOP_SEA_TITLE27#0,"""New Year's Festival 2020 Limited Exchange Shop (Until 11:00 AM February 5, 2020))"""
TICHETSHOP_COLLABO_TITTLE01#0,"""Huntstone Exchange Shop (till 11:00 am, Dec 5, 2018))"""
TICHETSHOP_COLLABO_TITTLE02#0,"""Ceres Series Exchange Shop (till 11:00 am, Dec 5, 2018))"""
QC_STORY_EP6#0,"""Story Quests"""
EP6_CHANGE_SIERRA#0,"""Cambiar episodio"""
MEDALSHOP_TITLE01_V60501#0,"""Intercambio de Cobalt Medals por artículos limitados"""
TICHETSHOP_SEA_TITLE28#0,"""8-Year Anniversary Badge Exchange Shop (Until 11:00 am, August 5, 2020)"""
TICHETSHOP_SEA_TITLE31#0,"""2021 Tienda de intercambio de insignias de armas (Until 11:00 AM March 31, 2020)"""
TICHETSHOP_SEA_TITLE32#0,"""Intercambio de insignias 2021 WEAPONS por weapons, materials and tool items"""
TICHETSHOP_SEA_TITLE33#0,"""Intercambio de insignias 2021 WEAPONS por Emotes"""
TICHETSHOP_SEA_TITLE34#0,"""Intercambio de insignias 2021 WEAPONS por Outfits, Accessories and Mag Evolution Devices"""
TICHETSHOP_SEA_TITLE35#0,"""Intercambio de insignias 2021 WEAPONS por Weapon Camo"""
00_01#0,"""Opción 1"""
00_02#0,"""Opción 2"""
TALK_ST#0,"""Hablar"""
C_ORDER_ST#0,"""Escuchar los detalles"""
