11_voice_NPC_5018_101#0,"""ああ、君か。<br>ちょうど良いところに来たね。"""
Chroto_mb22_020#0,"""その諦めない姿勢を<br>私はとても好ましく思っているんだ。"""
11_voice_NPC_5018_104#8,"""多くの人が君のためにと<br>力になろうと思っている。<br>もちろん、私もそうさ。"""
11_voice_NPC_5018_100#5,"""そこでお兄さんから助言を一つ。<br>君は、君らしく。<br>自分が思う道を貫くんだよ。"""
11_voice_NPC_5018_100#6,"""君の強い気持ちがあったから<br>みんなが一丸となれたんだ。"""
Chroto_mb24_after_020#0,"""私はとても喜ばしいと思ってるんだ。<br>これからも、君は自分が思う道を<br>貫き続けていくんだよ。"""
11_voice_NPC_5018_100#7,"""君の働きをきっかけに<br>アークスがまた変わろうとしている。"""
Chroto_mb25_020#0,"""どんな形になるかは分からないけれど<br>きっと良い変化になるだろうね。"""
st01_010#0,"""君が休んでいる間も、アークスは<br>滞りなく動いていたよ。"""
st01_020#0,"""ダークファルスなんかも現れたけど<br>まあ、なんとかなるものさ。<br>大抵のことはね。"""
11_voice_NPC_5018_100#8,"""だから、あんまり抱え込みすぎずに<br>のんびり気楽に頑張りなよ。"""
11_voice_NPC_5018_100#9,"""地球という惑星は<br>なんだか不思議な感じがするよね。"""
st01_020#1,"""アークスに近い技術もあるようだし<br>その辺り、すごく気になるよ。"""
11_voice_NPC_5018_100#10,"""ダーカー相手とは勝手が違う分<br>やりづらいことも多いんじゃないかな。"""
st01_020#2,"""まあ、色々思うことはあるだろうけど<br>気負いすぎずに頑張りなよ。"""
11_voice_NPC_5018_100#11,"""やはりダーカー相手とは違うね。<br>こっちの仕組みも利用してくる。"""
st01_020#3,"""人との戦いって、面倒だねえ。<br>なるべく関わりたくないよ。"""
st01_010#1,"""情報部としては、一応アースガイドの<br>指導者のことも疑って動いては<br>いたみたいだよ。"""
st01_020#4,"""ただ、彼は隙を見せなかった。<br>だからこそここまで共に歩んできて<br>……最後に出し抜かれちゃったねえ。"""
