11_voice_NPC_5008_101#0,"""<%me>さん！<br>ちょっといいですか？"""
Fourie_15_020#0,"""私のセンサーは後方を感知できないので<br>もともと前しか見られないのですが……<br>難しい問いかけですよね。"""
Alice_01_10#0,"""他種族との恋愛について、ですか<br>なるほどなるほどー……って<br>えっ！\u3000ええっ！？"""
Alice_01_20#0,"""そんな、他種族との恋愛なんて<br>私はあの子達にそんな感情を<br>持ってるわけじゃなくて、ですね……"""
Alice_01_30#0,"""……え？\u3000違う？<br>アークス内での他種族との恋愛？"""
Alice_01_40#0,"""た、たはは……！\u3000やだなあもう！<br>勘違いさせないでくださいよ！"""
Alice_01_50#0,"""ええっと、恋愛、恋愛ですか？<br>私はなんでも誰でもオーケーです！<br>好きならなんでも大丈夫、です！"""
Alice_01_60#0,"""……こんなこと言っているから<br>キャストっぽくないと言われるんですが<br>そんなの気にしません、はい！"""
Alice_01_70#0,"""好きになるって、素晴らしいことだと<br>思うんですよね。だからその気持ちには<br>素直に接するべきだと、私は思います！"""
Alice_01_80#0,"""……ええと、恥ずかしいですけど<br>こんな感じで回答になっている<br>でしょうか？"""
11_voice_NPC_08_104#0,"""ダークファルス復活の影響<br>今のところリリーパにはあまり<br>出てはいませんでした。"""
Fourie_mb9_020#0,"""……それで安心してしまった<br>自分がちょっと情けないです。<br>もっと、大きな話なのに。"""
11_voice_NPC_08_104#1,"""ウワサの暴走龍さん、ですか？<br>……えっと、すみません<br>わたしは会ったことがないです。"""
Fourie_mb10_020#0,"""あの子達も会ったことがないそうです。<br>無差別に襲ってくると言われているのに<br>不思議なものです。"""
11_voice_NPC_08_101#0,"""戦技大会ってアレですよね！<br>戦意を高めるための催しですよね！<br>いいことだと思います！"""
Fourie_mb11_020#0,"""わたしは今回参加できませんが<br>みなさんには頑張ってもらいたいです！"""
Fourie_mb11_030#0,"""だってほら<br>競い合い、高めあうのって<br>なんだか燃えるじゃないですか！"""
11_voice_NPC_5008_100#5,"""惑星ウォパルって、惑星全体が<br>海に包まれている感じなんですよね。<br>潮風とかも、きつそうですね。"""
Fourie_mb12_020#0,"""うーん……大丈夫とわかっては<br>いるんですが、錆びないかとかが<br>ちょっと気になっちゃいますね。"""
11_voice_NPC_5008_100#6,"""わたし、カタナやパルチザンに<br>ちょっとした憧れがあるんですよ。"""
Fourie_mb13_020#0,"""ほら、レギアスさんやマリアさんが<br>使っている武器なんです。<br>かっこいいですよね。"""
11_voice_NPC_5008_100#7,"""わたし、カタナやパルチザンに<br>ちょっとした憧れがあるんですよ。"""
Fourie_mb14_020#0,"""ほら、レギアスさんやマリアさんが<br>使っている武器なんです。<br>かっこいいですよね。"""
11_voice_NPC_5008_100#8,"""自分の正義は自分で決める、です。<br>あ、ああっと、ごめんなさい。<br>自分に言い聞かせてただけです。"""
Fourie_mb15_020#0,"""この前マリアさんに言われたこと。<br>しっかり胸に刻み込んで<br>おきたいんです。"""
11_voice_NPC_5008_100#9,"""自分の信じることを、やり通す。<br>それが出来たらいいなぁ、って<br>最近は、特に強く思います。"""
Fourie_mb16_020#0,"""それだけ、やりたいことが見つかって<br>きたってことなんだと思いますけど……<br>なかなか実践は難しいですね。"""
11_voice_NPC_5008_104#2,"""<%me>さん！<br>本当に、本当に……すみません！<br>ごめんなさい！"""
Fourie_mb16zeno_020#0,"""絶対令……あんなものに惑わされて<br><%me>さんと<br>戦ってしまうなんて……"""
Fourie_mb16zeno_030#0,"""……本当に、すみません。<br>どれだけ謝っても足りないですが<br>……私には、それしかできません。"""
11_voice_NPC_5008_100#10,"""惑星ハルコタン……<br>独特の文化を持つ惑星らしいですね。"""
Fourie_mb18_020#0,"""なんでも、すっごくおおきな人たちが<br>住んでいるとかなんとか。"""
Fourie_mb18_030#0,"""……とはいえ、私はまだ<br>行ったことないんですけどね。<br>たはは。"""
Fourie_mb19_010#0,"""今でこそ慣れましたけど、ロジオさんは<br>リリーパに来たばかりの頃って<br>環境に悩まされていたんですよ。"""
Fourie_mb19_020#0,"""砂漠エリアなんかは砂が多いですし<br>口や目に砂が入ったりして<br>大変だったみたいです。"""
11_voice_NPC_5008_100#11,"""その辺、私はキャストなんで<br>全然大丈夫なんですけどね。"""
Fourie_mb20_010#0,"""ロジオさんは、リリーパに居た頃<br>気候について熱心に調査していました。<br>それはもう、すごく細かく。"""
Fourie_mb20_020#0,"""そしたらその姿が珍しかったみたいで<br>あの子達、こっそりロジオさんを<br>見ていたんですよ。"""
11_voice_NPC_5008_100#12,"""その光景は、微笑ましかったですね。<br>もちろん大変なことも多かったですが<br>今ではいい思い出です。"""
Fourie_mb21_010#0,"""アフィンさんは、よくリリーパに<br>訪れているみたいです。"""
Fourie_mb21_020#0,"""私も何度かお会いしましたから。<br>すごく大切なものを探していると<br>おっしゃっていましたよ。"""
Fourie_mb21_030#0,"""何を探しているのかわかりませんが<br>見つかるといいなって思ってます。"""
11_voice_NPC_5008_100#13,"""アフィンさん、明るくなりましたよね。<br>つきものが取れたというか……<br>スッキリしたって感じがしています。"""
Fourie_mb22_020#0,"""まだまだ課題はあると思います。<br>むしろようやくスタートラインに<br>立てたところかもしれません。"""
Fourie_mb22_030#0,"""でもやるべきことが見つかったなら<br>後は走るだけですもんね。<br>もう、大丈夫だと思ってます。"""
11_voice_NPC_5008_100#14,"""よかった……会えてホッとしました。<br>顔を見るまでは心配でして。<br>無事でなによりです。"""
11_voice_NPC_5008_104#3,"""心配といえば……<br>アフィンさんたちも気がかりですね。"""
Fourie_mb23_030#0,"""なんか目が離せないというか……<br>ともかくいい方向へいってほしいなって<br>今はそれだけ思っています。"""
11_voice_NPC_5008_100#15,"""<%me>さん。<br>お話はいろいろ伺っています。<br>もちろん、マトイさんのことも。"""
11_voice_NPC_5008_104#4,"""今のところ、リリーパに来た<br>形跡は見つかっていません。<br>あの子たちも見ていないそうです。"""
Fourie_mb23_after_030#0,"""でも、きっと見つかると思ってます。<br>諦めなければ、道は開ける。<br>私はそう信じてるんですよ。"""
Fourie_mb24_after_010#0,"""自分が信じたことを、貫いて<br>ちゃんと結果を出す。"""
11_voice_NPC_5008_101#4,"""そういうのが出来るって<br>スゴくかっこいいなって思います。"""
11_voice_NPC_5008_100#16,"""アークスの管理体制についてですが<br>またちょっと変わるみたいですよ。"""
Fourie_mb25_020#0,"""どんな風に変わるのかも<br>既に情報は公開されていますから<br>みんな、心配してないみたいですよ。"""
11_voice_NPC_5008_100#17,"""あ、あああっ！<br><%me>さん！<br>ふっ、復帰されたんですね！"""
st01_020#0,"""えっと、ええっと……！<br>ま、まずは深呼吸をしないと……<br>すー、はー、すー、はー……"""
st01_030#0,"""その……おかえりなさい！<br>戻ってくるの、ずっと待ってました！<br>また一緒に頑張りましょうね！"""
11_voice_NPC_5008_100#18,"""マトイさんは？\u3000って、そうだ<br>マトイさん、今お休み中でしたね。<br>たはは、忘れっぽくてすみません。"""
st01_020#1,"""ちょうど入れ違いみたいな形ですね。<br>マトイさんも、すっごくあなたに<br>会いたがっていましたよ。"""
11_voice_NPC_5008_100#19,"""私はマリアさんの総務部……じゃなく<br>ヒューイさんたちの戦闘部所属です！"""
st01_020#2,"""憧れのマリアさんの部署も<br>よかったんですが、やっぱり現場で<br>あの子たちと一緒にいたいな、って。"""
st01_030#1,"""リサさんにも誘われましたし<br>迷いはありませんでした、はい！"""
11_voice_NPC_5008_100#20,"""リサさんと一緒に任務へ行くと<br>なんていうか、すごいんです。"""
st01_020#3,"""ガンガン撃って、爆破して<br>全部壊しちゃう感じで<br>あれを爽快って言うんでしょうね！"""
11_voice_NPC_5008_104#5,"""地球では、色々あったみたいですね。<br>うーん……気になっちゃいますね。"""
st01_020#4,"""それにヒツギさんでしたっけ。<br>大丈夫なんでしょうか。<br>心配ですね。"""
11_voice_NPC_5008_104#6,"""地球での諸問題の影響で、アークス側の<br>世界でも何かあるかと思ってたんですが<br>今のところは何もないです。"""
st01_020#5,"""平和……というには戦いが多いですが<br>小康状態、といったところでしょうか。"""
st01_010#0,"""このまえの襲撃、びっくりしました……<br>まさかここに直接来るなんて<br>思ってもいなかったので……"""
st01_020#6,"""でも、侵入の規模に対して<br>被害は少なめだったみたいです。<br>目的は破壊じゃなかったんでしょうね。"""
st01_010#1,"""アークスとダークファルスの<br>違いというものを<br>改めて考えているんです。"""
st01_020#7,"""ユクリータさんも、マトイさんも<br>一時ダークファルスに準じた存在へと<br>なりましたが、戻ってこられました。"""
st01_030#2,"""……私たちが考えている以上に<br>その境目は、曖昧なのかもしれません。"""
11_voice_NPC_5008_100#21,"""<%me>さん！<br>頑張りましょうね！\u3000今回の作戦！"""
sq00_020#0,"""私もお力になれるよう<br>精一杯がんばりますから！"""
sq01_010#0,"""<%me>さん！<br>おかえりなさい！"""
sq01_020#0,"""おそらくみなさんから心配されてると<br>思って、普通に接してみたんですけど<br>……ああ、でも、だめです。"""
sq01_030#0,"""無事で良かった、というのと<br>姿が見られたので……<br>顔がほころんじゃいました。"""
sq02_010#0,"""最近は出撃回数も落ち着いているので<br>暇があればリリーパに行っています。"""
sq02_020#0,"""え？\u3000いつも通りじゃないかって？<br>……たはは、まあそうなんですけど<br>ゆっくりしている、って意味です。"""
