name_7429#0,"""크리스토발"""
ssn_015030_3301#0,"""훌륭해.<br>그야말로 위업이라고 해도 될 성과야."""
ssn_015030_3302#0,"""가로아의 죽음은 아크스에게 있어<br>큰 손실인 건 틀림없어."""
ssn_015030_3303#0,"""하지만 그 남자는 그와 동시에, 너라는 새로운 희망을<br>우리에게 남겨준 건지도 모르겠어."""
ssn_015030_3304#0,"""나는 이렇게 너와 만났다는 사실을<br>마음 속 깊이 자랑스럽게 생각해."""
ssn_015030_3305#0,"""강화 프로그램은 이걸로 끝이지만,<br>앞으로 강적들을 찾아 도전해 보는 게 좋을 거야."""
ssn_015030_3306#0,"""이 크바리스에는<br>아직 본 적 없는 에너미가 있을지도 몰라."""
ssn_015030_3307#0,"""이번 경험을 바탕으로<br>그런 적들을 상대로도 겁먹지 말고 도전해 주었으면 한다."""
ssn_015030_3308#0,"""앞으로도 네 성장을<br>지켜보고 있겠다."""
ssn_015030_3309#0,"""같은 아크스로서,<br>함께 절차탁마해 나가자고."""
ssn_015030_3401#0,"""같은 아크스로서,<br>함께 절차탁마해 나가자고."""
ssn_015030_3402#0,"""너라면 언젠가 반드시<br>가로아를 뛰어넘는 아크스가 될 수 있을 거야."""
