name#0,"""Tea"""
Patty_mb14_020#0,"""So why did the Darkers specifically go there?"""
11_voice_NPC_5013_100#7,"""We're the twin intel girls! Patty 'n Tea!"""
Patty_mb15_020#0,"""What are you doing suddenly, you ask? Thought it'd be a good time to make an appeal!"""
Patty_mb15_030#0,"""Otherwise people will forget we're the intel team! Cheap intel! Cheap intel!"""
Patty_mb16_010#0,"""The first commandments of an intel gatherer! Be selective in who you share information with!"""
11_voice_NPC_5013_100#8,"""I don't provide intel to people who look suspicious or funny! I'm good, right?"""
Patty_mb16zeno_010#0,"""Nooo, really, I'm so glad you're safe! The slow undefeated horse ARKS, eh?"""
11_voice_NPC_5013_100#9,"""The absolute order came to us too... but I'm soooo glad I didn't have to fight you...!"""
Patty_mb18_010#0,"""頑張るのも大切だけど<br>たまには息抜きも必要だよ！<br>あたしのおすすめは、カジノ！"""
11_voice_NPC_5013_101#2,"""情報屋としては<br>攻略情報やマル秘テクなんかを<br>調べないと……ぐへへへっ。"""
11_voice_NPC_5013_101#3,"""惑星ウォパルの浮上施設！<br>行ったことないんだったら<br>人生の半分は損してるよ！"""
Patty_mb19_020#0,"""気候は穏やか、風景は美しい<br>出てきた施設もきらびやか！<br>なんだかもー、リゾート施設みたい！"""
11_voice_NPC_5013_104#4,"""……いやー、アイデアってなかなか<br>出てこないものだよねー！"""
Patty_mb20_020#0,"""何の話って？<br>あたしたちの新しい可能性について<br>考えてるんだよ！"""
Patty_mb20_030#0,"""なんかこーう……<br>おおーっ！\u3000ってなるような<br>アイデアないかなー？"""
11_voice_NPC_5013_104#5,"""いろいろ考えてみたんだけどさ<br>なーんか、考え出したらキリないよね！"""
Patty_mb21_020#0,"""可能性を探しすぎて<br>うっかり迷走しちゃった感じ！<br>いやー反省反省。"""
11_voice_NPC_5013_104#6,"""ううーむ、ここのところ<br>情報屋として試されているような気が！"""
Patty_mb22_020#0,"""こうなったら、とっておきの<br>でっかい情報を手に入れねば！"""
11_voice_NPC_5013_102#4,"""どっかにいい情報落ちてないかな！？"""
11_voice_NPC_5013_104#7,"""いやー【双子】に食べられたって<br>聞いた時は、どうなることやと<br>思ったよー！"""
Patty_mb23_020#0,"""本当、無事でなにより！<br>いやーよかったよかった。"""
11_voice_NPC_5013_100#10,"""これからもアナタに情報提供できて<br>嬉しい限り！\u3000パティエンティアは<br>アナタにだけ情報提供するからね！"""
11_voice_NPC_5013_100#11,"""無事ってほど無事じゃないけど<br>アナタが戻ってきてくれてよかったよ！"""
Patty_mb23_after_020#0,"""それで気になるマトイちゃんだけど<br>今、大大大捜索中だよ！"""
Patty_mb23_after_030#0,"""彼女の行方は、あたしたち<br>パティエンティアにおまかせあれ！<br>最初に見つけちゃうからね！"""
Patty_mb24_010#0,"""あたしたちはアークスいちの情報屋！<br>パティエンティア！"""
Patty_mb24_020#0,"""もうあたしたちの情報収集力の高さは<br>知ってるよね？"""
11_voice_NPC_5013_100#12,"""当然、アナタが一番欲しい情報だって<br>ちゃーんと手に入れちゃうからね！"""
11_voice_NPC_5013_100#13,"""やー、やったねやったね！<br>無事に救出大成功！<br>万々歳の結果だねっ！"""
Patty_mb24_after_020#0,"""あ、そうそう！<br>約束通り、情報の提供一生分<br>ちゃーんと承ったからね！"""
Patty_mb24_after_030#0,"""そーんなわけで！<br>今後共、パティエンティアを<br>よろしくお願いしまーすっ！"""
11_voice_NPC_5013_104#8,"""【深遠なる闇】が復活しかけた<br>影響ってどこかに出たりするのかな？"""
Patty_mb25_020#0,"""あんだけすごいフォトンの塊だから<br>どっかに影響とか出てそうだよね。"""
st01_010#0,"""えっと、えっと、えっと……<br>その、えっと、あのね、あのねっ！"""
st01_020#0,"""あー！\u3000言いたいこといっぱいあって<br>何度も何度も何度も何度もイメトレ<br>したのに、ぜーんぶ吹っ飛んじゃった！"""
11_voice_NPC_5013_100#14,"""だから、一言だけにするね！<br>おかえりなさいっ！"""
11_voice_NPC_5013_100#15,"""いやー、本当に戻ってきたんだね！<br>こうしてちょくちょく見かけるように<br>なったから、やっと実感わいてきた！"""
st01_020#1,"""となると次は調査だよっ！<br>コールドスリープ受けているときの<br>こととか、その他のこととか！"""
st01_030#0,"""いろいろいっぱい聞かせてほしいな！<br>時間のあるときでいいからさ！"""
11_voice_NPC_5013_100#16,"""パティエンティアは情報部？<br>いやいやノンノン！\u3000あたしたちは<br>権力に屈したりはしないんだよっ！"""
st01_020#2,"""あたしたちはズバリ！\u3000戦闘部！<br>戦闘しない戦闘部なのだっ！"""
st01_030#1,"""情報部すら公開しない情報を集めて<br>提供する、みんなのための情報屋！<br>それが、パティエンティアだよっ！"""
11_voice_NPC_5013_100#17,"""好きな形の武器が作れるって<br>なんかいいなーって思うよね！"""
st01_020#3,"""自分の好きな形で作れるし<br>持ち歩かなくてもいいとか<br>便利だよね！"""
11_voice_NPC_5013_100#18,"""地球の人ってアークスのことを<br>知ってるわけだよね？<br>来ようとしてたわけだしさ。"""
st01_020#4,"""どうやってアークスの存在を<br>突き止めたのかな。<br>ちょっと気になっちゃうよね！"""
st01_010#1,"""マザー・クラスタ、だったっけ？<br>なんかあたしたちアークスに敵意を<br>もってるっぽいけど、何かしたっけ？"""
st01_020#5,"""なーんか、誤解というか濡れ衣というか<br>そういった感じの気配がひしひしと……<br>あたしの直感がそう訴える！"""
11_voice_NPC_5013_104#9,"""具現武装をぶっ壊されるって<br>どんな気持ちなんだろう。<br>ぐわー！\u3000やられたー！\u3000とか？"""
st01_020#6,"""自分の心を具現化したものなんでしょ？<br>とんでもなく痛かったりするのかな。<br>身体じゃなくて、心とかが。"""
st01_030#2,"""大切にしていた武器を壊されたら<br>あたしたちだって、ぐわーっ！\u3000って<br>気持ちでいっぱいになるもんね！"""
st01_010#2,"""この前、襲撃あったんだってね！<br>あたしたち、ちょうど出撃中で<br>帰ってきたら大騒ぎでさ！"""
st01_020#7,"""その場に居合わせたかったなー……<br>なんて、ふざけてもられないよね！<br>いろいろ対策しないとだよー！"""
11_voice_NPC_5013_104#10,"""むむむ、ダーカーのような幻創種……<br>これまたとってもキナ臭い！"""
st01_020#8,"""幻創種だけだと、アークスとしても<br>様子見の気配が強かったけど<br>これからはそうはいかないよね！"""
11_voice_NPC_5013_100#19,"""ついにマザーと和解！\u3000手を取り合って<br>明るい地球の未来へ、レディーゴー！<br>と思ったら、予想外の乱入者！"""
st01_020#9,"""衝撃、それはアーデム＝セークリッド！<br>果たしてこれからどうなるのか……<br>次回に続くっ！\u3000って感じだねー。"""
11_voice_NPC_5013_104#11,"""うーん、でも本当に<br>アーデムって人は、これから何を<br>どうするつもりなんだろうね？"""
11_voice_NPC_5013_100#20,"""ついにマザーと和解！\u3000手を取り合って<br>明るい地球の未来へ、レディーゴー！<br>と思ったら、予想外の乱入者！"""
st01_020#10,"""衝撃、それはアーデム＝セークリッド！<br>果たしてこれからどうなるのか……<br>次回に続くっ！\u3000って感じだねー。"""
11_voice_NPC_5013_101#4,"""そしてその次回が、地球丸ごと大進化！<br>ちょーっと一足飛びにやりすぎだよね。<br>慌ててもいいことなんてないのにさ。"""
st01_010#3,"""地球の未来はあたしたちが決める！<br>ってな感じで、無事終わってよかった。<br>まさに大団円の最終回！"""
11_voice_NPC_5013_100#21,"""それもこれも、アナタが頑張ってくれた<br>おかげなわけですよ！<br>本当に、おつかれさま！"""
11_voice_NPC_5013_101#5,"""あたしたちも、今回は情報屋じゃなく<br>戦闘部として頑張っちゃうよー！<br>おっしゃー、かかってこーい！"""
11_voice_NPC_5013_100#22,"""あたしは心配してなかったよ！<br>シャオ君があんまり情報出さないって<br>ことは、無事ってことだもんね！"""
sq02_010#0,"""速報速報！\u3000ダーカーの数が減ってる！<br>いや、公式な発表はないけど<br>なんか戦っててそんな感じがする！"""
sq02_020#0,"""でもね、こういう時だからこそ<br>気を引き締めないといけないの！<br>油断禁物、ってヤツ！"""
11_voice_NPC_5013_104#12,"""なんか、まだ何かやっばいことが<br>起きそうな気がするんだよねー。<br>情報屋の、カン、ってヤツ？"""
sq13_010#0,"""That Shiva really sucked all the fun out of the room. One look at her and whammo, straight into serious time."""
sq13_020#0,"""Even the Council of Six and you Guardians look worried!"""
11_voice_NPC_5013_100#23,"""But have no fear, Patty n' Tea are here! Our first mission: Find out everything we can about the Goddess of Demise!"""
11_voice_NPC_5013_103#1,"""This is so weird! We don't know a-ny-thing! I've asked all our sources, but they're still trying to figure out the absolute basics!"""
ep6_sq00_02#0,"""As an info dealer, discovering good news and delivering it to people who need cheering up is my calling!"""
11_voice_NPC_5013_102#5,"""But Patty won't give up! I'll show you the true power of an information dealer!"""
11_voice_NPC_5013_109#0,"""Hey, hey! Xiao's about to be killed! What are you going to do about it?!"""
11_voice_NPC_5013_104#13,"""Oohh, this can't be happening...<br>We all worked so hard..."""
11_voice_NPC_5013_100#24,"""Hey, did you see him?!<br>You saw him, right?!"""
ep6_sq02_02#0,"""Who is that?! It's Xiao?! He looks so wild, it's like he's a different person!"""
ep6_sq02_03#0,"""Do we all have to call him Mr. Xiao now?! You know what I mean, right?!"""
11_voice_NPC_5013_103#2,"""Even throwing all our A.I.S. at them at once didn't do anything! They're cheating! They must be!"""
ep6_sq02_01_02#0,"""I thought that Xiao coming back meant we were going to beat Shiva already!"""
11_voice_NPC_5013_103#3,"""I can't believe Shiva sent Mitra in disguise to take the fall for her! That goes totally against the spirit of fair play!"""
ep6_sq03_02_01_02#0,"""As an information dealer who's been instrumental in bringing about universal peace, this makes me incredibly sad!"""
Kyokuya_01_010#0,"""You want to ask me something? Alright, I won't let you down!<br>Hm? What do I think of Kyokuya?"""
Kyokuya_01_020#0,"""That Aria of his chilled me to the bone when we spoke to him before!<br>I've been practicing ever since! Check it out!"""
Kyokuya_01_030#0,"""“O' Shadow, darker than the great Abyss. Become my power and swallow those who dare to defy me, PHANTOM...!”"""
11_voice_NPC_5013_100#25,"""Well? Perfect, right? I don't actually know what it means, but isn't it just the coolest?!"""
11_voice_NPC_5013_103#4,"""Hey, doesn't this seem strange to you?! The number of enemies coming at us just keeps increasing! This is unreasonable!"""
ep6_sq04_01_02#0,"""This is way past simple cheating, it's got to be straight-up fraud!"""
ep6_sq04_01_03#0,"""But! At times like these, it's the policy of ARKS' number one info dealers to stay cheerful and motivated! Now, let's go gather some info!"""
ep6_sq05_1#0,"""I heard all about it! So you took down another one of Shiva's troublesome pals, did you?"""
11_voice_NPC_5013_100#26,"""Just the big bad wolf left now. I just know you'll pull something out of your sleeve at the last minute!"""
11_voice_NPC_5013_100#27,"""Congratulations! And thank you! You finally took down that big bad Shiva!"""
text02#0,"""So, how about an exclusive interview with the hero who saved Oracle...?<br>Oh, but it'll have to wait until after the celebration party!"""
11_voice_NPC_5013_101#6,"""It's gonna be great! You'll take center stage! Everyone'll be there! Oh, I have to go and get ready!"""
