11_voice_NPC_5020_101#0,"""어, 마침 잘 왔다."""
Oza_mb22_020#0,"""클래스에 편견을 품었던 건<br>이제 과거의 일이다.<br>앞으로는 시야를 더 넓히겠다."""
Oza_mb22_030#0,"""관점을 바꾸기만 해도 움직임이<br>상당히 달라졌지.<br>내 미숙함을 알게 되어 다행이다."""
11_voice_NPC_5020_100#8,"""어, 고생 많았다.<br>무사해서 다행이다."""
11_voice_NPC_5020_104#9,"""그나저나 요즘은 긴장감이랄까<br>분위기가 날카롭군…"""
Oza_mb23_030#0,"""무리도 아니라고 생각하지만<br>아무래도 불길한 예감이 든다.<br>조심해라."""
11_voice_NPC_5020_100#9,"""괜찮았나?<br>여러모로 힘들었던 모양이군.<br>사정은 어느 정도 들었다."""
Oza_mb23_after_020#0,"""내가 도울 일은 없나?<br>내가 할 수 있는 일이라면<br>뭐든 말해라."""
Oza_mb24_after_010#0,"""아, 너였군!<br>무사해서 다행이다."""
Oza_mb24_after_020#0,"""솔직히 상대가 상대인 만큼<br>상당히 힘들 거라 생각했는데…<br>역시 대단하군."""
11_voice_NPC_5020_101#5,"""두 사람 모두 제대로 돌아왔다.<br>이보다 기쁜 일은 없다!<br>정말 다행이다."""
Oza_mb25_010#0,"""아크스가 또 여러모로 바뀐다는군.<br>모두 그 개선안을<br>상당히 긍정적으로 받아들이고 있다."""
11_voice_NPC_5020_100#10,"""그 이유 중 하나는<br>모두 하나가 되어 싸울 수 있었기<br>때문이라고 생각한다."""
11_voice_NPC_5020_100#11,"""<%me>!<br>…오랜만이군.<br>꽤 오래 잠들어 있었잖아."""
st01_020#0,"""모두 네 복귀를 손꼽아 기다렸다.<br>물론 나도 마찬가지다.<br>…앞으로도 잘 부탁한다."""
11_voice_NPC_5020_104#10,"""흐음, 어떻게 할까…<br>아, 미안하다.<br>생각할 게 있어서 말이지."""
st01_020#1,"""서머너라는 클래스는<br>함께 싸우는 상대가 펫이잖아?<br>어떻게 연계해야 할지 생각하고 있었다."""
st01_030#0,"""클래스는 달라도<br>함께 싸우기 편해지려면<br>서로 다가가야 하니까."""
11_voice_NPC_5020_100#12,"""오, 너였나.<br>지구라는 곳은 재미있군."""
st01_020#2,"""자동차와 공원이 있어서<br>시가지와 비슷한 느낌이 들더군.<br>나도 모르게 탐색에 힘이 들어간다."""
11_voice_NPC_5020_104#11,"""환창종과 싸우는 데는 익숙해졌지만<br>그 감촉만큼은 익숙해지지 않는군…"""
st01_020#3,"""너도 알겠지만<br>쓰러뜨렸을 때 손맛이 없잖아?<br>그것만큼은 영 익숙해지지 않는군…"""
11_voice_NPC_5020_104#12,"""네가 얽힌 문제는<br>역시 점점 커지고 있군."""
st01_020#4,"""너라면 괜찮을 거라 생각하지만<br>도움이 필요할 때는 언제든 말해라."""
st01_010#0,"""이번 적은 사람들이 모인 조직인가.<br>그들이 아크스를 명백히<br>적대하는 이유가 뭘까."""
11_voice_NPC_5020_104#13,"""다커도 여러 번 아크스 쉽을<br>습격해 왔지만 설마 직접<br>샵 에어리어를 노릴 줄이야."""
st01_020#5,"""여러 계략을 쓰는 만큼<br>다커보다 더 성가실지도 모르겠군.<br>이번 상대는."""
st01_010#1,"""다커와 환창종이 융합했다면<br>각각 따로 있을 때보다<br>성가셔질 건 분명하군."""
11_voice_NPC_5020_104#14,"""특히 다커의 특성인<br>만물 침식이 환창종에게도<br>재현됐다면… 위험하다."""
11_voice_NPC_5020_100#13,"""지원은 우리에게 맡겨 둬라.<br>너는 그저 네 목적을 위해<br>힘을 발휘하면 된다."""
11_voice_NPC_5020_100#14,"""오, 돌아왔나.<br>무슨 일이 있었는지는 모르지만<br>우선 무사해서 다행이다."""
sq02_010#0,"""출격 횟수가 줄어든 만큼은<br>훈련으로 보충하고 있다."""
sq02_020#0,"""평소에는 못 하던 연계 훈련 등에<br>시간을 쓸 수 있어 괜찮군."""
11_voice_NPC_5020_104#15,"""종말의 여신 시바라…<br>아직 【심원의 어둠】도 해결되지<br>않았는데 계속해서…"""
sq13_020#0,"""평화가 코앞이라고 생각했는데<br>뜻밖의 형태로 되돌아가 버렸군."""
ep6_sq00_01#0,"""다음 습격이 언제일지도 모른다.<br>그러니 준비를 완벽히<br>해 둘 필요가 있다."""
11_voice_NPC_5020_104#16,"""서로 정신을 바짝 차리자.<br>지금까지 없던 위기니까."""
11_voice_NPC_5020_108#1,"""젠장!\u3000설마 이런 일이…<br>…내가 제때 도착했다면!"""
ep6_sq01_02#0,"""…아니, 그랬다 해도<br>내 실력으로는 부족했겠지.<br>실제로 도착조차 못했으니까."""
ep6_sq01_03#0,"""하지만 아직 희망은 있다. 그렇지?<br>네 표정이 말해 주고 있다.<br>그렇다면 거기에 걸 뿐이다!"""
ep6_sq02_01#0,"""설마 했는데<br>정말로 구해 냈군."""
ep6_sq02_02#0,"""우리끼리 어떻게든 해야 한다고<br>생각했지만 그렇지 않았군.<br>모두가 모이지 않으면 의미가 없다."""
ep6_sq02_03#0,"""깨닫게 되는 일뿐이지만<br>계속 풀이 죽어 있을 순 없지.<br>이제부터는 온 힘을 다한다!"""
11_voice_NPC_5020_105#1,"""강습 부대는 전멸한 모양이다.<br>…그 정도 규모의 공격으로도<br>힘들다니, 성가신 상대군."""
ep6_sq02_01_02#0,"""그렇다고 해도…<br>냉정함을 잃으면 적의 뜻대로 된다.<br>평정심을 유지하며 계속 싸워야지."""
text01#0,"""어, 너였나.<br>아무 일도 없었나?"""
11_voice_NPC_5020_100#15,"""역시 너답군.<br>그렇게 대단한 일을 해내고도<br>이렇게 평소처럼 있을 수 있다니."""
text03#0,"""앞으로의 일은<br>나도 잘 모르겠지만<br>모두 함께 천천히 생각해 보자."""
