11_voice_NPC_5091_100#0,"""아, 선배였구나.<br>마침 잘 왔어."""
Io_favs_present_add_001#0,"""이오에게서 『<%skit_text>』를 받았습니다."""
Alice_01_10#0,"""응, 무슨 일이야, 선배?<br>뭔가 묻고 싶은 표정인데."""
Alice_01_20#0,"""내가 답할 수 있는 거라면<br>뭐든 물어봐."""
Alice_01_30#0,"""뭐라고?<br>다른 종족도 연애 대상으로 보냐고?<br>……선배, 무슨 소릴 하는 거야?"""
Alice_01_40#0,"""아, 아니. 미안해, 선배.<br>뭔가 깊은 뜻이 있는 거지, 응.<br>알았어. 제대로 대답할게."""
Alice_01_50#0,"""글쎄…… 다른 종족이라도<br>난 딱히 신경 쓰지 않을 것 같아."""
Alice_01_60#0,"""나부터가 듀먼이라는<br>조금 특이한 부류니까.<br>그런 사치를 부릴 처지는 아니지."""
Alice_01_70#0,"""그리고 누군가를 좋아한다는 건<br>종족이나 외모와는 상관없이<br>이끌리듯이……"""
Alice_01_80#0,"""……내가 지금 무슨 소릴 하는 거야!<br>선배, 방금 건 취소!\u3000무효야!<br>잊어 줘, 부끄러우니까……"""
11_voice_NPC_5091_100#1,"""아, 선배…… 나한테 질문?<br>조금이라도 선배에게 도움이 된다면<br>뭐든 물어봐."""
Auyuku_01_020#0,"""여러 사람과 친하게 지내는데<br>그러려고 늘 신경 쓰는 게 있다면<br>알려 달라고……?"""
Auyuku_01_030#0,"""난 사람 사귀는 데 서툴러.<br>그런데 이상하게 여러 부탁을 받아서<br>클래스 홍보 같은 것도 하지만……"""
11_voice_NPC_5091_104#0,"""……으으!<br>선배, 봐줘.<br>생각만 해도 부끄러워져……!"""
11_voice_NPC_5091_105#0,"""뭐……?\u3000상대 이야기를 진지하게<br>들어 주는 게 의지받는 이유라고?<br>선배가 그렇다면 그런가 봐."""
11_voice_NPC_5091_104#1,"""이 근처에는<br>듀먼이 별로 없네.<br>……다들 출격 중인가?"""
11_voice_NPC_5091_105#1,"""주변에 키 큰 사람이 많아서<br>목이 아프네."""
Npc91_mb02_020#0,"""조금만 더<br>키가 컸으면 좋았을지도."""
11_voice_NPC_5091_104#2,"""듀먼이라는 걸<br>꺼리진 않지만<br>가끔 시선이 신경 쓰여."""
Npc91_mb03_020#0,"""일단 뿔 정도는<br>모자 같은 걸로 가려 봐도 되겠네."""
11_voice_NPC_5091_104#3,"""모자?\u3000아, 바로 그만뒀어.<br>오히려 더 눈에 띄어서 못 견디겠더라."""
Npc91_mb04_020#0,"""주목받는 건 상관없지만<br>황홀한 표정으로 바라보는 건<br>……아무래도 좀 곤란해."""
11_voice_NPC_5091_100#2,"""……전에 갑자기 모르는 사람이<br>말을 걸더니 패션 얘기를<br>끝없이 했어. 예쁘다면서."""
Npc91_mb05_020#0,"""그냥 신기해서 보는 건<br>아니었던 모양이야.<br>……내가 좀 과민했나."""
11_voice_NPC_5091_100#3,"""강한 사람의 움직임은 참고가 되지.<br>어떻게 하는지 조금씩<br>알아 가는 것도 즐거워."""
Npc91_mb06_020#0,"""그런 사람도 미숙한 시절이 있었고<br>거기서 성장했다고 생각하면<br>더욱 의욕이 생기거든."""
11_voice_NPC_5091_100#4,"""난 강해지고 싶은 게 아니야.<br>그저 약한 채로 있고 싶지 않을 뿐이야."""
11_voice_NPC_5091_104#4,"""불길한 분위기가 감도네.<br>나조차 알 정도면 심상치 않아."""
11_voice_NPC_5091_106#0,"""저게…… 다크 펄스인가.<br>상상 이상이었어."""
Npc91_mb09_020#0,"""게다가 그게 피해가 적은 편이라는<br>얘기잖아?<br>정말 못 견디겠네."""
11_voice_NPC_5091_104#5,"""폭주룡이 화제지만<br>난 제대로 마주친 적이 없어서<br>별로 실감이 안 나."""
Npc91_mb10_020#0,"""폭주 중이라면 가는 곳마다<br>더 자주 습격해 올 법하잖아?"""
11_voice_NPC_5091_104#6,"""전투 기술 대회?<br>별로 관심은 없어.<br>난 구경꾼이면 충분해."""
Npc91_mb11_020#0,"""눈에 띄는 걸 별로 안 좋아하거든."""
11_voice_NPC_5091_100#5,"""우리 듀먼은 방어 면에서<br>조금 불안하니 파티를<br>맺는 편이 싸우기 좋아."""
Npc91_mb12_020#0,"""……거의 늘 혼자 다니는 내가<br>할 말은 아니지만."""
11_voice_NPC_5091_100#6,"""혼자 있는 이유?<br>그편이 마음 편하잖아."""
Npc91_mb13_020#0,"""남이 싫은 건 아니야.<br>필요하면 제대로 협력하고<br>대화가 무서운 것도 아니야."""
Npc91_mb13_030#0,"""그냥 내가 먼저 말을 거는 건<br>……왠지 부끄럽잖아."""
11_voice_NPC_5091_104#7,"""선배는 여러 사람과<br>자주 이야기하잖아.<br>아크스 안에도 아는 사람이 많고."""
Npc91_mb14_020#0,"""혼자면 마음은 편하지만<br>가끔 외롭기도 하니까<br>……조금 부럽기도 해."""
Npc91_mb14_030#0,"""……뭐야, 그 표정.<br>나답지 않다고?\u3000그래, 그래.<br>나도 그렇게 생각해!"""
11_voice_NPC_5091_104#8,"""다른 아크스와 더 교류하라고?<br>됐어, 됐다고.<br>난 그런 거랑 안 맞아."""
Npc91_mb15_020#0,"""난 친구를 만들려고<br>아크스가 된 게 아니야.<br>그런 교류는 최소한이면 충분해."""
Npc91_mb15_030#0,"""게다가 지금은 선배가<br>나한테 말을 걸어 주잖아."""
11_voice_NPC_5091_105#2,"""……불길한 예감이 들어.<br>뭐냐고 물으면 곤란하지만<br>확실히 불길한 느낌이야."""
Npc91_mb16_020#0,"""……선배는 괜찮은 거지?<br>갑자기 사라지거나 하지 마."""
Npc91_mb16_030#0,"""모처럼 이런저런 얘기를 하게 됐는데<br>갑자기 사라지면…… 곤란해."""
11_voice_NPC_5091_100#7,"""……아!<br>선배, 무사했구나!<br>다행이야……"""
Npc91_mb16zeno_020#0,"""하하…… 뭐랄까, 이제야<br>안심해서 힘이 빠졌어.<br>마음 놓였다고 해야 하나."""
Npc91_mb16zeno_030#0,"""선배…… 정말 고생 많았어.<br>이렇게 다시 만나서 이야기할 수 있어<br>……난 기뻐."""
11_voice_NPC_5091_106#1,"""놀랄 만큼<br>아크스 내부 분위기가 달라졌어.<br>선배도 그렇게 생각하지 않아?"""
Npc91_mb18_020#0,"""분위기가 트였다고 해야 하나?<br>난 늘 혼자 있으니까<br>그런 걸 잘 알 수 있어."""
11_voice_NPC_5091_100#8,"""전부 반년 전 선배가<br>힘써 준 덕분인 거지.<br>……이런 건 왠지 기쁘네."""
Npc91_mb19_010#0,"""요즘 선배 말고 다른 사람도<br>말을 거는 일이 늘었어."""
11_voice_NPC_5091_100#9,"""사람과 이야기하는 건<br>별로 잘하지 못하지만……<br>싫은 기분은 아니라서 괜찮아."""
Npc91_mb19_030#0,"""그래도 역시 선배와 이야기할 때가<br>제일 편해. 부담 없이 말할 수 있어.<br>그러니 언제든 말 걸어 줘."""
Npc91_mb20_010#0,"""아, 선배.<br>한가하면 잠깐 이야기하고 갈래?"""
11_voice_NPC_5091_104#9,"""……벼, 별일이 있었던 건 아니야.<br>그냥 선배와 얘기하고 싶었을 뿐이니<br>걱정할 일은 없어."""
Npc91_mb20_030#0,"""그렇게 어린애 취급하지 마.<br>난 괜찮으니까."""
Npc91_mb21_010#0,"""안녕, 선배.<br>뭐?\u3000오늘은 패티 씨 일행과<br>함께 있지 않냐고?"""
Npc91_mb21_020#0,"""지난번은 우연이었어.<br>말했듯이 간곡히 부탁받아서<br>정말 어쩔 수 없었던 거야."""
11_voice_NPC_5091_106#2,"""아…… 떠올리기만 해도<br>부끄러워지네……<br>선배, 제발 잊어 줘……"""
11_voice_NPC_5091_104#10,"""후우…… 어, 선배.<br>왜 한숨을 쉬냐고?<br>하하, 아무것도 아니야."""
Npc91_mb22_020#0,"""오랜만에 혼자 느긋하게 있었어.<br>정말 그게 다야."""
Npc91_mb22_030#0,"""그렇게 걱정하지 않아도<br>난 괜찮아.<br>그래도 신경 써 줘서 고마워."""
Npc91_mb23_010#0,"""어라, 마토이 씨는?<br>지금은 혼자야?\u3000별일이네."""
11_voice_NPC_5091_104#11,"""요즘 선배라고 하면<br>마토이 씨와 늘 함께였잖아.<br>무슨 일인가 해서."""
11_voice_NPC_5091_100#10,"""하하, 멋대로 걱정했을 뿐이야.<br>늘 함께인 사람이 없으니까.<br>괜한 참견이었나. 미안."""
Npc91_mb23_after_010#0,"""……왜 이런 일이<br>벌어진 걸까."""
11_voice_NPC_5091_104#12,"""난 현장에 있진 않았지만<br>뭔가 할 수 있지 않았을까 싶어."""
Npc91_mb23_after_030#0,"""선배가 의지해 줄 만큼<br>힘이 있었으면 좋았을 텐데.<br>지금은 그런 생각밖에 안 들어."""
Npc91_mb24_010#0,"""마토이 씨가 돌아오면<br>하고 싶은 말이 많아."""
Npc91_mb24_020#0,"""사라져서 외로웠던 것.<br>슬펐던 것, 그리고……<br>정말 화가 났던 것."""
11_voice_NPC_5091_100#11,"""그러니까 선배……<br>내가 할 말은 아닌 것 같지만 부탁해.<br>마토이 씨를 데리고 돌아와 줘."""
11_voice_NPC_5091_100#12,"""아, 선배!<br>다행이다…… 만나고 싶었어."""
Npc91_mb24_after_020#0,"""내가 이런 말 하는 것도 이상하지만……<br>고마워.<br>마토이 씨를 데려와 줘서."""
Npc91_mb24_after_030#0,"""다시 만나서 정말 기뻤어.<br>그러니까 고마워."""
Npc91_mb25_010#0,"""선배는 정말<br>온갖 문제에 다 엮이네."""
11_voice_NPC_5091_102#0,"""요즘 소란스러운<br>리리파 일에도 관여하고 있지?"""
Npc91_mb25_030#0,"""휘말리는 성격인가 싶지만<br>뭐…… 적당히 해."""
Stratos_01_010#0,"""뭐!?\u3000밸런타인 고민이라고!?<br>……선배가 묻는다면<br>어쩔 수 없지……"""
11_voice_NPC_5091_104#13,"""확실히 고민 중이야.<br>초콜릿을 어떻게 건네야 할지."""
Stratos_01_030#0,"""기왕이면 귀여운 옷을 입고 주는 게<br>좋잖아?\u3000그래서 이번에는 나도……<br>아니, 내 얘기는 됐어!"""
text01#0,"""어, 무슨 일이야?\u3000선배.<br>크리스마스 선물에 답례……?<br>서…… 설마 나한테……"""
11_voice_NPC_5091_102#1,"""아니, 선배니까 그럴 리 없나.<br>곤란한 사람을 돕는 거지?<br>답례라…… 그렇네……"""
text03#0,"""그럼 휴대용 단말기에 다는<br>귀여운 『스트랩』은 어때?<br>평소 가지고 다닐 물건이 좋잖아."""
text04#0,"""그래, 기왕이면 같은 걸로 사서<br>주는 사람과 받는 사람이 함께 달면<br>늘 같이 있는 것 같아 좋을지도……"""
text05#0,"""그, 그냥 해 본 말이야!<br>마지막 말은 신경 쓰지 마, 선배!<br>그럼 메리 크리스마스!"""
