11_voice_NPC_5063_100#0,"""Professor, Professor! Great timing!"""
Npc63_mb9_020#0,"""It's getting me super fired up to be in ARKS! Yeah, I'm really feeling it!"""
11_voice_NPC_5063_100#10,"""This place is full of older ARKS! It's really exciting to be around so many of them!"""
Npc63_mb10_020#0,"""It's getting me super fired up to be in ARKS! Yeah, I'm really feeling it!"""
11_voice_NPC_5063_100#11,"""This place is full of older ARKS! It's really exciting to be around so many of them!"""
Npc63_mb11_020#0,"""It's getting me super fired up to be in ARKS! Yeah, I'm really feeling it!"""
11_voice_NPC_5063_100#12,"""This place is full of older ARKS! It's really exciting to be around so many of them!"""
Npc63_mb12_020#0,"""It's getting me super fired up to be in ARKS! Yeah, I'm really feeling it!"""
11_voice_NPC_5063_100#13,"""This place is full of older ARKS! It's really exciting to be around so many of them!"""
Npc63_mb13_020#0,"""It's getting me super fired up to be in ARKS! Yeah, I'm really feeling it!"""
11_voice_NPC_5063_100#14,"""This place is full of older ARKS! It's really exciting to be around so many of them!"""
Npc63_mb16_020#0,"""It's getting me more and more energized to get out there and give it my all! Yeah, I'm really feeling it!"""
11_voice_NPC_5063_100#15,"""This place is full of older ARKS! It's really exciting to be around so many of them!"""
Npc63_mb14_020#0,"""It's getting me super fired up to be in ARKS! Yeah, I'm really feeling it!"""
11_voice_NPC_5063_106#0,"""押忍！\u3000先生！<br>信じがたい事が連続していて<br>自分、完全に混乱しています！"""
Npc63_mb16zeno_020#0,"""ですが、自分は先生が正しいと<br>ずっと信じ続けてついていきます！<br>押忍！"""
11_voice_NPC_5063_100#16,"""押忍！\u3000先生！<br>自分、ようやく混乱から<br>立ち直りました！"""
Npc63_mb18_020#0,"""色々と変わっていってますが<br>絶対にアークスになろうと<br>自分、決意しています！"""
Npc63_mb21_010#0,"""押忍！\u3000先生！<br>最近、先生の活躍を<br>聞かない日はありません！"""
Npc63_mb21_020#0,"""自分、それを聞く度に<br>ますます先生への尊敬の念が<br>強くなっていきます！\u3000押忍！"""
Npc63_mb21_030#0,"""どんな事が起きても<br>自分、先生に一生ついていきます！<br>押忍！"""
11_voice_NPC_5063_101#0,"""押忍！\u3000先生！<br>ここ最近、ますます先生が<br>活躍していることを聞いてます！"""
Npc63_mb23_020#0,"""自分、先生のようにかけがえの無い<br>アークスになるべく、努力を<br>一層重ねる日々です！"""
Npc63_mb23_030#0,"""自分、絶対にアークスになります！<br>押忍！"""
Npc63_mb23_after_010#0,"""押忍！\u3000先生！<br>ご無事でなによりでした！"""
Npc63_mb23_after_020#0,"""自分、色んなことが起きて<br>混乱しておりますが、先生に一生<br>付いていく気持ちは消えません！"""
Npc63_mb23_after_030#0,"""これから先も、ついていきます！<br>押忍！"""
Npc63_mb24_after_010#0,"""押忍！\u3000先生！<br>自分、感動に打ち震えております！"""
Npc63_mb24_after_020#0,"""一丸となったアークスや先生を見て<br>自分、ますますアークスになりたいと<br>思うようになりました！"""
11_voice_NPC_5063_100#17,"""自分、必ずや先生のように<br>立派なアークスとなってみせます！"""
ep01_03_010#0,"""押忍！<br>新人アークスのルベルトです！"""
ep01_03_020#0,"""いつ如何なる時も<br>新人としての気持ちを忘れず<br>努力していく所存です！"""
ep01_03_030#0,"""様々なご迷惑をおかけするかもですが<br>よろしくお願いします！\u3000押忍！"""
st01_010#0,"""せ、先生ッ！！<br>復帰されたのですね！<br>いつからです？\u3000今からです！？"""
st01_020#0,"""うう……自分、感無量です！<br>こうして先輩と肩を並べることが<br>再びできるなんて……"""
11_voice_NPC_5289_100#0,"""先生！\u3000自分も正式なアークスに<br>なれました！\u3000先生のような立派な<br>アークス目指して、頑張ります！"""
