11_voice_NPC_5063_100#0,"""Professor, Professor! Great timing!"""
Npc63_mb9_020#0,"""自分、ますます<br>アークスになりたくなりました！<br>うおおお、やるぞーっ！"""
11_voice_NPC_5063_100#10,"""ここは先輩たちがいっぱいで<br>刺激的ですね！"""
Npc63_mb10_020#0,"""自分、ますます<br>アークスになりたくなりました！<br>うおおお、やるぞーっ！"""
11_voice_NPC_5063_100#11,"""ここは先輩たちがいっぱいで<br>刺激的ですね！"""
Npc63_mb11_020#0,"""自分、ますます<br>アークスになりたくなりました！<br>うおおお、やるぞーっ！"""
11_voice_NPC_5063_100#12,"""ここは先輩たちがいっぱいで<br>刺激的ですね！"""
Npc63_mb12_020#0,"""自分、ますます<br>アークスになりたくなりました！<br>うおおお、やるぞーっ！"""
11_voice_NPC_5063_100#13,"""ここは先輩たちがいっぱいで<br>刺激的ですね！"""
Npc63_mb13_020#0,"""自分、ますます<br>アークスになりたくなりました！<br>うおおお、やるぞーっ！"""
11_voice_NPC_5063_100#14,"""ここは先輩たちがいっぱいで<br>刺激的ですね！"""
Npc63_mb16_020#0,"""自分、もっともっと<br>上を目指して頑張らないと！<br>うおおお、やるぞーっ！"""
11_voice_NPC_5063_100#15,"""ここは先輩たちがいっぱいで<br>刺激的ですね！"""
Npc63_mb14_020#0,"""自分、ますます<br>アークスになりたくなりました！<br>うおおお、やるぞーっ！"""
11_voice_NPC_5063_106#0,"""押忍！\u3000先生！<br>信じがたい事が連続していて<br>自分、完全に混乱しています！"""
Npc63_mb16zeno_020#0,"""ですが、自分は先生が正しいと<br>ずっと信じ続けてついていきます！<br>押忍！"""
11_voice_NPC_5063_100#16,"""押忍！\u3000先生！<br>自分、ようやく混乱から<br>立ち直りました！"""
Npc63_mb18_020#0,"""色々と変わっていってますが<br>絶対にアークスになろうと<br>自分、決意しています！"""
Npc63_mb21_010#0,"""押忍！\u3000先生！<br>最近、先生の活躍を<br>聞かない日はありません！"""
Npc63_mb21_020#0,"""自分、それを聞く度に<br>ますます先生への尊敬の念が<br>強くなっていきます！\u3000押忍！"""
Npc63_mb21_030#0,"""どんな事が起きても<br>自分、先生に一生ついていきます！<br>押忍！"""
11_voice_NPC_5063_101#0,"""押忍！\u3000先生！<br>ここ最近、ますます先生が<br>活躍していることを聞いてます！"""
Npc63_mb23_020#0,"""自分、先生のようにかけがえの無い<br>アークスになるべく、努力を<br>一層重ねる日々です！"""
Npc63_mb23_030#0,"""自分、絶対にアークスになります！<br>押忍！"""
Npc63_mb23_after_010#0,"""押忍！\u3000先生！<br>ご無事でなによりでした！"""
Npc63_mb23_after_020#0,"""自分、色んなことが起きて<br>混乱しておりますが、先生に一生<br>付いていく気持ちは消えません！"""
Npc63_mb23_after_030#0,"""これから先も、ついていきます！<br>押忍！"""
Npc63_mb24_after_010#0,"""押忍！\u3000先生！<br>自分、感動に打ち震えております！"""
Npc63_mb24_after_020#0,"""一丸となったアークスや先生を見て<br>自分、ますますアークスになりたいと<br>思うようになりました！"""
11_voice_NPC_5063_100#17,"""自分、必ずや先生のように<br>立派なアークスとなってみせます！"""
ep01_03_010#0,"""押忍！<br>新人アークスのルベルトです！"""
ep01_03_020#0,"""いつ如何なる時も<br>新人としての気持ちを忘れず<br>努力していく所存です！"""
ep01_03_030#0,"""様々なご迷惑をおかけするかもですが<br>よろしくお願いします！\u3000押忍！"""
st01_010#0,"""せ、先生ッ！！<br>復帰されたのですね！<br>いつからです？\u3000今からです！？"""
st01_020#0,"""うう……自分、感無量です！<br>こうして先生と肩を並べることが<br>再びできるなんて……"""
11_voice_NPC_5063_100#18,"""先生！\u3000自分も一人前のアークスに<br>なれました！\u3000先生のような立派な<br>アークス目指して、頑張ります！"""
11_voice_NPC_5063_100#19,"""押忍！\u3000先生！<br>新人として学ぶことはたくさんですが<br>特に東京エリアは、刺激的です！"""
st01_020#1,"""多種多様なエネミーや<br>変わった町並みなど<br>学ぶことが多くあります！"""
st01_030#0,"""自分、立派なアークスになるべく<br>日々精進あるのみです。<br>押忍！"""
11_voice_NPC_5063_100#20,"""押忍！\u3000先生！<br>アークスシップ直接襲撃の鎮圧<br>本当にお疲れさまでした！"""
st01_020#2,"""リミッターがかかっていたとはいえ<br>自分、全く役に立てず……<br>不甲斐なくて、情けないです！"""
st01_030#1,"""もっと精進して、たとえリミッターが<br>あったとしても力になれるよう<br>精進あるのみです！\u3000押忍！"""
st01_010#1,"""押忍！\u3000先生！<br>幻創種ダーカーの話、聞きました！<br>大変な相手だと思います！"""
11_voice_NPC_5063_100#21,"""しかし先生は、さっそくその相手を<br>倒してきたとも聞いています！<br>流石先生です！"""
st01_030#2,"""自分も先生のような立派なアークスに<br>なるために、日々精進あるのみです！<br>押忍！"""
11_voice_NPC_5063_100#22,"""押忍！\u3000先生！<br>今度の作戦、頑張りましょう！<br>自分も尽力します！"""
11_voice_NPC_5063_101#1,"""押忍！\u3000先生！<br>ご無事の帰還、何よりです！"""
sq01_020#0,"""これからのことはわかりませんが<br>自分はただただ精進するのみです！<br>押忍！"""
sq13_010#0,"""押忍！\u3000先生！<br>この前現れた、終の女神シバ<br>すさまじい威圧感でした……"""
sq13_020#0,"""あれは、なんでしょうか。<br>……底知れない相手です。"""
sq13_030#0,"""実力が至らなくても……<br>せめて気圧されないように<br>心は鍛えていきます！\u3000押忍！"""
ep6_sq00_01#0,"""Hey, Professor! I don't think I'm strong enough to make a difference, but I'll do my best anyway!"""
ep6_sq00_02#0,"""If all us ARKS work together, I believe we can defeat any enemy! Ready any time!"""
11_voice_NPC_5063_102#0,"""Hey, Professor! I really feel useless right now, I couldn't do anything at all..."""
ep6_sq01_02#0,"""But I haven't given up! I can still act!"""
ep6_sq01_03#0,"""I've been working hard every day, and it's time the results showed themselves! Ready any time!"""
11_voice_NPC_5063_101#2,"""Hey, Professor! It's wonderful that you were able to rescue Xiao!"""
ep6_sq02_02#0,"""I'm still nowhere close to being as good as you, but I'll do my best anyway! Ready any time!"""
11_voice_NPC_5063_101#3,"""押忍！<br>先生の活躍は、やはりさすがでした！<br>本当にお疲れさまでした！"""
text02#0,"""自分、先生からは戦い方や心の持ち方<br>他にもいろんなことを学ばせて<br>もらいました。感謝しています！"""
text03#0,"""まだまだ未熟な自分ですが、<br>これからも先生のようなアークスを<br>目指して日々鍛錬に励みます！\u3000押忍！"""
