11_voice_NPC_5065_101#0,"""La la la, lalala la la♪ Your...cry is...♪"""
11_voice_NPC_5065_100#6,"""力が必要ならいつでも言って。<br>すぐに駆けつけるから。"""
Kuna_mb23_after_040#0,"""忘れないで。<br>あなたは一人じゃない。<br>だから一人で抱え込まないでね。"""
Kuna_mb24_010#0,"""アークスだけに限らず、多くの人が<br>あなたのことを気にかけて<br>協力しようとしてる。"""
Kuna_mb24_020#0,"""もちろん、あたしもそのつもり。<br>遠慮なんていらないから。<br>絶対に協力、させてよね。"""
11_voice_NPC_5065_100#7,"""だから、諦めずに帰ってきなさいよ。<br>あの子と一緒に、二人で。"""
11_voice_NPC_5065_100#8,"""記念ライブ、どうだった？<br>良かったって？<br>ふふ、それなら良かった。"""
Kuna_mb24_after_020#0,"""約束通り、記念ライブできて<br>あたしも良かったかな。"""
Kuna_mb24_after_030#0,"""約束果たせなかったら<br>やっぱり嫌じゃん？<br>そんな結果も、絶対に嫌だしさ。"""
11_voice_NPC_5065_101#3,"""ともかく、お疲れさま！<br>二人一緒に帰ってきたし<br>あたしも、嬉しかったよ。"""
Kuna_mb25_010#0,"""【深遠なる闇】の対策に向けて<br>結構いろいろ動いてる感じね。"""
11_voice_NPC_5065_104#4,"""あたしのほうはどうかって？<br>んー、記念ライブして以降は<br>ちょっと忙しくなったかなあ。"""
Kuna_mb25_030#0,"""元気になれたとか、嬉しかったとか。<br>結構喜んでくれる人も多くってさ。"""
11_voice_NPC_5065_100#9,"""ま、だから当分はアイドル活動に<br>かかりきりになりそうかな。"""
11_voice_NPC_5065_102#0,"""いやー、とうとう、って感じだね！<br>あなたにとっては一瞬かもだけど<br>あたしたちは結構待たされたんだよ？"""
st01_020#0,"""それじゃ復帰のお祝いとして<br>手始めにライブでもやっちゃおうか？"""
st01_030#0,"""みんなのアイドル、クーナちゃんは<br>今もなお健在、だからね！"""
