11_voice_NPC_5151_100#0,"""It's you. At just the right time, too."""
11_voice_NPC_5151_104#0,"""未熟なアークスでも戦っていける。<br>意外とこれが、宣伝文句に<br>繋がったのかもしれん。"""
mb23_010#0,"""カトリは確かに未熟ではあるが<br>全くの無能というわけでもない。"""
mb23_020#0,"""根性もそうだが、直感も確かだ。<br>その直感で、敵を察知して<br>一目散に逃げる。"""
11_voice_NPC_5151_100#3,"""そしてそれはほぼ当たる。<br>本能的に感知するものがあるんだろう。"""
mb23_after_010#0,"""情報が開示されたことにより<br>事情もある程度は知っている。"""
11_voice_NPC_5151_100#4,"""カトリも私も協力を惜しまない。<br>人手が必要なら言ってくれ。<br>遠慮は無用だ。"""
mb24_010#0,"""何事も為せば成る。<br>己を信じて、突き進むことだ。"""
11_voice_NPC_5151_100#5,"""協力が必要なら言ってくれ。<br>いくらでも手を貸すつもりだ。"""
mb24_after_010#0,"""ああ、お前か。<br>無事に帰還したようで何よりだ。"""
mb24_after_020#0,"""この結果をちゃんと出せたのも<br>お前の実力があってのことだろう。<br>さすがお前だ。"""
11_voice_NPC_5151_100#6,"""同じアークスとして誇りに思う。<br>私もお前のように、実力を付けねばと。<br>改めて思えたぞ。"""
11_voice_NPC_5151_104#1,"""【深遠なる闇】は、今のところ<br>復活直前の状態で留まっているらしく<br>暫くの猶予があると聞いている。"""
mb25_020#0,"""いつまで留まっているかは不明だが<br>その間に、戦力増強に努めることは<br>出来るはずだ。"""
mb25_030#0,"""私はこれから暫くの間、特訓を重ね<br>きたるべき日に向けて<br>自身を高めようと思っている。"""
11_voice_NPC_5151_100#7,"""久しぶりだな。<br>といっても、お前にとっては一瞬か。"""
st01_020#0,"""コールドスリープを受けると<br>まれに記憶の障害なども起こるという。<br>しばらくは無理をしないほうがいい。"""
st01_030#0,"""それ以外に補足するべき情報は……<br>そうだな。私の隣にいるカトリは<br>呼吸するように嘘をつく。気をつけろ。"""
11_voice_NPC_5151_100#8,"""この二年の間に<br>バウンサーはかなりの広まりをみせた。"""
st01_020#1,"""それはもちろん、所構わず宣伝していた<br>カトリの功績でもあるが……<br>寄せられた苦情も大変な数だった。"""
st01_030#1,"""その処理やら対応やらについては<br>あまり思い出したくはない。"""
11_voice_NPC_5151_100#9,"""東京エリアは<br>実に特訓向きの場所といえよう。"""
st01_020#2,"""多様なエネミーももちろんだが<br>急なカーブがあったりと<br>実に面白い。"""
st01_030#2,"""カトリは辛いと嘆いていたが<br>修行を重ねれば<br>泣き言も言わなくなるだろう。"""
11_voice_NPC_5151_100#10,"""アークス訓練所は<br>その名の通り、訓練を行うところだ。"""
st01_020#3,"""あれには、私たち試験運用担当の<br>集めたデータなども用いられている。<br>機会があったら、訪ねてみるといい。"""
11_voice_NPC_5151_104#2,"""お前が関わっている問題だが<br>やはり厄介な内容になってきたな。"""
st01_020#4,"""アークス全体で対応しなければ<br>ならないかもしれんな。"""
st01_030#3,"""そこに備えてというわけでもないが<br>特訓に励んでおくとしよう。<br>いつまでもお前任せではいられない。"""
11_voice_NPC_5151_100#11,"""各々の強くイメージした武装を<br>その手の内に具現化する。<br>それが具現武装、らしいな。"""
st01_020#5,"""私にその原理は理解できないが<br>イメージを強く持つことの<br>重要さは理解できる。"""
st01_030#4,"""こうありたい、という強い意志は<br>目的達成の標となるものだからな。"""
11_voice_NPC_5151_104#3,"""先日の襲撃時は、ちょうど出撃中でな。<br>現場にいられず、皆に迷惑をかけた。"""
st01_020#6,"""……いや、現場にいたとしても<br>リミッター影響下では無力か。"""
st01_030#5,"""事後処理は手伝わせてもらったが<br>思ったよりも被害が抑えられていたのが<br>幸いだったといえるな。"""
11_voice_NPC_5151_104#4,"""ダーカーを模した幻創種か。<br>……率直に、厄介な相手だな。"""
st01_020#7,"""どこまで模倣しているかも気になる。<br>そもそも、アークスのフォトンでしか<br>討ち取れないのか、などだな。"""
st01_030#6,"""全力で分析を進めているならば<br>おいおいわかるとは思うが……<br>危険なことに、違いはない。"""
st01_010#0,"""出し抜かれてしまった、という形だな。<br>とはいえ想定しろというのも無理な話。<br>起きるべくして、起きたのだ。"""
11_voice_NPC_5151_104#5,"""ならば次にやることは一つ。<br>未来を予測し、取るべき行動を決める。<br>私達に出来ることは、それだけだ。"""
st01_030#7,"""相手も意志ある者。<br>ならば自分の理想は曲げまい。<br>ぶつかるしか、ないだろうな。"""
st01_010#1,"""紆余曲折はあったが<br>地球を取り巻く状況は落ち着いたな。"""
11_voice_NPC_5151_104#6,"""とはいえ、幻創種はまだ出現する。<br>しばらくは連携しての討伐任務など<br>気は抜けないだろうな。"""
11_voice_NPC_5151_100#12,"""緊張しているか？<br>……大丈夫だ、何も心配はない。<br>お前の背中は、私達が支えよう。"""
11_voice_NPC_5151_104#7,"""先日の作戦の結果は、成功とも<br>失敗とも言えないようだな。<br>現状維持、とでも言えばいいのか。"""
sq01_020#0,"""もっとも、お前が帰還できたことで<br>十分成功だと、私は思うぞ。"""
sq02_010#0,"""先日の作戦が功を奏したのか<br>ダーカーの出現頻度が落ち着きつつ<br>あるようだな。"""
sq02_020#0,"""もちろん、楽観は出来ないが<br>無駄ではなかったのなら、良いことだ。<br>育成のために時間を割けるからな。"""
11_voice_NPC_5151_105#0,"""……今度の相手は終の女神か。<br>見ようによっては【深遠なる闇】よりも<br>厄介な相手かもしれないな。"""
sq13_020#0,"""相手を知らないうえに<br>明確な敵意を持っている。<br>どうしたものか。"""
sq13_030#0,"""……次に相手がどう動くか。<br>それを注視せねばなるまい。"""
ep6_sq00_01#0,"""We cannot know the Goddess of Demise's intentions, so our only option is to prepare."""
11_voice_NPC_5151_104#8,"""Preparation is crucial before meeting any enemy, none more so than this one."""
11_voice_NPC_5151_108#0,"""It may not be possible to avoid falling into pessimism, but we must act calmly and rationally."""
ep6_sq01_02#0,"""Reforming ARKS' structure, including appointing a general commander...<br>Making each ship capable of operating independently...<br>Xiao anticipated a situation like this..."""
ep6_sq01_03#0,"""So we shall have to meet Xiao's expectations. Now is the time to act."""
ep6_sq02_01#0,"""I felt somewhat uneasy when I received Katori's request, but she has engaged with my training program well."""
ep6_sq02_02#0,"""She has opened my eyes to her true levels of willpower and motivation. I am deeply moved by her growth.<br>...Aside from her tendency to cry and get distracted, at least."""
ep6_sq02_01_01#0,"""Shiva's strength can truly be said to be outside all normal parameters. We will need an equally outsized resolve to match her."""
11_voice_NPC_5151_100#13,"""We will have to work harder to keep our usual problems under control. This is a difficult situation, but an accumulation of grains of sand can bury one just as easily as a single boulder."""
Kyokuya_01_010#0,"""What is it?<br>...You want to hear my opinion on the Phantom representative?"""
11_voice_NPC_5151_104#9,"""He has said that to achieve your goals, any means are justified...<br>I cannot agree with that idea."""
Kyokuya_01_030#0,"""I could never choose a path that involved sacrificing my friends. Even if it cost my own life to avoid it."""
Kyokuya_01_040#0,"""I get the impression that even acting as Phantom's representative is only a means to an end for him...<br>He is a terrifying man."""
ep6_sq04_01_01#0,"""It is high time we started seriously working on improving ourselves. Not only in how much training we do, but with a focus on improving our combat power as efficiently as possible."""
ep6_sq04_01_02#0,"""Katori may seem pathetic, but out of others' sight she is devoting herself to her duties and her training. Though the harder she tries, the louder she complains..."""
11_voice_NPC_5151_108#1,"""Many people glance furtively at us as they pass by, wondering if I am mistreating her...<br>I am Katori's trainer, not her parent."""
