choice01#0,"""About Luster"""
text0006#0,"""Baran Style is a defensive style that <c 00ffff>boosts Stay Arts power and grants extra Guard timings<c>.<br>Leaning certain class skills will give you bonuses for successfully Guarding and using Stay Arts.<br><br>Baran Attack Enhance<br><yellow>・Hold the normal attack button.<c><br>Deploys Bits that attack continuously and inflict Bind on enemies over a wide area.<br><br><c ff4f3f>※Bits are not deployed if activated with insufficient Gear.<c>"""
text0007#0,"""Baran Shoot Enhance<br><yellow>・Hold the Weapon Action button.<c><br>Charges up a long-range shot whose power increases as you consume more Gear.<br><br><c ff4f3f>※Cannot be activated without at least one level of Gear.<c>"""
text0008#0,"""Style Purge<br><yellow>・Press the Weapon Action button twice quickly.<c><br>Performs an attribute-based explosion attack that has excellent PP recovery and Gear gain rate. After using it, your Style's effects disappear for a short time.<br><br>Normal Shoot Enhance<br><yellow>・Hold the Weapon Action button when under the effects of Style Purge or equipped with a no-attribute Gunslash.<c><br>Consumes Gear, then PP, to fire rapid-fire shots from your gun."""
Title#3,"""Luster Skills"""
text0001#3,"""When you learn the skill \""Luster Voltage\"", a Voltage display will be added to your Subpalette.<br><br>Your Voltage rises based on the number of times you hit enemies. The higher your Voltage, the more damage you deal and the less you take.<br><br>Learning other class skills will make it easier to raise your Voltage, and will grant other support effects connected to it."""
text0002#3,"""Luster Voltage resets when you spend too much time without hitting any enemies.<br><br><c ff4f3f>※A gauge indicating remaining Voltage time is displayed next to your Voltage, but be aware that network difficulties may make this gauge display incorrectly.<c>"""
text0003#2,"""Slash Rise<br><yellow>・After an attack, input a direction and jump.<c><br>Performs a rising attack. Keep holding the button to consume Gear and activate a support Technique based on your remaining HP.<br><br>Slash Fall<br><yellow>・After an attack, jump without inputting a direction.<c><br>Performs a diving attack. Keep holding the button to consume Gear and activate a support Technique based on your remaining HP.<br><br><c ff4f3f>※If you have not learned the Slash Fall class skill, Slash Rise will be performed regardless of your movement input.<br>※The support Technique will be Zanverse when above 75% HP, and Megiverse when below 75% HP.<c>"""
text0004#2,"""Luster Step Slide<br><yellow>・During a Step, press Step again<c><br>Consumes PP and makes you travels a set distance. If there are enemies nearby, you will shoot at them at the same time.<br><br>Step Slide Advance<br><yellow>・When locked-on, during a Step, press Step again while holding forwards or backwards<c><br>Consumes PP and performs a moving attack based on the direction inputted. Has invincibility time, which starts as soon as you activate it."""
text0005#2,"""Luster Counter<br><yellow>・After evading an attack with Step or your Weapon Action, perform a Step Attack.<c><br>Step Attack becomes extremely powerful when used after a successful evasion.<br><br>Luster Step Guard<br><yellow>・When locked-on, Step forwards or backwards in time with the enemy's attack.<c><br>Blocks the attack with a Just Guard and performs a counterattack based on your movement direction."""
text0006#1,"""Extra Attack<br><yellow>・Use non-Step Attack normal attacks 4 times in a row.<c><br>Boosts attack power and increases PP recovery and Gear gain rate."""
text0007#1,"""Enhance Combo<br><yellow>・During Enhanced Arts, press any PA button while you have 1 or more levels of Gear.<c><br>Consumes a level of Gear to perform another Enhanced Art."""
text0008#1,"""Quick Slash<br><yellow>・After a PA, press the normal attack button in time with the displayed indicator.<c><br>Performs a high-speed moving attack whose direction depends on your movement input.<br><br>Quick Shoot<br><yellow>・Press the Weapon Action button in time with the displayed indicator.<c><br>Attack performed and timing depends on your Style.<br>All Styles: After activating Extra Attack<br>Zandi: After a successful Step evasion<br>Fomel: After activating Enhance Combo<br>Baran: After activating Luster Step Guard"""
text0009#0,"""Luster Time<br>Activating this skill performs a ranged attack and initiates Luster Time.<br><br>During Luster Time, your PP recovery will increase and your damage taken will decrease.<br><br>Activating this skill again during Luster Time will perform a finishing attack."""
Title#4,"""Smart PA"""
text0001#4,"""Luster Gunslash comes with a Smart PA that lets you get into the action with a minimum of hassle.<br><br>Smart PA automatically selects and activates another PA based on your situation, taking things like distance to the enemy and your combo length into account.<br><br>Smart PA gives you the full power and effect of the PAs it uses. Use it when you're unfamiliar with Luster's actions, or when you're unsure what the next step in your combo should be."""
