choice01#0,"""Ластар"""
text0005#0,"""Фотон Арты ганслеша ластара выполняют разные<br>действия в зависимости от того, нажимаете вы кнопку<br>движения или нет.<br><br>Move Arts<br><yellow>・При использовании Фотон Арта с удержанием кнопки<br>направления.<c><br>Активируется перемещающее действие.<br><br>Stay Arts<br><yellow>・При использовании Фотон Арта, без удержания кнопки<br>направления<c><br>Активируется не перемещающее действие<br><c ff4f3f>※При изучении навыка класса \""Stay Arts\"",<br>Move Art'ы будут использоваться вне зависимости<br>от нажатия на клавиши направлений.<c>"""
Title#2,"""Стили"""
text0001#2,"""Стиль боя ластара меняется в завимсимости от<br>атрибута его ганслеша.<br><br><yellow>Стиль Занди<c><br>Актиируется с использоанием ганслеша с атрибутом<br>ветра или молнии.<br><br><yellow>Стиль Фомель<c><br>Активируется с использованием ганслеша с атрибутом<br>огня или тьмы.<br><br><yellow>Стиль Баран<c><br>Активируется с использованием ганслеша с атрибутом<br>льда или света."""
text0002#2,"""Стиль Занди - стиль, ориентированный на скорость,<br><c 00ffff>увеличивающий скорость Move Art'ов<c>.<br>Изучение определённых навыков класса даст бонусы<br>за успешное уклонение и использование Move Art'ов.<br><br>Zandi Attack Enhance<br><yellow>・При зажатии обычной кнопки атаки.<c><br>Создаётся стягивающа область с эффектом оглушения.<br><br><c ff4f3f>※Зона стягивания и оглушения не создастся, если<br>не будет хотя бы одной полной шкалы Gear.<c>"""
text0003#1,"""Zandi Shoot Enhance<br><yellow>・При зажатии кнопки действия оружия.<c><br>Расходуется Gear, пока кнопка удерживается,<br>и в выбранной области молнией поражает врагов.<br><br><c ff4f3f>※Нельзя активировать без хотя бы одной заполненной<br>шкалы Gear.<c>"""
text0004#1,"""Стиль Фомель - стиль, ориентированный на атаку,<br>который делает вас сильным и мощным в ближнем бою.<br>Изучение определённых умений класса даст бонусы<br>за успешное Enhanced Art'ов и<br>оптимальное время использование Just Attack.<br><br>Fomel Attack Enhance<br><yellow>・При зажатии кнопки обычной атаки.<c><br>Накапливаются копья с эффектом Jellen, а также<br>восстанавливают PP (максимально 3 накопления).<br>Накопленные копья автоматически расходуются<br>с использованием Фотон Артов.<br><br><c ff4f3f>※Копья не создадуться, если их активировать<br>без хотя бы одной заполненной шкалы Gear.<c>"""
text0005#1,"""Fomel Shoot Enhance<br><yellow>・При зажатии кнопки действия оружия.<c><br>Расходуется Gear для непрерывных ударов.<br>При отпускании кнопки, выподняется мощная атака<br>в зависимости от объёма израсходованного Gear.<br><br><c ff4f3f>※Нельзя активировать без хотя бы одной заполненной<br>шкалы Gear.<c>"""
text0006#0,"""Стиль Баран - защитный стиль, <c 00ffff>увеличивающий силу<br>Stay Art'ов и дающий дополнительное время для Guard<c>.<br>При изучении определённых умений класса,<br>вы получите бонус за успешный Guard (блок)<br>и использвание Stay Art'ов.<br><br>Baran Attack Enhance<br><yellow>・При зажатии кнопки обычной атаки.<c><br>Выпускает Bit'ов непрерывно атакующих и<br>накладывающих на врагов в зоне поражения статус<br>эффект \""связывание\"".<br><br><c ff4f3f>※Bit'ы не появятся без хотя бы одной заполненной<br>шкалы Gear.<c>"""
text0007#0,"""Baran Shoot Enhance<br><yellow>・При зажатии кнопки действия оружия.<c><br>Заряжает дальний выстрел, сила которого<br>увеличивается по мере расхода Gear.<br><br><c ff4f3f>※Нельзя активировать без хотя бы одной заполненной<br>шкалы Gear.<c>"""
text0008#0,"""Style Purge<br><yellow>・При быстром двойном зажатии кнопки действия оружия.<c><br>Выполняется взрывная атака на основе атрибута,<br>отлично восстанавливающая PP и увеличивающая<br>степень внакопления Gear.<br><br>Normal Shoot Enhance<br><yellow>・При удержании кнопки действия оружия, в момент<br>нахождения под эффектом Style Purge<br>или с экипированным ганслешом без атрибута.<c><br>Расходуется Gear, затем PP, чтобы выстрелить<br>из оружия."""
Title#3,"""Умения и навыки ластара"""
text0001#3,"""При изучении навыка \""Luster Voltage\"",<br>окно вольтажа добавится на под-палитру.<br><br>Вольтаж будет повышаться в зависимости от того,<br>сколько раз вы ударили врагов. Чем больше вольтаж,<br>тем больше урона вы наносите и меньше получаете.<br><br>Изучение прочих навыков класса облегчит для вас<br>понимаение вольтажа и предоставит прочие связанные<br>с ним эффекты поддержки."""
text0002#3,"""Вольтаж ластара сбрасывается, когда вы<br>продолжительный промежуток времени не атакуете<br>врагов.<br><br><c ff4f3f>※Датчик, отображающий ставшееся время вольтажа,<br>отобржается рядом с ним же, но имейте в виду, что<br>из за проблем с интернетом эта шкала может<br>отображаться не корректно.<c>"""
text0003#2,"""Slash Rise<br><yellow>・При нажатии кнопки направления и прыжка<br>после атаки.<c><br>Выполняется восходящая атака.<br>При удержании кнопки, расходуется Gear и<br>активируется техника поддержки в зависимости от<br>оставшегося HP.<br><br>Slash Fall<br><yellow>・При прыжке после атаки без нажатия<br>клавиши направления.<c><br>Выполняется атака с пикированием.<br>При удержании кнопки, расходуется Gear и<br>активируется техника поддержки в зависимости от<br>оставшегося HP.<br><br><c ff4f3f>※Если не изучено умение Slash Fall, то Slash Rise <br>будет выполняться вне зависимости от того зажата<br>клавиша движения или нет.<br>※Если HP больше 75% то будет использоваться<br>Zanverse, но если HP будет ниже 75%, то будет <br>использоваться техника Megiverse.<c>"""
text0004#2,"""Luster Step Slide<br><yellow>・При повторном нажатии Step во время Step<c><br>Расходуется PP и вы приодолеваете определённое<br>расстояние. Если поблизости есть враги, то<br>в это же время будете стрелять по ним.<br><br>Step Slide Advance<br><yellow>・При наведении н врага, во время повторного <br>нажатия Step после Step.<c><br>Расходуется PP и выполняется атака в дивижении<br>в зависимости от выбранного направления движения.<br>С активацией движения персонаж становится<br>неуязвимым на некоторый промежуток времени."""
text0005#2,"""Luster Counter<br><yellow>・Выполнение Step Attack, после уклонения от атаки<br>с помощью Step или действия оружия.<c><br>После успешного уклонения при использовании Step,<br>он становится чрезвычайно мощным.<br><br>Luster Step Guard<br><yellow>・При наведении на врага и выполнении Step вперёд<br>либо назад в момент атаки врага.<c><br>Блокируется атака с помощью Just Guard и<br>выполняется контратака в зависимости от<br>направления движения."""
text0006#1,"""Extra Attack<br><yellow>・При использовании 4 обычных атак под ряд без<br>Step Attack.<c><br>Увеличивается сила атаки и восстановление PP,<br>а также скорость накопления Gear."""
text0007#1,"""Enhance Combo<br><yellow>・При нажатии любой кнопки с Фотон Артом во время<br>Enhanced Art'ов, когда есть 1 или больше шкал Gear.<c><br>Расходуется шкала Gear для выполнения другого<br>Enhanced Art'а."""
text0008#1,"""Quick Slash<br><yellow>・При нажатии кнопки обычной атаки одновременно<br>с отображаемым индикатором после Фотон Арта.<c><br>Выполняется высокоскоростная атака в движении,<br>направление которой зависит от направления<br>движения.<br><br>Quick Shoot<br><yellow>・При нажатии на кнопку действия оружия в момент<br>появления отображаемого индикатора.<c><br>Выполненная атака зависит от стиля.<br>Для всех стилей: После активации Extra Attack.<br>Стиль Занди: После успешного уклонения<br>с помощью Step .<br>Стиль Фомель: После активации Enhance Combo<br>Стиль Баран: После активации Luster Step Guard"""
text0009#0,"""Luster Time<br>Активация этого умения выполняет дальнюю атаку<br>и активирует Luster Time.<br><br>Во время Luster Time увеличится скорость<br>восстановления PP, а получаемый урон уменьшится.<br><br>Повторная активация этого умения во время<br>Luster Time активирует завершающую атаку."""
Title#4,"""О Smart PA"""
text0001#4,"""У ганслеша ластара имеется Smart PA, который<br>позволяет атаковать с минимумом хлопот.<br><br>Smart PA автоматически активирует разные<br>Фотон Арты в зависимости от ситуации,<br>принимая во внимание такие вещи, как<br>расстояние до врага и продолжительность комбо.<br><br>Smart PA даёт полную мощь и эффект используемых<br>Фотон Артов. <br><br>Рекомендуется к использованию пока вы ещё<br>не знакомы с особенностями класса ласта<br>или не уверены какой Фотон Арт следует<br>использовать в следующую очередь в связке комбо."""
