11_voice_NPC_5050_104#0,"""Милашки корабля ARKS ценят<br>ценность чёрного кота?.."""
Npc50_mb22_020#0,"""ですが、問題が無いわけではなく<br>いくつか改善案や見直しは<br>出てきております。"""
Npc50_mb22_030#0,"""もちろん全ての案を採用するわけでは<br>ありませんが、頂いた意見を参考に<br>より良い組織づくりを心がけています。"""
11_voice_NPC_5050_104#5,"""現在、起きてる問題について<br>アークス全体で対応をするべく<br>動いております。"""
Npc50_mb23_after_020#0,"""公開されている以上の情報は<br>入っていないため、お待ちください。<br>情報が入り次第、必ず知らせます。"""
Npc50_mb23_after_030#0,"""あと、これは貴方宛に連絡です。<br>あまり無理をなさらないように。<br>私からは以上です。"""
11_voice_NPC_5050_104#6,"""現在、公開されている以上の情報は<br>もたらされておりません。"""
Npc50_mb24_020#0,"""せめてもう少し<br>進展があれば良いのですが……<br>お力になれず、申し訳ありません。"""
Npc50_mb24_030#0,"""情報を含め、何か進展があり次第<br>すぐに連絡をします。<br>今しばらく、お待ちください。"""
Npc50_mb24_after_010#0,"""今回、適切な情報開示により<br>アークス全体が共通の問題を認識し<br>的確な対応を取れました。"""
Npc50_mb24_after_020#0,"""一人ひとりのアークスが迅速かつ<br>適時適切な対応を取れることは<br>組織にとっても理想的です。"""
11_voice_NPC_5050_100#5,"""より盤石な組織を形成していくためにも<br>積極的な情報開示は行っていきたいと<br>思っています。"""
Npc50_mb25_010#0,"""シャオの持つ管理権限等の移行へ向けて<br>現在、準備を行っております。"""
Npc50_mb25_020#0,"""それに伴う管理体制の調整や変更が<br>終わり次第、改めて連絡をします。<br>もう暫くお待ちください。"""
st01_010#0,"""<%me>.<br>Поздравляю вас с возвращением."""
st01_020#0,"""総司令からの承認もおりています。<br>アークスとして、これまで以上の<br>活躍を期待しています。"""
st01_030#0,"""それと……おかえりなさい。<br>お待ちしていましたよ。"""
11_voice_NPC_5050_100#6,"""復帰早々、大変なご様子。<br>あまり無理はなさらぬように。"""
st01_020#1,"""フィリアがいつもハラハラしていて<br>見ていて楽しいのですが<br>少し可哀想でもあるので。"""
11_voice_NPC_5050_104#7,"""地球での任務もそうですが<br>難易度の高い任務や問題は<br>いつも貴方に任せてしまっています。"""
st01_020#2,"""それだけ貴方やマトイさんの能力が<br>突出しているというのもありますが<br>もう少し改善できればと考えています。"""
st01_030#1,"""できれば、もう……<br>コールドスリープが必要なほどの<br>治療は受けてほしくはないですから。"""
od04031805_010#0,"""どうされましたか？<br>……ああ、クロトさんから<br>依頼されていた件ですね。"""
od04031805_020#0,"""バトルアリーナでの対戦データは<br>多くの個人情報を含みますから<br>限られた者しかアクセスできません。"""
od04031805_030#0,"""クロトさんには、後進の育成目的に限り<br>私達が閲覧できる情報の一部を<br>特別に開示しております。"""
od04031805_040#0,"""……はい、今回の対戦結果を<br>クロトさんにお送りしました。<br>今後も、一層の活躍を期待しています。"""
sq00_010#0,"""ついにこの時が……<br>私達も全力でサポートします。"""
sq01_010#0,"""問題はいろいろとありますが<br>それはこれから考えればいいこと。<br>まずは、無事の帰還を喜びましょう。"""
sq02_010#0,"""どのような状況であろうとも<br>私は皆さんを支える職務に<br>専心するだけです。"""
11_voice_NPC_5050_104#8,"""Что касается Богини Конца,<br>мы выбрали противодействие ей<br>нашим главным приоритетом."""
ep6_sq00_02#0,"""Мы также проверяем нашу защиту<br>на предмет возможных<br>недостатков, которые она могла<br>использовать для получения<br>доступа к кораблю."""
ep6_sq01_01#0,"""Мы помогаем Сиерре в таких<br>вопросах, как навигация<br>и управление."""
11_voice_NPC_5050_104#9,"""Модификации, внесённые в<br>систему, оказались весьма<br>полезными... Хотя вряд ли они<br>были предназначены для<br>подобного."""
ep6_sq02_01#0,"""Система временного управления<br>работала без проблем во время<br>отсутствия Сяо. Вероятно это<br>связано с нашими недавними<br>организационными изменениями."""
ep6_sq02_02#0,"""Делегирование различных<br>обязанностей и улучшение<br>прозрачности информационного<br>потока находятся в процессе.<br>Кроме того, некоторые ARKS<br>вносят свой вклад, принимая свои<br>собственные индивидуальные<br>оперативные решения..."""
11_voice_NPC_5050_101#1,"""...Иначе говоря, наша<br>организация превращается в более<br>децентрализованную, которая<br>способна лучше поддерживать<br>отдельных оперативников."""
ep6_sq02_01_01#0,"""Что касается нашей системы<br>управления, мы продолжим<br>работать с ней, чтобы быть<br>готовыми на случай, если Сяо<br>вновь что-то случится."""
ep6_sq02_01_02#0,"""Наша ситуация требует быстрого<br>реагирования и гибких решений,<br>мы должны быть готовы в случае<br>отсутствия Сяо."""
text01#0,"""Я рада, что вы благополучно<br>вернулись. Спасибо вам большое<br>за проделанную работу."""
text02#0,"""Теперь, когда мы преодолели<br>этот кризис, система аварийных<br>оповещений, скорее всего,<br>будет отключена. Однако, я буду<br>продолжать поддерживать вас."""
11_voice_NPC_5050_106#0,"""Вы хорошо поработали.<br>Чем могу вам помочь? ...Что?<br>Подарить кому-нибудь<br>рождественский подарок,<br>чтобы отблагодарить?.."""
text02#1,"""К-конечно. У меня самой нет<br>опыта в подобных вещах, но..."""
text03#0,"""В этом сезоне многие ARKS,<br>которых я встречаю, кажется,<br>чувствуют холод... Может быть<br>им подойдёт зимяя одежда?"""
text04#0,"""Так получилось, что недавно<br>мне очень понравилась сцена из<br>рассказа, который я читала.<br>В нём женщина дала своему<br>любовнику длинный вязанный<br>вручную шарф..."""
text05#0,"""...кхм. Возможно, мне стоит<br>оставить это при себе.<br>Не знаю, поможет ли это,<br>но это всё, что я могу<br>предложить."""
