SelectMenuType_CommunicationMenu1#0,"""ショートカットワード実行"""
SelectMenuType_ItemMenu8#0,"""リサイクルショップ"""
SelectMenuType_ItemMenu9#0,"""Pet"""
SelectMenuType_MyData1#0,"""Charakter-Infos"""
SelectMenuType_MyData2#0,"""称号リスト"""
SelectMenuType_MyData3#0,"""アークスカード編集"""
SelectMenuType_ShareShip1#0,"""チャレンジロビーへ"""
SelectMenuType_ShareShip2#0,"""バトルロビーへ"""
MapCommand_Item2_1#0,"""Umgebungskarte verstecken"""
MapCommand_Item2_2#0,"""Umgebungskarte anzeigen"""
UserCommand_Item1#0,"""キャラクター頭上表示切り替え"""
UserCommand_Item2#0,"""オンラインステータス変更"""
UserCommand_Item4#0,"""カメラ距離切り替え"""
OverheadDisplay_NoSENID#0,"""“PC”ユーザー"""
OverheadDisplay_Item1#0,"""表示なし"""
OverheadDisplay_Item2#0,"""キャラクター名"""
OverheadDisplay_Item3#0,"""クラスレベル/キャラクター名"""
OverheadDisplay_Item4#0,"""PSN ID/Player ID Name"""
OverheadDisplay_Item5#0,"""プレイヤーIDネーム"""
OverheadDisplay_Item6#0,"""プレイヤーIDネーム/キャラクター名"""
OverheadDisplay_Item7#0,"""プレイヤーID"""
OverheadDisplay_Item8#0,"""キャラクター名/HPバー(クエスト中)"""
OverheadDisplay_Item9#0,"""セット中の称号/キャラクター名"""
OverheadDisplay_Item10#0,"""所属チーム/チーム役職"""
OverheadDisplay_Item11#0,"""所属チーム/キャラクター名"""
OverheadDisplay_Item12#0,"""キャラクター名(自分以外)"""
OverheadDisplay_Item13#0,"""キャラクター名/HP・PPバー(クエスト中)"""
Camera_Item1#0,"""キャラクターに近づける"""
Camera_Item2#0,"""キャラクターから遠ざける"""
TagName#0,"""：$(0)"""
TitleNon#0,"""称号なし"""
GuildNon#0,"""所属チームなし"""
OverheadDisplay_Item14#0,"""シップ名/キャラクター名"""
VITA_Shortcut_Title#0,"""ショートカット一覧"""
VITA_Tab_Symbol#0,"""シンボルアート"""
VITA_Tab_Chat#0,"""チャット"""
SubWindowChange1#0,"""<pict Sign_TRIANGLE>切替"""
SubWindowChange2#0,"""<%Function>切替"""
VITA_Target#0,"""発言先："""
StartChat#0,"""チャット開始"""
ScreenCommand_Item1#0,"""スクリーンショット撮影"""
ScreenCommand_Item2#0,"""動画撮影開始/終了"""
ScreenShot_Item1#0,"""インターフェイスを消して撮影"""
ScreenShot_Item2#0,"""このままの画面で撮影"""
VITA_Screen_Title#0,"""視点設定変更"""
VITA_UI_Menu#0,"""撮影メニュー"""
VITA_UI_Item1#0,"""表示する"""
VITA_UI_Item2#0,"""表示しない"""
VITA_View_Menu#0,"""視点調整"""
VITA_View_Item1#0,"""距離を近づける"""
VITA_View_Item2#0,"""距離を遠ざける"""
VITA_View_Item3#0,"""高さを上げる"""
VITA_View_Item4#0,"""高さを下げる"""
VITA_View_Item5#0,"""撮影する"""
VITA_View_Item6#0,"""初期化する"""
Camera_Title#0,"""カメラ選択"""
Menu_Normal#0,"""通常カメラ"""
Menu_Camera1#0,"""固定カメラ1"""
Menu_Camera2#0,"""固定カメラ2"""
Menu_Camera3#0,"""固定カメラ3"""
Pop_ChangeCamera#0,"""Benutzen"""
Pop_ChangeAngle#0,"""アングル変更"""
Info_ChangeCamera#0,"""$(0)に<br>新しいカメラアングルを保存します。<br>よろしいですか？"""
Message_ChangeCamera#0,"""$(0)に新しいカメラアングルを保存しました。"""
Message_ExitEditingCamera#0,"""カメラの編集モードが解除されました。"""
FreeCamera_CameraGuideSave#0,"""カメラ保存："""
FreeCamera_CameraGuide_Angle#0,"""カメラ旋回："""
FreeCamera_CameraGuide_Move#0,"""カメラ移動："""
FreeCamera_CameraGuide_Height#0,"""カメラ高さ："""
FreeCamera_CameraGuide_Rotate#0,"""カメラ回転："""
FreeCamera_CameraGuide_Zoom#0,"""ズーム："""
FreeCamera_CameraGuideReset#0,"""カメラリセット："""
FreeCamera_CameraGuideResetVita#0,"""カメラリセット："""
FreeCamera_CameraGuideCancel#0,"""Abbrechen:"""
FreeCamera_CameraGuideSave_key#0,"""<%Decide>"""
FreeCamera_CameraGuide_Angle_key#0,"""マウス移動"""
FreeCamera_CameraGuide_Move_key#0,"""<%MultiSelect>＋<%MoveForward>/<%MoveBack>/<%MoveLeft>/<%MoveRight>"""
FreeCamera_CameraGuide_Height_key#0,"""<%MoveForward>/<%MoveBack>"""
FreeCamera_CameraGuide_Rotate_key#0,"""<%MoveLeft>/<%MoveRight>"""
FreeCamera_CameraGuide_Zoom_key#0,"""<%PaletteForce>/<%PaletteReverse>"""
FreeCamera_CameraGuideReset_key#0,"""<%NextTabDetails>"""
FreeCamera_CameraGuideResetVita_key#0,"""<%AllWindowClose>"""
FreeCamera_CameraGuideCancel_key#0,"""<%Cancel>/Esc"""
FreeCamera_CameraGuideSave_pad#0,"""<%Decide>"""
FreeCamera_CameraGuide_Angle_pad#0,"""右スティック"""
FreeCamera_CameraGuide_Move_pad#0,"""<%MultiSelect>＋左スティック"""
FreeCamera_CameraGuide_Height_pad#0,"""左スティック(上下)"""
FreeCamera_CameraGuide_Rotate_pad#0,"""左スティック(左右)"""
FreeCamera_CameraGuide_Zoom_pad#0,"""<%PaletteForce>/<%PaletteReverse>"""
FreeCamera_CameraGuideReset_pad#0,"""<%NextTabDetails>"""
FreeCamera_CameraGuideResetVita_pad#0,"""<%AllWindowClose>"""
FreeCamera_CameraGuideCancel_pad#0,"""<%Cancel>"""
Installation#0,"""パーティーメイカーを設置する"""
Removal#0,"""パーティーメイカーを撤去する"""
ExpireOut_HasTicket#0,"""プレミアムの有効期限が過ぎています。<br><br>プレミアムパックを利用しますか？"""
ExpireOut_Extend#0,"""プレミアムの有効期限が過ぎています。<br><br>プレミアムパックの有効期限を更新しますか？"""
DirectBuy#0,"""マイショップにアイテムを出品するためには、<br>プレミアムの利用が必要です。<br><br>プレミアムパックを利用しますか？"""
DoPremiumUpdate#0,"""プレミアムパックの更新"""
DoPremiumCharges#0,"""プレミアムパック利用"""
ActiveStatus_Title#0,"""フレンドメッセージ変更"""
ActiveStatus_Info#0,"""相手のフレンドリストに表示するメッセージです。<br>「決定」ボタンを押すことで登録されます。<br><br>ゲームからログアウトすると<br>フレンドメッセージは表示されなくなります。<br>再び登録する場合はログインごとに<br>「決定」ボタンを押してください。"""
ActiveStatus_Comment#0,"""フレンドメッセージ"""
ActiveStatus_Send#0,"""Bestätigen"""
ActiveStatus_Cancell#0,"""キャンセル"""
ActiveStatus_PartyNum#0,"""$(0)／$(1)"""
ActiveStatus_ApcNum#0,"""(<pict apc_icon> $(0)人)"""
ActiveStatus_Connecting#0,"""通信中…"""
ActiveStatus_Error#0,"""メッセージに<br>使用できない文字が含まれています。"""
ActiveStatus_SendMessage#0,"""メッセージを登録しました。"""
Title#0,"""クイックメニュー"""
Caption1#0,"""Kommunikation"""
Caption2#0,"""Funktionsmenü"""
Caption3#0,"""Questmenü"""
Caption4#0,"""Lobbykarte"""
Caption5#0,"""Items"""
Caption6#0,"""Meine Daten"""
Caption7#0,"""Transfermenü"""
Caption8#0,"""System"""
Caption9#0,"""Team"""
Caption10#0,"""Event"""
Caption11#0,"""Aufzucht"""
Caption12#0,"""Persönliches Menü"""
Caption13#0,"""Fotos erstellen"""
OnlineStatus_1#0,"""表示しない"""
OnlineStatus_2#0,"""パーティーメンバー募集"""
OnlineStatus_3#0,"""パーティー参加希望"""
OnlineStatus_4#0,"""離席中"""
OnlineStatus_5#0,"""フリーメッセージ"""
OnlineStatus_Free#0,"""フリーメッセージ設定"""
OnlineStatus_Decide_Vita#0,"""ステータスを反映する"""
OnlineStatus_FreeError_Title#0,"""通信エラー"""
OnlineStatus_FreeError_Msg#0,"""フリーメッセージを保存できませんでした。"""
ApcTacticsOrder_title#0,"""-"""
ApcTacticsOrder_1#0,"""-"""
ApcTacticsOrder_2#0,"""-"""
ApcTacticsOrder_3#0,"""-"""
ApcTacticsOrder_4#0,"""-"""
ApcTacticsOrderHint_1#0,"""-"""
ApcTacticsOrderHint_2#0,"""-"""
ApcTacticsOrderHint_3#0,"""-"""
ApcTacticsOrderHint_4#0,"""-"""
ApcTacticsOrderPb_title#0,"""パートナーへのフォトンブラスト指示"""
ApcTacticsOrderPb_1#0,"""ＰＢリリース"""
ApcTacticsOrderPb_2#0,"""ＰＢチェイン"""
ApcTacticsOrderPbHint_1#0,"""フォトンブラストを積極的に使います。"""
ApcTacticsOrderPbHint_2#0,"""プレイヤーのフォトンブラスト実行に<br>合わせてフォトンブラストを使用します。"""
ApcTacticsOrderAttack_title#0,"""パートナー戦闘参加指示"""
ApcTacticsOrderAttack_1#0,"""戦闘に参加しろ"""
ApcTacticsOrderAttack_2#0,"""何もするな"""
ApcTacticsOrderAttackHint_1#0,"""パートナーが戦闘状況に合わせて行動します。"""
ApcTacticsOrderAttackHint_2#0,"""パートナーが戦闘に参加しなくなります。"""
CustomizeGuide#0,"""<%MultiSelect><c f0df60>でパターンを変更"""
CustomizeGuideVita#0,"""<pict Sign_TRIANGLE><c f0df60>でパターンを変更"""
ConfirmHideInterface#0,"""UIを非表示にします。<br>※クイックメニュー表示時に復帰（仮）"""
Title_chatmenu#0,"""Kurznachricht benutzen"""
PresetName0#0,"""基本タイプ"""
PresetName1#0,"""01.多様さ重視"""
PresetName2#0,"""02.コミュニケーション重視"""
PresetName3#0,"""03.シングルプレイ重視"""
PresetName4#0,"""04.マルチプレイ重視"""
PresetName5#0,"""05.移動重視"""
PresetName6#0,"""06.アイテム重視"""
PresetName7#0,"""07.イベント重視"""
PresetName8#0,"""08.育成重視"""
PresetName9#0,"""09.専用メニュー重視"""
PresetName10#0,"""10.撮影重視"""
EditSave#0,"""保存"""
EditCancel#0,"""キャンセル"""
EditTitle#0,"""クイックメニューパターン変更"""
