Gat_TitleStatus#0,"""Recoleccion Status"""
Name_C0081#0,"""Lillipa Chokki Collection 1"""
Name_C0082#0,"""Desert Topaz Collection 1"""
Name_C0083#0,"""Quarry Collection 1"""
Name_C0084#0,"""Quarry Collection 2"""
Name_C0085#0,"""Quarry Collection 3"""
Name_C0086#0,"""Quarry Potato Collection 1"""
Name_C0087#0,"""Quarry Potato Collection 2"""
Name_C0088#0,"""Quarry Pepper Collection 1"""
Name_C0089#0,"""Quarry Pepper Collection 2"""
Name_C0090#0,"""Lillipa Chokki Collection 1"""
Name_C0091#0,"""Quarry Lapis Lazuli Collection 1"""
Name_C0092#0,"""Facility Collection 1"""
Name_C0093#0,"""Facility Collection 2"""
Name_C0094#0,"""Facility Collection 3"""
Name_C0095#0,"""Facility Mint Collection 1"""
Name_C0096#0,"""Facility Mint Collection 2"""
Name_C0097#0,"""Facility カブ Collection 1"""
Name_C0098#0,"""Facility カブ Collection 2"""
Name_C0099#0,"""Vopar Shell Collection 1"""
Name_C0100#0,""" Tourmaline en Facility Collection 1"""
Name_C0101#0,"""Las Vegas Collection 1"""
Name_C0102#0,"""Las Vegas Collection 2"""
Name_C0103#0,"""Las Vegas Collection 3"""
Name_C0104#0,"""Las Vegas Lettuce Collection 1"""
Name_C0105#0,"""Las Vegas Lettuce Collection 2"""
Name_C0106#0,"""Corn en Las Vegas Collection 1"""
Name_C0107#0,"""Corn en Las Vegas Collection 2"""
Name_C0108#0,"""Empty Bottle Collection １"""
Name_C0109#0,"""Las Vegas Diamond Collection 1"""
Name_C0110#0,"""Volcanic Cavern Harvesting EXP 1"""
Name_C0111#0,"""Volcanic Cavern Harvesting EXP 2"""
Name_C0112#0,"""Volcanic Cavern Harvesting EXP 3"""
Name_C0113#0,"""Volcanic Cavern Pumpkin Harvesting EXP 1"""
Name_C0114#0,"""Volcanic Cavern Pumpkin Harvesting EXP 2"""
Name_C0115#0,"""Volcanic Cavern Pineapple Harvesting EXP 1"""
Name_C0116#0,"""Volcanic Cavern Pineapple Harvesting EXP 2"""
Name_C0117#0,"""Amduscia Dragon Scale Harvesting EXP 1"""
Name_C0118#0,"""Volcanic Cavern Garnet Harvesting EXP 1"""
Name_C0119#0,"""Tundra Harvesting EXP 1"""
Name_C0120#0,"""Tundra Harvesting EXP 2"""
Name_C0121#0,"""Tundra Harvesting EXP 3"""
Name_C0122#0,"""Tundra Onion Harvesting EXP 1"""
Name_C0123#0,"""Tundra Onion Harvesting EXP 2"""
Name_C0124#0,"""Green Tundra Apple Harvesting EXP 1"""
Name_C0125#0,"""Green Tundra Apple Harvesting EXP 2"""
Name_C0126#0,"""Naberdake Harvesting EXP 1"""
Name_C0127#0,"""Experiencia recogida en suelo congelado 1"""
Name_C0128#0,"""地下坑道採取経験1"""
Name_C0129#0,"""地下坑道採取経験2"""
Name_C0130#0,"""地下坑道採取経験3"""
Name_C0131#0,"""地下坑道キノコ採取経験1"""
Name_C0132#0,"""地下坑道キノコ採取経験2"""
Name_C0133#0,"""地下坑道ショウガ採取経験1"""
Name_C0134#0,"""地下坑道ショウガ採取経験2"""
Name_C0135#0,"""Lillipa Chokki Collection 1"""
Name_C0136#0,"""地下坑道ペリドット採取経験1"""
Name_C0137#0,"""白ノ領域採取経験1"""
Name_C0138#0,"""白ノ領域採取経験2"""
Name_C0139#0,"""白ノ領域採取経験3"""
Name_C0140#0,"""白ノ領域イトモヤシ採取経験1"""
Name_C0141#0,"""白ノ領域イトモヤシ採取経験2"""
Name_C0142#0,"""白ノ領域ナス採取経験1"""
Name_C0143#0,"""白ノ領域ナス採取経験2"""
Name_C0144#0,"""ハルコタンの破片採取経験１"""
Name_C0145#0,"""白ノ領域ムーンストーン採取経験1"""
Name_C0146#0,"""浮遊大陸採取経験1"""
Name_C0147#0,"""浮遊大陸採取経験2"""
Name_C0148#0,"""浮遊大陸採取経験3"""
Name_C0149#0,"""浮遊大陸インゲン採取経験1"""
Name_C0150#0,"""浮遊大陸インゲン採取経験2"""
Name_C0151#0,"""浮遊大陸クリ採取経験1"""
Name_C0152#0,"""浮遊大陸クリ採取経験2"""
Name_C0153#0,"""アムドゥスキア龍鱗採取経験１"""
Name_C0154#0,"""浮遊大陸フローライト採取経験1"""
Name_C0155#0,"""海底採取経験1"""
Name_C0156#0,"""海底採取経験2"""
Name_C0157#0,"""海底採取経験3"""
Name_C0158#0,"""海底エシャロット採取経験1"""
Name_C0159#0,"""海底エシャロット採取経験2"""
Name_C0160#0,"""海底レモン採取経験1"""
Name_C0161#0,"""海底レモン採取経験2"""
Name_C0162#0,"""ウォパルシェル採取経験１"""
Name_C0163#0,"""海底タンザナイト採取経験1"""
Name_C0164#0,"""龍祭壇採取経験1"""
Name_C0165#0,"""龍祭壇採取経験2"""
Name_C0166#0,"""龍祭壇採取経験3"""
Name_C0167#0,"""龍祭壇ダイコン採取経験1"""
Name_C0168#0,"""龍祭壇ダイコン採取経験2"""
Name_C0169#0,"""龍祭壇ホウレンソウ採取経験1"""
Name_C0170#0,"""龍祭壇ホウレンソウ採取経験2"""
Name_C0171#0,"""アムドゥスキア龍鱗採取経験１"""
Name_C0172#0,"""龍祭壇ジルコン採取経験1"""
Name_C0173#0,"""黒ノ領域採取経験1"""
Name_C0174#0,"""黒ノ領域採取経験2"""
Name_C0175#0,"""黒ノ領域採取経験3"""
Name_C0176#0,"""黒ノ領域レンコン採取経験1"""
Name_C0177#0,"""黒ノ領域レンコン採取経験2"""
Name_C0178#0,"""黒ノ領域ゴボウ採取経験1"""
Name_C0179#0,"""黒ノ領域ゴボウ採取経験2"""
Name_C0180#0,"""ハルコタンの破片採取経験１"""
Name_C0181#0,"""黒ノ領域ヘマタイト採取経験1"""
Explain_C0000#0,"""<yellow>Realizar 1 cosecha!<c><br>\u3000※Area: Sin especificar<br>\u3000※Categoria: Todos"""
Explain_C0001#0,"""<yellow>Realizar 8 cosechas!<c><br>\u3000※Area: Sin especificar<br>\u3000※Categoria: Todos"""
Explain_C0002#0,"""<yellow>Realizar 20 cosechas!<c><br>\u3000※Area: Sin especificar<br>\u3000※Categoria: Todos"""
Explain_C0003#0,"""<yellow>Realizar 30 cosechas!<c><br>\u3000※Area: Sin especificar<br>\u3000※Categoria: Todos"""
Explain_C0004#0,"""<yellow>Realizar 40 cosechas!<c><br>\u3000※Area: Sin especificar<br>\u3000※Categoria: Todos"""
Explain_C0005#0,"""<yellow>Realizar 50 cosechas!<c><br>\u3000※Area: Sin especificar<br>\u3000※Categoria: Todos"""
Explain_C0006#0,"""<yellow>Realizar 5 cosechas adicionales!<c><br>\u3000※Area: Sin especificar<br>\u3000※Categoria: Todos<br><c 73d882>\u3000※Mayor exito para obtener cosecha adicional<br>mientras cocina Seafood Soup.<c>"""
Explain_C0007#0,"""<yellow>Realizar 10 cosechas adicionales!<c><br>\u3000※Area: Sin especificar<br>\u3000※Categoria: Todos<br><c 73d882>\u3000※Mayor exito para obtener cosecha adicional<br>mientras cocina Seafood Soup.<c>"""
Explain_C0008#0,"""<yellow>Realizar 20 cosechas adicionales!<c><br>\u3000※Area: Sin especificar<br>\u3000※Categoria: Todos<br><c 73d882>\u3000※Mayor exito para obtener cosecha adicional<br>mientras cocina Seafood Soup.<c>"""
Explain_C0009#0,"""<yellow>Realizar 30 cosechas adicionales!<c><br>\u3000※Area: Sin especificar<br>\u3000※Categoria: Todos<br><c 73d882>\u3000※Mayor exito para obtener cosecha adicional<br>mientras cocina Seafood Soup.<c>"""
Explain_C0010#0,"""<yellow>Realizar 5 cosechas raras adicionales!<c><br>\u3000※Area: Sin especificar<br>\u3000※Categoria: Todos<br><c d468a0>\u3000※Cosechas raras se producen al azar<br>durante la cosecha.<c>"""
Explain_C0011#0,"""<yellow>Realizar 10 cosechas raras adicionales!<c><br>\u3000※Area: Sin especificar<br>\u3000※Categoria: Todos<br><c d468a0>\u3000※Cosechas raras se producen al azar<br>durante la cosecha.<c>"""
Explain_C0012#0,"""<yellow>Realizar 20 cosechas raras adicionales!<c><br>\u3000※Area: Sin especificar<br>\u3000※Categoria: Todos<br><c d468a0>\u3000※Cosechas raras se producen al azar<br>durante la cosecha.<c>"""
Explain_C0013#0,"""<yellow>Realizar 30 cosechas raras adicionales!<c><br>\u3000※Area: Sin especificar<br>\u3000※Categoria: Todos<br><c d468a0>\u3000※Cosechas raras se producen al azar<br>durante la cosecha.<c>"""
Explain_C0014#0,"""<yellow>Cosecha 10 verduras!<c><br>\u3000※Area: Sin especificar<br>\u3000※Categoria: Vegetales<br><c 73d882>\u3000※Mayor exito para obtener vegetales mientras<br>consumes Forest Tomato Salad.<c>"""
Explain_C0015#0,"""<yellow>Cosecha 10 frutas!<c><br>\u3000※Area: Sin especificar<br>\u3000※Categoria: Fruit<br><c 73d882>\u3000※Mayor exito para obtener frutas mientras<br>consumes Grilled Coast Filefish.<c>"""
Explain_C0016#0,"""<yellow>Cosecha 10 cereales!<c><br>\u3000※Area: Sin especificar<br>\u3000※Categoria: Grain<br><c 73d882>\u3000※Mayor exito para obtener cereales mientras<br>consumes Forest Tuna Carpaccio.<c>"""
Explain_C0017#0,"""<yellow>Cosecha 10 minerales!<c><br>\u3000※Area: Sin especificar<br>\u3000※Categoria: Minerals<br><c 73d882>\u3000※Mayor exito para obtener Minerales mientras<br>consumes Sashimi.<c>"""
Explain_C0018#0,"""<yellow>Realizar 100 cosechas!<c><br>\u3000※Area: Sin especificar<br>\u3000※Categoria: Todos"""
Explain_C0019#0,"""<yellow>Realizar 200 cosechas!<c><br>\u3000※Area: Sin especificar<br>\u3000※Categoria: Todos"""
Explain_C0020#0,"""<yellow>Realizar 300 cosechas!<c><br>\u3000※Area: Sin especificar<br>\u3000※Categoria: Todos"""
Explain_C0021#0,"""<yellow>Realizar 400 cosechas!<c><br>\u3000※Area: Sin especificar<br>\u3000※Categoria: Todos"""
Explain_C0022#0,"""<yellow>Realizar 500 cosechas!<c><br>\u3000※Area: Sin especificar<br>\u3000※Categoria: Todos"""
Explain_C0023#0,"""<yellow>Realizar 50 cosechas adicionales!<c><br>\u3000※Area: Sin especificar<br>\u3000※Categoria: Todos<br><c 73d882>\u3000※Mayor exito para obtener cosecha adicional<br>mientras cocina [Seafood Soup].<c>"""
Explain_C0024#0,"""<yellow>Realizar 75 cosechas adicionales!<c><br>\u3000※Area: Sin especificar<br>\u3000※Categoria: Todos<br><c 73d882>\u3000※Mayor exito para obtener cosecha adicional<br>mientras cocina [Seafood Soup].<c>"""
Explain_C0025#0,"""<yellow>Realizar 100 cosechas adicionales!<c><br>\u3000※Area: Sin especificar<br>\u3000※Categoria: Todos<br><c 73d882>\u3000※Mayor exito para obtener cosecha adicional<br>mientras cocina [Seafood Soup].<c>"""
Explain_C0026#0,"""<yellow>Realizar 125 cosechas adicionales!<c><br>\u3000※Area: Sin especificar<br>\u3000※Categoria: Todos<br><c 73d882>\u3000※Mayor exito para obtener cosecha adicional<br>mientras cocina [Seafood Soup].<c>"""
Explain_C0027#0,"""<yellow>Realizar 150 cosechas adicionales!<c><br>\u3000※Area: Sin especificar<br>\u3000※Categoria: Todos<br><c 73d882>\u3000※Mayor exito para obtener cosecha adicional<br>mientras cocina [Seafood Soup].<c>"""
Explain_C0028#0,"""<yellow>Realizar 50 rare cosechas!<c><br>\u3000※Area: Sin especificar<br>\u3000※Categoria: Todos<br><c d468a0>\u3000※Cosechas raras se producen al azar<br>durante la cosecha.<c>"""
Explain_C0029#0,"""<yellow>Realizar 75 rare cosechas!<c><br>\u3000※Area: Sin especificar<br>\u3000※Categoria: Todos<br><c d468a0>\u3000※Cosechas raras se producen al azar<br>durante la cosecha.<c>"""
Explain_C0030#0,"""<yellow>Realizar 100 rare cosechas!<c><br>\u3000※Area: Sin especificar<br>\u3000※Categoria: Todos<br><c d468a0>\u3000※Cosechas raras se producen al azar<br>durante la cosecha.<c>"""
Explain_C0031#0,"""<yellow>Realizar 125 rare cosechas!<c><br>\u3000※Area: Sin especificar<br>\u3000※Categoria: Todos<br><c d468a0>\u3000※Cosechas raras se producen al azar<br>durante la cosecha.<c>"""
Explain_C0032#0,"""<yellow>Realizar 150 rare cosechas!<c><br>\u3000※Area: Sin especificar<br>\u3000※Categoria: Todos<br><c d468a0>\u3000※Cosechas raras se producen al azar<br>durante la cosecha.<c>"""
Explain_C0033#0,"""<yellow>Cosecha 50 verduras!<c><br>\u3000※Area: Sin especificar<br>\u3000※Categoria: Vegetales<br><c 73d882>\u3000※Mayor exito para obtener vegetales mientras<br>consumes Forest Tomato Salad.<c>"""
Explain_C0034#0,"""<yellow>Cosecha 50 frutas!<c><br>\u3000※Area: Sin especificar<br>\u3000※Categoria: Fruit<br><c 73d882>\u3000※Mayor exito para obtener frutas mientras<br>consumes Grilled Coast Filefish.<c>"""
Explain_C0035#0,"""<yellow>Cosecha 50 cereales!<c><br>\u3000※Area: Sin especificar<br>\u3000※Categoria: Grain<br><c 73d882>\u3000※Mayor exito para obtener cereales mientras<br>consumes Forest Tuna Carpaccio.<c>"""
Explain_C0036#0,"""<yellow>Cosecha 50 minerales!<c><br>\u3000※Area: Sin especificar<br>\u3000※Categoria: Minerals<br><c 73d882>\u3000※Mayor exito para obtener Minerales mientras<br>consumes Sashimi.<c>"""
Explain_C0037#0,"""<yellow>Cosecha 10 joyas!<c><br>\u3000※Area: Sin especificar<br>\u3000※Categoria: Joyas<br><c d468a0>\u3000※Disponible por cosechas raras.<c>"""
Explain_C0038#0,"""<yellow>Tratar de cosechar 10 veces en el bosque!<c><br>\u3000※Area: Bosque<br>\u3000※Categoria: Sin especificar"""
Explain_C0039#0,"""<yellow>Tratar de cosechar 20 veces en el bosque!<c><br>\u3000※Area: Bosque<br>\u3000※Categoria: Sin especificar"""
Explain_C0040#0,"""<yellow>Tratar de cosechar 30 veces en el bosque!<c><br>\u3000※Area: Bosque<br>\u3000※Categoria: Sin especificar"""
Explain_C0041#0,"""<yellow>Cosecha 3 Forest Tomatoes!<c><br>\u3000※Area: Bosque<br>\u3000※Categoria: Vegetales<br><c 73d882>\u3000※Mayor exito para obtener vegetales mientras<br>consumes Forest Tomato Salad.<c>"""
Explain_C0042#0,"""<yellow>Cosecha 10 Forest Tomatoes!<c><br>\u3000※Area: Bosque<br>\u3000※Categoria: Vegetales<br><c 73d882>\u3000※Mayor exito para obtener vegetales mientras<br>consumes Forest Tomato Salad.<c>"""
Explain_C0043#0,"""<yellow>Cosecha 3 Forest Rice!<c><br>\u3000※Area: Bosque<br>\u3000※Categoria: Grain<br><c 73d882>\u3000※Mayor exito para obtener cereales mientras<br>consumes Forest Tuna Carpaccio.<c>"""
Explain_C0044#0,"""<yellow>Cosecha 15 Forest Rice!<c><br>\u3000※Area: Bosque<br>\u3000※Categoria: Grain<br><c 73d882>\u3000※Mayor exito para obtener cereales mientras<br>consumes Forest Tuna Carpaccio.<c>"""
Explain_C0045#0,"""<yellow>Cosecha 3 Naberdake!<c><br>\u3000※Area: Bosque<br>\u3000※Categoria: Vegetales<br><c 73d882>\u3000※Mayor exito para obtener vegetales mientras<br>consumes Forest Tomato Salad.<c>"""
Explain_C0046#0,"""<yellow>Cosecha 3 Forest Emeralds!<c><br>\u3000※Area: Bosque<br>\u3000※Categoria: Joyas<br><c d468a0>\u3000※Disponible por cosechas raras.<c>"""
Explain_C0047#0,"""<yellow>Tratar de cosechar 10 veces en the Ruins!<c><br>\u3000※Area: Ruinas<br>\u3000※Categoria: Sin especificar"""
Explain_C0048#0,"""<yellow>Tratar de cosechar 20 veces en the Ruins!<c><br>\u3000※Area: Ruinas<br>\u3000※Categoria: Sin especificar"""
Explain_C0049#0,"""<yellow>Tratar de cosechar 30 veces en the Ruins!<c><br>\u3000※Area: Ruinas<br>\u3000※Categoria: Sin especificar"""
Explain_C0050#0,"""<yellow>Cosecha 3 Ruins Grapes!<c><br>\u3000※Area: Ruinas<br>\u3000※Categoria: Fruit<br><c 73d882>\u3000※Mayor exito para obtener frutas mientras<br>consumes Grilled Coast Filefish.<c>"""
Explain_C0051#0,"""<yellow>Cosecha 15 Ruins Grapes!<c><br>\u3000※Area: Ruinas<br>\u3000※Categoria: Fruit<br><c 73d882>\u3000※Mayor exito para obtener frutas mientras<br>consumes Grilled Coast Filefish.<c>"""
Explain_C0052#0,"""<yellow>Cosecha 3 Ruins Onions!<c><br>\u3000※Area: Ruinas<br>\u3000※Categoria: Vegetales<br><c 73d882>\u3000※Mayor exito para obtener vegetales mientras<br>consumes Ruins Salmon in Fruit Sauce.<c>"""
Explain_C0053#0,"""<yellow>Cosecha 15 Ruins Onions!<c><br>\u3000※Area: Ruinas<br>\u3000※Categoria: Vegetales<br><c 73d882>\u3000※Mayor exito para obtener vegetales mientras<br>consumes Ruins Salmon in Fruit Sauce.<c>"""
Explain_C0054#0,"""<yellow>Cosecha 3 Naberdake!<c><br>\u3000※Area: Ruinas<br>\u3000※Categoria: Vegetales<br><c 73d882>\u3000※Mayor exito para obtener vegetales mientras<br>consumes Ruins Salmon in Fruit Sauce.<c>"""
Explain_C0055#0,"""<yellow>Cosecha 3 Ruins Amethysts!<c><br>\u3000※Area: Ruinas<br>\u3000※Categoria: Joyas<br><c d468a0>\u3000※Disponible por cosechas raras.<c>"""
Explain_C0056#0,"""<yellow>Tratar de cosechar 10 veces en the Coast!<c><br>\u3000※Area: Costa<br>\u3000※Categoria: Sin especificar"""
Explain_C0057#0,"""<yellow>Tratar de cosechar 20 veces en the Coast!<c><br>\u3000※Area: Costa<br>\u3000※Categoria: Sin especificar"""
Explain_C0058#0,"""<yellow>Tratar de cosechar 30 veces en the Coast!<c><br>\u3000※Area: Costa<br>\u3000※Categoria: Sin especificar"""
Explain_C0059#0,"""<yellow>Cosecha 3 Coast Salt!<c><br>\u3000※Area: Costa<br>\u3000※Categoria: Minerals<br><c 73d882>\u3000※Mayor exito para obtener Minerales mientras<br>consumes Sashimi.<c>"""
Explain_C0060#0,"""<yellow>Cosecha 15 Coast Salt!<c><br>\u3000※Area: Costa<br>\u3000※Categoria: Minerals<br><c 73d882>\u3000※Mayor exito para obtener Minerales mientras<br>consumes Sashimi.<c>"""
Explain_C0061#0,"""<yellow>Cosecha 3 Coast Olives!<c><br>\u3000※Area: Costa<br>\u3000※Categoria: Fruit<br><c 73d882>\u3000※Mayor exito para obtener frutas mientras<br>consumes Grilled Coast Filefish.<c>"""
Explain_C0062#0,"""<yellow>Cosecha 15 Coast Olives!<c><br>\u3000※Area: Costa<br>\u3000※Categoria: Fruit<br><c 73d882>\u3000※Mayor exito para obtener frutas mientras<br>consumes Grilled Coast Filefish.<c>"""
Explain_C0063#0,"""<yellow>Cosecha 3 Vopar Shells!<c><br>\u3000※Area: Costa<br>\u3000※Categoria: Otros<br><c d468a0>\u3000※Disponible por cosechas raras.<c>"""
Explain_C0064#0,"""<yellow>Cosecha 3 Coast Sapphires!<c><br>\u3000※Area: Costa<br>\u3000※Categoria: Joyas<br><c d468a0>\u3000※Disponible por cosechas raras.<c>"""
Explain_C0065#0,"""<yellow>Tratar de cosechar 10 veces en Tokyo!<c><br>\u3000※Area: Tokyo<br>\u3000※Categoria: Sin especificar"""
Explain_C0066#0,"""<yellow>Tratar de cosechar 20 veces en Tokyo!<c><br>\u3000※Area: Tokyo<br>\u3000※Categoria: Sin especificar"""
Explain_C0067#0,"""<yellow>Tratar de cosechar 30 veces en Tokyo!<c><br>\u3000※Area: Tokyo<br>\u3000※Categoria: Sin especificar"""
Explain_C0068#0,"""<yellow>Cosecha 3  SoybeansTokyo!<c><br>\u3000※Area: Tokyo<br>\u3000※Categoria: Grain<br><c 73d882>\u3000※Mayor exito para obtener cereales mientras<br>consumes Forest Tuna Carpaccio.<c>"""
Explain_C0069#0,"""<yellow>Cosecha 15  SoybeansTokyo!<c><br>\u3000※Area: Tokyo<br>\u3000※Categoria: Grain<br><c 73d882>\u3000※Mayor exito para obtener cereales mientras<br>consumes Forest Tuna Carpaccio.<c>"""
Explain_C0070#0,"""<yellow>Cosecha 3 Earthrocks!<c><br>\u3000※Area: Tokyo<br>\u3000※Categoria: Minerals<br><c 73d882>\u3000※Mayor exito para obtener Minerales mientras<br>consumes Tokyo Madai Teriyaki.<c>"""
Explain_C0071#0,"""<yellow>Cosecha 15 Earthrocks!<c><br>\u3000※Area: Tokyo<br>\u3000※Categoria: Minerals<br><c 73d882>\u3000※Mayor exito para obtener Minerales mientras<br>consumes Tokyo Madai Teriyaki.<c>"""
Explain_C0072#0,"""<yellow>Cosecha 3 Empty Bottles!<c><br>\u3000※Area: Tokyo<br>\u3000※Categoria: Otros<br><c d468a0>\u3000※Disponible por cosechas raras.<c>"""
Explain_C0073#0,"""<yellow>Cosecha 3 Tokyo Opals!<c><br>\u3000※Area: Tokyo<br>\u3000※Categoria: Joyas<br><c d468a0>\u3000※Disponible por cosechas raras.<c>"""
Explain_C0074#0,"""<yellow>砂漠で10回、採取しよう！<c><br>\u3000※エリア：砂漠<br>\u3000※対象カテゴリ：すべて"""
Explain_C0075#0,"""<yellow>砂漠で20回、採取しよう！<c><br>\u3000※エリア：砂漠<br>\u3000※対象カテゴリ：すべて"""
Explain_C0076#0,"""<yellow>砂漠で30回、採取しよう！<c><br>\u3000※エリア：砂漠<br>\u3000※対象カテゴリ：すべて"""
Explain_C0077#0,"""<yellow>「砂漠サンショウ」を3回、採取しよう！<c><br>\u3000※エリア：砂漠<br>\u3000※対象カテゴリ：野菜<br><c 73d892>\u3000※野菜は料理「森林トマトのサラダ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0078#0,"""<yellow>「砂漠サンショウ」を15回、採取しよう！<c><br>\u3000※エリア：砂漠<br>\u3000※対象カテゴリ：野菜<br><c 73d892>\u3000※野菜は料理「森林トマトのサラダ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0079#0,"""<yellow>「砂漠マンゴー」を3回、採取しよう！<c><br>\u3000※エリア：砂漠<br>\u3000※対象カテゴリ：果実<br><c 73d892>\u3000※果実は料理「砂漠カニのコロッケ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0080#0,"""<yellow>「砂漠マンゴー」を15回、採取しよう！<c><br>\u3000※エリア：砂漠<br>\u3000※対象カテゴリ：果実<br><c 73d892>\u3000※果実は料理「砂漠カニのコロッケ」で<br>\u3000\u3000取得率上昇<c>"""
Explain_C0081#0,"""<yellow>「リリーパチョッキ」を3回、採取しよう！<c><br>\u3000※エリア：砂漠<br>\u3000※対象カテゴリ：その他<br><c d468a0>\u3000※採取、レア採取で入手可能<c>"""
Explain_C0082#0,"""<yellow>「砂漠トパーズ」を3回、採取しよう！<c><br>\u3000※エリア：砂漠<br>\u3000※対象カテゴリ：宝石<br><c 73d892>\u3000※宝石は料理「採掘場跡ウナギのうな重」で<br>\u3000\u3000取得率上昇<c>"""
