Name_00000#0,"""Beginner/Striking Weapon/Nv.1"""
Name_10025#0,"""Intermediate/Ranged Weapon/Nv.6"""
Name_10026#0,"""Intermediate/Ranged Weapon/Nv.7"""
Name_10027#0,"""Intermediate/Ranged Weapon/Nv.8"""
Name_10028#0,"""Intermediate/Ranged Weapon/Nv.9"""
Name_10029#0,"""Intermediate/Ranged Weapon/Nv.10"""
Name_10030#0,"""Intermediate/Ranged Weapon/Nv.11"""
Name_10031#0,"""Intermediate/Ranged Weapon/Nv.12"""
Name_10032#0,"""Intermediate Ranged Weapon Nv.13"""
Name_10033#0,"""Intermediate Ranged Weapon Nv.14"""
Name_10034#0,"""Intermediate Ranged Weapon Nv.15"""
Name_10035#0,"""Intermediate Ranged Weapon Nv.16"""
Name_10036#0,"""Advanced/Ranged Weapon/Nv.1"""
Name_10037#0,"""Advanced/Ranged Weapon/Nv.2"""
Name_10038#0,"""Advanced/Ranged Weapon/Nv.3"""
Name_10039#0,"""Advanced/Ranged Weapon/Nv.4"""
Name_10040#0,"""Advanced/Ranged Weapon/Nv.5"""
Name_10041#0,"""Advanced/Ranged Weapon/Nv.6"""
Name_10042#0,"""Advanced/Ranged Weapon/Nv.7"""
Name_10043#0,"""Advanced/Ranged Weapon/Nv.8"""
Name_10044#0,"""Advanced Ranged Weapon Nv.9"""
Name_10045#0,"""Advanced Ranged Weapon Nv.10"""
Name_10046#0,"""Advanced Ranged Weapon Nv.11"""
Name_10047#0,"""Advanced Ranged Weapon Nv.12"""
Name_10048#0,"""10<yellow>★<c> /Ranged Weapon/Nv.1"""
Name_10049#0,"""10<yellow>★<c> /Ranged Weapon/Nv.2"""
Name_10050#0,"""10<yellow>★<c> /Ranged Weapon/Nv.3"""
Name_10051#0,"""10<yellow>★<c> /Ranged Weapon/Nv.4"""
Name_10052#0,"""10<yellow>★<c> /Ranged Weapon/Nv.5"""
Name_10053#0,"""10<yellow>★<c> /Ranged Weapon/Nv.6"""
Name_10054#0,"""10<yellow>★<c> /Ranged Weapon/Nv.7"""
Name_10055#0,"""10<yellow>★<c> Ranged Weapon Nv.8"""
Name_10056#0,"""10<yellow>★<c> Ranged Weapon Nv.9"""
Name_10057#0,"""10<yellow>★<c> Ranged Weapon Nv.10"""
Name_10058#0,"""11 <yellow>★<c> /Ranged Weapon/Nv.1"""
Name_10059#0,"""11 <yellow>★<c> /Ranged Weapon/Nv.2"""
Name_10060#0,"""11 <yellow>★<c> /Ranged Weapon/Nv.3"""
Name_10061#0,"""11 <yellow>★<c> /Ranged Weapon/Nv.4"""
Name_10062#0,"""11 <yellow>★<c> /Ranged Weapon/Nv.5"""
Name_10063#0,"""11 <yellow>★<c> /Ranged Weapon/Nv.6"""
Name_10064#0,"""11 <yellow>★<c> Ranged Weapon Nv.7"""
Name_10065#0,"""11 <yellow>★<c> Ranged Weapon Nv.8"""
Name_10066#0,"""12 <yellow>★<c> Ranged Weapon Nv.1"""
Name_10067#0,"""12 <yellow>★<c> Ranged Weapon Nv.2"""
Name_10068#0,"""12 <yellow>★<c> Ranged Weapon Nv.3"""
Name_10069#0,"""12 <yellow>★<c> Ranged Weapon Nv.4"""
Name_10070#0,"""12 <yellow>★<c> Ranged Weapon Nv.5"""
Name_10071#0,"""12 <yellow>★<c> Ranged Weapon Nv.6"""
Name_10072#0,"""Not set"""
Name_10073#0,"""Not set"""
Name_10074#0,"""Not set"""
Name_10075#0,"""Ranged Weapon Reset Recipe"""
Name_10076#0,"""Beginner Ranged Weapon Nv.21"""
Name_10077#0,"""Beginner Ranged Weapon Nv.22"""
Name_10078#0,"""Beginner Ranged Weapon Nv.23"""
Name_10079#0,"""Beginner Ranged Weapon Nv.24"""
Name_10080#0,"""Intermediate Ranged Weapon Nv.17"""
Name_10081#0,"""Intermediate Ranged Weapon Nv.18"""
Name_10082#0,"""Intermediate Ranged Weapon Nv.19"""
Name_10083#0,"""Intermediate Ranged Weapon Nv.20"""
Name_10084#0,"""Advanced Ranged Weapon Nv.13"""
Name_10085#0,"""Advanced Ranged Weapon Nv.14"""
Name_10086#0,"""Advanced Ranged Weapon Nv.15"""
Name_10087#0,"""Advanced Ranged Weapon Nv.16"""
Name_10088#0,"""10<yellow>★<c> Ranged Weapon Nv.11"""
Name_10089#0,"""10<yellow>★<c> Ranged Weapon Nv.12"""
Name_10090#0,"""10<yellow>★<c> Ranged Weapon Nv.13"""
Name_10091#0,"""10<yellow>★<c> Ranged Weapon Nv.14"""
Name_10092#0,"""11 <yellow>★<c> Ranged Weapon Nv.9"""
Name_10093#0,"""11 <yellow>★<c> Ranged Weapon Nv.10"""
Name_10094#0,"""11 <yellow>★<c> Ranged Weapon Nv.11"""
Name_10095#0,"""11 <yellow>★<c> Ranged Weapon Nv.12"""
Name_10096#0,"""12 <yellow>★<c> Ranged Weapon Nv.7"""
Name_10097#0,"""12 <yellow>★<c> Ranged Weapon Nv.8"""
Name_10098#0,"""12 <yellow>★<c> Ranged Weapon Nv.9"""
Name_10099#0,"""12 <yellow>★<c> Ranged Weapon Nv.10"""
Name_10100#0,"""Beginner Ranged Weapon (T-ATK) Nv.9"""
Name_10101#0,"""Beginner Ranged Weapon (T-ATK) Nv.11"""
Name_10102#0,"""Beginner Ranged Weapon (T-ATK) Nv.13"""
Name_10103#0,"""Beginner Ranged Weapon (T-ATK) Nv.16"""
Name_10104#0,"""Beginner Ranged Weapon (T-ATK) Nv.18"""
Name_10105#0,"""Beginner Ranged Weapon (T-ATK) Nv.20"""
Name_10106#0,"""Beginner Ranged Weapon (T-ATK) Nv.22"""
Name_10107#0,"""Beginner Ranged Weapon (T-ATK) Nv.24"""
Name_10108#0,"""Intermediate Ranged Weapon (T-ATK) Nv.6"""
Name_10109#0,"""Intermediate Ranged Weapon (T-ATK) Nv.8"""
Name_10110#0,"""Intermediate Ranged Weapon (T-ATK) Nv.10"""
Name_10111#0,"""Intermediate Ranged Weapon (T-ATK) Nv.12"""
Name_10112#0,"""Intermediate Ranged Weapon (T-ATK) Nv.14"""
Name_10113#0,"""Intermediate Ranged Weapon (T-ATK) Nv.16"""
Name_10114#0,"""Intermediate Ranged Weapon (T-ATK) Nv.18"""
Name_10115#0,"""Intermediate Ranged Weapon (T-ATK) Nv.20"""
Name_10116#0,"""Expert Ranged Weapon (T-ATK) Nv.4"""
Name_10117#0,"""Expert Ranged Weapon (T-ATK) Nv.5"""
Name_10118#0,"""Expert Ranged Weapon (T-ATK) Nv.6"""
Name_10119#0,"""Expert Ranged Weapon (T-ATK) Nv.8"""
Name_10120#0,"""Expert Ranged Weapon (T-ATK) Nv.10"""
Name_10121#0,"""Expert Ranged Weapon (T-ATK) Nv.12"""
Name_10122#0,"""Advanced Ranged Weapon (T-ATK) Nv.14"""
Name_10123#0,"""Advanced Ranged Weapon (T-ATK) Nv.16"""
Name_10124#0,"""10<yellow>★<c> Ranged Weapon (T-ATK) Nv.3"""
Name_10125#0,"""10<yellow>★<c> Ranged Weapon (T-ATK) Nv.4"""
Name_10126#0,"""10<yellow>★<c> Ranged Weapon (T-ATK) Nv.5"""
Name_10127#0,"""10<yellow>★<c> Ranged Weapon (T-ATK) Nv.7"""
Name_10128#0,"""10<yellow>★<c> Ranged Weapon (T-ATK) Nv.8"""
Name_10129#0,"""10<yellow>★<c> Ranged Weapon (T-ATK) Nv.10"""
Name_10130#0,"""10<yellow>★<c> Ranged Weapon (T-ATK) Nv.12"""
Name_10131#0,"""10<yellow>★<c> Ranged Weapon (T-ATK) Nv.14"""
Name_10132#0,"""11 <yellow>★<c> Ranged Weapon (T-ATK) Nv.2"""
Name_10133#0,"""11 <yellow>★<c> Ranged Weapon (T-ATK) Nv.3"""
Name_10134#0,"""11 <yellow>★<c> Ranged Weapon (T-ATK) Nv.4"""
Name_10135#0,"""11 <yellow>★<c> Ranged Weapon (T-ATK) Nv.6"""
Name_10136#0,"""11 <yellow>★<c> Ranged Weapon (T-ATK) Nv.7"""
Name_10137#0,"""11 <yellow>★<c> Ranged Weapon (T-ATK) Nv.8"""
Name_10138#0,"""11 <yellow>★<c> Ranged Weapon (T-ATK) Nv.10"""
Name_10139#0,"""11 <yellow>★<c> Ranged Weapon (T-ATK) Nv.12"""
Name_10140#0,"""12 <yellow>★<c> Ranged Weapon (T-ATK) Nv.1"""
Name_10141#0,"""12 <yellow>★<c> Ranged Weapon (T-ATK) Nv.2"""
Name_10142#0,"""12 <yellow>★<c> Ranged Weapon (T-ATK) Nv.3"""
Name_10143#0,"""12 <yellow>★<c> Ranged Weapon (T-ATK) Nv.4"""
Name_10144#0,"""12 <yellow>★<c> Ranged Weapon (T-ATK) Nv.5"""
Name_10145#0,"""12 <yellow>★<c> Ranged Weapon (T-ATK) Nv.6"""
Name_10146#0,"""12 <yellow>★<c> Ranged Weapon (T-ATK) Nv.8"""
Name_10147#0,"""12 <yellow>★<c> Ranged Weapon (T-ATK) Nv.10"""
Name_10148#0,"""Beginner Ranged Weapon (DEX) Nv.9"""
Name_10149#0,"""Beginner Ranged Weapon (DEX) Nv.11"""
Name_10150#0,"""Beginner Ranged Weapon (DEX) Nv.13"""
Name_10151#0,"""Beginner Ranged Weapon (DEX) Nv.16"""
Name_10152#0,"""Beginner Ranged Weapon (DEX) Nv.18"""
Name_10153#0,"""Beginner Ranged Weapon (DEX) Nv.20"""
Name_10154#0,"""Beginner Ranged Weapon (DEX) Nv.22"""
Name_10155#0,"""Beginner Ranged Weapon (DEX) Nv.24"""
Name_10156#0,"""Intermediate Ranged Weapon (DEX) Nv.6"""
Name_10157#0,"""Intermediate Ranged Weapon (DEX) Nv.8"""
Name_10158#0,"""Intermediate Ranged Weapon (DEX) Nv.10"""
Name_10159#0,"""Intermediate Ranged Weapon (DEX) Nv.12"""
Name_10160#0,"""Intermediate Ranged Weapon (DEX) Nv.14"""
Name_10161#0,"""Intermediate Ranged Weapon (DEX) Nv.16"""
Name_10162#0,"""Intermediate Ranged Weapon (DEX) Nv.18"""
Name_10163#0,"""Intermediate Ranged Weapon (DEX) Nv.20"""
Name_10164#0,"""Advanced Ranged Weapon (DEX) Nv.4"""
Name_10165#0,"""Advanced Ranged Weapon (DEX) Nv.5"""
Name_10166#0,"""Advanced Ranged Weapon (DEX) Nv.6"""
Name_10167#0,"""Advanced Ranged Weapon (DEX) Nv.8"""
Name_10168#0,"""Advanced Ranged Weapon (DEX) Nv.10"""
Name_10169#0,"""Advanced Ranged Weapon (DEX) Nv.12"""
Name_10170#0,"""Advanced Ranged Weapon (DEX) Nv.14"""
Name_10171#0,"""Advanced Ranged Weapon (DEX) Nv.16"""
Name_10172#0,"""10<yellow>★<c> Ranged Weapon (DEX) Nv.3"""
Name_10173#0,"""10<yellow>★<c> Ranged Weapon (DEX) Nv.4"""
Name_10174#0,"""10<yellow>★<c> Ranged Weapon (DEX) Nv.5"""
Name_10175#0,"""10<yellow>★<c> Ranged Weapon (DEX) Nv.7"""
Name_10176#0,"""10<yellow>★<c> Ranged Weapon (DEX) Nv.8"""
Name_10177#0,"""10<yellow>★<c> Ranged Weapon (DEX) Nv.10"""
Name_10178#0,"""10<yellow>★<c> Ranged Weapon (DEX) Nv.12"""
Name_10179#0,"""10<yellow>★<c> Ranged Weapon (DEX) Nv.14"""
Name_10180#0,"""11 <yellow>★<c> Ranged Weapon (DEX) Nv.2"""
Name_10181#0,"""11 <yellow>★<c> Ranged Weapon (DEX) Nv.3"""
Name_10182#0,"""11 <yellow>★<c> Ranged Weapon (DEX) Nv.4"""
Name_10183#0,"""11 <yellow>★<c> Ranged Weapon (DEX) Nv.6"""
Name_10184#0,"""11 <yellow>★<c> Ranged Weapon (DEX) Nv.7"""
Name_10185#0,"""11 <yellow>★<c> Ranged Weapon (DEX) Nv.8"""
Name_10186#0,"""11 <yellow>★<c> Ranged Weapon (DEX) Nv.10"""
Name_10187#0,"""11 <yellow>★<c> Ranged Weapon (DEX) Nv.12"""
Name_10188#0,"""12 <yellow>★<c> Ranged Weapon (DEX) Nv.1"""
Name_10189#0,"""12 <yellow>★<c> Ranged Weapon (DEX) Nv.2"""
Name_10190#0,"""12 <yellow>★<c> Ranged Weapon (DEX) Nv.3"""
Name_10191#0,"""12 <yellow>★<c> Ranged Weapon (DEX) Nv.4"""
Name_10192#0,"""12 <yellow>★<c> Ranged Weapon (DEX) Nv.5"""
Name_10193#0,"""12 <yellow>★<c> Ranged Weapon (DEX) Nv.6"""
Name_10194#0,"""12 <yellow>★<c> Ranged Weapon (DEX) Nv.8"""
Name_10195#0,"""12 <yellow>★<c> Ranged Weapon (DEX) Nv.10"""
