HELLO_FAV4#0,"""Te estaba esperando."""
GOODBYE_OTHER#1,"""Vuelva pronto"""
HELLO_FAV4#2,"""あ、えっと、来てくれてうれしいです"""
HELLO_FAV3#2,"""む、無理はしていませんか？"""
HELLO_FAV2#2,"""こ、こんにちはです"""
HELLO_FAV1#2,"""HELLO_FAV1<br>Debgu_error"""
HELLO_FAV0#2,"""HELLO_FAV0<br>Debgu_error"""
GOODBYE_FAV4#2,"""ずっと、ずっと待ってます"""
GOODBYE_FAV3#2,"""ど、どうかご無事で……"""
GOODBYE_FAV2#2,"""さ、さようならです"""
GOODBYE_FAV1#2,"""GOODBYE_FAV1<br>Debgu_error"""
GOODBYE_FAV0#2,"""GOODBYE_FAV0<br>Debgu_error"""
GOTOEXP_FAV4#2,"""わ、わかりました<br>あなたのために、頑張ります"""
GOTOEXP_FAV3#2,"""や、やってみます<br>任せてください"""
GOTOEXP_FAV2#2,"""それでは、行ってきます"""
GOTOEXP_FAV1#2,"""GOTOEXP_FAV1<br>Debgu_error"""
GOTOEXP_FAV0#2,"""HELLO_REPORT_FAV0<br>Debgu_error"""
HELLO_REPORT_FAV4#2,"""お、おかえりなさい！<br>実は、報告したいことが……"""
HELLO_REPORT_FAV3#2,"""ま、待ってました。<br>ちょっと、報告をしたくて……"""
HELLO_REPORT_FAV2#2,"""あ、あの、報告があって……"""
HELLO_REPORT_FAV1#2,"""HELLO_REPORT_FAV1<br>Debgu_error"""
HELLO_REPORT_FAV0#2,"""HELLO_REPORT_FAV0<br>Debgu_error"""
HELLO_OTHER#2,"""い、いらっしゃいです"""
GOODBYE_OTHER#2,"""Esto es un adios..."""
HELLO_FAV4#3,"""あまり待たせないで欲しいな"""
HELLO_FAV3#3,"""フッ……元気なようだな"""
HELLO_FAV2#3,"""戻ってきたか"""
HELLO_FAV1#3,"""HELLO_FAV1<br>Debgu_error"""
HELLO_FAV0#3,"""HELLO_FAV0<br>Debgu_error"""
GOODBYE_FAV4#3,"""もう行くのか？<br>無理だけはするなよ"""
GOODBYE_FAV3#3,"""気をつけろよ"""
GOODBYE_FAV2#3,"""では、また次の機会に"""
GOODBYE_FAV1#3,"""GOODBYE_FAV1<br>Debgu_error"""
GOODBYE_FAV0#3,"""GOODBYE_FAV0<br>Debgu_error"""
GOTOEXP_FAV4#3,"""お前のためなら<br>この力、如何様にでも"""
GOTOEXP_FAV3#3,"""いいだろう、任せておけ"""
GOTOEXP_FAV2#3,"""それでは、出撃する"""
GOTOEXP_FAV1#3,"""GOTOEXP_FAV1<br>Debgu_error"""
GOTOEXP_FAV0#3,"""HELLO_REPORT_FAV0<br>Debgu_error"""
HELLO_REPORT_FAV4#3,"""待っていたぞ。<br>報告、聞いてもらえるか"""
HELLO_REPORT_FAV3#3,"""ちょうど一段落したところだ。"""
HELLO_REPORT_FAV2#3,"""報告したいことがある"""
HELLO_REPORT_FAV1#3,"""HELLO_REPORT_FAV1<br>Debgu_error"""
HELLO_REPORT_FAV0#3,"""HELLO_REPORT_FAV0<br>Debgu_error"""
HELLO_OTHER#3,"""Buen trabajo por venir!"""
GOODBYE_OTHER#3,"""Venga en cualquier momento"""
HELLO_FAV4#4,"""Jeje, te he estado esperando!"""
HELLO_FAV3#4,"""よっ、元気かー！"""
HELLO_FAV2#4,"""¡Hola!"""
HELLO_FAV1#4,"""HELLO_FAV1<br>Debgu_error"""
HELLO_FAV0#4,"""HELLO_FAV0<br>Debgu_error"""
GOODBYE_FAV4#4,"""もっとゆっくりしてけよー！"""
GOODBYE_FAV3#4,"""気をつけてなー！"""
GOODBYE_FAV2#4,"""そんじゃー！"""
GOODBYE_FAV1#4,"""GOODBYE_FAV1<br>Debgu_error"""
GOODBYE_FAV0#4,"""GOODBYE_FAV0<br>Debgu_error"""
GOTOEXP_FAV4#4,"""オッケーオッケー！<br>オレに任せとけって！"""
GOTOEXP_FAV3#4,"""よっしゃ、やってやるぜー！"""
GOTOEXP_FAV2#4,"""りょーかいっ！"""
GOTOEXP_FAV1#4,"""GOTOEXP_FAV1<br>Debgu_error"""
GOTOEXP_FAV0#4,"""HELLO_REPORT_FAV0<br>Debgu_error"""
HELLO_REPORT_FAV4#4,"""おっ、来た来た！<br>聞いてくれよ、報告があるんだ！"""
HELLO_REPORT_FAV3#4,"""いいタイミング！<br>こっちも一段落ってところだ！"""
HELLO_REPORT_FAV2#4,"""報告、してもいいか？"""
HELLO_REPORT_FAV1#4,"""HELLO_REPORT_FAV1<br>Debgu_error"""
HELLO_REPORT_FAV0#4,"""HELLO_REPORT_FAV0<br>Debgu_error"""
HELLO_OTHER#4,"""Yo！"""
GOODBYE_OTHER#4,"""Nos vemos!"""
HELLO_FAV4#5,"""ずっと、待っていましたよ"""
HELLO_FAV3#5,"""お元気そうで、何よりです"""
HELLO_FAV2#5,"""Hola."""
HELLO_FAV1#5,"""HELLO_FAV1<br>Debgu_error"""
HELLO_FAV0#5,"""HELLO_FAV0<br>Debgu_error"""
GOODBYE_FAV4#5,"""もう行かれてしまうんですか？"""
GOODBYE_FAV3#5,"""気をつけて、いってらっしゃい"""
GOODBYE_FAV2#5,"""Asi que de nuevo aqui"""
GOODBYE_FAV1#5,"""GOODBYE_FAV1<br>Debgu_error"""
GOODBYE_FAV0#5,"""GOODBYE_FAV0<br>Debgu_error"""
GOTOEXP_FAV4#5,"""私に任せて下さい。<br>貴方の力に、なりたいんです"""
GOTOEXP_FAV3#5,"""はい、わかりました。<br>全力を尽くしますね"""
GOTOEXP_FAV2#5,"""承りました。<br>それでは、行ってきます"""
GOTOEXP_FAV1#5,"""GOTOEXP_FAV1<br>Debgu_error"""
GOTOEXP_FAV0#5,"""HELLO_REPORT_FAV0<br>Debgu_error"""
HELLO_REPORT_FAV4#5,"""おかえりなさい。<br>あの……少し¿Seguro que quieres?<br>報告したいことがありまして"""
HELLO_REPORT_FAV3#5,"""こちら、ちょうど一段落したところです"""
HELLO_REPORT_FAV2#5,"""報告があります"""
HELLO_REPORT_FAV1#5,"""HELLO_REPORT_FAV1<br>Debgu_error"""
HELLO_REPORT_FAV0#5,"""HELLO_REPORT_FAV0<br>Debgu_error"""
HELLO_OTHER#5,"""¡Bienvenido!"""
GOODBYE_OTHER#5,"""Asi que de nuevo aqui"""
HELLO_FAV4#6,"""待ってたよーっ！"""
HELLO_FAV3#6,"""おおっ、元気そうだね！"""
HELLO_FAV2#6,"""こんちわーっ！"""
HELLO_FAV1#6,"""HELLO_FAV1<br>Debgu_error"""
HELLO_FAV0#6,"""HELLO_FAV0<br>Debgu_error"""
GOODBYE_FAV4#6,"""えー、もう行っちゃうのー？"""
GOODBYE_FAV3#6,"""気をつけてねっ！"""
GOODBYE_FAV2#6,"""それじゃっ！"""
GOODBYE_FAV1#6,"""GOODBYE_FAV1<br>Debgu_error"""
GOODBYE_FAV0#6,"""GOODBYE_FAV0<br>Debgu_error"""
GOTOEXP_FAV4#6,"""あたしにお任せ！<br>あなたのために、頑張っちゃうよー！"""
GOTOEXP_FAV3#6,"""よーし、がんばっちゃうぞー！"""
GOTOEXP_FAV2#6,"""はいはいっ、りょーかい！"""
GOTOEXP_FAV1#6,"""GOTOEXP_FAV1<br>Debgu_error"""
GOTOEXP_FAV0#6,"""HELLO_REPORT_FAV0<br>Debgu_error"""
HELLO_REPORT_FAV4#6,"""やーっ、来た来た！<br>聞いて聞いて、報告聞いて！"""
HELLO_REPORT_FAV3#6,"""ちょうど一段落！<br>報告、しちゃおっかなー！"""
HELLO_REPORT_FAV2#6,"""報告していいかなっ？"""
HELLO_REPORT_FAV1#6,"""HELLO_REPORT_FAV1<br>Debgu_error"""
HELLO_REPORT_FAV0#6,"""HELLO_REPORT_FAV0<br>Debgu_error"""
HELLO_OTHER#6,"""いらっしゃーい！"""
GOODBYE_OTHER#6,"""それじゃまったねー！"""
HELLO_FAV4#7,"""……遅い。<br>来るならもっと早く来い<br>心配するだろ"""
HELLO_FAV3#7,"""あ……無事なら、いい"""
HELLO_FAV2#7,"""……ふん、元気そうだな"""
HELLO_FAV1#7,"""HELLO_FAV1<br>Debgu_error"""
HELLO_FAV0#7,"""HELLO_FAV0<br>Debgu_error"""
GOODBYE_FAV4#7,"""なんだよ、もう行くのか……？<br>べ、別に心配なんかしてない！"""
GOODBYE_FAV3#7,"""行くなら勝手にしろ。<br>……気をつけてな"""
GOODBYE_FAV2#7,"""あ……じゃあ、またな"""
GOODBYE_FAV1#7,"""GOODBYE_FAV1<br>Debgu_error"""
GOODBYE_FAV0#7,"""GOODBYE_FAV0<br>Debgu_error"""
GOTOEXP_FAV4#7,"""……他ならない<br>お前の頼みだ、やってやる。<br>わたしに、任せておけ"""
GOTOEXP_FAV3#7,"""……任せとけ。<br>やるからには全力だ"""
GOTOEXP_FAV2#7,"""……了解した。<br>これから出撃する"""
GOTOEXP_FAV1#7,"""GOTOEXP_FAV1<br>Debgu_error"""
GOTOEXP_FAV0#7,"""HELLO_REPORT_FAV0<br>Debgu_error"""
HELLO_REPORT_FAV4#7,"""……遅い！<br>早く報告したかったのに！<br>……と、とにかく聞いて欲しい"""
HELLO_REPORT_FAV3#7,"""ふん……こっちも一段落だよ。<br>報告、聞いていってくれるか？"""
HELLO_REPORT_FAV2#7,"""……報告があるんだけど"""
HELLO_REPORT_FAV1#7,"""HELLO_REPORT_FAV1<br>Debgu_error"""
HELLO_REPORT_FAV0#7,"""HELLO_REPORT_FAV0<br>Debgu_error"""
HELLO_OTHER#7,"""……Bienvenido hernanito(a)"""
GOODBYE_OTHER#7,"""Hmph ...... Bueno, entonces yo"""
HELLO_FAV4#8,"""ふふっ、待ってたよ。<br>今日はどんな話をする？"""
HELLO_FAV3#8,"""大丈夫？\u3000ケガとかしてない？"""
HELLO_FAV2#8,"""ボクは元気だよ"""
HELLO_FAV1#8,"""HELLO_FAV1<br>Debgu_error"""
HELLO_FAV0#8,"""HELLO_FAV0<br>Debgu_error"""
GOODBYE_FAV4#8,"""え、もう行っちゃうの？<br>……でも、しょうがないか。<br>うん、頑張ってきてね！"""
GOODBYE_FAV3#8,"""ボクのことなら心配いらないよ。<br>気をつけて、いってらっしゃい"""
GOODBYE_FAV2#8,"""いってらっしゃい"""
GOODBYE_FAV1#8,"""GOODBYE_FAV1<br>Debgu_error"""
GOODBYE_FAV0#8,"""GOODBYE_FAV0<br>Debgu_error"""
GOTOEXP_FAV4#8,"""きみのためになるなら……<br>ボク、なんだってやってみせるよ！"""
GOTOEXP_FAV3#8,"""わかった。<br>ボク、がんばる！"""
GOTOEXP_FAV2#8,"""うん、了解したよ。<br>それじゃ、行ってくるね"""
GOTOEXP_FAV1#8,"""GOTOEXP_FAV1<br>Debgu_error"""
GOTOEXP_FAV0#8,"""HELLO_REPORT_FAV0<br>Debgu_error"""
HELLO_REPORT_FAV4#8,"""あ、待ってたよ！<br>きみに早く報告したかったんだ！"""
HELLO_REPORT_FAV3#8,"""ボクの報告、聞いてくれる？"""
HELLO_REPORT_FAV2#8,"""報告、してもいい？"""
HELLO_REPORT_FAV1#8,"""HELLO_REPORT_FAV1<br>Debgu_error"""
HELLO_REPORT_FAV0#8,"""HELLO_REPORT_FAV0<br>Debgu_error"""
HELLO_OTHER#8,"""¡Bienvenido!"""
GOODBYE_OTHER#8,"""Vuelva cuando estes listo!"""
