01_MainLobby_001#0,"""Cuando eres premium, puedes aceptar hasta 40 Ordenes de clientes a la vez."""
01_MainLobby_026#0,"""Puedes ganar puntos Net Cafe jugando desde un Cafe Internet autorizado, dependiendo de tu tiempo de juego."""
01_MainLobby_027#0,"""Cuando eres premium, puedes continuar vendiendo los items de tu tienda una vez el Premium expire."""
01_MainLobby_028#0,"""Cuando eres premium, puedes intercarmbiar items con otros usuarios Premium hasta que el Premium expire."""
01_MainLobby_029#0,"""Cuando eres premium, recibes un bono por todos los puntos FUN recibidos hasta que el Premium expire."""
01_MainLobby_030#0,"""Cuando eres premium, recibes un almacen de 400 casillas!"""
01_MainLobby_031#0,"""En el inventario, puedes usar <%MultiSelect> para seleccionar multiples objetos."""
01_MainLobby_032#0,"""La funcion de teclado dentro del<br>inventario [Ctrl]+[C] permite copiar el nombre de los objetos"""
01_MainLobby_033#0,"""Si vendes un objeto por error, puedes recuperarlo rapidamente seleccionando [Reembolsar]."""
01_MainLobby_034#0,"""En el salon de belleza, en el segundo piso, puedes cambiar la apariencia de tu personaje o tu ayudante (Partner)."""
01_MainLobby_035#0,"""En el campship, puedes llamar amigos acompaゃantes desde la consola en la ventana cerca del terminal medico y la tienda."""
01_MainLobby_036#0,"""En el menu [Personajes Cercanos], puedes enviar solicitudes de amistad a otros jugadores."""
01_MainLobby_037#0,"""En el menu [Personajes Cercanos], puedes invitar otros jugadores a tu grupo."""
01_MainLobby_038#0,"""En el mostrador de titulos, puedes recibir recompensas por completar varios logros."""
01_MainLobby_039#0,"""Todos los objetos que caen en una mision son diferentes para cada jugador, por lo tanto puedes recoger objetos sin preocuparte por los demas."""
01_MainLobby_040#0,"""La funcion de teclado、<br>[Scroll Lock] es el ON/OFF del modo de Charla Directa."""
01_MainLobby_041#0,"""Asegurate de verificar las ordenes de los clientes antes de entrar en una mision, para ganar mas experiencia por hacer la misma orden contaria como una recompensa adicional."""
01_MainLobby_042#0,"""Es posible enviar objetos al almacen basico,o al almacen del personaje<br>como tambien es posible enviar un item como Pack de objetos"""
01_MainLobby_043#0,"""Usando [Alt]+[←]/[→], podras cambiar el canal en el que escribes rapidamente."""
01_MainLobby_044#0,"""Usando [Ctrl]+[←]/[→], Podras escoger que canales ver, los cuales ves en la ventana Log."""
01_MainLobby_045#0,"""La funcion de teclado<br>dentro del Chat [Ctrl]+[↑]/[↓] verifica el historial de conversacion."""
01_MainLobby_046#0,"""La funcion de teclado<br>dentro del Chat [Shift]+[Enter] で、カットインつきで発言できる。"""
01_MainLobby_047#0,"""La funcion de teclado<br>dentro del Chat [Ctrl]+[Enter] permite hablar seleccionando la forma y emocion del Globo."""
01_MainLobby_048#0,"""La funcion de teclado<br>[Alt]+[A]～[Z]permite realizar una gran variedad de acciones de lobby."""
01_MainLobby_049#0,"""La funcion de teclado<br>[Ctrl]+[Alt]+[A]～[Z] permite realizar la accion de lobby del sexo opuesto."""
01_MainLobby_050#0,"""En el laboratorio de objetos, puedes mejorar armas y armaduras."""
01_MainLobby_051#0,"""Seleccionando [Gestion de la Tienda] en el Visiphone, puedes vender objetos a otros jugadores."""
01_MainLobby_052#0,"""En la tienda AC, puedes comprar items para incrementar el total de items que puedes tener en tu inventario."""
01_MainLobby_053#0,"""En la tienda de reciclaje, puedes comerciar items que no te sirvan por otros items valiosos para ti."""
01_MainLobby_054#0,"""Algunas de las estadisticas de tu Sub Clase se transladaran a tu Clase Principal."""
01_MainLobby_055#0,"""Al completar el tablero de asuntos, progresaras aun mas en la historia."""
01_MainLobby_056#0,"""Muchos equipos con una variedad de habilidades especiales estan disponibles en el tablero de asuntos."""
01_MainLobby_057#0,"""Completando todos los nodos amarillos en el tablero de asuntos desbloquearas nuevas misiones del modo historia."""
01_MainLobby_058#0,"""En el menu opciones, puedes cambiar la configuracion de pantalla, junto con otros muchos ajustes."""
01_MainLobby_059#0,"""Puedes ver tu Historial de Grupo en el Menu [Historial de Comunicaciones]."""
01_MainLobby_060#0,"""Puedes cambiar la informacion que se muestra sobre cada jugador en el Menu Rapido."""
01_MainLobby_061#0,"""En el [Menu Rapido], puedes usar [Comandos de Estrategia de Compaゃero] para decirles a tus personajes acompaゃantes que reserven sus Photon Blasts para encadenamiento."""
01_MainLobby_062#0,"""Cuanto mayor sea el nivel del enemigo, muchas mas Mesetas tiraran."""
01_MainLobby_063#0,"""Los items que caen de las cajas son diferentes en cada area."""
01_MainLobby_064#0,"""Cuando haya ocurrido un estado especial en cada campo es probable que un PSE ocurra."""
01_MainLobby_065#0,"""Cuando escribas <lt>pos<gt>, diras tus coordenadas en el mapa."""
01_MainLobby_066#0,"""Cuando escribas <lt>target<gt> o <lt>t<gt>,<br>diras el ultimo Item/Enemigo que tuviste."""
01_MainLobby_067#0,"""Puedes mostrar el nombre del actual E-Trial escribiendo <lt>et1<gt> en el chat."""
01_MainLobby_068#0,"""The current target can be changed when locked on by using the right joystick."""
01_MainLobby_069#0,"""Cuando eres premium, puedes guardar hasta 40 Symbol Arts!!  ¿Genial no?."""
01_MainLobby_070#0,"""Cuando eres premium, puedes moverte a un bloque lleno usando el espacio reservado para los Premium."""
01_MainLobby_071#0,"""Cuando eres premium, una ves uses un makeover ticket, puedes usar el salon gratis por 60 minutos."""
01_MainLobby_072#0,"""Cuando eres premium, ganaras un efecto adicional al tomar cualquier bebida medica en el terminal."""
01_MainLobby_073#0,"""Mediante el uso de reduccion de riesgos y los elementos auxiliares mejorados, puede reducir la posibilidad de fallo al fortalecer los objetos."""
01_MainLobby_074#0,"""Se puede especificar el canal que desea utilizar el texto - escribiendo \""/t\"" para el Team \""/p\"" para el Grupo, y \""/a\"" a los que estan cerca.."""
01_MainLobby_075#0,"""PSE level rise effects are dependant on the area they take place in."""
01_MainLobby_076#0,"""A Cross Burst is when more than one burst occurs at once."""
01_MainLobby_077#0,"""En ciertos climas (incluyendo tormentas de truenos en el bosque<br>o la Aurora en los cielos de la Tundra),El PSE puede ser subido de nivel rapidamente."""
01_MainLobby_078#0,"""Puede verificar su entrada reciente utilizando [Historia de conexion] en el [Menu de Inicio]."""
01_MainLobby_079#0,"""Mediante el uso de [Recibir Recompensa de Campaゃa] en el visiphone, usted puede recibir recompensas por completar las campaゃas."""
01_MainLobby_080#0,"""Si deseas mayor seguridad, puedes establecer un one-time login password. <red>(no recomendado)<c>"""
01_MainLobby_081#0,"""The Item Lab Attendant clerk is different for every odd/even block."""
01_MainLobby_082#0,"""During ARKS Road, a navigation symbol is displayed on your goal.<br>You can reach your goal by proceeding in that direction."""
01_MainLobby_083#0,"""Cuando haces una mision en grupo, La EXP obtenida por los enemigos<br>incrementa dependiendo de la cantidad de gente en el grupo."""
01_MainLobby_084#0,"""Cuando eres premium, Puedes obtener mas Login Stamps."""
01_MainLobby_085#0,"""You can call partners of people you have not friended by<br>selecting [Free Partner] from the partner terminal in the camp ship."""
01_MainLobby_086#0,"""Por seleccionar [Allow players other than friends to use] en el Visiphone<br>durante [Friend Partner Registration], Es una manera facil de obtener Puntos FUN."""
01_MainLobby_087#0,"""Si subes de nivel tu clase, tu subclase tambien subira de nivel (Hasta cierto punto)."""
01_MainLobby_088#0,"""Usando [Teams currently looking for members] en el visiphone te permitira encontrar Teams que estan reclutando miembros."""
01_MainLobby_089#0,"""The PA and skills your support partner will use are based on their personality."""
01_MainLobby_090#0,"""The performance of your support partner is not affected by their weapon's stats.<br>However, their HP and attack power is increased slightly as the rarity of the weapon increases."""
01_MainLobby_091#0,"""El rendimiento de los partner de hecho no se ve afectada por sus estadisticas de armaduras.<br>However, their HP and attack power is increased slightly as the rarity of the units increases."""
01_MainLobby_092#0,"""As your relationship with your support partner improves,<br>the number of orders they can take at once increases."""
01_MainLobby_093#0,"""Your support partner can help with Ordenes de cliente that<br>are partially completed, or not completed at all."""
01_MainLobby_094#0,"""Seleccionando [Craft] en el visiphone, puedes craftear,<br>buscar por crafteadores, y aprender craft recipes."""
01_MainLobby_095#0,"""Por escojer [Craft] en el visiphone, puedes enviar una solicitud de crafteo o cancelar una en progreso."""
01_MainLobby_096#0,"""Puedes incrementar tu nivel de crafteo haciendo varios crafts."""
01_MainLobby_097#0,"""En el menu de opciones, puede cambiar el color de la informacion<br>de los jugadores para mostrar si estan o no en un grupo."""
01_MainLobby_098#0,"""En las Opciones del menu, puedes escojer si quieres ver o no, los symbol Arts."""
01_MainLobby_099#0,"""En el menu de opciones, puede cambiar si quieres ver el nombre del personaje de un jugador o ID del jugador en el equipo y chat privado."""
01_MainLobby_100#0,"""Se puede establecer un angulo de camara diferente en el menu<br>[Seleccion de camara]."""
01_MainLobby_101#0,"""Puedes colocar un mensage de maximo 10 caracteres en tu estado online."""
01_MainLobby_102#0,"""Puedes cambiar de nombre del skill tree en el class counter."""
01_MainLobby_103#0,"""Usted puede configurar su expresion y posar para su<br> pose de victoria en [Configuracion del chat]"""
01_MainLobby_104#0,"""Puedes volver a usar apariencias de MAG previamente desbloqueadas <br>usando un Change Pass para MAG."""
01_MainLobby_105#0,"""Puede cambiar el numero de notificaciones que se vea a la vez en el menu [Notification Settings]."""
01_MainLobby_106#0,"""If you use a One-Time Password (OTP), you can<br>store an extra 200 items in the OTP warehouse."""
01_MainLobby_107#0,"""クライアントオーダーで調達するオーダーアイテムは、<br>アイテム詳細から「依頼者」と「繰り返し受注可能」かを確認できる。"""
01_MainLobby_108#0,"""Si usas un rare enemy trigger, puedes forzar que salga<br>un enemigo raro."""
01_MainLobby_109#0,"""Por seleccionar [Ordenes de cliente] en el menu principal, puedes ver las ordenes de cliente asosiadas con tu mision actual."""
01_MainLobby_110#0,"""Puedes usar [My Set] En el asesor de clases, para guardar tu clase<br>y armamento para cargarlos despues."""
01_MainLobby_111#0,"""By using [Display Map] from the Quick Menu, you can<br>check the locations of nearby NPCs and shops."""
01_MainLobby_112#0,"""Puedes colocar un racordatorio con el cual seras notificado cuando<br>El Premium este a punto de expirar en 7 dias."""
01_MainLobby_113#0,"""Puedes configurar un Nombre de Mision para ser usado automaticamente cuando<br>se inicie una mision en lugar del nombre del personaje."""
01_MainLobby_114#0,"""Puedes configurar una opcion para cambiar el fondo de la<br>caja de chat al mismo color que el canal de voz."""
01_MainLobby_115#0,"""ガンナーのクラススキル「ワンモアタイム」発動時に「ハイタイム」を習得していると<br>ダメージボーナスが最大の状態から開始され、ダメージによるリセットも無くなる。"""
01_MainLobby_116#0,"""選択中のサブパレットの内容は、オプションでその表示方法を<br>非表示、一定時間表示、常に表示の3つから変更できる。"""
01_MainLobby_117#0,"""パーティー設定で「参加歓迎」にチェックを入れると、<br>クエストカウンターのパーティーリストで優先的に表示される。"""
01_MainLobby_118#0,"""パーティーの設定で「参加歓迎」にチェックを入れるとパーティー人数が一杯の時に<br>パートナー呼び出し端末で呼び出した仲間と入れ替わり、プレイヤーが参加できる。"""
01_MainLobby_119#0,"""アイテムメニューの「セット効果確認」でセット効果内容や<br>発揮させるための装備の一覧を見ることができる。"""
01_MainLobby_120#0,"""更新したデータドライブはバックアップデータドライブに保存しておくことができる。"""
01_MainLobby_121#0,"""Normalmente no puedes intercambiar objetos con ningun otro jugador, salvo si eres premiun"""
01_MainLobby_122#0,"""Cuando eres Premiun puedes itercambiar objetos con otros jugadores e incluso puedes comprar objetos con una rareza de 10<yellow>★<c> o mayor"""
01_MainLobby_123#0,"""「キャラ倉庫」は、1キャラクターごとに300個のアイテムを保存できる。<br>また、有料アイテムで最大1,000個まで拡張できる。"""
01_MainLobby_124#0,"""「キャラ倉庫」のアイテムは、シップ移動で他のシップに持ち込むことができる。"""
01_MainLobby_125#0,"""「ＰＳＯ２ｅｓ倉庫」は『PSO2es』と連動することで、30日間の利用が可能になる。"""
01_MainLobby_126#0,"""レイヤリングウェアは「アウターウェア」「ベースウェア」「インナーウェア」の<br>3つの要素から構成されている。"""
01_MainLobby_127#0,"""メインメニューの「ファッション編集」から、コスチュームやパーツの他にも<br>アクセサリー、ヘアスタイル、ボディペイントなども変更できる。"""
01_MainLobby_128#0,"""Puede comprobar la informacion en \""Ver detalles de Moda\"" de otros jugadores Realizando click en ellos"""
01_MainLobby_129#0,"""ボディペイントとインナーウェアは表示順序を任意に変更できる。"""
01_MainLobby_130#0,"""クリエイトデータを保存するときに、既に保存済みのクリエイトデータと<br>同じ名前を入れることで、クリエイトデータを上書きすることができる。"""
01_MainLobby_131#0,"""メインメニューの「カスタム」から、武器の納刀位置を調整できる。"""
01_MainLobby_132#0,"""EPISODE4 avanza el \""storyboard\"" cuando avanza la historia."""
01_MainLobby_133#0,"""クイックメニューの内容は、「パターンを変更」から変更できる。"""
01_MainLobby_134#0,"""ペット能力の中には、スペシャルエッグを鑑定した時だけ付与される<br>特別なペット能力が存在する。"""
01_MainLobby_135#0,"""ペットの攻撃属性はキャンディー「ラムネ」をペットにセットすることで<br>変更することができる。"""
01_MainLobby_136#0,"""ペットの属性値を上げるキャンディー「パンケーキ」は<br>ペットラボでシンセサイザーなどのアイテムと交換で入手できる。"""
01_MainLobby_137#0,"""EP4ストーリークエストを受けるためには<br>アークスロードを進めておく必要がある。"""
01_MainLobby_138#0,"""ボーナスクエストの受注に必要な「ボーナスキー」は、<br>「おすすめクエスト」のクリア報酬で入手できることがある。"""
01_MainLobby_139#0,"""Los objetos que tienen fecha de caducidad, como \""clave de bonificacion\""<br>Trata de usarlos con la mayor brevedad posible."""
01_MainLobby_140#0,"""ログイン時にEP4モードを選択することで<br>EP4の世界を体感できるストーリーボードをプレイできる。"""
01_MainLobby_141#0,"""ストーリーボードではキャラクターとのイベントや<br>EP4の世界を冒険できるストーリークエストを遊ぶことができる。"""
01_MainLobby_142#0,"""ストーリーボードで遊ぶストーリークエストには<br>キャンプシップを使用しないものもある。"""
01_MainLobby_143#0,"""艦橋エリアの入り口近くには、メディカル端末や倉庫が置かれている。"""
01_MainLobby_144#0,"""EP4モードでログインした際は、マターボードを操作することはできない。"""
01_MainLobby_145#0,"""鍵アイテムを消費することで、大量にメセタや経験値が稼げたり<br>レアなアイテムドロップのあるボーナスクエストを遊ぶことができる。"""
01_MainLobby_146#0,"""鍵アイテムには種類があり<br>種類によって、受注できるボーナスクエストが異なる。"""
01_MainLobby_147#0,"""ボーナスクエストを高難易度でクリアすると<br>メセタや経験値が良くなり、アイテムドロップがレア度の高いものになる。"""
01_MainLobby_148#0,"""ボーナスクエストは、一人でプレイする必要がある。"""
01_MainLobby_149#0,"""Los anillos ganan Exp derrotando enemigos y completando ordenes de cliente"""
01_MainLobby_150#0,"""Puedes comprobar el historial desde la terminal Visiphone"""
01_MainLobby_151#0,"""Si pide una \""Mision de entrenamiento\"" con la Asesora de misiones<br>puedes aprender a luchar con cada clase."""
01_MainLobby_152#0,"""Trata de darle una dieta balanceada a tu MAG para que en el futuro no te arrepientas"""
01_MainLobby_153#0,"""El centro de formacion de Arks de la Asesora de misiones,<br>Es posible practicar las habilidades de clase."""
01_MainLobby_154#0,"""Las Armas de nuevo tipo se fortalesen usando como recipiente otras armas de nuevo tipo"""
01_MainLobby_155#0,"""Si utiliza las misma arma nuevo tipo que el material de fortalecimiento este se puede extender mejor ademas suma el elemento."""
01_MainLobby_156#0,"""クエストカウンターのプリンから、指定アイテムを集める<br>ことで報酬がもらえる「コレクトファイル」を受注できる。"""
01_MainLobby_157#0,"""Si presionas  F11 puedes jugar a la loteria usando AC Fun y Star Gem"""
01_MainLobby_158#0,"""ロビーアクションの中には、<%NormalAttack>や<%PhotonArts>を押すと<br>途中で動きが変わるものがある。"""
01_MainLobby_159#0,"""ロビーアクションの中には、「リアクション」で相手を指定すると<br>相手のロビアクにあわせたリアクションをとるものがある。"""
01_MainLobby_160#0,"""Mascotas como \""Wanda\"", poseen una especie de huevo superior, llamado \""Zynga\"" y pueden ser evolucionadas."""
03_MyRoom_001#0,"""Mientras seas Premium, tienes disponibles dos diseゃos de habitaciones: A y B."""
03_MyRoom_002#0,"""Desde el menu rapido, puedes ir al salon de tu Team o a tu propio cuarto."""
03_MyRoom_003#0,"""Si colocas un jukebox en tu habitacion, puedes registrar discos de musica para desbloquear nuevos BGM para su uso."""
03_MyRoom_004#0,"""El objeto de habitacion para configurar a tu Support Partner, la<br>consola de acompaゃante, puede ser comprado en la tienda de mi habitacion."""
03_MyRoom_005#0,"""Seleccionando el Menu Craft desde la terminal de la habitacion de otro jugador, podras enviarle un requerimiento de Crafting a ese jugador."""
03_MyRoom_006#0,"""Puedes hacer crafteo, revisar tus solicitudes de crafteo, y cambiar la configuracion de tu \""Letrero de anuncio\"" desde el menu craft en el terminal de tu habitacion."""
03_MyRoom_007#0,"""Puedes ver el historial de eventos en<br>orden cronologico usando el menu<br>[Cronicas de Eventos] en tu cuarto."""
03_MyRoom_008#0,"""サポートパートナーに同じフィールドの<br>オーダーを同時に探索させると成功率が高くなる。"""
03_MyRoom_009#0,"""ビジフォンのマイショップ検索において、<br>特殊能力の検索は最大で4つまで同時に行える。"""
03_MyRoom_010#0,"""ビジフォンのマイショップ検索において、<br>レアリティの指定は特定の値に限定するか、その値以上にするかを切り替えられる。"""
03_MyRoom_011#0,"""ビジフォンのマイショップ検索において、<br>コスチュームや各種パーツは「属性」から性別ごとの絞り込みが可能。"""
03_MyRoom_012#0,"""ビジフォンのマイショップ検索において、<br>消費アイテムに含まれる各種チケットはサブカテゴリーから絞り込みが可能。"""
03_MyRoom_013#0,"""ビジフォンのマイショップ検索において、<br>レアリティ12の武器を購入する際は、オーナー登録が発生する。"""
03_MyRoom_014#0,"""更新したデータドライブはバックアップデータドライブに保存しておくことができる。"""
04_GuildRoom_001#0,"""Cuando el lider del Team no se<br>conecta en 30 dias, un moderador<br>puede asumir el control del Team."""
04_GuildRoom_002#0,"""「チームルーム拡張」からチームルームのロック/ロック解除ができる。"""
04_GuildRoom_003#0,"""チームの役職がマネージャー以上であれば、<br>チームコマンドからチームメンバー以外のキャラクターを退室させることができる。"""
04_GuildRoom_004#0,"""チームメンバー以外のキャラクターは、チーム掲示板、チームカウンター、<br>チーム倉庫、それぞれの内容を見ることはできない。"""
04_GuildRoom_005#0,"""チームメンバー以外のキャラクターは、<br>フォトンツリーの成長具合を確認できるが、支援フォトン効果を得ることはできない。"""
07_AmusementLobby_001#0,"""Los Casino Coins pueden ser convertidas usando un Intercambiador de Monedas<br>en el Casino."""
07_AmusementLobby_002#0,"""Juntando Casino Coins puedes cambiarlas luego por un premio<br>en el mostrador de intercambio de premios."""
07_AmusementLobby_003#0,"""Hay un graffiti hecho por un grupo de Lillipans escondidos en el area del Casino...?"""
07_AmusementLobby_004#0,"""カジノコインの所持上限を超えた分はクエストに出発すると消失してしまう。<br>積極的に景品交換しよう。"""
07_AmusementLobby_005#0,"""En el Mesetan Shooter puedes jugar unas 3 oleadas cada vez."""
07_AmusementLobby_006#0,"""Perderas monedas si le disparas a las bombas en el Mesetan Shooter."""
07_AmusementLobby_007#0,"""Me pregunto que hara Umbra en el Mesetan Shooter si<br>no le disparan por un rato...?"""
07_AmusementLobby_008#0,"""Durante el Mesetan Shooter, La reina mesetan puede mostrarse."""
07_AmusementLobby_009#0,"""En Mesetan Shooter, tanto como suba tu PSE, es mas probable obtener una mejor oleada."""
07_AmusementLobby_010#0,"""En el Rappy Slots, una chance Rappy PSE ocurre cuando el Rappymetro esta lleno."""
07_AmusementLobby_011#0,"""En el Rappy Slots, Me pregunto que pasara si alineas todos los WILDS...?"""
07_AmusementLobby_012#0,"""En el Rappy Slots, si consigues todos los WILDs en todos los Slots, ganaras el PREMIO MAYOR!"""
07_AmusementLobby_013#0,"""メセタンシューターでは肩越し視点操作に切り替わるため、<br>オプションのカメラ設定や、操作設定で細かい調整に対応できる。"""
07_AmusementLobby_014#0,"""ブラックニャックでは、同じテーブルで遊んでいるプレイヤーが多いほど<br>バトルボーニャスが発生しやすい。"""
07_AmusementLobby_015#0,"""ブラックニャックでは、バトルボーニャス発生中に、<br>最も手役の高いプレイヤーにボーナスが発生する。"""
07_AmusementLobby_016#0,"""ブラックニャックでは、スペシャルカードが３枚揃うと<br>最強の役THREE SPが成立する。"""
07_AmusementLobby_017#0,"""ブラックニャックでは、DOUBLE\u3000DOWNでBET額を倍にして<br>カードを1枚だけ引くことができる。"""
07_AmusementLobby_018#0,"""リーリールーレットでは、１ゲームで最大2箇所までBETすることができる。"""
07_AmusementLobby_019#0,"""リーリールーレットでは、【色】、【数字】、【色と数字】の３種類のBETができる。"""
07_AmusementLobby_020#0,"""リーリールーレットは、チャンスマスで停止すると当たりが増える。"""
07_AmusementLobby_021#0,"""リーリールーレットは、トリプルチャンスマスで停止すると・・・？"""
07_AmusementLobby_022#0,"""リーリールーレットで30倍以上の配当が出ると・・・？"""
07_AmusementLobby_023#0,"""アークマスロットで最後の「STAGE３０」に到達すると<br>カジノコインを大量獲得できるフィニッシュボーナスが発生する。"""
07_AmusementLobby_024#0,"""アークマスロットで３種類の図柄を揃えるとコンプリートボーナスを獲得できる。"""
07_AmusementLobby_025#0,"""アークマスロットは、１日のプレイ可能数に上限がある。"""
10_Dungeon_001#0,"""Want to help translate to english? Contact AIDA in-game (ID: TheCrimsonDevil) for more information."""
10_Dungeon_002#0,"""¿Quieres ayudar a traducir al espaゃol?<br>Contactate con Liv en el juego (<yellow>ID: Blazter<c>) para mas informacion.<br>Tambien en facebook desde <yellow>http://fb.com/PSO2spanish/<c>"""
10_Dungeon_003#0,"""Cuando el MAG no tiene energia, <br>no puede hacer nada."""
10_Dungeon_004#0,"""Recuerda, si tu MAG sube de nivel, el Photon Blast tambien!"""
10_Dungeon_005#0,"""Al habilitar la funcion [Recoger Meseta Automaticamente] en el menu de opciones, recogeras mesetas simplemente pasando cerca de ellas."""
10_Dungeon_006#0,"""Puedes elegir si quieres ver, o no, los videos que apareceran en el lobby, en el menu opciones."""
10_Dungeon_007#0,"""Puedes seleccionar el color de tu HP cuando estas muy lastimado en el<br>menu de opciones."""
10_Dungeon_008#0,"""Los enemigos conocidos como 'Aberrations' han evolucionado diferente en comparacion a sus contra partes.<br>\""por ejemplo\"" Los potenciales que pueden incrementar el daゃo a los nativos de Naberius no funcionaran con los Aberrations de Naberius"""
10_Dungeon_009#0,"""Los enemigos conocidos como 'Aberrations' han evolucionado diferente en comparacion a sus contra partes.<br>\""por ejemplo\"" Los potenciales que reducen el daゃo de los Darkers,  no son efectivos contra los Aberrations Darker"""
10_Dungeon_010#0,"""La habilidad especial 'Ultimate Buster' es tremendamente efectiva,<br>pero solo con los 'Aberrations'."""
10_Dungeon_011#0,"""世壊種を除くLv71以上のエネミーからドロップした武器には、<br>「世壊種」に有効な特殊能力「アルティメットバスター」が付与されることがある。"""
10_Dungeon_012#0,"""En <yellow>http://www.bumped.org/psublog/ <c>encotraras las ultimas noticias relacionadas con el juego."""
10_Dungeon_013#0,"""パーティーメイカーを設置できるのはパーティーリーダーのみであり、<br>設置できる場所はマルチパーティーエリアに限られる。"""
10_Dungeon_014#0,"""Se pueden colocar un maximo de 3 Party Maker cada area<br>(Creador de Grupo)"""
10_Dungeon_015#0,"""El creador de grupo, se puede instalar / eliminar en el menu rapido."""
10_Dungeon_016#0,"""Cuando el nivel del MAG llega a 200, aprendera \""Acciones automaticas\"". estas se pueden cambiar en la tienda de Excubes."""
10_Dungeon_017#0,"""Si completas las misiones destacadas una vez al dia, con calificacion \""A\""<br>o superior, podras obtener una recompensa especial."""
10_Dungeon_018#0,"""La estamina de pesca y de recoleccion se recuperaran hasta 100 con el tiempo."""
10_Dungeon_019#0,"""ギャザリング実績を達成することで釣りや採取レベルがあがる。"""
10_Dungeon_020#0,"""ライドロイドは「ジャストアタックリング」に合わせて「ブースト」すると<br>最大速度で移動できる。"""
10_Dungeon_021#0,"""ライドロイドのPPは「エネルギーリング」をくぐると回復できる。"""
15_ChallengeCommon_001#0,"""En un Mision de Desafio, cada area es llamada una 'Mision'.<br>La meta del Quest es completar la mision especificada."""
15_ChallengeCommon_002#0,"""En un Misiones de Desafio la energia VR sirve como un limite de tiempo.<br>Puedes extender este limite de tiempo levantando capsulas de energia."""
15_ChallengeCommon_003#0,"""No puedes extender el limite de tiempo mas alla del limite designado<br>por cada Mision de Desafio, inclusive si levantas capsulas de energia."""
15_ChallengeCommon_004#0,"""La energia VR se agota lentamente con el tiempo.<br>Cuando un jugador es incapacitado, la energia caera drasticamente."""
15_ChallengeCommon_005#0,"""Usando un Moon Atomizer para revivir a un jugador incapacitado,<br>puedes recuperar energia VR perdida cuando esta ya cayo."""
15_ChallengeCommon_006#0,"""En los Misiones de Desafio puedes tirar armas y Armaduras al piso.<br>El numero maximo de Objetos que puedes tirar es 160."""
15_ChallengeCommon_007#0,"""Al avanzar a ciertas misiones de un Mision de Desafio, podras llegar a un area de descanzo.<br>Tu energia VR no absorbida mientras estes en esta area."""
15_ChallengeCommon_008#0,"""Durante un Mision de Desafio, puedes obtener items, Armaduras y<br>armas de la Tienda de Reciclado en el area de descanzo."""
