text100#0,"""Daily Orders"""
Npc49_06_020#1,"""毎日来るといいと思います！<br>そのほうが、わたしもうれしいですし！"""
Npc49_07_010#0,"""Different daily requests come up every day."""
Npc49_07_020#0,"""Stop by and check them out every day, if you can.<br>I'd really appreciate it!"""
Npc49_07_010#1,"""デイリーオーダーとは<br>その名の通り、日替わりで内容が<br>変化する依頼のことですよ！"""
Npc49_07_020#1,"""毎日来るといいと思います！<br>そのほうが、わたしもうれしいですし！"""
Npc49_08_010#0,"""Different daily requests come up every day."""
Npc49_08_020#0,"""Stop by and check them out every day, if you can.<br>I'd really appreciate it!"""
Npc49_08_010#1,"""デイリーオーダーとは<br>その名の通り、日替わりで内容が<br>変化する依頼のことですよ！"""
Npc49_08_020#1,"""毎日来るといいと思います！<br>そのほうが、わたしもうれしいですし！"""
Npc49_mb9_010#0,"""Daily Orders are exactly what they sound like. They are missions with contents that change every day!"""
Npc49_mb9_020#0,"""So I think it's best if you come here every day!<br>Plus, it would make me really happy if you did!"""
Npc49_mb9_010#1,"""デイリーオーダーとは<br>その名の通り、日替わりで内容が<br>変化する依頼のことですよ！"""
Npc49_mb9_020#1,"""毎日来るといいと思います！<br>そのほうが、わたしもうれしいですし！"""
Npc49_mb10_010#0,"""Daily Orders are exactly what they sound like. They are missions with contents that change every day!"""
Npc49_mb10_020#0,"""So I think it's best if you come here every day!<br>Plus, it would make me really happy if you did!"""
Npc49_mb10_010#1,"""デイリーオーダーとは<br>その名の通り、日替わりで内容が<br>変化する依頼のことですよ！"""
Npc49_mb10_020#1,"""毎日来るといいと思います！<br>そのほうが、わたしもうれしいですし！"""
Npc49_mb11_010#0,"""Daily Orders are exactly what they sound like. They are missions with contents that change every day!"""
Npc49_mb11_020#0,"""So I think it's best if you come here every day!<br>Plus, it would make me really happy if you did!"""
Npc49_mb11_010#1,"""デイリーオーダーとは<br>その名の通り、日替わりで内容が<br>変化する依頼のことですよ！"""
Npc49_mb11_020#1,"""毎日来るといいと思います！<br>そのほうが、わたしもうれしいですし！"""
Npc49_mb12_010#0,"""Daily Orders are exactly what they sound like. They are missions with contents that change every day!"""
Npc49_mb12_020#0,"""So I think it's best if you come here every day!<br>Plus, it would make me really happy if you did!"""
Npc49_mb12_010#1,"""デイリーオーダーとは<br>その名の通り、日替わりで内容が<br>変化する依頼のことですよ！"""
Npc49_mb12_020#1,"""毎日来るといいと思います！<br>そのほうが、わたしもうれしいですし！"""
Npc49_mb13_010#0,"""Daily Orders are exactly what they sound like. They are missions with contents that change every day!"""
Npc49_mb13_020#0,"""So I think it's best if you come here every day!<br>Plus, it would make me really happy if you did!"""
Npc49_mb13_010#1,"""デイリーオーダーとは<br>その名の通り、日替わりで内容が<br>変化する依頼のことですよ！"""
Npc49_mb13_020#1,"""毎日来るといいと思います！<br>そのほうが、わたしもうれしいですし！"""
Npc49_mb14_010#0,"""Daily Orders are exactly what they sound like. They are missions with contents that change every day!"""
Npc49_mb14_020#0,"""So I think it's best if you come here every day!<br>Plus, it would make me really happy if you did!"""
Npc49_mb14_010#1,"""デイリーオーダーとは<br>その名の通り、日替わりで内容が<br>変化する依頼のことですよ！"""
Npc49_mb14_020#1,"""毎日来るといいと思います！<br>そのほうが、わたしもうれしいですし！"""
