iidxNotFound#0,"""なし"""
iidx3_62_0_2#0,"""森林ブリのあら汁<br>豪華海鮮盛り<br>"""
iidx3_62_0_3#0,"""海鮮スープ<br>黒ノ領域ダツのガレット<br>"""
iidx3_62_0_4#0,"""お刺身<br>遺跡サケの果実ソースかけ<br>火山洞窟イワナのポワレ<br>"""
iidx3_62_0_6#0,"""海岸ハギの塩焼き<br>海鮮ちり鍋<br>"""
iidx3_62_0_8#0,"""東京マグロのお刺身<br>"""
iidx3_62_0_9#0,"""東京マダイの照り焼き<br>採掘場跡サメのスープ<br>"""
iidx3_62_0_11#0,"""砂漠ヒラメのパスタ<br>魚介の包み焼き<br>"""
iidx3_62_0_12#0,"""採掘場跡サメのスープ<br>"""
iidx3_62_0_14#0,"""採掘場跡ウナギのうな重<br>黒ノ領域ゴボウのビスク<br>"""
iidx3_62_0_15#0,"""採掘場跡タチウオのソテー<br>海鮮フルーツコンフィ<br>"""
iidx3_62_0_16#0,"""採掘場跡サメのスープ<br>"""
iidx3_62_0_17#0,"""浮上施設イワシのサラダ<br>海鮮パンプキンパイ<br>"""
iidx3_62_0_19#0,"""浮上施設ニジエビの清蒸<br>黒ノ領域ホタルイカのパイ<br>"""
iidx3_62_0_21#0,"""浮上施設ミントのムニエル<br>白ノ領域フナの煮付け<br>"""
iidx3_62_0_23#0,"""海鮮パンプキンパイ<br>龍祭壇ライギョのフライ<br>"""
iidx3_62_0_24#0,"""凍土ニシンのカインチュア<br>浮遊大陸カツオのブレゼ<br>"""
iidx3_62_0_25#0,"""火山洞窟イワナのポワレ<br>"""
iidx3_62_0_27#0,"""火山洞窟イワナのポワレ<br>シーフードブロシェット<br>"""
iidx3_62_0_28#0,"""シーフードブロシェット<br>"""
iidx3_62_0_30#0,"""白ノ領域フナの煮付け<br>"""
iidx3_62_0_31#0,"""浮遊大陸カツオのブレゼ<br>"""
iidx3_62_0_32#0,"""海鮮ちり鍋<br>"""
iidx3_62_0_33#0,"""海鮮ちり鍋<br>"""
iidx3_62_0_34#0,"""龍祭壇ライギョのフライ<br>"""
iidx3_62_0_35#0,"""豪華海鮮盛り<br>"""
iidx3_62_0_36#0,"""黒ノ領域ダツのガレット<br>"""
iidx3_63_0_1#0,"""海鮮スープ<br>浮上施設カブのラビオリ<br>"""
iidx3_63_0_2#0,"""海岸ムール貝のオイルづけ<br>浮上施設ニジエビの清蒸<br>"""
iidx3_63_0_4#0,"""海鮮フルーツコンフィ<br>"""
iidx3_63_0_6#0,"""地下坑道マキガイのサラダ<br>"""
iidx3_63_0_7#0,"""シーフードブロシェット<br>"""
iidx3_63_0_8#0,"""海底イワガキの紙包み焼き<br>"""
iidx3_63_0_10#0,"""豪華海鮮盛り<br>"""
iidx3_64_0_0#0,"""遺跡エビのかき揚げ<br>浮上施設ミントのムニエル<br>"""
iidx3_64_0_1#0,"""海鮮スープ<br>浮上施設イワシのサラダ<br>"""
iidx3_64_0_2#0,"""砂漠カニのコロッケ<br>浮上施設イカのブリトー<br>地下坑道キノコのかに玉<br>"""
iidx3_64_0_4#0,"""浮上施設ニジエビの清蒸<br>海底イワガキの紙包み焼き<br>"""
iidx3_64_0_5#0,"""浮上施設カブのラビオリ<br>地下坑道マキガイのサラダ<br>"""
iidx3_64_0_6#0,"""凍土ネギのアヒージョ<br>地下坑道シャコのグリエ<br>"""
iidx3_64_0_7#0,"""地下坑道シャコのグリエ<br>"""
iidx3_64_0_8#0,"""地下坑道キノコのかに玉<br>"""
iidx3_64_0_9#0,"""黒ノ領域ゴボウのビスク<br>"""
iidx3_65_0_0#0,"""浮上施設イカのブリトー<br>凍土ネギのアヒージョ<br>"""
iidx3_65_0_1#0,"""海底タコのフリッター<br>"""
iidx3_65_0_2#0,"""黒ノ領域ホタルイカのパイ<br>"""
iidx3_68_0_0#0,"""魚介の包み焼き<br>"""
iidx3_70_0_0#0,"""ジャーキー<br>肉野菜炒め<br>マリネ<br>"""
iidx3_70_0_1#0,"""デリシャスバーガー<br>東京風ハンバーグ<br>から揚げ<br>"""
iidx3_71_0_0#0,"""Ｒ／バーンガード<br>Ｒ／フリーズガード<br>Ｒ／ショックガード<br>"""
iidx3_71_0_1#0,"""Ｒ／エフォートシンボルＨｕ<br>"""
iidx3_71_0_2#0,"""Ｒ／エフォートシンボルＲａ<br>"""
iidx3_71_0_3#0,"""Ｒ／エフォートシンボルＦｏ<br>"""
iidx3_71_0_4#0,"""Ｒ／エフォートシンボルＦｉ<br>"""
iidx3_71_0_5#0,"""Ｒ／エフォートシンボルＧｕ<br>"""
iidx3_71_0_6#0,"""Ｒ／エフォートシンボルＴｅ<br>"""
iidx3_71_0_7#0,"""Ｒ／エフォートシンボルＢｒ<br>"""
iidx3_71_0_8#0,"""Ｒ／エフォートシンボルＢｏ<br>"""
iidx3_71_0_10#0,"""Ｒ／エフォートシンボルＳｕ<br>"""
