Title#0,"""Spieleinstellungen"""
CommuTabCustomCheckParty#0,"""パーティー"""
CommuTabCustomCheckGuild#0,"""チーム"""
CommuTabCustomCheckReply#0,"""Flüstern"""
CommuTabCustomCheckSystem#0,"""システム"""
CommuTabCustomCheckNpc#0,"""キャラクター"""
CommuRadioLogWindowUp#0,"""最新を上から表示する"""
CommuRadioLogWindowDown#0,"""最新を下から表示する"""
CommuRadioLogChatColorOff#0,"""発言チャンネル色にしない"""
CommuRadioLogChatColorOn#0,"""発言チャンネル色にする"""
CommuHintMailQuote#0,"""メール返信時に、引用するかを設定します。"""
CommuHintShowUI#0,"""スクリーンショット撮影時に、<br>インターフェイス（ウィンドウなど）を<br>表示するかを設定します。"""
CommuHintEnableAutoword#0,"""オートワードの入力を行っていても、<br>「使用しない」を選んでいる間は<br>オートワード発言しなくなります。"""
CommuHintDirectChat#0,"""「使用する」を選ぶと、キーボードを<br>キャラクター移動などのアクション用ではなく<br>直接チャット入力が出来るように設定します。<br>※[ScrollLock]キーでいつでも切り替え可"""
CommuHintCustomTab#0,"""ログウィンドウの「すべて表示」タブに表示する内容を選択します。"""
CommuHintShowLogAutoword#0,"""オートワードをログに表示するかを設定します。"""
CommuHintDisableScrollLock#0,"""ダイレクトチャットをScroll Lockキーに<br>同期させる機能を使用しないようにします。<br><br>ダイレクトチャットが正しく動作しない場合、<br>この設定をONにすることで、正しく動くように<br>なる可能性があります。"""
CommuHintTeamChat#0,"""チームチャット吹き出しの表示条件を<br>設定します。"""
CommuHintShowSymbolArt#0,"""シンボルアートの発言を表示するか設定します。"""
CommuHintLoginCall#0,"""自分がログインした時、<br>フレンドにログインコールを送るかを設定します。"""
CommuHintChatColor#0,"""チャット入力の背景の色を発言先にしたがって<br>変化するようにするか設定します。"""
CommuHintBattleImpossible#0,"""パーティーメンバーを含め、<br>他のプレイヤーの戦闘不能通知を設定します。<br>フレンド/サポート/フリーの各パートナーは、<br>表示に含まれません。"""
CommuHintMyBattleImpossible#0,"""自分が戦闘不能になった際に、<br>アイコンが周囲のプレイヤーに表示されます。<br>相手側が表示設定をOFFにしている場合は、<br>伝えることができません。"""
CommuRadioIDName#0,"""プレイヤーIDネーム"""
CommuRadioCharaName#0,"""キャラクター名"""
CommuHintWhisperIDName#0,"""Wähle, ob der Spieler ID Name oder der Charaktername im Teamchat und beim Flüstern angezeigt werden soll."""
ConfirmTitleWindowInit#0,"""ウィンドウ初期化確認"""
ConfirmMessageWindowInit#0,"""すべてのウィンドウの<br>表示位置と表示サイズを初期化します。<br>よろしいですか？"""
ConfirmMessageWindowInitEnd#0,"""ウィンドウの表示位置と表示サイズを初期化しました。"""
WindowTitleInitText#0,"""ウィンドウ初期化設定"""
WindowInitHint#0,"""全ウィンドウの表示位置と表示サイズを<br>初期化します。"""
WindowRadioButtonInitText#0,"""全ウィンドウの位置とサイズを初期化する"""
EstheTitleText#0,"""ヘアスタイル・ヘッドパーツ・アクセサリー選択方式"""
EstheTitleTextShapeSync#0,"""体型編集時の自動同期設定"""
EstheMessageShapeSync#0,"""ヒト型とキャスト型の体型は自動同期しますが、個別に<br>編集したい場合は「体型を個別に編集する」を<br>選択してください。（エステ内でのみ有効）"""
EstheHint#0,"""キャラクタークリエイトおよびエステで選択する<br>ヘアスタイル・ヘッドパーツ・アクセサリーウィンドウの<br>タイプを設定します。"""
EstheHintShapeSync#0,"""種族キャストの場合でも、着るコスチュームによってはヒト型の体型に<br>なりますが、この場合の「ヒト型の体型」と「キャスト型の体型」を<br>自動的に同期するか、個別に編集できるようにするかを選択できます。"""
EstheRadioButtonText1#0,"""小ウィンドウ\u3000複数表示可能"""
EstheRadioButtonText2#0,"""大ウィンドウ\u3000タブ化\u3000複数表示不可"""
EstheRadioButtonShapeSync1#0,"""体型を自動同期する"""
EstheRadioButtonShapeSync2#0,"""体型を個別に編集する"""
ShootTextFileType#0,"""スクリーンショット保存形式"""
ShootTextShowUI#0,"""スクリーンショット撮影時のインターフェイス表示"""
ShootHintFileType#0,"""スクリーンショットを保存する際の保存形式を選択します。"""
ShootHintShowUI#0,"""スクリーンショット撮影時に、<br>インターフェイス（ウィンドウなど）を<br>表示するかを設定します。"""
DrawFuncTextLightEffect#0,"""エフェクト光源設定"""
DrawFuncTextLightGeoGraphy#0,"""地形光源"""
DrawFuncTextBloom#0,"""ブルーム処理"""
DrawFuncTextDepth#0,"""被写界深度"""
DrawFuncTextLightShaft#0,"""ライトシャフト"""
DrawFuncTextBlur#0,"""ブラー"""
DrawFuncTextAntiAliasing#0,"""アンチエイリアシング"""
DrawFuncTextSoftParticle#0,"""ソフトパーティクル"""
DrawFuncTextAmbientOcclusion#0,"""アンビエントオクルージョン"""
DrawFuncTextLimbDarkening#0,"""周辺減光"""
DrawFuncTextCameraLight#0,"""カメラライト"""
DrawFuncTextColorTone#0,"""色調トーンカーブ"""
DrawFuncTextEdgeLight#0,"""エッジライト"""
DrawFuncTextEffectDraw#0,"""一部のエフェクトの発光を軽減する"""
DrawFuncTextResolution#0,"""解像度を動的に変更する機能"""
DrawFuncHintLightEffect#0,"""エフェクトに関係するライティング効果のON/OFFを切り替えます。<br>OFFにすると処理が多少軽くなります。"""
DrawFuncHintLightGeoGraphy#0,"""地形に関係するライティング効果のON/OFFを切り替えます。<br>OFFにすると処理が多少軽くなります。"""
DrawFuncHintBloom#0,"""明るい部分にフィルターをかけることにより、<br>画面全体をよりきれいに見せる効果です。<br>OFFにすると多少軽くなります。"""
DrawFuncHintDepth#0,"""遠くの光景をぼかすことで自然な雰囲気を出すことができます。<br>OFFにすると処理が多少軽くなります。"""
DrawFuncHintLightShaft#0,"""光が太陽を中心に拡散する表現のON/OFFを切り替えます。<br>OFFにすると動作が多少軽くなります。"""
DrawFuncHintBlur#0,"""ブラー効果のON/OFFを切り替えます。<br>OFFにすると動作が多少軽くなります。"""
DrawFuncHintAntiAliasing#0,"""アンチエイリアシング効果のON/OFFを切り替えます。<br>OFFにすると動作が多少軽くなります。"""
DrawFuncHintSoftParticle#0,"""ソフトパーティクル効果のON/OFFを切り替えます。<br>OFFにすると動作が多少軽くなります。"""
DrawFuncHintAmbientOcclusion#0,"""エッジの影を濃くして、写実性を高めます。<br>簡易描画設定を6に設定することで使用できるようになります。<br>OFFにすると処理が多少軽くなります。"""
DrawFuncHintLimbDarkening#0,"""画面の外縁部を暗めに調整します。<br>簡易描画設定を6に設定することで使用できるようになります。<br>OFFにすると処理が多少軽くなります。"""
DrawFuncHintCameraLight#0,"""カメラが向いている方向の光量を調節して画面の明るさを設定します。<br>数値を0にすると処理が多少軽くなります。"""
DrawFuncHintColorTone#0,"""全体の色調やコントラスト、明るさをフィールド毎に調整します。<br>簡易描画設定を6に設定することで使用できるようになります。<br>OFFにすると処理が多少軽くなります。"""
DrawFuncHintEdgeLight#0,"""オブジェクトの周囲にかかる光量を調整します。<br>簡易描画設定を6に設定することで使用できるようになります。<br>OFFにすると処理が多少軽くなります。"""
DrawFuncHintEffectDraw#0,"""一部のエフェクトの光り方の強弱を切り替えます。<br>「軽減する」を選択すると、光り方が弱くなります。"""
DrawFuncHintResolution#0,"""高負荷になったときに解像度を縮小して高フレームレートを保つ機能です。<br>ＯＦＦにすると戦闘中などで低フレームレートになることが予想されます。"""
DrawFuncButtonOn#0,"""ON"""
DrawFuncButtonOff#0,"""OFF"""
DrawFuncButtonOn_Effect#0,"""通常"""
DrawFuncButtonOff_Effect#0,"""軽減する"""
DrawDisplayTextDetailModelNum#0,"""詳細モデル表示数"""
DrawDisplayTextReflectionQuality#0,"""映り込み品質"""
DrawDisplayTextShadowQuality#0,"""影品質"""
DrawDisplayTextScreenBrightness#0,"""画面の明るさ"""
DrawDisplayTextPBNum#0,"""フォトンブラスト表示数"""
DrawDisplayHintDetailModelNum#0,"""装備などを反映した詳細に描画する<br>プレイヤーキャラクター数を設定します。<br>数値を低くすると処理が軽くなります。"""
DrawDisplayHintReflectionQuality#0,"""水面への映り込みのクオリティを設定します。<br>数値を下げると処理が多少軽くなります。"""
DrawDisplayHintShadowQuality#0,"""影の描写のクオリティを設定します。<br>数値を下げると処理が多少軽くなります。"""
DrawDisplayHintScreenBrightness#0,"""画面の明るさを設定します。<br>数値を下げると画面全体の明るさをおさえることができます。"""
DrawDisplayHintPBNum#0,"""フォトンブラストの表示数を設定します。<br>数値を低くすると処理が軽くなります。"""
SndVolumeTextBgm#0,"""BGM音量"""
SndVolumeTextSe#0,"""SE音量"""
SndVolumeTextVoice#0,"""ボイス音量"""
SndVolumeTextMovie#0,"""ゲーム内再生動画音量"""
SndVolumeHintBgm#0,"""BGMの音量を設定します。"""
SndVolumeHintSe#0,"""SEの音量を設定します。"""
SndVolumeHintVoice#0,"""ボイスの音量を設定します。"""
SndVolumeHintMovie#0,"""アークス・ロビーに設置されている巨大モニターなどで<br>表示される動画の音量を設定します。"""
SndPlayTextSurround#0,"""サラウンド設定"""
SndPlayTextGlobalFocus#0,"""グローバルフォーカスサウンド設定"""
SndPlayButtonOn#0,"""ON"""
SndPlayButtonOff#0,"""OFF"""
SndPlayHintSurround#0,"""サラウンド効果のON/OFFを切替えます。"""
SndPlayHintGlobalFocus#0,"""ゲームがアクティブになっていない状態で、<br>サウンドを再生するかどうか設定します。"""
CtrlKeyboardTitle#0,"""キーボード操作設定"""
CtrlTabTitleNView#0,"""通常視点"""
CtrlTabTitleZView#0,"""肩越し視点"""
CtrlTabTitleWindow#0,"""ウィンドウ"""
CtrlTabTitleOther#0,"""その他"""
CtrlTabTitleShortcut#0,"""ショートカット"""
CtrlTabTitleAction#0,"""アクション"""
CtrlTabTitleLobbyAction#0,"""Lobbyaktionen"""
CtrlTabTitleBasicSet#0,"""基本設定"""
CtrlMainCtgNameNView#0,"""通常視点操作"""
CtrlMainCtgNameZView#0,"""肩越し視点操作"""
CtrlMainCtgNameWindow#0,"""ウィンドウ操作"""
CtrlMainCtgNameOther#0,"""その他操作"""
CtrlMainCtgNameShortcut#0,"""ショートカット操作"""
CtrlMainCtgNameAction#0,"""アクション操作"""
CtrlMainCtgNameLobbyAction#0,"""Lobbyaktionseinstellungen"""
CtrlSubCtgNameViewMove#0,"""キャラクター移動"""
CtrlSubCtgNameViewCamera#0,"""カメラ距離切り替え"""
CtrlSubCtgNameViewAction#0,"""アクション"""
CtrlSubCtgNameViewActionSupport#0,"""アクションサポート"""
CtrlSubCtgNameViewMenu#0,"""メニュー"""
CtrlSubCtgNameViewPalette#0,"""武器パレット送り"""
CtrlSubCtgNameViewChat#0,"""チャット"""
CtrlSubCtgNameViewSubPalette#0,"""Subpalette öffnen"""
CtrlSubCtgNameViewMap#0,"""マップ表示"""
CtrlSubCtgNameWindowBasic#0,"""Akzeptieren/Abbrechen"""
CtrlSubCtgNameWindowChat#0,"""チャット"""
CtrlSubCtgNameWindowPage#0,"""ページ送り"""
CtrlSubCtgNameWindowTab#0,"""タブ送り"""
CtrlSubCtgNameWindowDetailTab#0,"""詳細ウィンドウタブ送り"""
CtrlSubCtgNameWindowCtrlWindow#0,"""操作ウィンドウ変更"""
CtrlSubCtgNameOtherShortcut#0,"""ショートカット"""
CtrlSubCtgNameOtherShortcutWord#0,"""ショートカットワード"""
CtrlSubCtgNameOtherMainPalette#0,"""武器パレット直接変更"""
CtrlSubCtgNameOtherSubPalette#0,"""Subpalette öffnen"""
CtrlSubCtgNameCtrlCtrl#0,"""ショートカット設定"""
CtrlSubCtgNameCtrlWindow#0,"""ウィンドウショートカット設定"""
CtrlSubCtgNameBasic#0,"""基本操作"""
CtrlSubCtgNameAssist#0,"""補助操作"""
CtrlSubCtgNameLobbyAction#0,"""ロビーアクションのキー設定"""
CtrlSubCtgNameActionMenu#0,"""アクション／メニュー操作"""
CtrlPresetNameRNViewRcm#0,"""右利き通常視点オススメ"""
CtrlPresetNameRZViewRcm#0,"""右利き肩越し視点オススメ"""
CtrlPresetNameRNViewKbd#0,"""右利き通常視点キーボードのみ"""
CtrlPresetNameRZViewKbd#0,"""右利き肩越し視点キーボードのみ"""
CtrlPresetNameLNViewRcm#0,"""左利き通常視点オススメ"""
CtrlPresetNameLZViewRcm#0,"""左利き肩越し視点オススメ"""
CtrlPresetNameLNViewKbd#0,"""左利き通常視点キーボードのみ"""
CtrlPresetNameLZViewKbd#0,"""左利き肩越し視点キーボードのみ"""
CtrlPresetNameRcm1#0,"""オススメ1"""
CtrlPresetNameRcm2#0,"""オススメ2"""
CtrlPresetNameNViewRcm1#0,"""通常視点オススメ1"""
CtrlPresetNameNViewRcm2#0,"""通常視点オススメ2"""
CtrlPresetNameZViewRcm1#0,"""肩越し視点オススメ1"""
CtrlPresetNameZViewRcm2#0,"""肩越し視点オススメ2"""
CtrlPresetNameRRcm#0,"""右利きオススメ"""
CtrlPresetNameLRcm#0,"""左利きオススメ"""
CtrlPresetNameCutom#0,"""カスタム"""
CtrlPresetNameRcm#0,"""オススメ"""
CtrlAssignNameMouseL#0,"""左クリック"""
CtrlAssignNameMouseR#0,"""右クリック"""
CtrlAssignNameMouseM#0,"""ホイールクリック"""
CtrlAssignNameMouseWheel#0,"""ホイール"""
CtrlAssignNameMouseX1#0,"""サイドボタン（X1）"""
CtrlAssignNameMouseX2#0,"""サイドボタン（X2）"""
CtrlFuncNameNone#0,"""なし"""
CtrlFuncNameMoveForward#0,"""移動：前"""
CtrlFuncNameMoveRight#0,"""移動：右"""
CtrlFuncNameMoveLeft#0,"""移動：左"""
CtrlFuncNameMoveBack#0,"""移動：後"""
CtrlFuncNameNormalAttack#0,"""通常攻撃"""
CtrlFuncNamePhotonArts#0,"""PA／テクニック"""
CtrlFuncNameAvoid#0,"""回避アクション"""
CtrlFuncNameJump#0,"""ジャンプ"""
CtrlFuncNameAccess#0,"""Zugreifen"""
CtrlFuncNameWeponAction#0,"""武器アクション"""
CtrlFuncNameLockon#0,"""ロックオン"""
CtrlFuncNameLockonNext#0,"""ターゲット切替"""
CtrlFuncNameChangeView#0,"""視点切り替え"""
CtrlFuncNameCameraDistance#0,"""カメラ距離変更"""
CtrlFuncNameCameraSelect#0,"""カメラ選択"""
CtrlFuncNameCameraMoveUD#0,"""カメラ上下移動"""
CtrlFuncNameAutoRun#0,"""オートラン"""
CtrlFuncNameRefuseFollowRun#0,"""追尾オートラン拒否"""
CtrlFuncNameOpenMainMenu#0,"""メインメニュー"""
CtrlFuncNameOpenSelectMenu#0,"""クイックメニュー"""
CtrlFuncNameOpenEquip#0,"""装備"""
CtrlFuncNameOpenPlayerList#0,"""周囲のキャラクター"""
CtrlFuncNameMainPaletteForward#0,"""武器パレット順送り"""
CtrlFuncNameMainPaletteBack#0,"""武器パレット逆送り"""
CtrlFuncNameMainPaletteA#0,"""アクション1"""
CtrlFuncNameMainPaletteB#0,"""アクション2"""
CtrlFuncNameMainPaletteC#0,"""アクション3"""
CtrlFuncNameBackPallete#0,"""裏パレット切り替え"""
CtrlFuncNameMainPaletteUp#0,"""武器パレット下へ"""
CtrlFuncNameMainPaletteDown#0,"""武器パレット上へ"""
CtrlFuncNameStartChat#0,"""チャットの開始"""
CtrlFuncNameStartChatPublic#0,"""周囲チャット起動"""
CtrlFuncNameStartChatParty#0,"""パーティーチャット起動"""
CtrlFuncNameStartChatGuild#0,"""チームチャット起動"""
CtrlFuncNameStartChatWhisper#0,"""Flüstern beginnen"""
CtrlFuncNameSubpaletteChange#0,"""Subpalettencursor bewegen"""
CtrlFuncNameSubpalette#0,"""Subpalette öffnen"""
CtrlFuncNameSubpaletteForward#0,"""Subpalette vorwärts"""
CtrlFuncNameSubpaletteLeft#0,"""Subpalettencursor links"""
CtrlFuncNameSubpaletteRight#0,"""Subpalettencursor rechts"""
CtrlFuncNameCameraNear#0,"""キャラクターに近づける"""
CtrlFuncNameCameraFar#0,"""キャラクターから遠ざける"""
CtrlFuncNameCameraUp#0,"""上に移動"""
CtrlFuncNameCameraDown#0,"""下に移動"""
CtrlFuncNameCameraNext#0,"""カメラ選択順送り"""
CtrlFuncNameCameraPrev#0,"""カメラ選択逆送り"""
CtrlFuncNameScreenShoot#0,"""スクリーンショット撮影"""
CtrlFuncNameMovie#0,"""動画撮影"""
CtrlFuncNameDecide#0,"""Bestätigen"""
CtrlFuncNameCancel#0,"""Abbrechen"""
CtrlFuncNameChangeMouseMode#0,"""マウスモード切り替え"""
CtrlFuncNameAllWindowClose#0,"""メインメニューを閉じる"""
CtrlFuncNameMultiSelect#0,"""複数選択"""
CtrlFuncNameFunction#0,"""機能拡張"""
CtrlFuncNameMove#0,"""操作項目の移動"""
CtrlFuncNamePageForward#0,"""ページ順送り"""
CtrlFuncNamePageBack#0,"""ページ逆送り"""
CtrlFuncNameTabForward#0,"""タブ順送り"""
CtrlFuncNameTabBack#0,"""タブ逆送り"""
CtrlFuncNameWindowTabForward#0,"""詳細ウィンドウタブ順送り"""
