Title#0,"""Asesor de misiones"""
CantStartQuestDifferenceCondition#0,"""Usted no cumple con los requisitos<br>para unirse a este grupo."""
CantStartQuestDifferenceConditionLine1#0,"""No puedes entrar al grupo o aceptar<br>esta mision por la siguiente razon:<br><br>・$(0)"""
CantStartQuestDifferenceConditionLine2#0,"""No puedes entrar al grupo o aceptar<br>esta mision por las siguientes razones:<br><br>・$(0)<br>・$(1)"""
CantStartQuestDifferenceConditionLine3#0,"""No puedes entrar al grupo o aceptar<br>esta mision por las siguientes razones:<br><br>・$(0)<br>・$(1)<br>・$(2)"""
CantStartQuestDifferenceConditionLine4#0,"""No puedes entrar al grupo o aceptar<br>esta mision por las siguientes razones:<br><br>・$(0)<br>・$(1)<br>・$(2)<br>・$(3)"""
CantStartQuestDifferenceConditionLine5#0,"""No puedes entrar al grupo o aceptar<br>esta mision por las siguientes razones:<br><br>・$(0)<br>・$(1)<br>・$(2)<br>・$(3)<br>・$(4)"""
CantStartQuestDifferenceConditionLine6#0,"""No puedes entrar al grupo o aceptar<br>esta mision por las siguientes razones:<br><br>・$(0)<br>・$(1)<br>・$(2)<br>・$(3)<br>・$(4)<br>・$(5)"""
CantStartQuestDifferenceConditionLine7#0,"""No puedes entrar al grupo o aceptar<br>esta mision por las siguientes razones:<br><br>・$(0)<br>・$(1)<br>・$(2)<br>・$(3)<br>・$(4)<br>・$(5)<br>・$(6)"""
CantStartQuestDifferenceConditionLine8#0,"""No puedes entrar al grupo o aceptar<br>esta mision por las siguientes razones:<br><br>・$(0)<br>・$(1)<br>・$(2)<br>・$(3)<br>・$(4)<br>・$(5)<br>・$(6)<br>・$(7)"""
QuestLevel#0,"""Quest level requirement/Nv.$(0)+"""
QuestSubLevel#0,"""<pict subclass_icon>Nv.$(0)～"""
PartyLevel#0,"""Party level requirement/Nv.$(1)～$(0)"""
FriendOnly#0,"""Solo Amigos"""
GuildOnly#0,"""Solo Miembros del Team"""
PasswordNG#0,"""Clave incorrecta"""
BurstIntoNG#0,"""The ability to join has been limited by the Quest."""
ReasonEventFlag#0,"""Special Criteria"""
RareAreaNG#0,"""El grupo esta en una area especial."""
CantStartQuestTimeLimitOver#0,"""The time limit to start the Quest has expired."""
CapacityOverParty#0,"""Party capacity reached"""
PlatformError#0,"""Platform Error"""
RaidQuestDisable#0,"""Did not defeat required enemies."""
ClearCountLimit#0,"""Surpassed maximum clear count."""
TrainingBlockChallenge#0,"""No es posible iniciar entrenamiento<br>Ya que estas en un bloque de challenge."""
TrainingBlockQuestUnlock#0,"""練習クエスト（アークス訓練所）は、<br>クエスト「フォンガルフ討伐」を<br>クリアすると、プレイできます。"""
NotHaveQuestTrigger#0,"""Ya que no tienes Triggers de Mision,<br>no es posible pedir alguna mision."""
TriggerQuestBlockChallenge#0,"""No es posible usar Triggers de Mision,<br>Ya que estas en un bloque de challenge."""
CantStartQuestIgnoreQuest#0,"""このクエストは現在、受注できません。 <br>詳しくはプレイヤーズサイトをご確認ください。"""
IgnoreQuest#0,"""このクエストは現在、受注できません。 <br>詳しくはプレイヤーズサイトをご確認ください。"""
QuestDropPenalty#0,"""「破棄ペナルティー」を受けているメンバーがいます。"""
CantStartQuestDropPenalty#0,"""以下の理由により、パーティーへの参加、<br>またはクエストの受注ができません。<br><br>・「破棄ペナルティー」を受けているメンバーがいます。"""
CantStartQuestOutExtraQuest#0,"""このクエストのキャンペーン対象期間は終了しました。<br>クエストを再受注してください。"""
CantStartQuestInExtraQuest#0,"""このクエストがキャンペーン対象期間になりました。<br>クエストを再受注してください。"""
TitleTraining#0,"""練習クエストをプレイする"""
QuestOutExtra#0,"""このクエストのキャンペーン対象期間は終了しました。<br>クエストを再受注してください。"""
QuestInExtra#0,"""このクエストがキャンペーン対象期間になりました。<br>クエストを再受注してください。"""
Title#1,"""Asesor de Misiones"""
TitleCampship#1,"""Terminal de misiones"""
Back#0,"""Salir del asesor de misiones"""
BackCampship#0,"""Salir del terminal de misiones"""
QuestSelect#0,"""Selecciona una mision de la lista"""
PartyListSelect#0,"""Selecciona un grupo en mision"""
WatchPartyListSelect#0,"""Ver participantes en mision"""
PartyList#0,"""Seleccione los grupos de la lista"""
FriendPartyList#0,"""-"""
WatchPartyList#0,"""Ver participantes en mision"""
WatchFriendPartyList#0,"""-"""
PartyAllList#0,"""Todos los grupos"""
PartyFriendList#0,"""Grupos con amigos"""
PartyGuildList#0,"""Grupos con miembros del Team"""
PartyReserveList#0,"""Grupo previamente seleccionado"""
MatchingSetting#0,"""Ajustes de la mision"""
PartnerProhibit#0,"""Entrar en una habitacion que prohibe a los partners.."""
TrainingSelect#0,"""Juega una mision de entrenamiento <pict Fresh>"""
QuestTriggerSelect#0,"""Selecciona un Trigger de mision"""
TriggerQuestReorderPeriod#0,"""クエストトリガーが使用されてから<br>3分以内のため、再受注が可能です。<br><yellow>（残り：$(0)回）<c><br><br>「トリガークエストを受注する」を選ぶと<br>「クエストトリガー」を消費せずに<br>再受注できます。"""
BattleArenaPlaySelect#0,"""バトルアリーナをプレイする"""
BattleArenaPlayInfo#0,"""バトルアリーナは、共通シップの<br>バトルアリーナロビーでのみプレイできます。<br>ブロック転送テレポーターから<br><yellow>「共通シップのバトルアリーナロビーへ移動」<c><br>を選択して移動してください。<br><br><br>【共通シップ】<br>異なるシップに所属するプレイヤーと一緒に、<br>チャレンジクエスト、バトルアリーナを<br>プレイできるシップです。<br><red>※フレンドリスト・メール・シンボルアートは<br>\u3000共通シップ専用のデータに切り替わります。<c>"""
Shipbonus#0,"""ARKS Ship Grand Prix Boost Info"""
Gpboost#0,"""Round Boost"""
BoostExplain#0,"""アークスシップ対抗戦のラウンド順位の結果、<br>貢献ポイントへのラウンドブーストが発生中です。"""
BoostPoint#0,"""Daily Boost"""
MyBoostPointValue#0,"""$(0)%"""
BoostUpperLimit#0,"""30%"""
BoostInformation#0,"""Daily Boost Info"""
TitleFreeField#0,"""Exploracion Libre Selection"""
TitleRankSelect#0,"""Rank Selection"""
QuestRankName#0,"""$(1)（Nv.$(0)+）"""
CautionNon#0,"""Error desconocido.<br><br>Codigo de error [3001]"""
CautionQuestLevelNG2#0,"""The following party members do not meet<br>the field's level requirements:<br><br>・Nv.$(0)+"""
CautionMultiConditionLine1#0,"""Could not enter field.<br>The following conditions were not met:<br><br>$(0)"""
CautionMultiConditionLine2#0,"""Could not enter field.<br>The following conditions were not met:<br><br>$(0)<br>$(1)"""
ReasonPartyLevel#0,"""・Nv.$(0)+"""
ReasonEventFlag#1,"""・Conditions/Ordenes de cliente"""
Title#2,"""Seleccion de mision"""
Back#1,"""Regresar"""
HintNon#0,"""Error desconocido"""
HintNew#0,"""Mision no completada"""
HelpNon#1,"""Error desconocido"""
HelpMes01#0,"""Necesitas un <yellow>[Extreme Pass]<c><br>para comenzar esta mision.<br>Recibiras un <yellow>[Extreme Pass]<c><br>de la Administradora <green>Puddingn<c><br>cada 22 horas.<red>1 por cuenta<c><br>requiere licencia Super Dificil<br>Durante algunos ensayos de emergencia,<br>se reduciran los efectos de recuperacion<br>de elementos, como los atomizadores.<br>sin embargo, los efectos de Revivir no se ven afectados."""
HelpMes02#0,"""Experimenta el modo historia y el<br>misterioso universo de PSO2<br><br>Visita varios lugares y descubre<br>informacion que abrira nuevos caminos<br>para revelar la verdad"""
HelpMes03#0,"""Misiones de ARKS son misiones con un<br>objetivo especifico.<br><br>Al completar los objetivos, obtendras<br>recompensas.<br><br>Los objetivos y los pagos varian<br>por mision."""
HelpMes04#0,"""Publicado solo por un periodo de tiempo<br>Es la mejor opcion para subir de nivel.<br><br>No se puede recibir ordenes cuando el <br>periodo expira"""
HelpMes05#0,"""-"""
HelpMes06#0,"""-"""
HelpMes07#0,"""Experimenta el modo historia<br>y el misterioso universo de PSO2<br><br>Visita varios lugares y descubre<br>informacion que abrira nuevos caminos<br>para revelar la verdad.<br><br>Escoje estas misiones individuales<br>para cambiar el futuro y crear una<br>historia diferente!"""
HelpMes08#0,"""Reuniones y eventos,<br>Realizados en cibercafes oficiales"""
HelpMes09#0,"""-"""
HelpMes10#0,"""-"""
HelpMes11#0,"""Las misiones avanzadas necesitan<br>capsulas para cada tipo de mision.<br><br>Al completar una mision avanzada,<br>el riesgo se eleva en esa mision.<br>La dificultad de la mision depende<br>del riesgo acumulado por el lider del grupo.<br><br>Adicionalmente, el riesgo se reinicia cada semana."""
HelpMes12#0,"""Explora el area y completa los objetivos<br>presentados durante la exploracion para<br>aumentar tu calificacion llega a la<br>zona final para enfrentarte con el<br>jefe de la zona y asi completar la mision"""
HelpMes13#0,"""Compite con otros jugadores para<br>lograr los mejores tiempos.<br><br>Las misiones no son aleatorias para<br>garantizar la equidad.<br><br>Registra tu tiempo y comprueba<br>tu ranking!"""
HelpMes14#0,"""Mision de Tiempo Limitado.<br><br>Incluye misiones tales como repeler<br>enemigos que invaden<br>el area de la ciudad.<br><br>muchas de estas misiones tendra<br>un alto nivel de dificultad."""
CautionNon#1,"""Error desconocido.<br><br>Codigo de error [3002]"""
CautionNothingQuest#0,"""No hay misiones de esta clase en el momento."""
CautionNonChallengeArea#0,"""Misiones de Desafio solo pueden ser aceptadas<br>cuando estes en una Nave Compartida o en un bloque challenge.<br>Muevete al bloque correcto via teleporter.<br><br>[Nave Compartidas]<br>Naves donde puedes jugar Misiones de Desafio<br>con jugadores de otras naves.<br><red>※Tu lista de amigos, correo y symbol art<br>cambiara a info. exclusiva de Nave Compartida.<c><br><br>[Bloques de Desafio]<br>Bloques donde puedes aceptar Misiones de Desafio.<br>Misiones disponibles son identicas a las de las<br>Naves compartidas."""
CautionNonContestArea#0,"""「アークスGP2016予選」を公開中です。<br>今回のアークスGPクエストは、共通シップ<br>またはチャレンジブロックで受注できます。<br>ブロック転送テレポーターから移動して下さい。<br><br>「アークスGP2016予選」では<br>キャンプシップ内の「クラスセット端末」から<br>ハンタータイプ、レンジャータイプなど<br>各クラスの装備、クラススキルのセットを<br>選んでプレイすることができます。 """
CautionNonContestArea_NetCafe#0,"""ネットカフェ限定のクエストを公開中です。<br>共通シップまたはチャレンジブロックでのみ<br>受注できます。<br>ブロック転送テレポーターから移動して下さい。<br><br>【共通シップ】<br>異なるシップに所属するプレイヤーと一緒に、<br>クエストをプレイできるシップです。<br><yellow>※フレンドリスト・メール・シンボルアートは<br>\u3000共通シップ専用のデータに切り替わります。<c><br><br>【チャレンジブロック】<br>対象クエストを受注できるブロックです。<br>受注できるクエストは共通シップと同じです。"""
CautionNonPokaArea#0,"""バトルアリーナは、「共通シップ」でのみプレイできます。<br>以下のいずれかの方法で、共通シップに<br>移動してください。<br><br>・クエストカウンターのトップメニューから<br>\u3000<yellow>「バトルアリーナをプレイする」<c>を選択<br><br>・ブロック転送テレポーターから<br>\u3000<yellow>「共通シップのバトルロビーへ移動」<c>を選択<br><br>・クイックメニューから<yellow>「共通シップへ行く」<c>を選択<br><br>【共通シップとは？】<br>\u3000異なるシップに所属するプレイヤーと一緒に、<br>\u3000バトルアリーナやチャレンジクエストを<br>\u3000プレイできる専用のシップです。"""
ChallengeName#0,"""Mision de Desafio"""
HelpMes15#0,"""Espacio virtual <green>(VR)<c> son misiones<br>realizadas para demostrar la cooperacion<br>entre los jugadores.<br><br>Completa un  numero espesifico de<br>misiones antes de que la energia <green>VR<c><br>se agote.<br><br>Nivel equipo y objetos son retirados <br>mientras estes en estos bloques."""
HelpMes16#0,"""PHANTASY STAR ONLINE2 の世界の<br>謎に迫る物語のエピソード3を<br>体験するクエストです。<br><br>日常的に各地を回り、情報を集めていると<br>それらの情報を元に、新たな道を発見し<br>新事実や真相に近づいていきます。<br><br>あなただけの歴史を紡ぎ出すため<br>あなた一人で挑むクエストとなります。"""
HelpMes17#0,"""Las Misiones Destacadas son cambiadas a diario, y usualmente tienen un boost o son parte de un evento.<br><br>Ademas estas misiones pueden ser jugadas a pesar de que no las tengas desbloqueadas."""
HelpMes18#0,"""Investiga la corrupcion anormal en el area designada.<br><br>Puedes completar la mision adquiriendo puntos derrotando enemigos.<br><br>Debido a su alto nivel de dificultad, es nesesario cumplir los requisitos."""
HelpMes19#0,"""A limited-time ARKS GP Quest<br>which can be accepted from a<br>challenge block.<br>Cannot be accepted after a set date.<br>You can earn Challenge Miles<br>by clearing this quest.<br><br>[Notice]<br>Please check the Players Site<br>for ARKS GP entry methods<br>y regulations."""
HelpMes20#0,"""Una mision en solitario en la cual podras<br>ganar una gran cantidad de experiencia, <br>meseta y objetos raros.<br><br>Para poder iniciar estas misiones <br>necesitaras de una llave espesifica <br>la cual pueden ser obtenias completando<br>mapas destacados con calificacion S."""
HelpMes21#0,"""PHANTASY STAR ONLINE2 の世界の<br>謎に迫る物語のエピソード4を<br>体験するクエストです。"""
HelpMes22#0,"""<c 6eff7c>練習クエスト（アークス訓練所）へ、Bienvenido!<c><br><br>ここでは、『PSO2』の基本的な戦闘操作を<br>実戦形式で練習できます。<br><br>まずは、この「共通訓練」をプレイしましょう！<br><br>※練習クエストでは、あなたのキャラクターの<br>\u3000<yellow>強さや装備が専用の設定になります。<c><br>\u3000また、倉庫も利用できません。<br><br>※終了後、別のブロックに戻ることがあります。"""
HelpMes23#0,"""クラス「ハンター」の戦闘操作や技術を<br>実戦形式で練習できます。<br><br>「ハンター」は、<br>ソードやパルチザンなどの打撃武器で戦う<br>近接攻撃が得意なクラスです。<br><br>※練習クエストでは、あなたのキャラクターの<br>\u3000<yellow>強さや装備が専用の設定になります。<c><br>\u3000また、倉庫も利用できません。<br><br>※終了後、別のブロックに戻ることがあります。"""
HelpMes24#0,"""クラス「レンジャー」の戦闘操作や技術を<br>実戦形式で練習できます。<br><br>「レンジャー」は、<br>アサルトライフルなどの射撃武器で戦う<br>遠距離攻撃が得意なクラスです。<br><br>※練習クエストでは、あなたのキャラクターの<br>\u3000<yellow>強さや装備が専用の設定になります。<c><br>\u3000また、倉庫も利用できません。<br><br>※終了後、別のブロックに戻ることがあります。"""
HelpMes25#0,"""クラス「フォース」の戦闘操作や技術を<br>実戦形式で練習できます。<br><br>「フォース」は、<br>魔法のような「テクニック」で戦う<br>遠距離攻撃が得意なクラスです。<br><br>※練習クエストでは、あなたのキャラクターの<br>\u3000<yellow>強さや装備が専用の設定になります。<c><br>\u3000また、倉庫も利用できません。<br><br>※終了後、別のブロックに戻ることがあります。"""
HelpMes26#0,"""クラス「ファイター」の戦闘操作や技術を<br>実戦形式で練習できます。<br><br>「ファイター」は、<br>ナックルやツインダガーなどの打撃武器で戦う<br>近接攻撃が得意なクラスです。<br><br>※練習クエストでは、あなたのキャラクターの<br>\u3000<yellow>強さや装備が専用の設定になります。<c><br>\u3000また、倉庫も利用できません。<br><br>※終了後、別のブロックに戻ることがあります。"""
HelpMes27#0,"""クラス「ガンナー」の戦闘操作や技術を<br>実戦形式で練習できます。<br><br>「ガンナー」は、<br>ツインマシンガンなどの射撃武器で戦う<br>近～中距離攻撃が得意なクラスです。<br><br>※練習クエストでは、あなたのキャラクターの<br>\u3000<yellow>強さや装備が専用の設定になります。<c><br>\u3000また、倉庫も利用できません。<br><br>※終了後、別のブロックに戻ることがあります。"""
HelpMes28#0,"""クラス「テクター」の戦闘操作や技術を<br>実戦形式で練習できます。<br><br>「テクター」は、<br>ウォンドでの直接攻撃やテクニック攻撃、<br>また補助行動が得意なクラスです。<br><br>※練習クエストでは、あなたのキャラクターの<br>\u3000<yellow>強さや装備が専用の設定になります。<c><br>\u3000また、倉庫も利用できません。<br><br>※終了後、別のブロックに戻ることがあります。"""
HelpMes29#0,"""クラス「ブレイバー」の戦闘操作や技術を<br>実戦形式で練習できます。<br><br>「ブレイバー」は、<br>カタナやバレットボウなどの武器で戦う<br>近接・遠距離攻撃が得意なクラスです。<br><br>※練習クエストでは、あなたのキャラクターの<br>\u3000<yellow>強さや装備が専用の設定になります。<c><br>\u3000また、倉庫も利用できません。<br><br>※終了後、別のブロックに戻ることがあります。"""
HelpMes30#0,"""クラス「バウンサー」の戦闘操作や技術を<br>実戦形式で練習できます。<br><br>「バウンサー」は、デュアルブレードや<br>ジェットブーツ、テクニックなどの<br>トリッキーな攻撃が得意なクラスです。<br><br>※練習クエストでは、あなたのキャラクターの<br>\u3000<yellow>強さや装備が専用の設定になります。<c><br>\u3000また、倉庫も利用できません。<br><br>※終了後、別のブロックに戻ることがあります。"""
HelpMes31#0,"""クラス「サモナー」の戦闘操作や技術を<br>実戦形式で練習できます。<br><br>「サモナー」は、ペットを育成して<br>タクトで指示して戦わせることができる<br>育成要素を重視したクラスです。<br><br>※練習クエストでは、あなたのキャラクターの<br>\u3000<yellow>強さや装備が専用の設定になります。<c><br>\u3000また、倉庫も利用できません。<br><br>※終了後、別のブロックに戻ることがあります。"""
HelpMes32#0,"""発生していない緊急クエストなど<br>通常時では受注できないクエストを<br>受注できるようになります。<br><br>クエストの受注時に設定された<br>クエストに応じた「トリガーアイテム」を<br>消費します。<br><br><yellow>トリガーアイテムを消費したプレイヤーが<br>クエストを破棄すると、同じルームにいる<br>全員がクエストを破棄されます。<c>"""
HelpMes33#0,"""制限時間内により多くのスコアを<br>獲得することを目的としたクエストです。<br><br>日替わりで受注できるクエストが<br>更新され、舞台となるフィールドや<br>ギミックが変化します。<br><br>また、ハイスコアは<br>クエスト・難易度別で集計されます。"""
HelpMes34#0,"""大会やイベント用に特定店舗限定で<br>公開されているアークスＧＰクエストです。<br>クエストクリアするとチャレンジマイルを<br>獲得できます。"""
HelpMes35#0,"""PokaPokaします<br>"""
HelpPokaQuestSurmmary#0,"""バトルアリーナは、他のアークスたちと<br>戦闘の腕前を競い合う訓練施設です。<br><br>レベル・装備・アイテムなどのステータスは<br>バトルアリーナ専用の設定になります。<br><br>勝負するだけでもらえる「バトルコイン」で<br>色々なアイテムを購入することができます。<br>勝ち続けると「バトルランキング」が上昇し、<br>豪華なランキング報酬を獲得できます。"""
HelpMes36#0,"""タイトル２"""
HelpMes37#0,"""タイトル３"""
HelpMes38#0,"""\""-\"""""
HelpMes39#0,"""\""-\"""""
HelpMes40#0,"""\""-\"""""
Title#3,"""エピソード選択"""
ItemName#0,"""エピソード$(0)"""
Title#4,"""Seleccion de mision"""
TitlePartyInfoEntry#0,"""Informacion del grupo"""
TitleRareEnemyCoin#0,"""Using Rare Enemy Trigger"""
Back#2,"""Regresar"""
Remove#0,"""Remover"""
DoNotUse#0,"""No utilizar nada"""
TitleCommandSelect#0,"""-"""
CreateNewRoom#0,"""Inicio rapido"""
LookPartyList#0,"""Ver participantes en mision"""
SelectPartyList#0,"""Ingresar al grupo actual"""
SelectOtherBlockPartyList#0,"""Ingresar al grupo en otro bloque """
QuickStart#0,"""Inicio rapido"""
LookMyCost#0,"""Check Advance Risk (Actual +$(0))"""
LookQuestRecord#0,"""Ver Clasificaciones de Mision"""
MatchingSetting#1,"""Ajustes de la mision"""
ExtraQuestConfirm#0,"""キャンペーン内容確認"""
HintNon#1,"""Error desconocido"""
HintEnemy#0,"""Enemigo"""
HintPlayTimeShort#0,"""Tiempo de juego estimado: Corto"""
HintPlayTimeNormal#0,"""Tiempo de juego estimado: Promedio"""
HintPlayTimeLong#0,"""Tiempo de juego estimado: Largo"""
HintMeseta#0,"""Estimated Meseta Reward"""
HintMesetaExp#0,"""Experience Reward"""
HintNew#1,"""Mision no completada"""
HintClear#0,"""Mision actualmente completada"""
HintProgressStory#0,"""Story Quest in Progress"""
HintClientOrder#0,"""Ordenes de Ciente"""
HintMatter#0,"""Matter Objective Quest"""
HintSoloQuest#0,"""Mision en Solitario"""
HintSinglePartyQuest#0,"""Mision para un grupo"""
HintMultiPartyQuest#0,"""Mision para varios grupos"""
HintBoostExp#0,"""Aumento de EXP"""
HintBoostMeseta#0,"""Aumento de Meseta"""
HintBoostDrop#0,"""Aumento de Rare Drop"""
HintBoostEnemy#0,"""Aparicion de Enemigo Raro"""
HintBoostChallenge#0,"""Final Challenge Miles Earned"""
HintBoostGatFever#0,"""Aumento de recoleccion"""
HintRecommendGift#0,"""Oportunidad de recibir un regalo despues de completa"""
HintGatIcon#0,"""Mision de recoleccion"""
HintEmblemBoost#0,"""獲得バトルコイン$(0)"""
HintExtraQuest#0,"""キャンペーン対象クエスト"""
SortNon#0,"""Orden por defecto"""
SortQuestKind1#0,"""Mision para varios grupos"""
SortQuestKind2#0,"""Mision para un grupo"""
SortQuestKind3#0,"""Mision en solitario"""
SortNew#0,"""Mision no completada"""
SortClientOrder#0,"""Objetivos de mision de la orden del cliente"""
CautionNon#2,"""Error desconocido"""
CautionQuestLimitTimeOver#0,"""The time limit to start the Quest has expired."""
CautionExtraQuestLimit#0,"""このクエストのキャンペーン内容が変化しました。<br>クエストを再受注してください。"""
CautionQuestLevelNG#0,"""Does not meet quest requirements."""
CautionQuestLevelNG2#1,"""Quest cannot be selected, not all<br>party members meet the following<br>requirements.<br><br>・Nv.$(0)+"""
CautionMultiConditionLine1#1,"""Could not accept quest.<br>One or more party members failed<br>to meet the following requirement:<br><br>$(0)"""
CautionMultiConditionLine2#1,"""Could not accept quest.<br>One or more party members failed<br>to meet the following requirements:<br><br>$(0)<br>$(1)"""
CautionMultiConditionLine3#0,"""Could not accept quest.<br>One or more party members failed<br>to meet the following requirements:<br><br>$(0)<br>$(1)<br>$(2)"""
CautionMultiConditionLine4#0,"""Could not accept quest.<br>One or more party members failed<br>to meet the following requirements:<br><br>$(0)<br>$(1)<br>$(2)<br>$(3)"""
CautionMultiConditionLine5#0,"""パーティーメンバー全員が<br>以下の条件を満たしていないため<br>このクエストは受注できません。<br><br>$(0)<br>$(1)<br>$(2)<br>$(3)<br>$(4)"""
CautionQuestPartyMemberMax#0,"""This quest cannot include more than<br>$(0) party members."""
CautionQuestPartyMemberJoinMax#0,"""Could not join party because<br>it would exceed $(0) members."""
CautionQuestPlatform#0,"""パーティーメンバー全員が<br>以下の受注条件を満たしていないため<br>このクエストは受注できません。<br><br>$(0)"""
CautionQuestRaidQuest#0,"""クエスト条件を満たしていないため、<br>受注できません。"""
CautionQuestClearCountLimit#0,"""Cannot accept quest.<br>Quest clear limit has been surpassed."""
ReasonPartyLevel#1,"""・Nv.$(0)+"""
ReasonPartySubLevel#0,"""・<pict subclass_icon>Nv.$(0)～"""
ReasonPartyMax#0,"""・Party count $(0)"""
ReasonEventFlag#2,"""・Conditions/Ordenes de cliente"""
ReasonClearCountLimit#0,""" Clear Count Limit"""
EnemyLevel#0,"""Nv. $(0)+"""
EnemyLevelRange#0,"""Nv. $(1)～$(0)"""
EnemyLevelUnknown#0,"""Nv. ???"""
TitleNon#1,"""Error desconocido"""
TitleNewRoom#0,"""Inicio rapido"""
TitleQuickStart#0,"""Inicio rapido"""
AttentionNon#1,"""Error desconocido.<br><br>Codigo de error [3003]"""
AttentionNewRoom#0,"""You're attempting to start a new quest.<br><br>All progress in your current<br>quest will be discarded.<br>¿Continuar?"""
AttentionNewRoom_ex#0,"""Aceptando nueva Mision<br><br>Si acepta, se cancelara la Mision actual.<br><br><red>La meseta y los elementos que utilizo<br>para aceptar no sera devuelto.<c><br><br>¿Le gustaria aceptar la mision?"""
