TEST#0,"""テストです。"""
Code242_Code#0,"""Se ha producido un error de conexion a la red."""
Code242_Message#0,"""No se puede conectar con el servidor.<br>Por favor, espere un momento y vuelva a intentarlo."""
Code249_Title#0,"""Conexion de red"""
Code249_Code#0,"""Se ha producido un error de conexion a la red."""
Code249_Message#0,"""サーバへ接続することができませんでした。<br>しばらく時間をおいてから、再度接続してください。<br>その後も同様に発生する場合は<br>公式サイトのサポート窓口へお問い合わせください。"""
Code601_Title#0,"""Problema con el ID"""
Code601_Code#0,"""SEGA IDの認証に失敗しました。"""
Code601_Message#0,"""El servidor puede estar bajo mantenimiento. Por favor, consulte el sitio web oficial para ver el estado del servidor."""
Code602_Title#0,"""Problema con el ID"""
Code602_Code#0,"""SEGA IDの認証に失敗しました。"""
Code602_Message#0,"""Por favor, compruebe su SEGA ID (debe estar en minusculas) y la Clave, y vuelva a intentar."""
Code603_Title#0,"""Problema con el ID"""
Code603_Code#0,"""SEGA IDの認証に失敗しました。"""
Code603_Message#0,"""Por favor, compruebe su SEGA ID (debe estar en minusculas) y la Clave, y vuelva a intentar."""
Code604_Title#0,"""Problema con el ID"""
Code604_Code#0,"""SEGA IDの認証に失敗しました。"""
Code604_Message#0,"""se inicio sesion erronea mas de las veces en las que pueden realizarse dentro del plazo determinado - Por favor, espere un poco, a continuacion, intente acceder de nuevo."""
Code605_Title#0,"""Problema con el ID"""
Code605_Code#0,"""IDの認証に失敗しました。"""
Code605_Message#0,"""提携IDを管理するサーバーが<br>メンテナンス等で停止している可能性があります。<br>詳細は提携IDのサービス会社にご確認ください。"""
Code606_Title#0,"""Problema con el ID"""
Code606_Code#0,"""IDの認証に失敗しました。"""
Code606_Message#0,"""提携IDの認証が正常に行なわれませんでした。<br>詳細は提携IDのサービス会社にご確認ください。"""
Code611_Title#0,"""Conectando con el servidor"""
Code611_Code#0,"""No se puede conectar con el servidor."""
Code611_Message#0,"""サーバーがメンテナンス中の可能性があります。<br>ファンタシースターオンライン2の公式サイトにて<br>メンテナンス情報をご確認下さい。"""
Code612_Title#0,"""Conectando con el servidor"""
Code612_Code#0,"""No se puede conectar con el servidor."""
Code612_Message#0,"""ただいま大変混雑しております。<br>しばらく時間をおいてから接続してください。"""
Code615_Title#0,"""Conectando con el servidor"""
Code615_Code#0,"""No se puede conectar al bloque."""
Code615_Message#0,"""No se puede mover a otro bloqueado porque esta lleno."""
Code616_Title#0,"""Conectando con el servidor"""
Code616_Code#0,"""No se puede conectar al bloque."""
Code616_Message#0,"""No se puede mover a otro bloqueado porque esta lleno."""
Code620_Title#0,"""Error de conexion"""
Code620_Code#0,"""Error de inicio de sesion."""
Code620_Message#0,"""終了処理が正常に行われなかったため、<br>データがロックされています。<br>10分程度時間を空けてから接続してください。"""
Code622_Title#0,"""Seleccion de cuarto"""
Code622_Code#0,"""No se pudo seleccionar la cuarto."""
Code622_Message#0,"""選択したマイルームは混雑しているため、<br>移動することができませんでした。"""
Code623_Title#0,"""Seleccion de cuarto"""
Code623_Code#0,"""No se pudo seleccionar la cuarto."""
Code623_Message#0,"""No se encuentra la sala de servidores."""
Code624_Title#0,"""Seleccion de cuarto"""
Code624_Code#0,"""No se pudo seleccionar la cuarto."""
Code624_Message#0,"""入室制限の設定により、<br>マイルームに入ることができませんでした。"""
Code625_Title#0,"""Seleccion de cuarto"""
Code625_Code#0,"""No se pudo seleccionar la cuarto."""
Code625_Message#0,"""入室制限の設定により、<br>マイルームに入ることができませんでした。"""
Code626_Title#0,"""Seleccion de cuarto"""
Code626_Code#0,"""No se pudo seleccionar la cuarto."""
Code626_Message#0,"""サーバーのシステム上の問題が発生したため、<br>マイルームを選択できませんでした。"""
Code627_Title#0,"""Seleccion de cuarto"""
Code627_Code#0,"""No se pudo seleccionar la cuarto."""
Code627_Message#0,"""マイルームの使用権利がないか、期限が切れているため、<br>移動することができませんでした。"""
Code628_Title#0,"""Seleccion de cuarto"""
Code628_Code#0,"""No se pudo seleccionar la cuarto."""
Code628_Message#0,"""対象マイルーム所有者の<br>マイルーム使用権利がないか、<br>期限が切れているため、<br>移動することができませんでした。"""
Code630_Title#0,"""Comunicacion con el servidor"""
Code630_Code#0,"""No hay respuesta del servidor."""
Code630_Message#0,"""Conexion perdida, volviendo a la pantalla del titulo<br>Ataque 630-chan inminente."""
Code633_Title#0,"""Mover a mi cuarto"""
Code633_Code#0,"""No se pudo mover a mi Cuarto"""
Code633_Message#0,"""選択したマイルームは混雑しているため、<br>移動できません。"""
Code634_Title#0,"""Mover a mi cuarto"""
Code634_Code#0,"""No se pudo mover a mi Cuarto"""
Code634_Message#0,"""No se encuentra la sala de servidores."""
Code635_Title#0,"""Mover a mi cuarto"""
Code635_Code#0,"""No se pudo mover a mi Cuarto"""
Code635_Message#0,"""マイルーム側で制限されている為、<br>移動できませんでした。"""
Code636_Title#0,"""Mover a mi cuarto"""
Code636_Code#0,"""No se pudo mover a mi Cuarto"""
Code636_Message#0,"""マイルーム側で制限されている為、<br>移動できませんでした。"""
Code637_Title#0,"""Mover a mi cuarto"""
Code637_Code#0,"""No se pudo mover a mi Cuarto"""
Code637_Message#0,"""サーバーのシステム上の問題が発生したため、<br>移動できませんでした。"""
Code638_Title#0,"""Mover a mi cuarto"""
Code638_Code#0,"""No se puede mover a mi cuarto"""
Code638_Message#0,"""Debido a que la facturacion ha expirado, no se pudo mover."""
Code639_Title#0,"""Mover a mi cuarto"""
Code639_Code#0,"""No se puede mover a mi cuarto"""
Code639_Message#0,"""Debido a que la facturacion ha expirado, no se pudo mover."""
Code640_Title#0,"""Comprobar version"""
Code640_Code#0,"""Version de cliente no coincide."""
Code640_Message#0,"""El juego no actualizo correctamente. Por favor, ejecutar una comprobacion de archivos. Si es necesario, por favor, desinstale y vuelva a instalar."""
Code641_Title#0,"""Verificacion del cliente"""
Code641_Code#0,"""Se ha encontrado un error en el cliente del juego."""
Code641_Message#0,"""El juego no actualizo correctamente. Por favor, ejecutar una comprobacion de archivos. Si es necesario, por favor, desinstale y vuelva a instalar."""
Code642_Title#0,"""Transferiendo de bloque"""
Code642_Code#0,"""No se puede mover al bloque seleccionado."""
Code642_Message#0,"""選択したブロックが見つからなかった為、<br>移動できませんでした。"""
Code643_Title#0,"""Transferiendo de bloque"""
Code643_Code#0,"""No se puede mover al bloque seleccionado."""
Code643_Message#0,"""選択したブロック側の制限により、<br>移動できませんでした。"""
Code644_Title#0,"""Transferiendo de bloque"""
Code644_Code#0,"""No se puede mover al bloque seleccionado."""
Code644_Message#0,"""サーバーのシステム上の問題で、<br>ブロックに移動することができませんでした。"""
Code645_Title#0,"""Transferencia de Server"""
Code645_Code#0,"""No se puede mover al servidor seleccionado."""
Code645_Message#0,"""選択したサーバーが混雑しているため<br>移動に失敗しました"""
Code646_Title#0,"""Transferencia de Server"""
Code646_Code#0,"""No se puede mover al servidor seleccionado."""
Code646_Message#0,"""El servidor seleccionado no se puede encontrar.<br>Transferencia fallida."""
Code647_Title#0,"""Transferencia de Server"""
Code647_Code#0,"""No se puede mover al servidor seleccionado."""
Code647_Message#0,"""選択したサーバー側に制限されている為、<br>移動できませんでした。"""
Code648_Title#0,"""Transferencia de Server"""
Code648_Code#0,"""No se puede mover al servidor seleccionado."""
Code648_Message#0,"""システムの問題により選択したサーバーへ<br>移動できませんでした。"""
Code649_Title#0,"""チームルーム選択"""
Code649_Code#0,"""チームルームに移動できませんでした。"""
Code649_Message#0,"""El servidor se encuentra en mantenimiento. Por favor, compruebe el sitio oficial para mas informacion."""
Code650_Title#0,"""チームルーム選択"""
Code650_Code#0,"""チームルームに移動できませんでした。"""
Code650_Message#0,"""チームルームサーバーが見つからないため、<br>移動することができません。<br><br>しばらく時間をおいてから、再びお試しください。"""
Code651_Title#0,"""チームルーム選択"""
Code651_Code#0,"""チームルームに移動できませんでした。"""
Code651_Message#0,"""チームに所属していないため、<br>チームルームに移動することができません。<br><br>ご自分の所属チームについてご確認ください。"""
Code652_Title#0,"""チームルーム選択"""
Code652_Code#0,"""チームルームに移動できませんでした。"""
Code652_Message#0,"""所属チームがまだチームルームを入手していないため、<br>移動することができません。<br>"""
Code653_Title#0,"""チームルーム選択"""
Code653_Code#0,"""チームルームに移動できませんでした。"""
Code653_Message#0,"""通信エラーが発生したため、チームルームに<br>移動することができません。<br><br>しばらく時間をおいてから、再びお試しください。"""
Code654_Title#0,"""チームルーム選択"""
Code654_Code#0,"""チームルームに移動できませんでした。"""
Code654_Message#0,"""チームの管理権限を持っていないため、<br>チームルームに移動することができません。"""
Code655_Title#0,"""チームルーム選択"""
Code655_Code#0,"""チームルームに移動できませんでした。"""
Code655_Message#0,"""El servidor se encuentra en mantenimiento. Por favor, compruebe el sitio oficial para mas informacion."""
Code656_Title#0,"""チームルーム選択"""
Code656_Code#0,"""チームルームに移動できませんでした。"""
Code656_Message#0,"""チームルームサーバーが見つからないため、<br>移動することができません。<br><br>しばらく時間をおいてから、再びお試しください。"""
Code657_Title#0,"""チームルーム選択"""
Code657_Code#0,"""チームルームに移動できませんでした。"""
Code657_Message#0,"""チームに所属していないため、<br>チームルームに移動することができません。<br><br>ご自分の所属チームについてご確認ください。"""
Code658_Title#0,"""チームルーム選択"""
Code658_Code#0,"""チームルームに移動できませんでした。"""
Code658_Message#0,"""所属チームがまだチームルームを入手していないため、<br>移動することができません。<br>"""
Code659_Title#0,"""チームルーム選択"""
Code659_Code#0,"""チームルームに移動できませんでした。"""
Code659_Message#0,"""通信エラーが発生したため、チームルームに<br>移動することができません。<br><br>しばらく時間をおいてから、再びお試しください。"""
Code660_Title#0,"""チームルーム選択"""
Code660_Code#0,"""チームルームに移動できませんでした。"""
Code660_Message#0,"""チームの管理権限を持っていないため、<br>チームルームに移動することができません。"""
Code661_Title#0,"""チームルーム選択"""
Code661_Code#0,"""チームルームに移動できませんでした。"""
Code661_Message#0,"""No se pudo mover al cuarto del Team<br>debido a las restricciones de entrada que se han fijado en su lugar."""
Code700_Title#0,"""Transferiendo de bloque"""
Code700_Code#0,"""No se puede mover al bloque seleccionado."""
Code700_Message#0,"""プレミアムセット有効期間中にのみ<br>移動が可能なブロックです。<br>利用券をお持ちでないか、<br>利用期限が切れているため、<br>移動することができません。"""
Code701_Title#0,"""Transferiendo de bloque"""
Code701_Code#0,"""No se puede mover al bloque seleccionado."""
Code701_Message#0,"""Por su plataforma<br>no puede moverse a este bloque """
Code704_Title#0,"""transferencia de bloque"""
Code704_Code#0,"""No te puedes mover al bloque seleccionado."""
Code704_Message#0,"""\""No se puede mover al Bloque de destino por que<br>no has completado una mision Extrema<br>Prueba en solitario: El cielo y el infierno """
Code710_Title#0,"""Contenido de Premium set"""
Code710_Code#0,"""Este contenido<br>esta disponible solo si eres premium"""
Code710_Message#0,"""Para utilizar el sistema premium,<br>ve al menu principal \""Tienda de AC\""で<br>Por favor, compra \""Set Premium\"""""
Code711_Title#0,"""Contenido de Premium set"""
Code711_Code#0,"""Premium set ha expirado"""
Code711_Message#0,"""Para utilizar el sistema premium,<br>ve al menu principal \""Tienda de AC\""で<br>Por favor, compra \""Set Premium\"""""
Code712_Title#0,"""AC不足"""
Code712_Code#0,"""このコンテンツを利用するためのACが不足しています。"""
Code712_Message#0,"""ACをチャージするには、<br>メインメニューの\""Tienda de AC\""で<br>\""Carga AC\""を選択してください。"""
Code730_Title#0,"""Transferencia de Server"""
Code730_Code#0,"""No se puede mover al servidor seleccionado."""
Code730_Message#0,"""選択したサーバーが混雑しているため<br>移動に失敗しました"""
Code731_Title#0,"""Transferencia de Server"""
Code731_Code#0,"""No se puede mover al servidor seleccionado."""
Code731_Message#0,"""El servidor seleccionado no se puede encontrar.<br>Transferencia fallida."""
Code732_Title#0,"""Transferencia de Server"""
Code732_Code#0,"""No se puede mover al servidor seleccionado."""
Code732_Message#0,"""選択したサーバー側に制限されている為、<br>移動できませんでした。"""
Code733_Title#0,"""Transferencia de Server"""
Code733_Code#0,"""No se puede mover al servidor seleccionado."""
Code733_Message#0,"""システムの問題により選択したサーバーへ<br>移動できませんでした。"""
Code810_Title#0,"""Advertencia"""
Code810_Code#0,"""Una vez presentada la demanda en contra del cliente."""
Code810_Message#0,"""Si no puede comportarse de manera correcta en el futuro, su uso del servicio puede estar en peligro. Por favor, consulte la pagina de contactos de Phantasy Star Online 2 si tiene alguna pregunta o inquietud."""
Code811_Title#0,"""Advertencia"""
Code811_Code#0,"""Una vez presentada la demanda en contra del cliente."""
Code811_Message#0,"""Si no puede comportarse adecuadamente a partir de ahora, vamos a interrumpir el acceso al servidor. Por favor, consulte la pagina de contactos de Phantasy Star Online 2 si tiene alguna pregunta o inquietud."""
Code812_Title#0,"""Prohibido el ingreso"""
Code812_Code#0,"""El cliente le ha prohibido el ingreso al servidor."""
Code812_Message#0,"""Se le ha prohibido el uso del servicio - Por favor consulte la pagina de contactos de Phantasy Star Online 2 si tiene alguna pregunta o inquietud."""
Code813_Title#0,"""Prohibido el ingreso"""
Code813_Code#0,"""ただいまお客様のご利用を<br>一時的に停止させていただいております。"""
Code813_Message#0,"""Su acceso al servidor de Phantasy Star Online 2 ha sido suspendido temporalmente hasta %d. Por favor, consulte la pagina de contactos de Phantasy Star Online 2 si tiene alguna pregunta o inquietud."""
Code814_Title#0,"""Prohibido el ingreso"""
Code814_Code#0,"""El cliente le ha prohibido el ingreso al servidor."""
Code814_Message#0,"""Se le ha prohibido el uso del servicio - Por favor consulte la pagina de contactos de Phantasy Star Online 2 si tiene alguna pregunta o inquietud."""
Code815_Title#0,"""Restriccion de funciones."""
Code815_Code#0,"""ただいまお客様の一部の機能の<br>ご利用を停止させていただいております。"""
Code815_Message#0,"""Se le ha prohibido el uso del servicio - Por favor consulte la pagina de contactos de Phantasy Star Online 2 si tiene alguna pregunta o inquietud."""
Code911_Title#0,"""Ventana de Confirmacion"""
Code911_Code#0,"""Se ha producido un error."""
Code911_Message#0,"""ファンタシースターオンライン2の動作環境と、<br>お客様のプレイ環境を再度ご確認いただき、<br>不明な点がありましたら、<br>ご使用のPCのメーカーや販売元にお問い合わせください。"""
SystemMesSegaID#0,"""Verificando SEGA ID..."""
SystemMesSegaID_v#0,"""SEGA ID の認証を行っています。"""
SystemMesAtherID#0,"""Verificando SEGA ID..."""
SystemMesLobbyWait#0,"""Esperando la respuesta del lobby server."""
SystemMesServerWait#0,"""Esperando la respuesta del servidor."""
SystemMesGameDataWait#0,"""Obteniendo informacion del juego"""
SystemMesCharaDataWait#0,"""Obteniendo informacion del personaje"""
SystemMesGameShut#0,"""Desconectado del servidor."""
SystemMesServerShut#0,"""Desconectado debido a una solicitud del servidor."""
SystemMesNetWorkShut#0,"""Conexion perdida. Por favor, compruebe su conexion y configuracion de red."""
SystemMesBusy#0,"""Comunicando..."""
SystemGmAlertFormMessage#0,"""Aceptar este mensaje."""
SystemGmAlertFormMessageTitle#0,"""Advertencia del Administrador"""
SystemGmMessageFormMessageTitle#0,"""Mensaje del Administrador"""
Yes#0,"""Si"""
No#0,"""No"""
Decide#0,"""Confirmar"""
Cancel#0,"""Cancelar"""
Next#0,"""Siguiente"""
Prev#0,"""Anterior"""
Close#0,"""Cerrar"""
Return#0,"""Regresar"""
CloseHint#0,"""Cerrar"""
HelpHint#0,"""Ayuda"""
PlayerIDName#0,"""プレイヤーIDネーム"""
PlayerID#0,"""プレイヤーID"""
CharaName#0,"""キャラクター名"""
Level#0,"""Nv."""
LevelNum#0,"""Nv. $(0)"""
Colon#0,""":"""
Slash#0,"""/"""
Hyphen#0,"""-"""
Asterisk#0,"""*"""
Plus#0,"""+"""
Greater#0,""">"""
Less#0,"""<"""
WaveDash#0,"""～"""
Cross#0,"""×"""
MultiSelecting#0,"""Seleccion multiple..."""
MultiDrop#0,""" - ($(0))"""
DropText#0,"""$(0)"""
MultiDropText#0,"""$(1) - ($(0))"""
SubmenuType_StyleChange#0,"""Cambiar formato de visualizacion"""
SubmenuType_Help#0,"""Ayuda"""
SubmenuType_Edit#0,"""Personalizar"""
Title#0,"""Mensaje"""
CaptureMessage#0,"""Captura de pantalla guardada."""
CaptureMessage2#0,"""Captura de pantalla guardada."""
CaptureMessage3#0,"""Captura de pantalla guardada."""
CaptureErrorMessage01#0,"""No se puede guardar la captura de pantalla: No hay suficiente espacio."""
MovieStartMessage#0,"""Grabacion de video comenzada."""
MovieEndMessage#0,"""Grabacion de video terminada."""
BeginLookAtCamera#0,"""カメラ目線を開始します"""
EndLookAtCamera#0,"""カメラ目線を終了しました"""
MovieErrorMessage01#0,"""No se puede grabar video: No hay suficiente espacio."""
MovieErrorMessage02#0,"""Grabacion de video abortada: No hay suficiente espacio."""
Bubble_Chatter1#0,"""・・・"""
Bubble_Chatter2#0,"""・・・"""
Bubble_Chatter3#0,"""・・・"""
Bubble_Chatter4#0,"""・・・"""
Bubble_Chatter5#0,"""・・・"""
Bubble_Chatter6#0,"""・・・"""
Bubble_Chatter7#0,"""・・・"""
Bubble_Chatter8#0,"""・・・"""
Bubble_Chatter9#0,"""・・・"""
Bubble_Chatter10#0,"""・・・"""
CheckTextOpen#0,"""No mostrar esta ventana de nuevo."""
ClosableMessageTitle#0,"""Mensaje"""
ClosableMessageButton#0,"""Cerrar"""
NoName#0,"""Nada"""
Title#1,"""Raza"""
Human#0,"""Human"""
Newman#0,"""Newman"""
Cast#0,"""Cast"""
Dewman#0,"""Dewman"""
All#0,"""Todas las Razas"""
NoHuman#0,"""No Human"""
NoNewman#0,"""No Newman"""
NoCast#0,"""No Cast"""
NoDewman#0,"""No Dewmans"""
Title#2,"""Genero"""
Male#0,"""Masculino"""
Female#0,"""Femenino"""
All#1,"""Ambos"""
Class#0,"""Clase"""
Main#0,"""Clase principal"""
Sub#0,"""Subclase"""
None#0,"""Ninguna"""
Job00#0,"""Hunter"""
Job01#0,"""Ranger"""
Job02#0,"""Force"""
Job03#0,"""Fighter"""
Job04#0,"""Gunner"""
Job05#0,"""Techer"""
Job06#0,"""Braver"""
Job07#0,"""Bouncer"""
Job08#0,"""Challenger"""
Job09#0,"""Summoner"""
Job10#0,"""Poka"""
Job11#0,"""-"""
All#2,"""Todas las clases"""
SaveAccount#0,"""Guardar nombre de la cuenta"""
SavePassword#0,"""Guardar password"""
Logout_Title#0,"""Salir del juego"""
Logout_Message#0,"""¿Seguro que quieres salir?"""
Logout_Wait_Message#0,"""Saliendo de tu cuenta..."""
AutoLogoutWarning_Title#0,"""Advertencia"""
AutoLogoutWarning_Message#0,"""一定時間チャレンジクエストの開始が<br>確認されませんでした。<br><br><yellow>$(0)<c>以内にこのウィンドウを閉じないと、<br>自動でログアウトが行われます。<br>このウィンドウを閉じれば、自動ログアウトを中断します。<br><br><yellow>※共通シップでは、一定時間チャレンジクエストを<br>開始しないでいると、自動でログアウトが行われます。<c>"""
AutoLogoutDone_Title#0,"""Anuncio"""
AutoLogoutDone_Message#0,"""一定時間チャレンジクエストの開始が<br>確認されませんでしたので、ログアウトしました。<br><br>共通シップでは、一定時間チャレンジクエストを<br>開始しないでいると、自動でログアウトを行います。<br><br>タイトル画面に戻ります。"""
AutoLogoutWarning_Message_InChallengeShip#0,"""一定時間チャレンジクエストの開始が<br>確認されませんでした。<br><br><yellow>$(0)<c>以内にこのウィンドウを閉じないと、<br>自動でログアウトが行われます。<br>このウィンドウを閉じれば、自動ログアウトを中断します。<br><br><yellow>※共通シップでは、一定時間チャレンジクエストを<br>開始しないでいると、自動でログアウトが行われます。<c>"""
AutoLogoutDone_Message_InChallengeShip#0,"""一定時間チャレンジクエストの開始が<br>確認されませんでしたので、ログアウトしました。<br><br>共通シップでは、一定時間チャレンジクエストを<br>開始しないでいると、自動でログアウトを行います。<br><br>タイトル画面に戻ります。"""
AutoLogoutWarning_Message_InPokaShip#0,"""<c ff9c70>■自動ログアウト警告■<c><br>バトルアリーナでは、マッチングを開始しないまま<br>一定時間が経過すると、自動ログアウトします。<c><br><br><yellow>$(0)<c>以内にこのウィンドウを閉じることで<br>自動ログアウトを中断し、ゲームを継続できます。"""
AutoLogoutDone_Message_InPokaShip#0,"""<yellow>マッチングを開始しないまま<br>一定時間が経過したため、自動ログアウトしました。<c><br><br>※バトルアリーナでは、マッチングを開始しないまま<br>\u3000一定時間が経過すると、自動ログアウトします。<br><br>タイトル画面に戻ります。"""
LogKind_All#0,"""Chat: Todos"""
LogKind_Custom#0,"""Chat: Ver todo"""
LogKind_Public#0,"""Chat: Cercanos"""
LogKind_Party#0,"""Chat: Grupo"""
LogKind_Guild#0,"""Chat: Team"""
LogKind_System#0,"""Chat: Sistema"""
LogKind_NPC#0,"""Chat: Personaje"""
LogKind_Whisper#0,"""Chat: Privado"""
LogTitleLobbyAction#0,"""ロビーアクション選択"""
LogKind_Channel#0,"""-"""
LogBalloon_All#0,"""0. Ver Todo"""
LogBalloon_Custom#0,"""0. Ver Todo"""
LogBalloon_Public#0,"""1. Cercanos"""
LogBalloon_Party#0,"""<pict Party>2. Grupo"""
LogBalloon_Guild#0,"""<pict Guild>3. Team"""
LogBalloon_System#0,"""6. Sistema"""
LogBalloon_NPC#0,"""5. Personaje"""
LogBalloon_Whisper#0,"""<pict Whisper>4. Privado"""
LogRange_Public#0,"""1. Enviar al Area"""
LogRange_Public_Challenge#0,"""1. Chat de todas las areas"""
LogRange_Public_Poka#0,"""1.ユニオンに発言"""
LogRange_Party#0,"""<pict Party>2. Grupo"""
LogRange_Guild#0,"""<pict Guild>3. Team"""
LogRange_Whisper#0,"""<pict Whisper>4. Privado"""
LogAnnounce_Show#0,"""Cambio"""
LogAnnounce_Speak#0,"""Cambio"""
LogAnnounce_Plus#0,"""+"""
LogRangeTab_Public#0,"""1. Cercano"""
LogRangeTab_Public_Challenge#0,"""1. Toda area"""
LogRangeTab_Public_Poka#0,"""1.ユニオン"""
LogRangeTab_Party#0,"""<pict Party>2. Grupo"""
LogRangeTab_Guild#0,"""<pict Guild>3. Team"""
LogRangeTab_Whisp#0,"""<pict Whisper>4. Privado"""
WhisperSendTo#0,"""Enviar a $(0)"""
LogName_System#0,"""Sistema"""
LogButton_Send#0,"""Envia"""
LogButton_Shortcut#0,"""<%ChatStart>Frase Rapida"""
LogButton_Input#0,"""<%ChatStart>conversar"""
LogButton_Input_Party#0,"""<pict Party><%ChatStart>conversar"""
LogButton_Input_Guild#0,"""<pict Guild><%ChatStart>Conversar"""
LogButton_Input_Whisper#0,"""<pict Whisper><%ChatStart>Conversar"""
LogButton_ShortcutPad#0,"""<%ChatStartPad>Frases Rapidas"""
LogButton_InputPad#0,"""<%ChatStartPad>Conversar"""
LogButton_Input_PartyPad#0,"""<pict Party><%ChatStartPad>Conversar"""
LogButton_Input_GuildPad#0,"""<pict Guild><%ChatStartPad>Conversar"""
LogButton_Input_WhisperPad#0,"""<pict Whisper><%ChatStartPad>Conversar"""
LogButton_DirectChat#0,"""Modo de escritura directa"""
LogButton_DirectChat_Party#0,"""<pict Party> Modo de escritura directa"""
LogButton_DirectChat_Guild#0,"""<pict Guild> Modo de escritura directa"""
LogButton_DirectChat_Whisper#0,"""<pict Whisper> Modo de escritura directa"""
LogButton_Range_Vita#0,"""発言先"""
LogButton_Log_Vita#0,"""ログ"""
LogButton_Reset_Vita#0,"""全削除"""
LogToast_ShortLog#0,"""ショートログ表示開始。自分をタッチすると非表示になります。"""
LogShortCutEdit#0,"""Completar edicion"""
LogButton_Balloon#0,"""Globo de texto"""
LogButton_Manpu#0,"""Pictogramas de Manga"""
