name#0,"""Tea"""
Patty_07_020#0,"""I wish I could dispute it, but you can't argue<br>with the facts. I'm her younger sister! Grr."""
Patty_07_030#0,"""Is it something to be that bitter about!?"""
11_voice_NPC_5013_102#1,"""あたしとティア、どっちが上って？<br>見てわからないかなあ！<br>あたしが双子のお姉ちゃん！"""
Patty_07_020#1,"""……否定したいけど<br>時系列は覆せません。<br>……私が、双子の妹です！　ッ！"""
Patty_07_030#1,"""そんなに悔しがること！？"""
11_voice_NPC_5013_100#0,"""When the going gets tough, it's time to split!<br>That's the golden rule of staying alive!<br>Don't you ever forget it!"""
Patty_08_020#0,"""There are plenty of ARKS members who break<br>that rule. Don't you be one of them, okay?"""
11_voice_NPC_5013_100#1,"""危ないと思ったらすぐ逃げる！<br>これ長生きの鉄則！<br>ぜーったい忘れちゃダメだよー？"""
Patty_08_020#1,"""このことを忘れてしまう<br>アークスは結構多い。<br>あなたも気を付けてね。"""
11_voice_NPC_5013_104#0,"""When there are conflicting reports and no<br>clear intel, things can get real dangerous.<br>Apparently it was really bad 10 years ago."""
Patty_09_020#0,"""When we heard what happened, we decided<br>to form a team that always has accurate intel."""
11_voice_NPC_5013_104#1,"""情報が混乱、錯綜するって状態は<br>実はすっごく危ないんだよねー。<br>十年前とか、やばかったんだってー。"""
Patty_09_020#1,"""その話を聞いて、私たちだけは常に<br>正確な情報を所持しているチームに<br>なろうって決めたの。"""
11_voice_NPC_5013_103#0,"""Ah! I felt it again! The air around here is<br>tingling with energy. It's kinda scary."""
Patty_10_020#0,"""The hexagons who run ARKS have been<br>more active lately......be careful."""
11_voice_NPC_5013_103#1,"""おおぅ、またピリッときた！<br>なんだかピリピリした<br>空気が漂ってて、怖いねー。"""
Patty_10_020#1,"""アークスのお偉いさん……<br>六芒均衡の動きも活発になってる。<br>……気を付けて。"""
Alice_01_10#0,"""Hey you! <br>You look like you need special intel from the one and only Patty. """
Alice_01_20#0,"""Of course, of course ask my anything! <br>The lady shall teach you anything you like!"""
Alice_01_30#0,"""......heh? Lo-ve? Love, relations? <br>L-love, right! Of course I know! """
Alice_01_40#0,"""Ummmmm, errr, ummm......<br>Um, um, um, um......<br>Tee hee! """
Alice_01_50#0,"""Oh dear, of course you can't ask ladies such things out of the blue! <br>Sex-ual harr-ass-ment! """
Alice_01_60#0,"""Same species, interspecies, it doesn't matter!<br>Love is......love is......<br>Uh, a hundred years too early! """
Alice_01_70#0,"""......I'm declaring myself single for the rest of my life. """
Alice_01_80#0,"""Sorry, my stupid sister's gone all hyper. Forgive her, will you. """
Alice_01_10#1,"""おっ、その顔！<br>このパティちゃん謹製の情報が<br>欲しいって顔してるねー！"""
Alice_01_20#1,"""いいよいいよ、なーんでも聞いて！<br>今ならお姉さんがなーんでも<br>教えてあげちゃうからねー！"""
Alice_01_30#1,"""……へ？　れん、あい？<br>れんあい、じじょう？<br>れ、恋愛でしょ！　知ってる知ってる！"""
Alice_01_40#1,"""んーと、えと、ええっとー<br>えっと、えっとねーえっとねー……<br>……あ、あははー！"""
Alice_01_50#1,"""ダメだよっ！　いきなりそんなことを<br>お姉さんに聞いちゃ！<br>せくしゃるはらすめんとっ！"""
Alice_01_60#1,"""同種族も他種族も関係ないの！<br>恋愛なんて……恋愛なんて……<br>ひゃ、百年早いんだからねっ！"""
Alice_01_70#1,"""……生涯独身宣言だね。"""
Alice_01_80#1,"""すみません、うちのバカ姉<br>完全にテンパっちゃっているので<br>この辺で許してあげてください。"""
11_voice_NPC_13_106#0,"""It seems there were less people injured from fighting Dark Falz this time."""
Patty_mb9_020#0,"""Just how many people were done in by him in the past? Man, that's incredible. """
11_voice_NPC_13_106#1,"""今回のダークファルスによる<br>戦闘被害って、少ない方なんだって。"""
Patty_mb9_020#1,"""昔はどれだけやられちゃってたんだろ<br>とんでもないねぇ、まったく。"""
11_voice_NPC_13_102#0,"""They keep going on about these rampaging dragons, but I don't see them at all. """
Patty_mb10_020#0,"""I wonder who named them in the first place? """
11_voice_NPC_13_102#1,"""暴走龍暴走龍って言われてるけど<br>あたしぜんぜんこれっぽっちも<br>遭遇しないんだよねー。"""
Patty_mb10_020#1,"""誰が最初にその名前をつけたんだろ？"""
11_voice_NPC_13_101#0,"""Anyway, festivals and competitions sound so good, doesn't it! Feels good, doesn't it!"""
Patty_mb11_020#0,"""I think it's such a great thing to just go party with everyone!"""
11_voice_NPC_13_101#1,"""なんにせよ、お祭りとか大会って<br>響きがいいよね！　気持ちいいよね！"""
Patty_mb11_020#1,"""みんなでパーッと騒ぐのって<br>とっても素晴らしいことだと思うよー！"""
11_voice_NPC_5013_100#0,"""Going down to Planet Wopal makes me, well, want to swim!"""
Patty_mb12_020#0,"""Let's grab our swimsuits and go on a vacation!<br>Man, I hope the times will change so we can do that? """
11_voice_NPC_5013_100#1,"""惑星ウォパルに行くとさー<br>なんていうか、泳ぎたくなるよね！"""
Patty_mb12_020#1,"""水着でずばっとみんなでバカンス！<br>あーあ、早くそういう時代に<br>ならないかなぁ。"""
11_voice_NPC_5013_101#0,"""People are jumping around everywhere, nobody seems to be able to chill out. """
Patty_mb13_020#0,"""Something is happening behind the scenes?<br>Could it be......? That cleaner I've been hearing about!? """
11_voice_NPC_5013_101#1,"""あっちこっちで人がわたわたしてて<br>落ち着かない感じがするねー。"""
Patty_mb13_020#1,"""何かが暗躍してる？<br>もしかして！　前にウワサになった<br>始末屋とか！？"""
11_voice_NPC_5013_104#0,"""I mean, ARKS were never on Planet Lillipa to begin with, right?"""
Patty_mb14_020#0,"""So why did the Darkers specifically go there? """
11_voice_NPC_5013_104#1,"""惑星リリーパって、最初はアークス<br>いなかったわけじゃん？"""
Patty_mb14_020#1,"""どうしてダーカーはわざわざそこに<br>やってきたんだろうねー？"""
11_voice_NPC_5013_100#0,"""We're the twin intel girls!<br>Pattyentia! """
Patty_mb15_020#0,"""What are you doing suddenly, you ask?<br>Thought it'd be a good time to make an appeal!"""
Patty_mb15_030#0,"""Otherwise people will forget we're the intel team!<br>Cheap intel! Cheap intel!"""
11_voice_NPC_5013_100#1,"""あたしたち、双子の情報屋！<br>パティエンティア！"""
Patty_mb15_020#1,"""急にどうした、って？<br>このあたりでもう一度のアピールだよ！"""
Patty_mb15_030#1,"""そうしないと、あたしたちが情報屋って<br>ことを忘れられてそうだったから！<br>情報安いよ！　情報売るよ！"""
Patty_mb16_010#0,"""The first commandments of an intel gatherer! <br>Be selective in who you share information with!"""
11_voice_NPC_5013_100#0,"""I don't provide intel to people who look suspicious or funny! I'm good, right? """
Patty_mb16_010#1,"""情報屋大原則そのいち！<br>情報提供する相手は選ぶべし！"""
11_voice_NPC_5013_100#1,"""あやしい相手やおかしな相手には<br>何一つ教えてあげないんだー！<br>偉いでしょ？"""
Patty_mb16zeno_010#0,"""Nooo, really, I'm so glad you're safe! <br>The slow undefeated horse ARKS, eh? """
11_voice_NPC_5013_100#0,"""The absolute orders came to us too......but I'm soooo glad I didn't have to fight you......!"""
Patty_mb16zeno_010#1,"""いやー、ほんとほんと<br>無事で良かった、ってやつだよ！<br>無事是名アークス、ってね！"""
11_voice_NPC_5013_100#1,"""絶対令はあたしたちにも届いてたけど<br>……あなたと戦わずに済んで<br>ほんっとうに、よかったぁ……！"""
