Title#0,"""アークス訓練所"""
R_Event005_MES#0,"""Die Ergebnisse des Interrupt Rankings sind jetzt verfügbar. Ihr könnt sie euch über das Visiphone ansehen. Der aktuell erstplatzierte Spieler ist <%TSE_AllTopPlayer_Name>. Glückwunsch!"""
Q_Event006_MES#0,"""Notfallmeldung: Zahlreiche Darkers nähern sich den äußeren Gebieten der ARKS-Flotte!"""
Q_Event007_MES#0,"""Notfallmeldung: Ein ARKS-Schiff wurde von Darkers angegriffen! Alle ARKS-Mitglieder sollen sich an die Questschalter wenden, um eine dringende Rettungsoperation einzuleiten!"""
W_Event008_MES#0,"""Die wöchentliche Rangaufzeichnung ist jetzt beendet! Die Auswertung der Ergebnisse wird nun beginnen. Bitte haltet euch bereit."""
W_Event009_MES#0,"""Die wöchentlichen Ranking-Ergebnisse wurden aktualisiert! Für Details wende dich bitte an das nächste Visiphone."""
Q_Event010_MES#0,"""Notfallmeldung: Sowohl Dark Falz Elder als auch Dark Falz Loser nähern sich den äußeren Gebieten der ARKS-Flotte."""
RD_Event001_MES#0,"""Notfallmeldung: Dark Falz nähert sich den äußeren Gebieten der ARKS-Flotte!"""
RD_Event002_MES#0,"""Notfallmeldung: Dark Falz greift die ARKS-Flotte an! An alle: sammeln und abfangen!"""
RD_Event003_MES#0,"""Falz Arm Vernichtungsrate bei 0% des Ziels! Die Energie von Dark Falz wurde noch nicht aufgehalten. Von allen ARKS wird erwartet, dass sie ihr Bestes geben."""
RD_Event004_MES#0,"""Falz Arm Vernichtungsrate bei 20% des Ziels! Die Energie von Dark Falz wurde noch nicht aufgehalten. Von allen ARKS wird erwartet, dass sie ihr Bestes geben."""
A_Event001_MES#0,"""Die ARKS bereiten sich auf eine großangelegte Untersuchung von ungewöhnlichen Messungen in den Tiefen des Alls vor."""
A_Event002_MES#0,"""Die Notfallquest ist jetzt aktiv. Wir führen eine großangelegte Untersuchung einer Anomalie in den Tiefen des Alls durch. Bitte besuche einen Questschalter, um an der Quest teilzunehmen."""
D_Event001_MES#0,"""Notfallmeldung: Zahlreiche Darkers nähern sich den äußeren Gebieten der Minenbasis von Lillipa!"""
D_Event002_MES#0,"""Notfallmeldung: Die Minenbasis von Lillipa wird von Darkers angegriffen! Alle ARKS-Mitglieder sollen sich an die Questschalter wenden, um eine dringende Verteidigungsoperation einzuleiten!"""
D_Event003_MES#0,"""Notfallmeldung: Zahlreiche Darkers nähern sich den äußeren Gebieten der primären Minenbasis auf Lillipa!"""
D_Event004_MES#0,"""Notfallmeldung: Die primäre Minenbasis von Lillipa wird von Darkers angegriffen! Alle ARKS-Mitglieder sollen sich an die Questschalter wenden, um eine dringende Verteidigungsoperation einzuleiten!"""
D_Event005_MES#0,"""Notfallmeldung: Zahlreiche Darkers nähern sich den äußeren Gebieten der sekundären Minenbasis auf Lillipa!"""
D_Event006_MES#0,"""Notfallmeldung: Die sekundäre Minenbasis von Lillipa wird von Darkers angegriffen! Alle ARKS-Mitglieder sollen sich an die Questschalter wenden, um eine dringende Verteidigungsoperation einzuleiten!"""
D_Event007_MES#0,"""Notfallmeldung: Zahlreiche Darkers nähern sich den äußeren Gebieten der tertiären Minenbasis auf Lillipa!"""
D_Event008_MES#0,"""Notfallmeldung: Die tertiäre Minenbasis von Lillipa wird von Darkers angegriffen! Alle ARKS-Mitglieder sollen sich an die Questschalter wenden, um eine dringende Verteidigungsoperation einzuleiten!"""
D_Event009_MES#0,"""アークスのみんな！\u3000ボクはネッキー！\u3000これからキミたちの力を試すため、ボクから挑戦状を送るよ！\u3000ぜひ参加してね！"""
D_Event010_MES#0,"""クエストカウンターに、ボクからの挑戦状を送っておいたよ！\u3000ぜひ参加してみてね！"""
D_Event011_MES#0,"""アークスのみんな！\u3000今回はボクの挑戦を受けてくれてありがとう！\u3000また機会があったら参加してね！"""
D_Event012_MES#0,"""緊急連絡。全アークス一斉参加の特殊作戦が、まもなく発令されます。アークス各員は、作戦の発令に備えてください。"""
D_Event013_MES#0,"""緊急任務発生。全アークス一斉参加の特殊作戦が、発令されました。アークス各員はクエストカウンターより、任務への参加を。"""
LS_Event001_MES#0,"""Wir halten bald ein Konzert auf dem Shoppingdeck und freuen uns darauf, euch alle dort zu sehen!"""
LS_Event002_MES#0,"""Auf dem Shoppingdeck ist ein Konzert im Gange! Nicht verpassen!"""
LS_Event003_MES#0,"""Vielen Dank an alle fürs Zuhören! Bis zum nächsten Mal, Quna meldet sich ab!"""
M_Event001_MES#0,"""In der Einkaufsmeile wird bald ein Live Movie gezeigt."""
M_Event002_MES#0,"""In der Einkaufsmeile wird derzeit ein Live Movie gezeigt."""
RD_Event005_MES#0,"""Falz Arm Vernichtungsrate bei 40% des Ziels! Dark Falz wird schwächer. Jetzt ist deine Chance!"""
RD_Event006_MES#0,"""Falz Arm Vernichtungsrate bei 60% des Ziels! Exzellenter Fortschritt. Macht bitte so weiter."""
RD_Event007_MES#0,"""Falz Arm Vernichtungsrate bei 80% des Ziels! Massiver Schaden an Dark Falz bestätigt. Bitte schaltet es aus."""
RD_Event008_MES#0,"""Die Zeit für den Angriff wird knapp. Wir werden nicht in der Lage sein, unser Ziel zu erreichen. Alle ARKS sollten mit vollem Einsatz kämpfen."""
RD_Event009_MES#0,"""Die Zeit für den Angriff wird knapp. Wir werden nicht in der Lage sein, unser Ziel zu erreichen. Alle ARKS sollten mit vollem Einsatz kämpfen."""
RD_Event010_MES#0,"""Die Zeit für den Angriff wird knapp. Wir werden nicht in der Lage sein, unser Ziel zu erreichen. Alle ARKS sollten mit vollem Einsatz kämpfen."""
RD_Event011_MES#0,"""Die Zeit für den Angriff wird knapp. Wir werden nicht in der Lage sein, unser Ziel zu erreichen. Alle ARKS sollten mit vollem Einsatz kämpfen."""
RD_Event012_MES#0,"""Es bleibt kaum noch Zeit für den Angriff. Wir können Phase zwei beginnen, falls wir unser Ziel bis dahin erreichen. Bereitet euch auf den letzten Vorstoß vor."""
RD_Event013_MES#0,"""Unser erster Angriff ist fehlgeschlagen... Verlasst das angegriffene ARKS-Schiff, alle verbleibenden ARKS-Schiffe werden an einen sicheren Ort gebracht."""
RD_Event014_MES#0,"""Erster Angriff erfolgreich! Fahren fort mit Phase zwei! Dark Falz nähern und ausschalten, solange es geschwächt ist!"""
RD_Event015_MES#0,"""Dark Falz wurde erfolgreich abgewehrt. Unser Dank geht an alle ARKS für eure Kooperation heute."""
RD_Event016_MES#0,"""Oh, ihr seid also Eulenjäger? Dann werdet ihr kein Problem haben innerhalb von 30 Minuten die Eulen auf allen Schiffen zu jagen."""
RD_Event017_MES#0,"""Notfallmeldung: Unsere Messungen lassen vermuten, dass Dark Falz Loser sich nähert, zusammen mit einem befallenen ehemaligen Mutterschiff."""
RD_Event018_MES#0,"""Dies ist eine Notfallanordnung: Wir beginnen jetzt mit einem umfassenden Angriff auf die Apostel von Dark Falz Loser. Alle ARKS werden angewiesen das befallene ehemalige Mutterschiff anzugreifen."""
RD_Event019_MES#0,"""Wir nähern uns schnell der Deadline für diese Operation. Obwohl wir unser Ziel bereits erreicht haben, solltet ihr den Angriff fortsetzen."""
RD_Event020_MES#0,"""Wir nähern uns schnell der Deadline für diese Operation. Wir haben noch nicht unser Ziel erreicht und zählen auf die Unterstützung von allen ARKS."""
RD_Event021_MES#0,"""Wir haben die Koordinaten von Dark Falz Loser ins Visier genommen. Es scheint die Überbleibsel seiner Apostel zu benutzen, um bei Kräften zu bleiben. Alle ARKS werden angewiesen sich am Einsatz zu beteiligen und es zu zerstören."""
RD_Event022_MES#0,"""Wir haben die Koordinaten von Dark Falz Loser ins Visier genommen. Alle ARKS werden angewiesen sich am Einsatz zu beteiligen und es zu zerstören."""
RD_Event023_MES#0,"""Wir greifen momentan Dark Falz Loser an. Wir bitten alle ARKS, dass sie sich zum Questschalter begeben und am Kampf teilnehmen."""
Q_TwiceEvent001_01_MES#0,"""Die ARKS bereiten sich auf mehrere großangelegte Operationen als Reaktion auf feindliche Aktivitäten im Wald von Naberius vor."""
Q_TwiceEvent001_02_MES#0,"""Die ARKS bereiten sich auf mehrere großangelegte Operationen als Reaktion auf feindliche Aktivitäten in der Tundra von Naberius vor."""
Q_TwiceEvent001_03_MES#0,"""Die ARKS bereiten sich auf mehrere großangelegte Operationen als Reaktion auf feindliche Aktivitäten in den Ruinen von Naberius vor."""
Q_TwiceEvent001_04_MES#0,"""Die ARKS bereiten sich auf mehrere großangelegte Operationen als Reaktion auf feindliche Aktivitäten in den Höhlen von Amduscia vor."""
Q_TwiceEvent001_05_MES#0,"""Die ARKS bereiten sich auf mehrere großangelegte Operationen als Reaktion auf feindliche Aktivitäten auf den schwebenden Inseln von Amduscia vor."""
Q_TwiceEvent001_06_MES#0,"""Die ARKS bereiten sich auf mehrere großangelegte Operationen als Reaktion auf feindliche Aktivitäten in der Wüste von Lillipa vor."""
Q_TwiceEvent001_07_MES#0,"""Die ARKS bereiten sich auf mehrere großangelegte Operationen als Reaktion auf feindliche Aktivitäten in den Tunneln von Lillipa vor."""
Q_TwiceEvent001_08_MES#0,"""Die ARKS bereiten sich auf mehrere großangelegte Operationen als Reaktion auf feindliche Aktivitäten in den Steinbrüchen von Lillipa vor."""
Q_TwiceEvent001_09_MES#0,"""Die ARKS bereiten sich auf mehrere großangelegte Operationen als Reaktion auf feindliche Aktivitäten im befallenen Mutterschiff vor."""
Q_TwiceEvent001_10_MES#0,"""Die ARKS bereiten sich auf mehrere großangelegte Operationen als Reaktion auf feindliche Aktivitäten in der Shironia Region von Harkotan vor."""
Q_TwiceEvent001_51_MES#0,"""Alle ARKS werden dazu angewiesen, sich auf mehrere großangelegte Unterdrückungsoperation auf Naberius vorzubereiten."""
Q_TwiceEvent001_52_MES#0,"""Alle ARKS werden dazu angewiesen, sich auf mehrere großangelegte Unterdrückungsoperation auf Amduscia vorzubereiten."""
Q_TwiceEvent001_53_MES#0,"""Alle ARKS werden dazu angewiesen, sich auf mehrere großangelegte Unterdrückungsoperation auf Lillipa vorzubereiten."""
Q_TwiceEvent001_54_MES#0,"""Alle ARKS werden dazu angewiesen, sich auf mehrere großangelegte Unterdrückungsoperation auf Vopar vorzubereiten."""
Q_TwiceEvent001_55_MES#0,"""Alle ARKS werden dazu angewiesen, sich auf mehrere großangelegte Unterdrückungsoperation auf Harkotan vorzubereiten."""
Q_TwiceEvent001_90_MES#0,"""Die ARKS bereiten sich auf mehrere großangelegte Operationen als Reaktion auf feindliche Aktivitäten in verschiedenen Gebieten vor."""
Q_TwiceEvent001_91_MES#0,"""Die ARKS bereiten sich auf mehrere großangelegte Operationen als Reaktion auf feindliche Aktivitäten auf verschiedenen Planeten vor."""
Q_TwiceEvent002_MES#0,"""Die erste Emergency Quest ist jetzt aktiv. Wir führen großangelegte Operationen mit der Beteiligung aller ARKS durch. Bitte melde dich bei einem Questschalter, um daran teilzunehmen."""
Q_TwiceEvent003_MES#0,"""Die zweite Emergency Quest ist jetzt aktiv. Wir führen großangelegte Operationen mit der Beteiligung aller ARKS durch. Bitte melde dich bei einem Questschalter, um daran teilzunehmen."""
D_TwiceEvent001_MES#0,"""Notfallankündigung an alle ARKS: Darkers sammeln sich bei mehreren Minenbasen auf Lillipa. Bereitet euch auf Verteidigungsoperationen vor."""
D_TwiceEvent002_1_MES#0,"""Die erste Notfall-Verteidigungsoperation läuft gerade. Lilippas primäre Minenbasis wird von den Darkers angegriffen. Alle ARKS werden gebeten, sich beim Questschalter zu melden."""
D_TwiceEvent003_1_MES#0,"""Die erste Notfall-Verteidigungsoperation läuft gerade. Lilippas sekundäre Minenbasis wird von den Darkers angegriffen. Alle ARKS werden gebeten, sich beim Questschalter zu melden."""
D_TwiceEvent004_1_MES#0,"""Die erste Notfall-Verteidigungsoperation läuft gerade. Lilippas tertiäre Minenbasis wird von den Darkers angegriffen. Alle ARKS werden gebeten, sich beim Questschalter zu melden."""
D_TwiceEvent002_2_MES#0,"""Die zweite Notfall-Verteidigungsoperation läuft gerade. Lilippas primäre Minenbasis wird von den Darkers angegriffen. Alle ARKS werden gebeten, sich beim Questschalter zu melden."""
D_TwiceEvent003_2_MES#0,"""Die zweite Notfall-Verteidigungsoperation läuft gerade. Lilippas sekundäre Minenbasis wird von den Darkers angegriffen. Alle ARKS werden gebeten, sich beim Questschalter zu melden."""
D_TwiceEvent004_2_MES#0,"""Die zweite Notfall-Verteidigungsoperation läuft gerade. Lilippas tertiäre Minenbasis wird von den Darkers angegriffen. Alle ARKS werden gebeten, sich beim Questschalter zu melden."""
RD_Event024_MES#0,"""Notfallmeldung: Wir haben eine Spannungsspitze auf Harkotan festgestellt. Ein \""Magatsu\""-Klasse Event steht bevor."""
RD_Event025_MES#0,"""Notfallmeldung: Magatsu ist aufgetaucht und dringt in Harkotans Shironia-Provinz ein. An alle: sammeln und abfangen!"""
RD_Event026_MES#0,"""Magatsu wurde erfolgreich abgewehrt. Danke für eure Unterstützung."""
RD_Event027_MES#0,"""Notfallmeldung: Begebt euch auf den Weg nach Harkotan um Magatsu zu verfolgen. Alle ARKS werden angewiesen sich umgehend auf die Suche nach Magatsu zu machen und es zu zerstören."""
RD_Event028_MES#0,"""Die Verfolgung von Magatsu wurde beendet. Danke an alle ARKS für eure Kooperation."""
RD_Event029_MES#0,"""Notfallmeldung: Messungen von [Profound Darkness] im Himmel über Naberius steigen."""
RD_Event030_MES#0,"""Notfallmeldung: Eine Operation zum Zerstören von [Profound Darkness] läuft gerade. Alle ARKS-Mitglieder sollen sich an die Questschalter wenden, um an dieser dringenden Mission teilzunehmen."""
RD_Event031_MES#0,"""[Profound Darkness] wurde erfolgreich abgewehrt. Unser Dank geht an alle ARKS für eure Kooperation."""
RD_Event040_MES#0,"""Notfallmeldung: Wir empfangen Messungen von Dark Falz Apprentice auf Lillipa. Alle ARKS werden angewiesen sich zum Angriff bereit zu machen."""
RD_Event041_MES#0,"""Notfallmeldung: Beginn der Operation zur erneuten Versiegelung von Dark Falz Apprentice. Alle ARKS werden gebeten sich beim Questschalter zu melden und sich auf den Einsatz bei Lillipas Minenbasis zu begeben."""
RD_Event042_MES#0,"""Dark Falz Apprentice wurde wieder erfolgreich versiegelt. Unser Dank geht an alle ARKS für eure Kooperation."""
RD_Event043_MES#0,"""Notfallmeldung: Wir bereiten eine großangelegte Operation in Reaktion auf einen massiven Ausbruch von Phantom-Messungen auf der Erde vor."""
RD_Event044_MES#0,"""Notfallmeldung: Wir führen Operationen zur Unterdrückung des massiven Phantomausbruchs auf der Erde durch. An alle ARKS, meldet euch zum Einsatz beim nächsten Questschalter."""
LS_Event004_MES#0,"""An alle ARKS-Mitglieder: Ich bin Sachiko Kobayashi, die Botschafterin guten Willens von der Erde. Es findet ein Auftritt auf der Bühne in der Einkaufsmeile statt. Lasst uns alle gemeinsam feiern!"""
LS_Event005_MES#0,"""An alle ARKS-Mitglieder: Ich bin Sachiko Kobayashi, die Botschafterin guten Willens von der Erde. Bald findet ein Auftritt auf der Bühne in der Einkaufsmeile statt. Lasst uns alle das Fest gemeinsam beginnen!"""
RD_Event045_MES#0,"""緊急警報発令。地球の衛星・月にてエーテルの異常励起を検知。現在、作戦準備中です。"""
RD_Event046_MES#0,"""緊急作戦発令。地球の衛星・月に発生したエスカファルス・マザーの撃退作戦を開始します。アークス各員はクエストカウンターより、任務への参加をお願いします。"""
RD_Event047_MES#0,"""エスカファルス・マザーの撃退に成功しました。アークス各員の協力に感謝します。"""
RD_Event048_MES#0,"""緊急警報発令。地球にて、デウス・エスカの出現予兆を確認。現在、作戦準備中です。"""
RD_Event049_MES#0,"""緊急作戦発令。地球にて出現したデウス・エスカに対し、撃退作戦を開始します。アークス各員はクエストカウンターより任務への参加をお願いします。"""
RD_Event050_MES#0,"""現在、地球にて再出現したデウス・エスカに対し、Lv.80以上のアークスに限定し、撃退作戦を展開中です。対象のアークス各員はクエストカウンターより任務への参加をお願いします。"""
RD_Event051_MES#0,"""デウス・エスカの撃退に成功しました。作戦協力に感謝します。"""
R_Event001_MES#0,"""<%TSE_OpenLimetTime>からインタラプトランキングを開催します。奮ってご参加ください。"""
R_Event002_MES#0,"""現在、タイムアタックランキング開催中です。対象は「<%TSE_TA_Quset_Name> <%TSE_TA_Quset_Difficulty>」。<%TSE_EndTime>までの集計です。対象のクエストはすべての難度でエネミー経験値、クリア報酬メセタにボーナスがつきます！"""
R_Event003_MES#0,"""タイムアタックランキングが終了しました。"""
R_Event004_MES#1,"""現在、インタラプトランキングの結果集計中です。発表までしばしお待ちください。"""
R_Event005_MES#1,"""インタラプトランキングの結果が更新されました。お近くのビジフォンでご確認ください。今回の1位は <%TSE_AllTopPlayer_Name>さん でした。おめでとうございます！"""
R_Event006_MES#0,"""現在、エネミー撃破ランキング開催中です。対象は「<%TSE_Kill_Enamy_Name> <%TSE_Kill_Enamy_Level>～」。<%TSE_EndTime>までの集計です。対象のエネミーはレベルに関わらずレアドロップ率にボーナスがつきます！"""
R_Event007_MES#0,"""現在、タイムアタックランキング開催中です。対象は「<%TSE_TA_Quset_Name> <%TSE_TA_Quset_Difficulty>」。<%TSE_EndTime>までの集計です。対象のクエストはすべての難度でクリア報酬メセタにボーナスがつきます！"""
T_Event001_MES#0,"""今月のチームランキングの集計を開始します。発表までしばしお待ちください。"""
T_Event002_MES#0,"""チームランキングの結果が更新されました。お近くのビジフォンでご確認ください。今月の1位はそれぞれ「<%TSE_AllTopPlayer_Name>」、「<%TSE_AllTopCharactor_Name>」でした。おめでとうございます！"""
P_Event001_MES#0,"""まもなくバトルランキングの集計期間が終了します。入賞時は、所属シップのアークスリーグ管理官ミミから報酬をお受け取りください。"""
P_Event002_MES#0,"""現在、バトルランキングの集計中です。集計の終了までしばしお待ちください。"""
P_Event003_MES#0,"""新しいバトルランキングの集計期間が始まりました。メインメニューのコンテンツ情報から、バトルランキング情報をご確認ください。"""
TimeBomb_Title#0,"""Entschärfe die Zeitbomben"""
TimeBomb_Message#0,"""Bitte wähle einen Verbindungspunkt,<br>um den Zünder zu entschärfen."""
TimeBomb_1#0,"""Oberer"""
TimeBomb_2#0,"""Mittlerer"""
TimeBomb_3#0,"""Unterer"""
TimeBomb_Cancel#0,"""Abbrechen"""
PartyMakerMessage1#0,"""パーティーメイカーが設置可能上限数まで<br>置かれているため、これ以上<br>パーティーメイカーを設置することはできません。"""
PartyMakerMessage2#0,"""パーティーメイカーを撤去します。<br><br>よろしいですか？"""
PartyMakerMessageTitle1#0,"""パーティーメイカー撤去確認"""
ClearTime#0,"""クリア時間  $(0)：$(1).$(2)"""
Totalorb#0,"""合計獲得バトルコイン"""
KillMvp#0,"""最多撃破MVP"""
AtkDamageMvp#0,"""最多与ダメージMVP"""
DefDamageMvp#0,"""最多被ダメージMVP"""
CrystalMvp#0,"""最多エンブレム取得MVP"""
DeathMvp#0,"""最少ダウン数MVP"""
PlayerName#0,"""$(0)"""
KillScore#0,"""$(0)人"""
DamageScore#0,"""$(0)"""
CrystalScore#0,"""$(0)個"""
DeathScore#0,"""$(0)回"""
MvpNone#0,"""<c c0c0c0>達成者なし<c>"""
OtherPlayerNum#0,"""ほか$(0)名"""
BattleCoinDetail#0,"""バトルコイン内訳"""
BattleCoin#0,"""バトルコイン"""
BattleResult#0,"""対戦結果"""
Task#0,"""バトル実績"""
Win#0,"""Win"""
Lose#0,"""Lose"""
Draw#0,"""Draw"""
GetMvp#0,"""MVP獲得"""
GetMvpSupport#0,"""MVPサポート"""
RareWeaponPickup#0,"""----"""
RareWeaponPickup_Num#0,"""----"""
AtkDamage100Over_Repdigit#0,"""与ダメージがゾロ目（3桁以上）"""
DefDamage100Over_Repdigit#0,"""被ダメージがゾロ目（3桁以上）"""
FightAlone#0,"""----"""
