PB#0,"""Photon Blast"""
ListTitle#0,"""Benutze Mag-Erscheinungspass"""
Indicate#3,"""<c f0df60>Mit einem Mag-Erscheinungspass kannst du die Form deines Mags zu der eines Evolutionsgeräts ändern, das du benutzt hast.<br>Bitte wähle eine Form zu der gewechselt werden soll.<c>"""
EmptyList#0,"""Du hast keine Formen registriert."""
PopupMenuChangeFigure#0,"""Zu dieser Form wechseln"""
PopupMenuRegisterFavorite#0,"""Zu Favoriten hinzufügen"""
PopupMenuCancelFavorite#0,"""Von Favoriten entfernen"""
ChangeFigureConfirm#0,"""マグ形態変更パスを使用し、<br>「$(0)」に形態を変更します。<br>よろしいですか？<br><br>マグ形態変更パス（所持：$(1)）"""
SortItemFavorite#0,"""Favorit"""
SameFigureError#0,"""現在と同じ形態であるため、<br>選択することができません。"""
LevelError#0,"""マグがレベル１００になるまで形態を変更できません。"""
ChangeFigurePassError#0,"""マグ形態変更パスがないため<br>実行することができません。"""
FavoriteMaxError#0,"""お気に入り登録数が上限の20件に<br>達しているため、登録することができません。"""
ChangeFigureResult#0,"""パスを使用して「$(0)」に変更しました。"""
RegisterFavoriteResult#0,"""お気に入りに登録しました。"""
CancelFavoriteResult#0,"""お気に入り登録を解除しました。"""
ChangeFigureError#0,"""形態を変更できませんでした。"""
RegisterFavoriteError#0,"""お気に入り登録できませんでした。"""
RegisterFavoriteMaxError#0,"""お気に入り登録数が上限の20件に<br>達しているため、登録することができません。"""
CancelFavoriteError#0,"""お気に入り登録を解除できませんでした。"""
RegisterFigure#0,"""マグの形態を登録しました。"""
ChangeFigureConfirmTitle#0,"""Itemnutzung bestätigen"""
Vita_ChangeFigureConfirm#0,"""マグ形態変更パスを使用し、<br>「$(0)」に形態を変更しますか？<br>マグ形態変更パス（所持：$(1)）"""
Title#6,"""-"""
Msg1#4,"""-"""
Msg2#3,"""-"""
Msg3#0,"""-"""
Title#7,"""Nutzung des Geräts bestätigen"""
Msg1#5,"""Wähle das Unterstützerlevel, dass du um einen Level verringern möchtest."""
Msg2#4,"""Durch das Benutzen eines Mag-Levelverringerungsgeräts wird das Unterstützerlevel um einen verringert.<br>Willst du wirklich fortfahren?"""
