Title#0,"""무한 연전: 영원의 윤무"""
Area41L#0,"""아크스 쉽\u3000VR 공간(협곡의 화원)"""
Area1000S#0,"""VR 환혹의 숲"""
Area1000L#0,"""아크스 쉽\u3000VR 공간(환혹의 숲)"""
Area1001S#0,"""VR 시가지"""
Area1001L#0,"""아크스 쉽\u3000VR 공간(시가지)"""
Area1002S#0,"""VR 용제단"""
Area1002L#0,"""아크스 쉽\u3000VR 공간(용제단)"""
Area1003S#0,"""VR 유적"""
Area1003L#0,"""아크스 쉽\u3000VR 공간(유적)"""
Area1004S#0,"""VR 해안"""
Area1004L#0,"""아크스 쉽\u3000VR 공간(해안)"""
Area1005S#0,"""VR 협곡"""
Area1005L#0,"""아크스 쉽\u3000VR 공간(협곡)"""
Area1006S#0,"""VR 채굴장 터"""
Area1006L#0,"""아크스 쉽\u3000VR 공간(채굴장 터)"""
Area1007S#0,"""VR 부상 시설"""
Area1007L#0,"""아크스 쉽\u3000VR 공간(부상 시설)"""
Area1008S#0,"""VR 백의 영역"""
Area1008L#0,"""아크스 쉽\u3000VR 공간(백의 영역)"""
Area1009S#0,"""VR 부상 시설"""
Area1009L#0,"""아크스 쉽\u3000VR 공간(부상 시설)"""
Area1010S#0,"""VR 괴세 구역\u3000지하 갱도"""
Area1010L#0,"""아크스 쉽\u3000VR 공간(괴세 구역\u3000지하 갱도)"""
Area1011S#0,"""VR 채굴 기지"""
Area1011L#0,"""아크스 쉽\u3000VR 공간(채굴 기지)"""
Area1012S#0,"""VR 도쿄"""
Area1012L#0,"""아크스 쉽\u3000VR 공간(도쿄)"""
Area1013S#0,"""VR 라스베이거스"""
Area1013L#0,"""아크스 쉽\u3000VR 공간(라스베이거스)"""
Area1014S#0,"""VR 괴세 구역\u3000화산 동굴"""
Area1014L#0,"""아크스 쉽\u3000VR 공간(괴세 구역\u3000화산 동굴)"""
Area1015S#0,"""VR 흑의 영역"""
Area1015L#0,"""아크스 쉽\u3000VR 공간(흑의 영역)"""
Area1016S#0,"""VR 화산 동굴"""
Area1016L#0,"""아크스 쉽\u3000VR 공간(화산 동굴)"""
Area1017S#0,"""VR 채굴 기지"""
Area1017L#0,"""아크스 쉽\u3000VR 공간(채굴 기지)"""
Area1018S#0,"""VR 해저"""
Area1018L#0,"""아크스 쉽\u3000VR 공간(해저)"""
Area1019S#0,"""VR 달 표면\u3000"""
Area1019L#0,"""아크스 쉽\u3000VR 공간(달 표면)"""
Area1020S#0,"""VR 시가지"""
Area1020L#0,"""아크스 쉽\u3000VR 공간(시가지)"""
Area1021S#0,"""VR 마신성 주변\u3000"""
Area1021L#0,"""아크스 쉽\u3000VR 공간(마신성 주변)"""
Area1022S#0,"""VR 괴세 구역\u3000삼림\u3000"""
Area1022L#0,"""아크스 쉽\u3000VR 공간(괴세 구역\u3000삼림)"""
Area1023S#0,"""ＶＲ(????)"""
Area1023L#0,"""아크스 쉽\u3000VR 공간(????)"""
Area1024S#0,"""VR 쉽 잔해·갑판\u3000"""
Area1024L#0,"""아크스 쉽\u3000VR 공간(아크스 쉽 잔해·갑판)"""
Area1025S#0,"""VR 마더 쉽 내부\u3000"""
Area1025L#0,"""아크스 쉽\u3000VR 공간(마더 쉽 내부)"""
Area1026S#0,"""VR 부유 대륙\u3000"""
Area1026L#0,"""아크스 쉽\u3000VR 공간(부유 대륙)"""
Area1027S#0,"""VR 다커의 소굴"""
Area1027L#0,"""아크스 쉽\u3000VR 공간(다커의 소굴)"""
Area1028S#0,"""VR 삼림\u3000"""
Area1028L#0,"""아크스 쉽\u3000VR 공간(삼림)"""
Area1029S#0,"""VR 아레나\u3000삼림\u3000"""
Area1029L#0,"""아크스 쉽\u3000VR 공간(VR 아레나\u3000삼림)"""
Area1030S#0,"""VR 지하 갱도\u3000"""
Area1030L#0,"""아크스 쉽\u3000VR 공간(지하 갱도)"""
Area1031S#0,"""VR 상륙정"""
Area1031L#0,"""아크스 쉽\u3000VR 공간(상륙정)"""
Area1032S#0,"""VR 백의 대성채\u3000"""
Area1032L#0,"""아크스 쉽\u3000VR 공간(백의 대성채)"""
Area1033S#0,"""VR 일본 근해\u3000"""
Area1033L#0,"""아크스 쉽\u3000VR 공간(일본 근해)"""
Area1034S#0,"""VR 에픽 사막"""
Area1034L#0,"""아크스 쉽\u3000VR 공간(에픽 사막)"""
Area1035S#0,"""VR 쿠엔트 동부 평원"""
Area1035L#0,"""아크스 쉽\u3000VR 공간(쿠엔트 동부 평원)"""
Area1036S#0,"""VR 베른 황야"""
Area1036L#0,"""아크스 쉽\u3000VR 공간(베른 황야)"""
Area1037S#0,"""VR 쿠엔트 성 옥좌의 방"""
Area1037L#0,"""아크스 쉽\u3000VR 공간(쿠엔트 성\u3000옥좌의 방)"""
Area1038S#0,"""VR 에픽 사막 북쪽 요새"""
Area1038L#0,"""아크스 쉽\u3000VR 공간(에픽 사막\u3000북쪽 요새)"""
Area1039S#0,"""VR 루이자 호숫가"""
Area1039L#0,"""아크스 쉽\u3000VR 공간(루이자 호숫가)"""
Area1040S#0,"""ＶＲ(????)"""
Area1040L#0,"""아크스 쉽\u3000VR 공간(????)"""
Area1041S#0,"""VR 협곡의 화원"""
Area1041L#0,"""아크스 쉽\u3000VR 공간(협곡의 화원)"""
Area2000S#0,"""VR 환혹의 숲"""
Area2000L#0,"""아크스 쉽\u3000VR 공간(환혹의 숲)"""
Area2001S#0,"""VR 시가지"""
Area2001L#0,"""아크스 쉽\u3000VR 공간(시가지)"""
Area2002S#0,"""VR 용제단"""
Area2002L#0,"""아크스 쉽\u3000VR 공간(용제단)"""
Area2003S#0,"""VR 유적"""
Area2003L#0,"""아크스 쉽\u3000VR 공간(유적)"""
Area2004S#0,"""VR 해안"""
Area2004L#0,"""아크스 쉽\u3000VR 공간(해안)"""
Area2005S#0,"""VR 협곡"""
Area2005L#0,"""아크스 쉽\u3000VR 공간(협곡)"""
Area2006S#0,"""VR 채굴장 터"""
Area2006L#0,"""아크스 쉽\u3000VR 공간(채굴장 터)"""
Area2007S#0,"""VR 부상 시설"""
Area2007L#0,"""아크스 쉽\u3000VR 공간(부상 시설)"""
Area2008S#0,"""VR 백의 영역"""
Area2008L#0,"""아크스 쉽\u3000VR 공간(백의 영역)"""
Area2009S#0,"""VR 부상 시설"""
Area2009L#0,"""아크스 쉽\u3000VR 공간(부상 시설)"""
Area2010S#0,"""VR 괴세 구역\u3000지하 갱도"""
Area2010L#0,"""아크스 쉽\u3000VR 공간(괴세 구역\u3000지하 갱도)"""
Area2011S#0,"""VR 채굴 기지"""
Area2011L#0,"""아크스 쉽\u3000VR 공간(채굴 기지)"""
Area2012S#0,"""VR 도쿄"""
Area2012L#0,"""아크스 쉽\u3000VR 공간(도쿄)"""
Area2013S#0,"""VR 라스베이거스"""
Area2013L#0,"""아크스 쉽\u3000VR 공간(라스베이거스)"""
Area2014S#0,"""VR 괴세 구역\u3000화산 동굴"""
Area2014L#0,"""아크스 쉽\u3000VR 공간(괴세 구역\u3000화산 동굴)"""
Area2015S#0,"""VR 흑의 영역"""
Area2015L#0,"""아크스 쉽\u3000VR 공간(흑의 영역)"""
Area2016S#0,"""VR 화산 동굴"""
Area2016L#0,"""아크스 쉽\u3000VR 공간(화산 동굴)"""
Area2017S#0,"""VR 채굴 기지"""
Area2017L#0,"""아크스 쉽\u3000VR 공간(채굴 기지)"""
Area2018S#0,"""VR 해저"""
Area2018L#0,"""아크스 쉽\u3000VR 공간(해저)"""
Area2019S#0,"""VR 달 표면\u3000"""
Area2019L#0,"""아크스 쉽\u3000VR 공간(달 표면)"""
Area2020S#0,"""VR 시가지"""
Area2020L#0,"""아크스 쉽\u3000VR 공간(시가지)"""
Area2021S#0,"""VR 마신성 주변\u3000"""
Area2021L#0,"""아크스 쉽\u3000VR 공간(마신성 주변)"""
Area2022S#0,"""VR 괴세 구역\u3000삼림\u3000"""
Area2022L#0,"""아크스 쉽\u3000VR 공간(괴세 구역\u3000삼림)"""
Area2023S#0,"""ＶＲ(????)"""
Area2023L#0,"""아크스 쉽\u3000VR 공간(????)"""
Area2024S#0,"""VR 쉽 잔해·갑판\u3000"""
Area2024L#0,"""아크스 쉽\u3000VR 공간(아크스 쉽 잔해·갑판)"""
Area2025S#0,"""VR 마더 쉽 내부\u3000"""
Area2025L#0,"""아크스 쉽\u3000VR 공간(마더 쉽 내부)"""
Area2026S#0,"""VR 부유 대륙\u3000"""
Area2026L#0,"""아크스 쉽\u3000VR 공간(부유 대륙)"""
Area2027S#0,"""VR 다커의 소굴"""
Area2027L#0,"""아크스 쉽\u3000VR 공간(다커의 소굴)"""
Area2028S#0,"""VR 삼림\u3000"""
Area2028L#0,"""아크스 쉽\u3000VR 공간(삼림)"""
Area2029S#0,"""VR 아레나\u3000삼림\u3000"""
Area2029L#0,"""아크스 쉽\u3000VR 공간(VR 아레나\u3000삼림)"""
Area2030S#0,"""VR 지하 갱도\u3000"""
Area2030L#0,"""아크스 쉽\u3000VR 공간(지하 갱도)"""
Area2031S#0,"""VR 상륙정"""
Area2031L#0,"""아크스 쉽\u3000VR 공간(상륙정)"""
Area2032S#0,"""VR 백의 대성채\u3000"""
Area2032L#0,"""아크스 쉽\u3000VR 공간(백의 대성채)"""
Area2033S#0,"""VR 일본 근해\u3000"""
Area2033L#0,"""아크스 쉽\u3000VR 공간(일본 근해)"""
Area2034S#0,"""VR 에픽 사막"""
Area2034L#0,"""아크스 쉽\u3000VR 공간(에픽 사막)"""
Area2035S#0,"""VR 쿠엔트 동부 평원"""
Area2035L#0,"""아크스 쉽\u3000VR 공간(쿠엔트 동부 평원)"""
Area2036S#0,"""VR 베른 황야"""
Area2036L#0,"""아크스 쉽\u3000VR 공간(베른 황야)"""
Area2037S#0,"""VR 쿠엔트 성 옥좌의 방"""
Area2037L#0,"""아크스 쉽\u3000VR 공간(쿠엔트 성\u3000옥좌의 방)"""
Area2038S#0,"""VR 에픽 사막 북쪽 요새"""
Area2038L#0,"""아크스 쉽\u3000VR 공간(에픽 사막\u3000북쪽 요새)"""
Area2039S#0,"""VR 루이자 호숫가"""
Area2039L#0,"""아크스 쉽\u3000VR 공간(루이자 호숫가)"""
Area2040S#0,"""ＶＲ(????)"""
Area2040L#0,"""아크스 쉽\u3000VR 공간(????)"""
Area2041S#0,"""VR 협곡의 화원"""
Area2041L#0,"""아크스 쉽\u3000VR 공간(협곡의 화원)"""
Area3000S#0,"""VR 환혹의 숲"""
Area3000L#0,"""아크스 쉽\u3000VR 공간(환혹의 숲)"""
Area3001S#0,"""VR 시가지"""
Area3001L#0,"""아크스 쉽\u3000VR 공간(시가지)"""
Area3002S#0,"""VR 용제단"""
Area3002L#0,"""아크스 쉽\u3000VR 공간(용제단)"""
Area3003S#0,"""VR 유적"""
Area3003L#0,"""아크스 쉽\u3000VR 공간(유적)"""
Area3004S#0,"""VR 해안"""
Area3004L#0,"""아크스 쉽\u3000VR 공간(해안)"""
Area3005S#0,"""VR 협곡"""
Area3005L#0,"""아크스 쉽\u3000VR 공간(협곡)"""
Area3006S#0,"""VR 채굴장 터"""
Area3006L#0,"""아크스 쉽\u3000VR 공간(채굴장 터)"""
Area3007S#0,"""VR 부상 시설"""
Area3007L#0,"""아크스 쉽\u3000VR 공간(부상 시설)"""
Area3008S#0,"""VR 백의 영역"""
Area3008L#0,"""아크스 쉽\u3000VR 공간(백의 영역)"""
Area3009S#0,"""VR 부상 시설"""
Area3009L#0,"""아크스 쉽\u3000VR 공간(부상 시설)"""
Area3010S#0,"""VR 괴세 구역\u3000지하 갱도"""
Area3010L#0,"""아크스 쉽\u3000VR 공간(괴세 구역\u3000지하 갱도)"""
Area3011S#0,"""VR 채굴 기지"""
Area3011L#0,"""아크스 쉽\u3000VR 공간(채굴 기지)"""
Area3012S#0,"""VR 도쿄"""
Area3012L#0,"""아크스 쉽\u3000VR 공간(도쿄)"""
Area3013S#0,"""VR 라스베이거스"""
Area3013L#0,"""아크스 쉽\u3000VR 공간(라스베이거스)"""
Area3014S#0,"""VR 괴세 구역\u3000화산 동굴"""
Area3014L#0,"""아크스 쉽\u3000VR 공간(괴세 구역\u3000화산 동굴)"""
Area3015S#0,"""VR 흑의 영역"""
Area3015L#0,"""아크스 쉽\u3000VR 공간(흑의 영역)"""
Area3016S#0,"""VR 화산 동굴"""
Area3016L#0,"""아크스 쉽\u3000VR 공간(화산 동굴)"""
Area3017S#0,"""VR 채굴 기지"""
Area3017L#0,"""아크스 쉽\u3000VR 공간(채굴 기지)"""
Area3018S#0,"""VR 해저"""
Area3018L#0,"""아크스 쉽\u3000VR 공간(해저)"""
Area3019S#0,"""VR 달 표면\u3000"""
Area3019L#0,"""아크스 쉽\u3000VR 공간(달 표면)"""
Area3020S#0,"""VR 시가지"""
Area3020L#0,"""아크스 쉽\u3000VR 공간(시가지)"""
Area3021S#0,"""VR 마신성 주변\u3000"""
Area3021L#0,"""아크스 쉽\u3000VR 공간(마신성 주변)"""
Area3022S#0,"""VR 괴세 구역\u3000삼림\u3000"""
Area3022L#0,"""아크스 쉽\u3000VR 공간(괴세 구역\u3000삼림)"""
Area3023S#0,"""ＶＲ(????)"""
Area3023L#0,"""아크스 쉽\u3000VR 공간(????)"""
Area3024S#0,"""VR 쉽 잔해·갑판\u3000"""
Area3024L#0,"""아크스 쉽\u3000VR 공간(아크스 쉽 잔해·갑판)"""
Area3025S#0,"""VR 마더 쉽 내부\u3000"""
Area3025L#0,"""아크스 쉽\u3000VR 공간(마더 쉽 내부)"""
Area3026S#0,"""VR 부유 대륙\u3000"""
Area3026L#0,"""아크스 쉽\u3000VR 공간(부유 대륙)"""
Area3027S#0,"""VR 다커의 소굴"""
Area3027L#0,"""아크스 쉽\u3000VR 공간(다커의 소굴)"""
Area3028S#0,"""VR 삼림\u3000"""
Area3028L#0,"""아크스 쉽\u3000VR 공간(삼림)"""
Area3029S#0,"""VR 아레나\u3000삼림\u3000"""
Area3029L#0,"""아크스 쉽\u3000VR 공간(VR 아레나\u3000삼림)"""
Area3030S#0,"""VR 지하 갱도\u3000"""
Area3030L#0,"""아크스 쉽\u3000VR 공간(지하 갱도)"""
Area3031S#0,"""VR 상륙정"""
Area3031L#0,"""아크스 쉽\u3000VR 공간(상륙정)"""
Area3032S#0,"""VR 백의 대성채\u3000"""
Area3032L#0,"""아크스 쉽\u3000VR 공간(백의 대성채)"""
Area3033S#0,"""VR 일본 근해\u3000"""
Area3033L#0,"""아크스 쉽\u3000VR 공간(일본 근해)"""
Area3034S#0,"""VR 에픽 사막"""
Area3034L#0,"""아크스 쉽\u3000VR 공간(에픽 사막)"""
Area3035S#0,"""VR 쿠엔트 동부 평원"""
Area3035L#0,"""아크스 쉽\u3000VR 공간(쿠엔트 동부 평원)"""
Area3036S#0,"""VR 베른 황야"""
Area3036L#0,"""아크스 쉽\u3000VR 공간(베른 황야)"""
Area3037S#0,"""VR 쿠엔트 성 옥좌의 방"""
Area3037L#0,"""아크스 쉽\u3000VR 공간(쿠엔트 성\u3000옥좌의 방)"""
Area3038S#0,"""VR 에픽 사막 북쪽 요새"""
Area3038L#0,"""아크스 쉽\u3000VR 공간(에픽 사막\u3000북쪽 요새)"""
Area3039S#0,"""VR 루이자 호숫가"""
Area3039L#0,"""아크스 쉽\u3000VR 공간(루이자 호숫가)"""
Area3040S#0,"""ＶＲ(????)"""
Area3040L#0,"""아크스 쉽\u3000VR 공간(????)"""
Area3041S#0,"""VR 협곡의 화원"""
Area3041L#0,"""아크스 쉽\u3000VR 공간(협곡의 화원)"""
Area4000S#0,"""VR 환혹의 숲"""
Area4000L#0,"""아크스 쉽\u3000VR 공간(환혹의 숲)"""
Area4001S#0,"""VR 시가지"""
Area4001L#0,"""아크스 쉽\u3000VR 공간(시가지)"""
Area4002S#0,"""VR 용제단"""
Area4002L#0,"""아크스 쉽\u3000VR 공간(용제단)"""
Area4003S#0,"""VR 유적"""
Area4003L#0,"""아크스 쉽\u3000VR 공간(유적)"""
Area4004S#0,"""VR 해안"""
Area4004L#0,"""아크스 쉽\u3000VR 공간(해안)"""
Area4005S#0,"""VR 협곡"""
Area4005L#0,"""아크스 쉽\u3000VR 공간(협곡)"""
Area4006S#0,"""VR 채굴장 터"""
Area4006L#0,"""아크스 쉽\u3000VR 공간(채굴장 터)"""
Area4007S#0,"""VR 부상 시설"""
Area4007L#0,"""아크스 쉽\u3000VR 공간(부상 시설)"""
Area4008S#0,"""VR 백의 영역"""
Area4008L#0,"""아크스 쉽\u3000VR 공간(백의 영역)"""
Area4009S#0,"""VR 부상 시설"""
Area4009L#0,"""아크스 쉽\u3000VR 공간(부상 시설)"""
Area4010S#0,"""VR 괴세 구역\u3000지하 갱도"""
Area4010L#0,"""아크스 쉽\u3000VR 공간(괴세 구역\u3000지하 갱도)"""
Area4011S#0,"""VR 채굴 기지"""
Area4011L#0,"""아크스 쉽\u3000VR 공간(채굴 기지)"""
Area4012S#0,"""VR 도쿄"""
Area4012L#0,"""아크스 쉽\u3000VR 공간(도쿄)"""
Area4013S#0,"""VR 라스베이거스"""
Area4013L#0,"""아크스 쉽\u3000VR 공간(라스베이거스)"""
Area4014S#0,"""VR 괴세 구역\u3000화산 동굴"""
Area4014L#0,"""아크스 쉽\u3000VR 공간(괴세 구역\u3000화산 동굴)"""
Area4015S#0,"""VR 흑의 영역"""
Area4015L#0,"""아크스 쉽\u3000VR 공간(흑의 영역)"""
Area4016S#0,"""VR 화산 동굴"""
Area4016L#0,"""아크스 쉽\u3000VR 공간(화산 동굴)"""
Area4017S#0,"""VR 채굴 기지"""
Area4017L#0,"""아크스 쉽\u3000VR 공간(채굴 기지)"""
Area4018S#0,"""VR 해저"""
Area4018L#0,"""아크스 쉽\u3000VR 공간(해저)"""
Area4019S#0,"""VR 달 표면\u3000"""
Area4019L#0,"""아크스 쉽\u3000VR 공간(달 표면)"""
Area4020S#0,"""VR 시가지"""
Area4020L#0,"""아크스 쉽\u3000VR 공간(시가지)"""
Area4021S#0,"""VR 마신성 주변\u3000"""
Area4021L#0,"""아크스 쉽\u3000VR 공간(마신성 주변)"""
Area4022S#0,"""VR 괴세 구역\u3000삼림\u3000"""
Area4022L#0,"""아크스 쉽\u3000VR 공간(괴세 구역\u3000삼림)"""
Area4023S#0,"""ＶＲ(????)"""
Area4023L#0,"""아크스 쉽\u3000VR 공간(????)"""
Area4024S#0,"""VR 쉽 잔해·갑판\u3000"""
Area4024L#0,"""아크스 쉽\u3000VR 공간(아크스 쉽 잔해·갑판)"""
Area4025S#0,"""VR 마더 쉽 내부\u3000"""
Area4025L#0,"""아크스 쉽\u3000VR 공간(마더 쉽 내부)"""
Area4026S#0,"""VR 부유 대륙\u3000"""
Area4026L#0,"""아크스 쉽\u3000VR 공간(부유 대륙)"""
Area4027S#0,"""VR 다커의 소굴"""
Area4027L#0,"""아크스 쉽\u3000VR 공간(다커의 소굴)"""
Area4028S#0,"""VR 삼림\u3000"""
Area4028L#0,"""아크스 쉽\u3000VR 공간(삼림)"""
Area4029S#0,"""VR 아레나\u3000삼림\u3000"""
Area4029L#0,"""아크스 쉽\u3000VR 공간(VR 아레나\u3000삼림)"""
Area4030S#0,"""VR 지하 갱도\u3000"""
Area4030L#0,"""아크스 쉽\u3000VR 공간(지하 갱도)"""
Area4031S#0,"""VR 상륙정"""
Area4031L#0,"""아크스 쉽\u3000VR 공간(상륙정)"""
Area4032S#0,"""VR 백의 대성채\u3000"""
Area4032L#0,"""아크스 쉽\u3000VR 공간(백의 대성채)"""
Area4033S#0,"""VR 일본 근해\u3000"""
Area4033L#0,"""아크스 쉽\u3000VR 공간(일본 근해)"""
Area4034S#0,"""VR 에픽 사막"""
Area4034L#0,"""아크스 쉽\u3000VR 공간(에픽 사막)"""
Area4035S#0,"""VR 쿠엔트 동부 평원"""
Area4035L#0,"""아크스 쉽\u3000VR 공간(쿠엔트 동부 평원)"""
Area4036S#0,"""VR 베른 황야"""
Area4036L#0,"""아크스 쉽\u3000VR 공간(베른 황야)"""
Area4037S#0,"""VR 쿠엔트 성 옥좌의 방"""
Area4037L#0,"""아크스 쉽\u3000VR 공간(쿠엔트 성\u3000옥좌의 방)"""
Area4038S#0,"""VR 에픽 사막 북쪽 요새"""
Area4038L#0,"""아크스 쉽\u3000VR 공간(에픽 사막\u3000북쪽 요새)"""
Area4039S#0,"""VR 루이자 호숫가"""
Area4039L#0,"""아크스 쉽\u3000VR 공간(루이자 호숫가)"""
Area4040S#0,"""ＶＲ(????)"""
Area4040L#0,"""아크스 쉽\u3000VR 공간(????)"""
Area4041S#0,"""VR 협곡의 화원"""
Area4041L#0,"""아크스 쉽\u3000VR 공간(협곡의 화원)"""
Area127S#0,"""VR 쿠엔트 성터"""
Area127L#0,"""아크스 쉽\u3000VR 공간(쿠엔트 성터)"""
NpcComMsg1#0,"""엔드리스 퀘스트를 시작합니다.<br>제한 시간 안에 더 많은 미션을 달성해<br>스코어를 획득해 주세요."""
NpcComMsg2#0,"""「미션 오더」 종류도<br>늘어났으니 지시에 주의하세요.<br>그럼 힘내 주세요."""
