11_voice_NPC_5009_101#0,"""Oh, it's you, is it? Perfect timing."""
11_voice_NPC_5009_102#2,"""そうか、虚空機関の総長が……<br>どこまでも、研究者だったんだな<br>あの男は。"""
Aki_mb16zeno_020#0,"""自分以外のものを、駒としてしか見ず<br>すべて演算の範囲内に収まると考え<br>下に見て、甘く見る。"""
Aki_mb16zeno_030#0,"""……愚かなやつと思ってはいたが<br>やはり、そういう結末になったか。"""
11_voice_NPC_5009_100#10,"""惑星ハルコタンの文化は<br>独特の進化を遂げていると聞く。"""
Aki_mb18_020#0,"""私は所用が多くて行けていない。<br>ぜひ、私の分まで見てきてくれ。"""
Aki_mb19_010#0,"""惑星ウォパルの浮上施設か……<br>興味はないのかって？<br>正直、イマイチといったところだ。"""
Aki_mb19_020#0,"""おそらく重要な情報が眠っていたり<br>貴重な発見があるのかもしれないが……<br>それは、私の求めているものじゃない。"""
11_voice_NPC_5009_100#11,"""私は今まで通り、自分の興味が<br>向いたところに赴く。それだけさ。"""
Aki_mb20_010#0,"""興味深いレポートを見ると<br>ついつい夢中になってしまうね。"""
Aki_mb20_020#0,"""時間が許すなら、現地へ行きたいが<br>なかなかこれでも忙しくてね。<br>まずは自分の研究が優先だ。"""
11_voice_NPC_5009_100#12,"""何はともあれ、興味が惹く対象が<br>増えるのは喜ばしいことだよ。"""
Aki_mb21_010#0,"""レラ君とはたまに会うんだが<br>彼女はとても好奇心が旺盛で<br>いろんな事に興味を持っているんだ。"""
Aki_mb21_020#0,"""それにとても友好的でね<br>私に限らず、アークスの人を見ると<br>声をかけたりしているみたいなんだ。"""
Aki_mb21_030#0,"""だが、彼女はなにせ大きいからね。<br>話をする前に驚かれてしまうらしいよ。<br>こればっかりは、解決が難しいね。"""
11_voice_NPC_5009_100#13,"""なかなか面白い発見をしてね。<br>今はそれに夢中なんだ。"""
Aki_mb22_020#0,"""レラ君の発想がヒントになってね。<br>想像すらしなかったものだ。<br>彼女と話すのはいつも楽しいよ。"""
Aki_mb22_030#0,"""論文もはかどってきている。<br>必ずやいい研究にしてみせるよ。"""
11_voice_NPC_5009_100#14,"""やあ、大変だったみたいだね。<br>息災のようでなによりだよ。"""
Aki_mb23_020#0,"""どうにも論文で忙しくてね。<br>キミがダークファルスに喰われて<br>帰ってきてから、事件を知ったんだ。"""
11_voice_NPC_5009_104#7,"""さすがに私も聞いた時は驚いたさ。<br>でも、こうして顔も見れたことだし<br>また論文に集中できそうだよ。"""
11_voice_NPC_5009_100#15,"""キミが特別なアークスであろうことは<br>なんとなくだけど、察していたさ。"""
Aki_mb23_after_020#0,"""ただ想像よりも、特別だったけどね。<br>それで、どうするつもりなんだい？<br>キミの相手はとても強大な存在だ。"""
Aki_mb23_after_030#0,"""だが、キミには人望がある。<br>私から言えることは少ないが……<br>周りを頼ってみるのもいいと思うよ。"""
Aki_mb24_after_010#0,"""ああ、キミか。<br>無事に帰ってきて良かったよ。"""
Aki_mb24_after_020#0,"""望んだ結果が得られるのは<br>研究だろうとなんだろうと<br>嬉しいものだからね。"""
11_voice_NPC_5009_100#16,"""他ならぬキミが望んだことが<br>無事に叶ったんだ。<br>私にとっても嬉しい報告だよ。"""
Aki_mb25_010#0,"""リリーパでなんだか問題が<br>起きているようだね。"""
Aki_mb25_020#0,"""起きている問題に興味はないが<br>まあ……大変な案件なら<br>そのうち連絡はくるだろ。"""
Aki_mb25_030#0,"""キミは関わってるのかい？<br>私が言うのもあれだが<br>あまり無理ないようにな。"""
11_voice_NPC_5009_100#17,"""おや、キミは……誰だっけ？"""
st01_020#0,"""いやいや冗談だよ。<br><%me>君。<br>キミを忘れられるはずがないだろう。"""
st01_030#0,"""無事に戻ってきてくれてなによりだ。<br>これでまた、色々お願いできるからね。"""
11_voice_NPC_5009_100#18,"""相変わらずせわしないね、キミは。<br>手が空いたら、こっちの仕事も<br>手伝ってくれると嬉しいな。"""
11_voice_NPC_5009_100#19,"""私の所属かい？<br>総務部の研究課、となっているよ。"""
st01_020#1,"""情報部から研究部門は切り離されたよ。<br>トップの意志で悪用されないようにね。"""
st01_030#1,"""マリアが司令の総務部なら<br>悪用とも無縁だろう？<br>研究というものに興味もないだろうし。"""
11_voice_NPC_5009_100#20,"""エーテルについては<br>うちの研究課でも、研究者たちが<br>調べているようだよ。"""
st01_020#2,"""私はそっちの専門ではないから<br>詳しいことはわからないけどね。"""
st01_030#2,"""みんな、いきいきと研究してるよ。<br>未知のものを調べるのは<br>やはり楽しいものだよ。"""
st01_010#0,"""具現武装……サモナーの使うペットと<br>同様の、フォトン具現による創造物。<br>そう判断されている。"""
st01_020#3,"""だが、その特殊能力の性質や<br>所有者を選ぶという点から鑑みると<br>創世器、のほうが近く感じるな。"""
11_voice_NPC_5009_100#21,"""具現武装の汎用化とは、相変わらず<br>総務部の司令は無茶ばかりを言う。"""
st01_020#4,"""あれを汎用化するというのは<br>いわば創世器の汎用化だ。<br>汎用モデルを作るという話とは違う。"""
st01_030#3,"""一人一人に適した武装を作り上げる。<br>実現可能か研究してみろ、だってさ。<br>あれは挑戦状だよ。マリアからのね。"""
st01_010#1,"""アークスシップ内にかかるリミッターは<br>フォトンに作用し、結合を分解する。<br>ダーカーでも例外ではない。"""
11_voice_NPC_5009_104#8,"""ゆえに、ここショップエリアは<br>安全な場所と言われていたのだが……<br>神話は崩壊するものだな。"""
Emilia_01_10#0,"""ああ、キミか。<br>どうしたんだい、改まって。"""
Emilia_01_20#0,"""……ふむ、成る程。<br>異世界からの来訪者への技術協力、か。"""
Emilia_01_30#0,"""そんな魅力的なお誘いを<br>私が断ると思うかい？<br>喜んで協力させてもらうよ。"""
Emilia_01_40#0,"""未知の技術や思考に触れる機会なんて<br>そうそうあるものじゃないからね。"""
st01_010#2,"""先日の襲撃を経て、エーテルの構成と<br>その分解、及びリミッターの解放権限を<br>見直す方向で話がまとまった。"""
st01_020#5,"""決定が迅速で、とても良いことだな。<br>もろもろの反省が生きている<br>とも言える。"""
11_voice_NPC_5009_104#9,"""私は今回留守番だ。<br>私程度の能力では邪魔になる。"""
sq00_020#0,"""その分、分析などに全力を尽くす。<br>他ならない、キミのためだからね。"""
sq01_010#0,"""キミの無事を祝いたいのはやまやまだが<br>分析しなければならないデータが<br>山積みで、てんてこ舞いさ。"""
11_voice_NPC_5009_105#1,"""かの【深遠なる闇】との戦いで<br>色々と想定外のデータが出ている。<br>これは時間がかかりそうだぞ。"""
11_voice_NPC_5009_100#22,"""Just when I thought we were done analyzing the [Profound Darkness]'s data, now this Goddess of Demise comes along and we have to start all over again."""
sq13_020#0,"""Honestly, they overwork us. But we can't afford to slack off here."""
ep6_sq00_01#0,"""Just when I thought we were done analyzing the [Profound Darkness]'s data, now this Goddess of Demise comes along and we have to start all over again."""
11_voice_NPC_5009_104#10,"""Honestly, they overwork us. But we can't afford to slack off here."""
ep6_sq01_01#0,"""Light worries too much, but it's true that ARKS is in a critical position right now."""
ep6_sq01_02#0,"""The facts are what they are. But even when hope has died, we explore all possibilities and find our next move. That's what a researcher does."""
11_voice_NPC_5009_104#11,"""It might be difficult for you, but I'm asking you to keep us all safe. Guardian."""
11_voice_NPC_5009_100#23,"""That was hard work. Not just from you, everyone came together to gain an understanding about the future."""
ep6_sq02_02#0,"""Still, I don't feel too great about the mystery behind Amduscia just being given away like this..."""
ep6_sq02_03#0,"""As a researcher, it's disappointing when I'm given an answer before I can find it out with my own efforts."""
