Title#0,"""МИССИЯ: Начало"""
Area27L#0,"""Корабль ARKS: VR местность (Пещеры) - Проежуточная местность 8"""
Area28S#0,"""Проежуточная местность 9"""
Area28L#0,"""Корабль ARKS: VR местность (Лес) - Проежуточная местность 9"""
Area29S#0,"""Проежуточная местность 10"""
Area29L#0,"""Корабль ARKS: VR местность (Пустыня) - Проежуточная местность 10"""
Area30S#0,"""Проежуточная местность 11"""
Area30L#0,"""Корабль ARKS: VR местность (Пещеры) - Проежуточная местность 11"""
Area31S#0,"""Проежуточная местность 12"""
Area31L#0,"""Корабль ARKS: VR местность (Лес) - Проежуточная местность 12"""
NpcComMsg1#0,"""Испытание начнётся в ближайшее<br>время. Пожалуйста, завершите<br>5 миссий, прежде чем закончится<br>ваша VR энергия."""
NpcComMsg2#0,"""Кроме того, вам необходимо<br>подбирать все предметы, которые<br>найдёте, хоть это<br>не обязательно. Хоть обучение<br>и сурово, но пожалуйста, будьте<br>гибкими и приспосабливайтесь<br>к ситуациям. Всем удачи."""
UIQuestTargetOutlineSecond#0,"""Пройдите 10 миссий!"""
UIQuestTargetDetailSecond#0,"""Пройдите 10 миссий до того,<br>как закончится ваша VR нергия!"""
NPCArea0#0,"""/atime2.5 /voice11_voice_navi07_013 Я проведу вас через 1 миссию.<br>Для начала, победите рядом<br>стоящих врагов, чтобы добыть<br>оружие и проложить себе путь."""
NPCArea1#0,"""/atime2.5 /voice11_voice_navi07_014 Начиная со второй миссии<br>я не буду помогать вам.<br>Пожалуйста, решайте возникающие<br>проблемы собственными силами.<br>Удачи."""
NPCArea2#0,"""/atime2.5 /voice11_voice_navi07_015 Это 3 миссия. Вы хорошо<br>отдохнули? Теперь всё будет<br>труднее."""
NPCArea3#0,"""/atime2.5 /voice11_voice_navi07_016 Это 4 миссия. Что у вас<br>с VR энергией? Следите за ней<br>внимательно."""
NPCArea4#0,"""/atime2.5 /voice11_voice_navi07_017 Это 5 миссия, последняя<br>миссия. Будьте осторожны."""
NPCArea5#0,"""/atime2.5 /voice11_voice_navi07_018 Это 6 миссия. Начиная от сюда,<br>пожалуйста, приложите все свои<br>силы, пока ваша VR энергия<br>не закончилась."""
NPCArea6#0,"""/atime2.5 /voice11_voice_navi07_019 Это 7 миссия. Даже, если она<br>выглидит знакомой, это не<br>значит, что это всё будет<br>повторяться. Будьте осторожны."""
NPCArea7#0,"""/atime2.5 /voice11_voice_navi07_015 Это 8 миссия. Возможно, вы уже<br>заметили, но есть энергетические<br>капсулы не отображающиеся на<br>вашей карте."""
NPCArea8#0,"""/atime2.5 /voice11_voice_navi07_016 Это 9 миссия. Осталось 2 миссии.<br>Продержитесь ещё немного."""
NPCArea9#0,"""/atime2.5 /voice11_voice_navi07_017 ミッション１０です。<br>どう転んでも最後のミッションです。<br>死力を尽くして頑張ってください。"""
NPCArea10#0,"""/atime2.5 /voice11_voice_navi07_018 ミッション１１です。<br>３週目なので難易度が更に上がります。<br>限界まで力を振り絞りましょう。"""
NPCArea11#0,"""/atime2.5 /voice11_voice_navi07_019 ミッション１２です。<br>この難易度にも耐えうる能力……<br>素晴らしいの一言につきます。"""
NPCArea12#0,"""/atime2.5 /voice11_voice_navi07_015 ミッション１３です。<br>全力をもって最善を尽くし<br>最深部到達を目指してください。"""
NPCArea13#0,"""/atime2.5 /voice11_voice_navi07_016 ミッション１４です。<br>最深部にだいぶ近づいて来ています。<br>３週目の、最深部に。"""
NPCArea14#0,"""/atime2.5 /voice11_voice_navi07_017 ミッション１５です。<br>ここを越えれば３週目終了です。<br>ご武運を。"""
NPCArea15#0,"""/atime2.5 /voice11_voice_navi07_018 ミッション１６です。<br>４週目のはじまりです。<br>更に難易度が上がりますよ。"""
NPCArea16#0,"""/atime2.5 /voice11_voice_navi07_014 ミッション１７です。<br>素晴らしい成果です。次のミッションで<br>ちょっとした情報を提供しますね。"""
NPCArea17#0,"""/atime2.5 /voice11_voice_navi07_015 ミッション１８です。<br>本ミッションは、これが最後の周回。<br>つまり、残りは３ミッションです。"""
NPCArea18#0,"""/atime2.5 /voice11_voice_navi07_016 ミッション１９です。<br>残り２ミッション。<br>もうひと踏ん張りですよ。"""
NPCArea19#0,"""/atime2.5 /voice11_voice_navi07_017 ミッション２０です。<br>どう転んでも最後のミッションです。<br>死力を尽くして頑張ってください。"""
NPCArea21#0,"""/atime2.5 /voice11_voice_navi07_002 Вы достигли места для отдыха.<br>Пожалуйста, используйте время<br>с пользой и подготовьтесь<br>к следующей миссии."""
NPCArea22#0,"""/atime2.5 /voice11_voice_navi07_002 Вы достигли места для отдыха.<br>Пожалуйста, используйте время<br>с пользой и подготовьтесь<br>к следующей миссии."""
NPCArea23#0,"""/atime2.5 /voice11_voice_navi07_002 Вы достигли места для отдыха.<br>Пожалуйста, используйте время<br>с пользой и подготовьтесь<br>к следующей миссии."""
NPCArea24#0,"""/atime2.5 /voice11_voice_navi07_002 Вы достигли места для отдыха.<br>Пожалуйста, используйте время<br>с пользой и подготовьтесь<br>к следующей миссии."""
